step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98798	0.15431	1.00000	0.34311	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99000	0.27800	0.93800	0.33064	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99000	0.28000	0.92400	0.32555	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98000	0.27667	0.87600	0.32555	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97800	0.28150	0.77000	0.32467	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96400	0.28880	0.64800	0.32077	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.96000	0.29633	0.46400	0.31883	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.93800	0.29857	0.46300	0.31643	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.88600	0.30075	0.48067	0.31468	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.86800	0.30089	0.48150	0.31303	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.85600	0.29980	0.47920	0.31247	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.83800	0.29491	0.48267	0.31149	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.86200	0.29017	0.48429	0.31172	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.82600	0.28954	0.48975	0.31376	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.75200	0.28514	0.49489	0.31490	0.029192926025391	0.666666666666667	0.113906250000000	0
8000		0.68400	0.28187	0.49820	0.31573	0.043789389038086	0.666666666666667	0.113906250000000	0
8500		0.62000	0.27637	0.49655	0.31579	0.065684083557129	0.666666666666667	0.113906250000000	0
9000		0.56200	0.27271	0.49817	0.31646	0.098526125335693	0.666666666666667	0.113906250000000	0
9500		0.43200	0.26889	0.49785	0.31641	0.147789188003540	0.666666666666667	0.113906250000000	0
10000		0.41700	0.26537	0.50086	0.31728	0.147789188003540	0.666666666666667	0.113906250000000	0
10500		0.41400	0.26440	0.50333	0.31801	0.147789188003540	0.666666666666667	0.113906250000000	0
11000		0.40650	0.26200	0.50513	0.31845	0.147789188003540	0.666666666666667	0.113906250000000	0
11500		0.41240	0.26036	0.50718	0.31901	0.147789188003540	0.666666666666667	0.113906250000000	0
12000		0.40833	0.25783	0.50767	0.31949	0.147789188003540	0.666666666666667	0.113906250000000	0
12500		0.40800	0.25675	0.50979	0.32008	0.147789188003540	0.666666666666667	0.113906250000000	0
13000		0.40925	0.25480	0.51090	0.32025	0.147789188003540	0.666666666666667	0.113906250000000	0
13500		0.41333	0.25392	0.51257	0.32092	0.147789188003540	0.666666666666667	0.113906250000000	0
14000		0.41560	0.25304	0.51609	0.32154	0.147789188003540	0.666666666666667	0.113906250000000	0
14500		0.41491	0.25093	0.51565	0.32183	0.147789188003540	0.666666666666667	0.113906250000000	0
15000		0.41450	0.25076	0.51733	0.32234	0.147789188003540	0.666666666666667	0.113906250000000	0
15500		0.41338	0.24907	0.51704	0.32254	0.147789188003540	0.666666666666667	0.113906250000000	0
16000		0.41171	0.24826	0.51808	0.32246	0.147789188003540	0.666666666666667	0.113906250000000	0
16500		0.41040	0.24556	0.51830	0.32288	0.147789188003540	0.666666666666667	0.113906250000000	0
17000		0.41037	0.24436	0.51900	0.32281	0.147789188003540	0.666666666666667	0.113906250000000	0
17500		0.40859	0.24382	0.51917	0.32286	0.147789188003540	0.666666666666667	0.113906250000000	0
18000		0.40878	0.24280	0.51920	0.32318	0.147789188003540	0.666666666666667	0.113906250000000	0
18500		0.40821	0.24228	0.51948	0.32334	0.147789188003540	0.666666666666667	0.113906250000000	0
19000		0.40770	0.24086	0.51994	0.32346	0.147789188003540	0.666666666666667	0.113906250000000	0
19500		0.40800	0.23942	0.51982	0.32355	0.147789188003540	0.666666666666667	0.113906250000000	0
20000		0.40764	0.23831	0.52018	0.32366	0.147789188003540	0.666666666666667	0.113906250000000	0
20500		0.40626	0.23700	0.52023	0.32407	0.147789188003540	0.666666666666667	0.113906250000000	0
21000		0.40542	0.23595	0.52111	0.32429	0.147789188003540	0.666666666666667	0.113906250000000	0
21500		0.40568	0.23610	0.52259	0.32448	0.147789188003540	0.666666666666667	0.113906250000000	0
22000		0.40423	0.23567	0.52274	0.32453	0.147789188003540	0.666666666666667	0.113906250000000	0
22500		0.40289	0.23514	0.52333	0.32475	0.147789188003540	0.666666666666667	0.113906250000000	0
23000		0.40371	0.23582	0.52360	0.32458	0.147789188003540	0.666666666666667	0.113906250000000	0
23500		0.40255	0.23613	0.52395	0.32487	0.147789188003540	0.666666666666667	0.113906250000000	0
24000		0.40273	0.23562	0.52395	0.32489	0.147789188003540	0.666666666666667	0.113906250000000	0
24500		0.40116	0.23433	0.52460	0.32499	0.147789188003540	0.666666666666667	0.113906250000000	0
25000		0.40137	0.23404	0.52427	0.32499	0.147789188003540	0.666666666666667	0.113906250000000	0
25500		0.40067	0.23340	0.52436	0.32506	0.147789188003540	0.666666666666667	0.113906250000000	0
26000		0.40082	0.23310	0.52387	0.32500	0.147789188003540	0.666666666666667	0.113906250000000	0
26500		0.40029	0.23254	0.52306	0.32511	0.147789188003540	0.666666666666667	0.113906250000000	0
27000		0.39939	0.23226	0.52371	0.32522	0.147789188003540	0.666666666666667	0.113906250000000	0
27500		0.39946	0.23215	0.52371	0.32523	0.147789188003540	0.666666666666667	0.113906250000000	0
28000		0.39947	0.23138	0.52376	0.32541	0.147789188003540	0.666666666666667	0.113906250000000	0
28500		0.39923	0.23118	0.52337	0.32542	0.147789188003540	0.666666666666667	0.113906250000000	0
29000		0.39850	0.23053	0.52369	0.32555	0.147789188003540	0.666666666666667	0.113906250000000	0
29500		0.39834	0.23097	0.52336	0.32567	0.147789188003540	0.666666666666667	0.113906250000000	0
30000		0.39790	0.23051	0.52370	0.32586	0.147789188003540	0.666666666666667	0.113906250000000	0
30500		0.39726	0.22990	0.52436	0.32602	0.147789188003540	0.666666666666667	0.113906250000000	0
31000		0.39755	0.22941	0.52418	0.32606	0.147789188003540	0.666666666666667	0.113906250000000	0
31500		0.39693	0.22877	0.52505	0.32614	0.147789188003540	0.666666666666667	0.113906250000000	0
32000		0.39657	0.22848	0.52531	0.32624	0.147789188003540	0.666666666666667	0.113906250000000	0
32500		0.39685	0.22816	0.52617	0.32630	0.147789188003540	0.666666666666667	0.113906250000000	0
33000		0.39675	0.22822	0.52660	0.32640	0.147789188003540	0.666666666666667	0.113906250000000	0
33500		0.39612	0.22791	0.52695	0.32642	0.147789188003540	0.666666666666667	0.113906250000000	0
34000		0.39644	0.22818	0.52697	0.32656	0.147789188003540	0.666666666666667	0.113906250000000	0
34500		0.39647	0.22765	0.52724	0.32659	0.147789188003540	0.666666666666667	0.113906250000000	0
35000		0.39700	0.22730	0.52709	0.32662	0.147789188003540	0.666666666666667	0.113906250000000	0
35500		0.39694	0.22729	0.52732	0.32667	0.147789188003540	0.666666666666667	0.113906250000000	0
36000		0.39748	0.22738	0.52712	0.32669	0.147789188003540	0.666666666666667	0.113906250000000	0
36500		0.39695	0.22708	0.52737	0.32675	0.147789188003540	0.666666666666667	0.113906250000000	0
37000		0.39714	0.22707	0.52656	0.32678	0.147789188003540	0.666666666666667	0.113906250000000	0
37500		0.39670	0.22697	0.52661	0.32669	0.147789188003540	0.666666666666667	0.113906250000000	0
38000		0.39693	0.22696	0.52646	0.32666	0.147789188003540	0.666666666666667	0.113906250000000	0
38500		0.39681	0.22689	0.52704	0.32676	0.147789188003540	0.666666666666667	0.113906250000000	0
39000		0.39660	0.22662	0.52744	0.32674	0.147789188003540	0.666666666666667	0.113906250000000	0
39500		0.39728	0.22687	0.52732	0.32685	0.147789188003540	0.666666666666667	0.113906250000000	0
40000		0.39729	0.22658	0.52778	0.32694	0.147789188003540	0.666666666666667	0.113906250000000	0
40500		0.39695	0.22620	0.52757	0.32701	0.147789188003540	0.666666666666667	0.113906250000000	0
41000		0.39631	0.22580	0.52766	0.32703	0.147789188003540	0.666666666666667	0.113906250000000	0
41500		0.39622	0.22585	0.52727	0.32695	0.147789188003540	0.666666666666667	0.113906250000000	0
42000		0.39582	0.22518	0.52715	0.32700	0.147789188003540	0.666666666666667	0.113906250000000	0
42500		0.39546	0.22493	0.52673	0.32706	0.147789188003540	0.666666666666667	0.113906250000000	0
43000		0.39576	0.22461	0.52695	0.32714	0.147789188003540	0.666666666666667	0.113906250000000	0
43500		0.39580	0.22460	0.52681	0.32717	0.147789188003540	0.666666666666667	0.113906250000000	0
44000		0.39543	0.22418	0.52693	0.32719	0.147789188003540	0.666666666666667	0.113906250000000	0
44500		0.39535	0.22436	0.52593	0.32714	0.147789188003540	0.666666666666667	0.113906250000000	0
45000		0.39550	0.22434	0.52571	0.32711	0.147789188003540	0.666666666666667	0.113906250000000	0
45500		0.39537	0.22393	0.52612	0.32716	0.147789188003540	0.666666666666667	0.113906250000000	0
46000		0.39576	0.22385	0.52628	0.32707	0.147789188003540	0.666666666666667	0.113906250000000	0
46500		0.39576	0.22383	0.52632	0.32703	0.147789188003540	0.666666666666667	0.113906250000000	0
47000		0.39582	0.22376	0.52677	0.32713	0.147789188003540	0.666666666666667	0.113906250000000	0
47500		0.39561	0.22398	0.52730	0.32720	0.147789188003540	0.666666666666667	0.113906250000000	0
48000		0.39536	0.22379	0.52769	0.32730	0.147789188003540	0.666666666666667	0.113906250000000	0
48500		0.39537	0.22346	0.52743	0.32728	0.147789188003540	0.666666666666667	0.113906250000000	0
49000		0.39525	0.22324	0.52752	0.32732	0.147789188003540	0.666666666666667	0.113906250000000	0
49500		0.39511	0.22292	0.52759	0.32738	0.147789188003540	0.666666666666667	0.113906250000000	0
50000		0.39534	0.22293	0.52781	0.32744	0.147789188003540	0.666666666666667	0.113906250000000	0
50500		0.39518	0.22296	0.52796	0.32752	0.147789188003540	0.666666666666667	0.113906250000000	0
51000		0.39524	0.22253	0.52819	0.32751	0.147789188003540	0.666666666666667	0.113906250000000	0
51500		0.39529	0.22233	0.52810	0.32744	0.147789188003540	0.666666666666667	0.113906250000000	0
52000		0.39579	0.22217	0.52778	0.32740	0.147789188003540	0.666666666666667	0.113906250000000	0
52500		0.39572	0.22225	0.52770	0.32741	0.147789188003540	0.666666666666667	0.113906250000000	0
53000		0.39559	0.22183	0.52822	0.32741	0.147789188003540	0.666666666666667	0.113906250000000	0
53500		0.39553	0.22147	0.52887	0.32749	0.147789188003540	0.666666666666667	0.113906250000000	0
54000		0.39496	0.22125	0.52873	0.32749	0.147789188003540	0.666666666666667	0.113906250000000	0
54500		0.39519	0.22117	0.52878	0.32753	0.147789188003540	0.666666666666667	0.113906250000000	0
55000		0.39526	0.22117	0.52927	0.32745	0.147789188003540	0.666666666666667	0.113906250000000	0
55500		0.39538	0.22116	0.52947	0.32754	0.147789188003540	0.666666666666667	0.113906250000000	0
56000		0.39517	0.22123	0.52915	0.32751	0.147789188003540	0.666666666666667	0.113906250000000	0
56500		0.39531	0.22109	0.52892	0.32755	0.147789188003540	0.666666666666667	0.113906250000000	0
57000		0.39508	0.22124	0.52906	0.32755	0.147789188003540	0.666666666666667	0.113906250000000	0
57500		0.39532	0.22126	0.52897	0.32756	0.147789188003540	0.666666666666667	0.113906250000000	0
58000		0.39582	0.22127	0.52905	0.32756	0.147789188003540	0.666666666666667	0.113906250000000	0
58500		0.39556	0.22131	0.52903	0.32751	0.147789188003540	0.666666666666667	0.113906250000000	0
59000		0.39536	0.22137	0.52898	0.32756	0.147789188003540	0.666666666666667	0.113906250000000	0
59500		0.39519	0.22119	0.52919	0.32757	0.147789188003540	0.666666666666667	0.113906250000000	0
60000		0.39527	0.22106	0.52928	0.32764	0.147789188003540	0.666666666666667	0.113906250000000	0
60500		0.39518	0.22115	0.52920	0.32765	0.147789188003540	0.666666666666667	0.113906250000000	0
61000		0.39531	0.22104	0.52941	0.32767	0.147789188003540	0.666666666666667	0.113906250000000	0
61500		0.39549	0.22126	0.52903	0.32772	0.147789188003540	0.666666666666667	0.113906250000000	0
62000		0.39542	0.22117	0.52919	0.32773	0.147789188003540	0.666666666666667	0.113906250000000	0
62500		0.39564	0.22094	0.52879	0.32773	0.147789188003540	0.666666666666667	0.113906250000000	0
63000		0.39533	0.22067	0.52920	0.32776	0.147789188003540	0.666666666666667	0.113906250000000	0
63500		0.39567	0.22075	0.52939	0.32776	0.147789188003540	0.666666666666667	0.113906250000000	0
64000		0.39540	0.22076	0.52939	0.32771	0.147789188003540	0.666666666666667	0.113906250000000	0
64500		0.39512	0.22059	0.52938	0.32781	0.147789188003540	0.666666666666667	0.113906250000000	0
65000		0.39477	0.22051	0.52939	0.32787	0.147789188003540	0.666666666666667	0.113906250000000	0
65500		0.39457	0.22040	0.52949	0.32788	0.147789188003540	0.666666666666667	0.113906250000000	0
66000		0.39456	0.22037	0.52916	0.32795	0.147789188003540	0.666666666666667	0.113906250000000	0
66500		0.39471	0.22061	0.52929	0.32799	0.147789188003540	0.666666666666667	0.113906250000000	0
67000		0.39491	0.22038	0.52933	0.32792	0.147789188003540	0.666666666666667	0.113906250000000	0
67500		0.39492	0.22039	0.52898	0.32796	0.147789188003540	0.666666666666667	0.113906250000000	0
68000		0.39456	0.22036	0.52886	0.32798	0.147789188003540	0.666666666666667	0.113906250000000	0
68500		0.39496	0.22024	0.52837	0.32798	0.147789188003540	0.666666666666667	0.113906250000000	0
69000		0.39528	0.22026	0.52808	0.32795	0.147789188003540	0.666666666666667	0.113906250000000	0
69500		0.39554	0.22046	0.52830	0.32798	0.147789188003540	0.666666666666667	0.113906250000000	0
70000		0.39567	0.22052	0.52818	0.32797	0.147789188003540	0.666666666666667	0.113906250000000	0
70500		0.39589	0.22076	0.52807	0.32792	0.147789188003540	0.666666666666667	0.113906250000000	0
71000		0.39573	0.22082	0.52826	0.32794	0.147789188003540	0.666666666666667	0.113906250000000	0
71500		0.39602	0.22085	0.52819	0.32795	0.147789188003540	0.666666666666667	0.113906250000000	0
72000		0.39579	0.22064	0.52829	0.32804	0.147789188003540	0.666666666666667	0.113906250000000	0
72500		0.39587	0.22058	0.52830	0.32800	0.147789188003540	0.666666666666667	0.113906250000000	0
73000		0.39595	0.22051	0.52843	0.32799	0.147789188003540	0.666666666666667	0.113906250000000	0
