step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37559	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94400	0.37039	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.89600	0.37175	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.83200	0.37291	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.78400	0.37045	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.66400	0.36641	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.55400	0.36135	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.43200	0.35813	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.41800	0.35563	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.42667	0.35455	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.41800	0.35213	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.41040	0.34967	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.40133	0.34791	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.39743	0.34594	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.39375	0.34402	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.39000	0.34245	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.39040	0.34160	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.38909	0.34061	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.38300	0.33978	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.38369	0.33894	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.38457	0.33844	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.38293	0.33801	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.38512	0.33755	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.38706	0.33755	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.38644	0.33701	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.38726	0.33667	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.38470	0.33621	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.38514	0.33598	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.38655	0.33605	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.38643	0.33560	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.38767	0.33531	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.38624	0.33518	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.38515	0.33513	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.38622	0.33488	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.38507	0.33474	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.38441	0.33426	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.38520	0.33417	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.38419	0.33377	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.38394	0.33375	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.38430	0.33358	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.38471	0.33345	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.38314	0.33288	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.38222	0.33235	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.38130	0.33207	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.38037	0.33178	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.38087	0.33154	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.38120	0.33160	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.38088	0.33135	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.38086	0.33097	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.37916	0.33065	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.37855	0.33039	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.37871	0.33035	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.37843	0.33040	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.37723	0.32999	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.37675	0.32988	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.37600	0.32961	0.000150000000000	1.000000000000000	0.170859375000000	0
