step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.40849	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.92200	0.40047	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.93200	0.39573	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81600	0.39476	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.80600	0.39181	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.73800	0.39025	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.56200	0.38751	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.46600	0.38612	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.45800	0.38408	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.45000	0.38377	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.44800	0.38253	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.44440	0.38104	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.45233	0.37981	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.44314	0.37817	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.43850	0.37790	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.43822	0.37756	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.43960	0.37738	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.43745	0.37693	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.43683	0.37677	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.43831	0.37638	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.43757	0.37586	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.43947	0.37550	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.43700	0.37554	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.43753	0.37545	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.43800	0.37535	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.43747	0.37516	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.43730	0.37497	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.43695	0.37461	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.43355	0.37405	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.43217	0.37380	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.43175	0.37349	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.43024	0.37330	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.42962	0.37330	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.42719	0.37315	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.42764	0.37288	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.42717	0.37288	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.42620	0.37245	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.42568	0.37220	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.42500	0.37192	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.42570	0.37183	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.42459	0.37156	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.42423	0.37133	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.42506	0.37114	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.42557	0.37122	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.42589	0.37132	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.42610	0.37132	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.42670	0.37128	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.42561	0.37110	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.42505	0.37124	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.42526	0.37117	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.42600	0.37103	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.42569	0.37080	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.42613	0.37052	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.42655	0.37051	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.42629	0.37044	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.42637	0.37023	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.42648	0.37031	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.42620	0.37031	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.42627	0.37023	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.42626	0.37029	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.42674	0.37033	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.42571	0.37025	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.42539	0.37005	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.42432	0.36992	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.42410	0.36997	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.42410	0.36982	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.42437	0.36972	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.42426	0.36966	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.42439	0.36955	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.42448	0.36952	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.42444	0.36949	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.42412	0.36933	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.42418	0.36931	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.42388	0.36928	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.42376	0.36911	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.42403	0.36909	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.42371	0.36905	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.42315	0.36906	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.42278	0.36907	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.42258	0.36899	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.42241	0.36897	0.000150000000000	1.000000000000000	0.170859375000000	0
41000		-nan	-nan	0.42205	0.36896	0.000150000000000	1.000000000000000	0.170859375000000	0
41500		-nan	-nan	0.42192	0.36899	0.000150000000000	1.000000000000000	0.170859375000000	0
42000		-nan	-nan	0.42161	0.36893	0.000150000000000	1.000000000000000	0.170859375000000	0
42500		-nan	-nan	0.42126	0.36873	0.000150000000000	1.000000000000000	0.170859375000000	0
43000		-nan	-nan	0.42116	0.36855	0.000150000000000	1.000000000000000	0.170859375000000	0
43500		-nan	-nan	0.42095	0.36848	0.000150000000000	1.000000000000000	0.170859375000000	0
44000		-nan	-nan	0.42089	0.36853	0.000150000000000	1.000000000000000	0.170859375000000	0
44500		-nan	-nan	0.42100	0.36858	0.000150000000000	1.000000000000000	0.170859375000000	0
45000		-nan	-nan	0.42137	0.36865	0.000150000000000	1.000000000000000	0.170859375000000	0
45500		-nan	-nan	0.42160	0.36871	0.000150000000000	1.000000000000000	0.170859375000000	0
46000		-nan	-nan	0.42181	0.36874	0.000150000000000	1.000000000000000	0.170859375000000	0
46500		-nan	-nan	0.42181	0.36882	0.000150000000000	1.000000000000000	0.170859375000000	0
47000		-nan	-nan	0.42170	0.36877	0.000150000000000	1.000000000000000	0.170859375000000	0
47500		-nan	-nan	0.42152	0.36873	0.000150000000000	1.000000000000000	0.170859375000000	0
48000		-nan	-nan	0.42169	0.36865	0.000150000000000	1.000000000000000	0.170859375000000	0
48500		-nan	-nan	0.42147	0.36859	0.000150000000000	1.000000000000000	0.170859375000000	0
49000		-nan	-nan	0.42193	0.36860	0.000150000000000	1.000000000000000	0.170859375000000	0
49500		-nan	-nan	0.42180	0.36854	0.000150000000000	1.000000000000000	0.170859375000000	0
50000		-nan	-nan	0.42189	0.36859	0.000150000000000	1.000000000000000	0.170859375000000	0
50500		-nan	-nan	0.42162	0.36857	0.000150000000000	1.000000000000000	0.170859375000000	0
51000		-nan	-nan	0.42160	0.36864	0.000150000000000	1.000000000000000	0.170859375000000	0
51500		-nan	-nan	0.42173	0.36864	0.000150000000000	1.000000000000000	0.170859375000000	0
52000		-nan	-nan	0.42159	0.36868	0.000150000000000	1.000000000000000	0.170859375000000	0
52500		-nan	-nan	0.42190	0.36873	0.000150000000000	1.000000000000000	0.170859375000000	0
53000		-nan	-nan	0.42190	0.36871	0.000150000000000	1.000000000000000	0.170859375000000	0
53500		-nan	-nan	0.42150	0.36856	0.000150000000000	1.000000000000000	0.170859375000000	0
54000		-nan	-nan	0.42154	0.36856	0.000150000000000	1.000000000000000	0.170859375000000	0
54500		-nan	-nan	0.42165	0.36852	0.000150000000000	1.000000000000000	0.170859375000000	0
55000		-nan	-nan	0.42190	0.36852	0.000150000000000	1.000000000000000	0.170859375000000	0
55500		-nan	-nan	0.42212	0.36857	0.000150000000000	1.000000000000000	0.170859375000000	0
56000		-nan	-nan	0.42215	0.36859	0.000150000000000	1.000000000000000	0.170859375000000	0
56500		-nan	-nan	0.42219	0.36854	0.000150000000000	1.000000000000000	0.170859375000000	0
57000		-nan	-nan	0.42217	0.36863	0.000150000000000	1.000000000000000	0.170859375000000	0
57500		-nan	-nan	0.42180	0.36858	0.000150000000000	1.000000000000000	0.170859375000000	0
58000		-nan	-nan	0.42218	0.36856	0.000150000000000	1.000000000000000	0.170859375000000	0
58500		-nan	-nan	0.42204	0.36851	0.000150000000000	1.000000000000000	0.170859375000000	0
59000		-nan	-nan	0.42216	0.36841	0.000150000000000	1.000000000000000	0.170859375000000	0
59500		-nan	-nan	0.42232	0.36838	0.000150000000000	1.000000000000000	0.170859375000000	0
60000		-nan	-nan	0.42260	0.36837	0.000150000000000	1.000000000000000	0.170859375000000	0
60500		-nan	-nan	0.42232	0.36840	0.000150000000000	1.000000000000000	0.170859375000000	0
61000		-nan	-nan	0.42245	0.36837	0.000150000000000	1.000000000000000	0.170859375000000	0
61500		-nan	-nan	0.42252	0.36835	0.000150000000000	1.000000000000000	0.170859375000000	0
62000		-nan	-nan	0.42270	0.36832	0.000150000000000	1.000000000000000	0.170859375000000	0
62500		-nan	-nan	0.42254	0.36829	0.000150000000000	1.000000000000000	0.170859375000000	0
63000		-nan	-nan	0.42245	0.36824	0.000150000000000	1.000000000000000	0.170859375000000	0
63500		-nan	-nan	0.42245	0.36827	0.000150000000000	1.000000000000000	0.170859375000000	0
64000		-nan	-nan	0.42226	0.36825	0.000150000000000	1.000000000000000	0.170859375000000	0
64500		-nan	-nan	0.42256	0.36816	0.000150000000000	1.000000000000000	0.170859375000000	0
65000		-nan	-nan	0.42257	0.36805	0.000150000000000	1.000000000000000	0.170859375000000	0
65500		-nan	-nan	0.42255	0.36790	0.000150000000000	1.000000000000000	0.170859375000000	0
66000		-nan	-nan	0.42245	0.36790	0.000150000000000	1.000000000000000	0.170859375000000	0
66500		-nan	-nan	0.42227	0.36787	0.000150000000000	1.000000000000000	0.170859375000000	0
67000		-nan	-nan	0.42222	0.36781	0.000150000000000	1.000000000000000	0.170859375000000	0
67500		-nan	-nan	0.42236	0.36778	0.000150000000000	1.000000000000000	0.170859375000000	0
68000		-nan	-nan	0.42253	0.36781	0.000150000000000	1.000000000000000	0.170859375000000	0
68500		-nan	-nan	0.42252	0.36780	0.000150000000000	1.000000000000000	0.170859375000000	0
69000		-nan	-nan	0.42289	0.36792	0.000150000000000	1.000000000000000	0.170859375000000	0
69500		-nan	-nan	0.42320	0.36797	0.000150000000000	1.000000000000000	0.170859375000000	0
70000		-nan	-nan	0.42344	0.36810	0.000150000000000	1.000000000000000	0.170859375000000	0
70500		-nan	-nan	0.42337	0.36806	0.000150000000000	1.000000000000000	0.170859375000000	0
71000		-nan	-nan	0.42316	0.36809	0.000150000000000	1.000000000000000	0.170859375000000	0
71500		-nan	-nan	0.42306	0.36812	0.000150000000000	1.000000000000000	0.170859375000000	0
72000		-nan	-nan	0.42292	0.36810	0.000150000000000	1.000000000000000	0.170859375000000	0
72500		-nan	-nan	0.42280	0.36811	0.000150000000000	1.000000000000000	0.170859375000000	0
73000		-nan	-nan	0.42255	0.36808	0.000150000000000	1.000000000000000	0.170859375000000	0
73500		-nan	-nan	0.42243	0.36805	0.000150000000000	1.000000000000000	0.170859375000000	0
74000		-nan	-nan	0.42235	0.36806	0.000150000000000	1.000000000000000	0.170859375000000	0
74500		-nan	-nan	0.42246	0.36814	0.000150000000000	1.000000000000000	0.170859375000000	0
75000		-nan	-nan	0.42278	0.36818	0.000150000000000	1.000000000000000	0.170859375000000	0
75500		-nan	-nan	0.42278	0.36818	0.000150000000000	1.000000000000000	0.170859375000000	0
76000		-nan	-nan	0.42254	0.36820	0.000150000000000	1.000000000000000	0.170859375000000	0
76500		-nan	-nan	0.42248	0.36820	0.000150000000000	1.000000000000000	0.170859375000000	0
77000		-nan	-nan	0.42282	0.36819	0.000150000000000	1.000000000000000	0.170859375000000	0
77500		-nan	-nan	0.42276	0.36814	0.000150000000000	1.000000000000000	0.170859375000000	0
78000		-nan	-nan	0.42283	0.36815	0.000150000000000	1.000000000000000	0.170859375000000	0
78500		-nan	-nan	0.42272	0.36820	0.000150000000000	1.000000000000000	0.170859375000000	0
79000		-nan	-nan	0.42258	0.36821	0.000150000000000	1.000000000000000	0.170859375000000	0
79500		-nan	-nan	0.42243	0.36819	0.000150000000000	1.000000000000000	0.170859375000000	0
80000		-nan	-nan	0.42239	0.36815	0.000150000000000	1.000000000000000	0.170859375000000	0
80500		-nan	-nan	0.42229	0.36809	0.000150000000000	1.000000000000000	0.170859375000000	0
81000		-nan	-nan	0.42192	0.36799	0.000150000000000	1.000000000000000	0.170859375000000	0
81500		-nan	-nan	0.42197	0.36794	0.000150000000000	1.000000000000000	0.170859375000000	0
82000		-nan	-nan	0.42175	0.36789	0.000150000000000	1.000000000000000	0.170859375000000	0
82500		-nan	-nan	0.42197	0.36788	0.000150000000000	1.000000000000000	0.170859375000000	0
83000		-nan	-nan	0.42192	0.36786	0.000150000000000	1.000000000000000	0.170859375000000	0
83500		-nan	-nan	0.42191	0.36783	0.000150000000000	1.000000000000000	0.170859375000000	0
84000		-nan	-nan	0.42196	0.36777	0.000150000000000	1.000000000000000	0.170859375000000	0
84500		-nan	-nan	0.42209	0.36776	0.000150000000000	1.000000000000000	0.170859375000000	0
85000		-nan	-nan	0.42238	0.36781	0.000150000000000	1.000000000000000	0.170859375000000	0
85500		-nan	-nan	0.42248	0.36783	0.000150000000000	1.000000000000000	0.170859375000000	0
86000		-nan	-nan	0.42256	0.36791	0.000150000000000	1.000000000000000	0.170859375000000	0
86500		-nan	-nan	0.42239	0.36791	0.000150000000000	1.000000000000000	0.170859375000000	0
87000		-nan	-nan	0.42247	0.36792	0.000150000000000	1.000000000000000	0.170859375000000	0
87500		-nan	-nan	0.42242	0.36791	0.000150000000000	1.000000000000000	0.170859375000000	0
88000		-nan	-nan	0.42271	0.36792	0.000150000000000	1.000000000000000	0.170859375000000	0
88500		-nan	-nan	0.42254	0.36795	0.000150000000000	1.000000000000000	0.170859375000000	0
89000		-nan	-nan	0.42235	0.36798	0.000150000000000	1.000000000000000	0.170859375000000	0
89500		-nan	-nan	0.42220	0.36799	0.000150000000000	1.000000000000000	0.170859375000000	0
90000		-nan	-nan	0.42224	0.36804	0.000150000000000	1.000000000000000	0.170859375000000	0
90500		-nan	-nan	0.42226	0.36802	0.000150000000000	1.000000000000000	0.170859375000000	0
91000		-nan	-nan	0.42216	0.36801	0.000150000000000	1.000000000000000	0.170859375000000	0
91500		-nan	-nan	0.42199	0.36798	0.000150000000000	1.000000000000000	0.170859375000000	0
92000		-nan	-nan	0.42201	0.36794	0.000150000000000	1.000000000000000	0.170859375000000	0
92500		-nan	-nan	0.42198	0.36793	0.000150000000000	1.000000000000000	0.170859375000000	0
93000		-nan	-nan	0.42187	0.36792	0.000150000000000	1.000000000000000	0.170859375000000	0
93500		-nan	-nan	0.42204	0.36792	0.000150000000000	1.000000000000000	0.170859375000000	0
94000		-nan	-nan	0.42203	0.36788	0.000150000000000	1.000000000000000	0.170859375000000	0
94500		-nan	-nan	0.42202	0.36783	0.000150000000000	1.000000000000000	0.170859375000000	0
95000		-nan	-nan	0.42189	0.36776	0.000150000000000	1.000000000000000	0.170859375000000	0
95500		-nan	-nan	0.42186	0.36774	0.000150000000000	1.000000000000000	0.170859375000000	0
96000		-nan	-nan	0.42176	0.36770	0.000150000000000	1.000000000000000	0.170859375000000	0
96500		-nan	-nan	0.42197	0.36768	0.000150000000000	1.000000000000000	0.170859375000000	0
97000		-nan	-nan	0.42199	0.36767	0.000150000000000	1.000000000000000	0.170859375000000	0
97500		-nan	-nan	0.42187	0.36767	0.000150000000000	1.000000000000000	0.170859375000000	0
98000		-nan	-nan	0.42188	0.36764	0.000150000000000	1.000000000000000	0.170859375000000	0
98500		-nan	-nan	0.42206	0.36764	0.000150000000000	1.000000000000000	0.170859375000000	0
99000		-nan	-nan	0.42199	0.36764	0.000150000000000	1.000000000000000	0.170859375000000	0
99500		-nan	-nan	0.42196	0.36765	0.000150000000000	1.000000000000000	0.170859375000000	0
100000		-nan	-nan	0.42191	0.36761	0.000150000000000	1.000000000000000	0.170859375000000	0
