step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37798	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.89600	0.36753	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.87600	0.35710	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.82200	0.35125	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.79400	0.34780	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.65800	0.34568	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.53000	0.34344	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.39800	0.34220	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.39700	0.34151	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.40067	0.33957	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.40050	0.33863	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.40880	0.33819	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.40633	0.33799	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.41057	0.33718	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.40825	0.33656	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.40889	0.33637	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.40520	0.33587	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.40436	0.33508	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.40483	0.33502	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.40215	0.33454	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.40614	0.33431	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.40640	0.33430	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.40750	0.33405	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.40694	0.33390	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.40700	0.33404	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.40674	0.33371	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.40910	0.33365	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.40848	0.33359	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.41064	0.33380	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.40930	0.33345	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.40858	0.33338	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.41064	0.33346	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.40938	0.33334	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.40874	0.33313	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.40850	0.33289	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.40938	0.33264	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.40860	0.33294	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.40974	0.33288	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.41063	0.33297	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.41145	0.33267	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.41147	0.33264	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.41029	0.33268	0.000150000000000	1.000000000000000	0.170859375000000	0
