step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-1314.831205970520841	-1313.369123886001944	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.843574649287502	0	1	3	3	2	3	5	7	4	5	5	6	6	8	6	6	7	6	7	7	8	10	9	8	9	9	10	10	11	11	11	11	11	11	12	14	13	14	13	15	15	15	14	15	16	17	16	17	16	18	17	18	18	18	18	19	20	20	20	20	22	22	23	22	24	24	26	24	27	26	28	27	29	28	31	32	32	32	32	34	33	36	38	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	4	2	3	3	3	3	4	3	3	4	3	4	4	4	5	5	4	5	5	5	5	6	6	6	6	6	6	6	7	7	7	7	8	8	8	7	8	8	9	8	9	8	9	9	9	9	9	9	10	10	10	10	10	11	11	12	11	12	12	13	12	14	13	14	14	15	14	16	16	16	16	16	17	17	18	19
500	-1204.168840645317232	-1202.008809486199652	-2.160031159117477	0.000009998124082	0.000027667117983	2.767230907961058	0.223244810361706	1	2	3	2	3	2	5	7	4	5	5	5	6	8	6	5	7	7	7	7	9	10	10	8	6	9	10	11	9	10	12	11	10	12	11	12	14	13	13	15	15	14	14	14	17	17	17	18	17	19	17	18	19	18	18	19	17	20	21	20	21	21	22	21	24	23	27	24	26	26	28	28	29	28	31	33	32	32	32	35	34	34	39	0	1	1	1	2	1	2	13	1	1	1	1	10	1	7	1	13	1	1	1	16	1	4	18	12	12	1	16	5	12	23	1	1	13	3	35	25	1	5	27	32	1	1	1	25	1	31	25	5	44	36	37	28	33	46	14	5	12	1	1	5	5	21	15	1	1	33	37	57	17	62	58	43	14	45	62	1	57	73	62	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	1	4	1	1	1	3	2	3	2	4	5	1	1	2	4	3	4	1	1	4	6	5	5	1	5	7	6	2	2	8	10	4	5	8	3	8	7	3	2	1	3	4	1	7	6	12	10	9	9	9	5	8	11	6	11	6	7	9	3	5	8	13	9	7	15	13	1	7	14	12	14
1000	-744.155862220969652	-742.667396808582566	-1.488465412387054	0.000010028258837	0.000010745166219	1.071488719450560	0.228711507859187	1	2	3	4	2	4	6	8	5	5	4	7	6	8	7	6	8	6	7	7	9	11	7	8	9	9	11	11	11	11	10	10	12	11	12	14	13	15	10	15	15	15	13	14	16	18	16	17	16	18	17	18	18	19	16	19	18	19	20	20	21	21	22	22	25	23	26	25	28	26	28	28	27	28	32	32	33	32	33	34	33	37	37	0	1	5	5	1	5	5	16	1	1	1	5	3	6	2	5	11	1	5	5	16	1	1	5	5	5	1	24	1	1	19	5	8	5	25	30	25	17	1	3	28	5	30	1	32	38	1	1	30	38	37	49	23	37	19	1	5	35	5	25	45	1	38	57	38	27	8	47	64	40	67	44	5	62	57	69	5	57	67	53	62	1	57	1	1	1	1	1	1	2	1	2	2	1	3	1	2	3	2	2	2	3	2	1	4	4	3	3	2	6	2	5	3	2	4	1	6	2	1	2	4	2	7	2	6	1	7	2	2	6	8	2	1	2	1	9	2	3	6	8	4	10	6	2	9	4	2	7	7	11	6	3	5	2	6	11	5	10	2	12	10	3	9	8	16	8
1500	-918.897728213197183	-917.333869152552211	-1.563859060645008	0.000010056375356	0.000012708058659	1.263681814710667	0.297158181754336	0	2	2	2	1	3	6	7	5	6	5	5	6	8	5	6	8	6	7	8	9	7	9	8	9	10	11	10	10	11	12	9	11	11	11	14	13	14	13	16	14	14	14	15	17	16	17	17	17	17	17	18	15	18	18	19	20	20	20	18	22	22	23	22	23	25	26	25	27	25	27	28	29	27	31	33	31	31	33	35	34	36	37	0	1	1	1	1	5	5	9	5	5	1	3	9	8	6	3	7	1	5	16	16	1	15	18	15	15	1	19	17	13	19	11	16	5	17	39	1	1	35	30	24	10	25	25	25	16	42	37	37	35	28	13	13	19	41	1	1	40	44	1	45	11	52	57	54	57	62	65	62	1	68	59	57	57	62	70	5	57	68	52	62	1	78	1	1	1	1	1	2	2	1	2	3	2	2	1	1	1	2	1	3	2	1	1	3	3	1	2	3	5	2	1	4	3	3	3	5	2	1	7	5	2	2	4	4	2	2	4	8	3	2	2	3	4	5	2	6	1	10	11	1	3	9	4	9	3	1	3	2	2	1	2	11	1	3	5	3	5	3	11	5	6	8	7	16	3
2000	-705.403037936781971	-703.827678680293616	-1.575359256488389	0.000010091410568	0.000013039231526	1.292111884424802	0.322766325601889	1	2	4	4	3	3	6	8	4	6	4	6	6	8	6	4	8	6	7	8	8	9	8	8	8	9	7	10	12	11	12	12	10	11	11	15	13	14	13	15	15	14	14	14	16	17	17	16	16	18	18	18	16	19	19	18	19	21	20	21	20	21	22	22	23	24	27	24	28	26	28	26	29	28	30	31	33	33	31	32	33	37	38	0	1	1	1	1	1	2	15	1	1	1	16	5	1	11	5	27	1	5	1	1	1	4	13	1	5	1	20	22	16	22	26	16	1	5	39	35	33	30	23	29	8	30	37	36	1	23	30	44	24	25	53	1	36	31	1	1	33	51	25	5	11	46	62	46	57	64	64	70	62	62	68	45	62	67	75	50	75	74	69	62	57	81	1	1	2	1	1	1	2	1	1	2	2	1	2	4	1	1	1	2	2	4	3	4	3	1	5	3	4	2	2	6	1	2	4	4	4	1	1	2	1	4	2	3	1	1	1	6	5	2	2	7	4	1	6	2	3	6	10	7	2	8	8	11	2	1	2	2	2	1	1	4	4	1	8	3	2	1	8	2	2	2	4	13	2
2500	-495.997013734982033	-494.616640249965997	-1.380373485016035	0.000010149376665	0.000007404066842	0.729509514392139	0.368434751203855	1	2	4	3	3	3	5	7	5	5	6	6	7	8	6	6	8	5	6	5	8	9	8	7	10	10	9	10	11	11	11	11	10	11	12	15	13	14	12	15	15	15	14	16	17	17	16	15	16	18	17	19	18	18	18	20	21	19	20	21	22	22	23	22	25	25	26	24	26	27	27	26	30	28	31	33	32	32	31	35	33	36	38	0	1	1	1	1	1	1	3	1	1	1	3	6	1	5	1	4	5	1	1	12	5	5	1	1	1	15	10	22	8	7	15	1	1	30	39	35	33	30	31	39	1	30	37	1	38	15	30	30	27	42	45	23	37	46	1	1	45	35	1	5	1	46	57	63	57	64	55	62	67	62	62	57	64	69	78	69	69	51	66	72	1	81	1	1	2	1	1	1	1	2	2	2	2	1	2	4	2	2	2	1	2	2	2	3	2	4	5	4	2	2	1	2	2	3	4	5	1	2	1	2	1	3	2	6	2	1	8	2	7	3	2	4	1	1	6	4	1	10	13	1	3	10	9	6	3	1	1	1	2	2	1	1	2	2	4	4	2	1	5	2	7	4	4	12	3
3000	-727.183280914516217	-725.690859753550171	-1.492421160966049	0.000010052464054	0.000010876221963	1.081945869614468	0.354287528215940	1	2	2	3	3	3	4	8	3	6	5	6	4	9	7	6	7	5	7	7	6	10	10	8	9	8	10	10	11	11	12	11	11	12	12	14	13	13	13	15	15	15	14	15	16	17	17	16	16	18	17	18	18	19	18	20	21	20	18	20	20	21	23	22	24	24	26	24	27	27	28	27	27	28	30	32	32	30	33	34	33	37	38	0	1	1	1	3	1	1	6	1	9	1	3	1	1	7	1	7	1	21	6	1	1	4	13	12	16	3	4	8	25	26	26	25	1	30	39	15	12	21	22	38	13	35	39	36	41	15	2	37	43	44	40	1	42	27	13	1	39	1	37	1	17	33	62	63	57	64	60	62	64	52	45	59	57	69	78	78	57	65	76	78	57	81	1	1	1	1	1	1	2	2	2	3	2	2	1	5	2	4	1	2	1	3	4	4	4	2	2	1	4	4	2	2	1	1	1	5	1	1	4	3	4	2	1	5	1	2	1	1	3	5	2	2	1	2	8	3	3	7	10	3	5	3	7	8	5	1	1	2	2	2	2	3	5	6	3	3	1	2	1	5	4	1	1	9	2
3500	-464.940701662242816	-463.558537741391547	-1.382163920851277	0.000010062986365	0.000007422781160	0.737632039954067	0.312721325495359	1	2	4	3	3	3	4	8	3	5	4	6	4	6	6	6	7	6	7	7	8	10	9	7	8	10	10	10	11	11	12	12	11	12	10	14	14	14	12	16	15	15	14	16	16	16	16	17	16	19	17	19	18	18	18	20	20	20	19	20	22	22	23	23	25	23	26	24	26	24	28	26	28	27	29	32	32	32	33	35	33	36	37	0	1	1	1	1	1	1	15	1	1	1	3	6	1	2	5	14	5	5	1	5	5	9	1	5	3	5	7	1	35	5	1	5	23	1	39	25	1	5	12	36	5	30	37	36	38	1	39	37	51	28	48	1	46	34	1	1	45	5	48	58	5	1	62	38	57	64	61	57	56	67	57	68	62	69	69	75	62	70	72	78	1	81	1	1	2	2	1	1	1	1	2	2	2	1	1	2	2	1	1	2	2	3	3	3	6	3	3	2	4	3	7	1	4	5	3	2	4	1	3	6	5	5	1	6	2	1	1	1	7	2	2	1	4	1	8	1	2	9	8	3	7	1	1	10	11	1	5	2	1	1	4	2	2	2	2	2	2	2	2	6	4	4	1	15	3
4000	-702.160816790027525	-700.674448606860437	-1.486368183167123	0.000010992365047	0.000011716988039	1.065920572038806	0.291033687239233	1	2	4	3	2	4	5	7	5	5	4	5	4	7	6	6	7	5	6	7	6	10	9	8	9	10	9	9	10	11	11	11	11	11	13	15	13	15	13	15	16	15	15	16	15	17	17	17	17	19	17	19	16	18	17	19	21	20	21	21	22	19	24	22	24	23	27	23	26	26	28	28	29	28	30	31	31	32	33	35	33	34	36	0	1	1	1	1	5	5	6	5	5	1	3	2	6	7	1	1	5	1	1	1	5	5	18	3	13	1	13	1	1	9	1	28	8	7	39	30	28	5	4	18	13	1	5	30	32	1	35	43	36	27	47	5	31	36	5	1	36	28	48	58	5	38	62	46	57	59	64	62	5	67	67	46	70	69	69	5	62	74	73	78	1	81	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	2	3	3	2	4	3	4	3	1	2	3	3	2	5	4	3	6	1	3	4	1	2	4	5	4	4	6	7	5	2	4	8	2	1	2	5	1	4	3	1	7	9	3	10	2	2	5	7	1	4	1	6	1	3	12	1	1	6	1	2	3	9	8	3	4	1	7	2
4500	-744.121631003122843	-742.745640878708741	-1.375990124414106	0.000013086328946	0.000009269338433	0.708322285857665	0.317787467055866	1	2	4	3	3	4	5	6	4	5	5	5	6	8	6	6	6	5	7	8	8	10	9	8	6	8	11	10	11	12	11	11	10	11	11	14	13	14	13	15	15	15	14	16	16	16	15	16	16	17	16	17	18	17	17	19	20	17	19	20	23	23	24	22	23	24	26	25	27	26	28	28	29	28	30	33	33	32	33	34	33	35	39	0	1	1	1	1	1	1	9	1	5	5	5	2	1	9	1	18	1	5	5	1	13	9	1	1	1	1	3	5	25	3	26	12	1	1	33	5	5	1	36	10	1	5	37	21	38	9	43	37	8	27	15	42	23	45	50	29	39	43	50	50	27	5	57	38	64	57	45	52	1	67	70	70	62	69	69	69	69	58	70	78	76	81	1	1	2	2	1	2	2	1	2	1	1	2	2	3	1	2	1	3	2	2	3	3	2	4	3	4	5	2	6	5	4	2	4	5	4	3	4	4	6	1	6	5	4	3	5	1	3	1	2	7	2	6	1	5	1	2	7	2	4	2	4	8	9	1	4	1	2	5	8	14	1	2	2	3	1	4	3	4	8	3	1	2	4
