step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100
1	-3634.675458385033835	-3633.213376300514938	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.614819754025589	-1	1	0	2	3	3	4	3	5	5	6	6	6	6	7	6	7	7	7	7	6	8	8	10	10	9	9	10	9	10	9	9	9	11	10	12	12	12	12	12	13	14	13	13	12	13	14	14	16	16	14	15	15	17	16	17	16	17	17	17	18	19	18	19	18	18	19	19	20	19	20	19	21	23	22	22	24	26	27	28	27	30	33	33	33	35	33	34	34	34	33	35	34	36	39	35	35	37	38	42	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	3	3	4	4	4	4	4	4	4	4	4	4	4	5	5	6	6	5	5	6	5	6	5	5	5	6	6	7	7	7	7	7	7	8	7	7	7	7	8	8	9	9	8	8	8	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	11	10	11	10	11	12	12	12	13	14	14	15	14	16	17	17	17	18	17	18	18	18	17	18	18	19	20	18	18	19	20	22
500	-1160.445793765947428	-1158.492713131857954	-1.953080634089413	0.000009995655829	0.000022199796660	2.220944482347733	0.245943332101238	-1	1	1	2	4	4	4	3	5	2	5	6	5	6	8	7	7	4	8	8	4	9	9	10	11	10	9	11	9	9	8	9	10	11	10	12	12	12	12	12	13	15	14	14	11	14	14	13	16	16	14	15	14	17	15	15	16	17	17	16	18	20	18	20	16	15	19	20	20	18	21	20	22	21	22	19	24	26	28	28	28	31	33	33	33	36	32	34	35	34	33	36	35	36	40	36	35	37	39	43	0	1	1	2	4	2	2	4	10	1	21	3	6	13	4	9	10	10	12	11	8	12	31	18	15	11	31	15	18	21	5	18	15	11	23	26	9	18	31	19	25	41	29	45	32	27	26	8	43	31	18	44	37	18	22	13	29	38	25	24	6	65	57	67	8	14	29	58	48	56	45	34	66	48	33	4	66	48	66	76	66	44	77	32	80	76	77	76	65	66	76	65	77	80	65	66	29	0	76	9	1	1	1	1	1	2	1	1	1	2	1	3	1	1	3	1	3	1	1	2	1	1	1	2	2	2	1	2	3	3	2	4	1	3	1	1	2	4	2	2	1	1	3	2	1	3	3	5	1	4	4	1	1	7	3	4	3	2	3	5	6	2	1	1	12	6	6	1	3	2	6	4	3	4	7	10	7	12	9	6	10	8	7	11	3	12	4	12	18	13	11	17	8	5	17	15	12	1	14	20
1000	-1017.158046917031356	-1015.138454518853905	-2.019592398177494	0.000010045167257	0.000024031919264	2.392386174179813	0.228827230593732	-1	1	0	2	3	2	5	3	6	4	5	5	6	6	7	6	6	7	8	8	7	7	9	11	9	8	10	8	9	10	8	9	8	10	11	10	11	13	12	13	14	15	10	14	11	10	14	14	15	16	14	16	14	17	16	17	16	17	17	16	18	19	17	20	15	18	18	18	21	18	21	19	20	23	23	19	21	27	28	28	28	31	34	33	33	36	33	35	35	34	34	35	35	36	40	36	36	38	39	42	0	1	1	2	4	2	8	6	10	1	8	3	6	6	14	10	10	16	18	21	11	12	31	18	15	11	31	17	18	26	4	18	15	9	27	11	46	29	31	20	20	44	18	32	32	31	4	8	16	23	18	32	46	43	48	4	19	51	35	18	56	70	32	67	8	30	60	57	62	55	58	65	56	62	60	66	65	65	76	76	76	44	77	76	57	77	79	77	77	77	77	77	76	89	77	77	12	0	77	28	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	3	4	1	2	3	1	1	4	5	4	4	4	5	2	3	1	7	3	2	3	5	1	1	5	1	7	4	1	1	2	1	2	2	1	2	4	1	5	9	5	4	6	9	8	7	10	11	3	11	12	10	5	13	7	1	12	15	14	1	12	21
1500	-973.945919421677104	-971.771161336434716	-2.174758085242423	0.000010069022977	0.000028270107452	2.807631635876115	0.323153889395195	-1	1	1	2	2	3	4	4	6	6	5	7	6	5	7	5	6	7	8	8	7	8	9	10	11	9	10	10	9	10	8	9	8	11	11	12	11	12	12	11	13	15	13	11	13	13	15	14	17	16	15	14	16	17	16	18	16	17	17	18	18	16	18	19	17	17	18	16	20	19	20	19	21	23	23	22	21	27	28	28	28	29	32	34	33	36	34	35	34	34	32	35	34	36	39	36	35	34	38	43	0	1	1	3	1	2	1	6	6	16	8	4	6	4	9	1	16	16	6	21	11	12	31	18	15	11	31	26	18	31	17	18	15	4	23	28	23	29	30	11	37	43	24	32	44	37	36	40	24	35	24	32	46	51	52	13	51	43	42	18	19	48	62	67	21	28	32	20	62	34	55	63	56	69	70	77	66	76	76	77	76	74	77	70	23	77	79	77	77	77	79	77	77	82	77	77	59	0	77	34	1	1	1	1	2	2	2	1	1	1	1	4	2	1	1	3	1	2	2	1	2	1	1	3	2	2	1	1	1	1	1	1	1	4	2	1	1	2	1	5	2	1	2	1	1	2	1	2	5	2	4	2	3	1	1	5	1	2	2	6	5	1	1	1	5	5	4	5	2	4	1	1	1	1	3	1	2	3	3	4	4	4	8	6	10	9	4	10	10	8	3	10	8	3	12	15	7	1	11	17
2000	-1034.369704824844348	-1031.955080620130047	-2.414624204714274	0.000010145835947	0.000035490090954	3.497995743201205	0.315934333159931	-1	1	0	3	3	3	4	2	6	6	5	7	7	5	6	4	8	7	8	7	5	8	8	9	10	7	10	11	10	11	7	9	8	11	10	11	11	10	12	13	14	14	14	12	12	13	13	14	16	16	14	15	16	17	17	15	17	16	17	17	19	19	17	19	18	18	18	18	17	20	19	19	22	23	22	23	21	27	24	28	27	28	34	32	33	35	34	34	35	34	33	36	35	35	38	36	35	37	39	41	0	1	1	2	1	2	5	2	8	16	8	7	6	1	7	1	16	16	26	11	8	12	31	18	15	8	23	10	18	7	16	18	15	19	23	11	31	24	35	21	9	46	29	32	32	37	32	14	42	31	29	47	37	29	18	8	42	43	38	18	56	24	19	67	69	4	18	44	13	48	31	65	56	62	30	77	66	77	77	76	76	66	77	46	32	77	81	79	77	79	77	77	77	91	66	73	2	0	77	14	1	1	1	1	2	1	1	1	3	1	1	2	1	4	1	3	3	2	1	1	1	1	1	2	4	2	1	2	3	4	2	1	1	2	1	3	2	1	1	3	4	1	2	2	2	1	1	4	1	5	3	2	4	4	5	7	2	1	3	4	3	4	5	1	1	9	5	4	3	4	5	1	4	2	6	1	2	3	2	3	1	4	7	8	14	8	3	6	10	4	6	10	8	1	11	12	19	1	10	17
2500	-953.814290971533296	-951.205549379656304	-2.608741591876977	0.000010327266382	0.000042396159724	4.105264467374285	0.410217816046153	-1	2	1	3	4	4	3	4	5	6	5	5	7	7	5	5	6	8	8	7	7	8	9	11	11	9	9	11	9	11	7	9	10	9	9	12	11	13	12	12	13	14	12	13	12	13	14	13	16	16	12	15	15	17	17	17	16	17	16	18	19	18	17	19	17	18	17	20	20	19	19	19	20	21	22	22	21	26	26	27	28	30	34	33	34	35	33	35	34	35	33	36	34	37	40	34	36	36	39	42	0	1	1	1	1	2	3	2	7	16	8	7	6	16	7	1	16	16	7	11	11	12	31	18	15	11	31	33	18	15	17	18	15	12	31	26	35	29	31	11	40	34	18	32	16	37	19	26	51	31	24	32	46	18	38	8	23	24	24	49	48	56	13	58	13	13	18	65	48	65	67	62	65	65	60	77	73	76	76	78	79	67	79	79	58	79	79	79	77	77	77	79	77	90	79	77	78	0	79	9	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	3	1	2	2	1	2	2	1	2	5	2	2	1	1	2	1	1	3	2	1	2	1	2	4	2	1	3	2	2	2	1	3	2	1	4	1	2	1	4	2	6	3	3	3	1	3	1	4	1	5	4	4	2	3	1	2	1	2	2	2	1	1	3	2	1	1	7	5	5	8	4	2	4	9	8	9	6	8	1	11	7	4	1	8	17
3000	-908.392010247184430	-906.258598547550946	-2.133411699633523	0.000010223583589	0.000027550001569	2.694749969897727	0.356966449181906	-1	1	0	3	4	3	4	4	6	6	6	6	7	6	7	5	7	7	8	8	7	9	9	11	9	9	10	8	10	11	8	9	6	11	11	12	11	13	13	12	13	15	13	13	13	14	15	14	15	15	13	15	14	18	16	17	14	17	16	17	16	19	19	19	17	18	18	20	21	19	18	19	22	21	22	22	21	26	25	28	27	30	32	33	33	36	33	35	34	33	34	35	35	37	39	36	36	37	38	42	0	1	1	1	1	2	1	6	2	16	8	4	6	5	33	3	16	4	8	11	11	12	31	18	15	21	23	21	18	14	17	18	7	7	23	11	27	18	27	21	30	38	29	32	32	37	40	8	29	27	29	32	37	27	42	8	34	18	37	49	36	9	65	67	48	13	29	34	65	56	48	56	66	62	77	77	66	76	76	76	79	18	77	80	73	87	79	79	77	77	77	79	79	87	75	79	89	0	75	9	1	1	1	2	1	1	3	1	3	1	1	3	2	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	3	1	1	1	4	1	2	1	4	2	3	1	1	2	2	2	2	1	4	2	3	1	3	1	6	1	9	2	4	2	1	2	3	1	1	1	6	4	5	2	1	2	1	3	1	1	1	2	2	3	3	1	11	5	2	6	2	5	5	7	7	7	6	6	2	13	7	1	1	11	12
3500	-935.986145545472596	-933.477051598669732	-2.509093946802814	0.000010890058881	0.000041249378480	3.787801235100158	0.423764458536436	-1	1	0	3	2	3	4	4	5	5	6	5	6	6	7	6	8	7	5	7	7	9	9	10	10	10	9	11	9	9	7	9	6	12	10	13	12	11	12	11	12	14	13	13	13	13	14	14	16	17	12	15	15	18	16	17	16	17	17	16	18	20	18	18	19	16	19	18	21	19	17	20	21	23	23	23	21	26	27	29	27	31	33	33	33	35	34	35	34	34	33	35	33	36	40	35	35	36	37	41	0	1	1	3	1	2	2	6	7	7	8	3	4	12	33	10	16	10	8	11	11	12	31	18	15	11	31	32	18	13	10	18	1	24	27	26	31	18	23	11	29	37	29	28	32	27	38	8	29	46	24	45	46	55	25	66	46	51	36	24	8	65	49	60	56	9	43	31	56	8	32	48	65	65	68	77	66	76	77	78	77	74	81	63	73	93	79	81	81	81	77	79	77	96	40	77	80	0	77	49	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	2	2	1	1	2	1	1	1	3	1	1	1	3	2	1	2	1	1	2	1	2	2	2	6	4	2	1	1	1	1	4	1	1	2	3	3	5	1	1	1	1	7	3	6	2	5	5	2	2	2	3	2	3	2	2	1	2	3	3	7	6	1	3	4	4	4	7	5	6	1	14	7	2	1	7	9
4000	-802.876898542188314	-801.246351630950130	-1.630546911238167	0.000012008115960	0.000017135566006	1.426998711836709	0.410978077646604	-1	1	0	2	2	3	4	4	5	3	5	7	6	6	7	7	6	6	7	8	6	6	9	11	10	8	10	11	8	9	8	8	6	11	10	13	12	11	13	12	14	14	14	13	12	13	14	14	16	17	14	15	14	17	17	17	16	17	18	17	19	20	19	17	18	17	19	18	19	20	19	20	19	24	22	23	21	26	26	28	25	29	34	34	34	36	31	33	34	35	32	36	35	36	40	35	35	37	38	42	0	1	1	3	1	4	2	6	2	1	8	7	6	8	33	10	10	10	10	21	11	7	31	18	15	11	31	30	18	12	17	18	9	32	31	11	35	29	31	21	23	45	18	32	32	37	44	4	29	27	24	44	46	51	44	48	19	24	47	49	4	69	56	43	56	48	64	57	65	56	30	14	56	48	58	77	48	76	77	78	77	48	77	82	91	83	79	87	79	79	77	79	87	85	77	77	87	0	89	68	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	2	4	1	1	2	3	2	1	4	2	2	1	1	7	4	4	2	1	1	2	3	2	5	4	3	1	10	1	1	1	1	2	1	1	1	2	4	6	1	3	2	1	3	2	4	1	3	6	7	3	1	1	2	1	4	4	5	4	4	1	12	8	2	1	1	13
4500	-841.951145351207970	-840.300993369541743	-1.650151981666252	0.000013941660191	0.000020557713087	1.474552729402810	0.467386980935247	-1	0	1	2	3	3	5	4	4	5	6	6	6	5	8	7	6	7	8	8	6	8	8	9	10	10	9	10	9	10	7	9	7	11	10	13	12	12	11	12	12	12	13	13	13	13	13	11	17	16	12	15	16	15	17	18	16	18	15	15	19	17	19	19	19	19	20	19	20	19	19	19	22	23	22	23	22	25	28	29	27	29	33	33	34	34	32	34	34	33	32	35	35	34	40	36	35	37	39	43	0	1	1	3	1	2	5	6	1	9	8	5	8	5	33	10	4	10	11	11	8	12	31	18	15	11	31	4	18	8	17	16	7	27	31	28	35	29	35	26	35	19	24	32	32	37	38	30	60	37	24	42	31	51	54	14	45	51	42	43	48	36	27	51	62	62	64	54	55	62	46	8	72	65	37	77	6	76	76	78	77	53	77	91	79	83	79	87	79	77	77	89	83	65	77	91	94	0	89	72	1	1	1	1	3	2	1	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	4	1	4	1	1	1	1	1	2	2	3	1	1	1	2	2	2	1	1	1	1	2	2	2	1	3	1	1	7	2	3	1	1	6	2	4	3	1	1	1	2	1	1	3	9	1	2	6	1	11	1	3	2	2	6	5	1	2	1	2	1	3	5	4	1	1	7	10	3	1	1	3	13
