step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90
1	-948.178114654284400	-957.228958034735797	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.209935226851633	1	3	3	6	7	8	12	7	10	9	8	8	9	10	9	10	14	9	11	9	14	11	12	10	11	11	10	13	11	10	12	12	11	15	11	15	13	12	11	15	13	12	13	13	12	13	14	14	13	14	15	14	18	13	20	20	14	15	15	17	15	15	18	16	15	16	15	20	15	18	17	19	16	15	15	15	17	19	17	16	18	18	18	17	19	19	19	20	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-303.922243111365958	-312.973086491817298	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.657558554993424	2	4	4	7	7	9	11	8	11	10	7	8	6	9	10	11	14	9	12	7	14	12	11	11	9	12	11	14	9	10	11	12	6	16	11	15	12	10	11	14	14	9	12	11	13	14	13	13	13	14	16	12	18	13	20	17	14	14	16	18	13	14	17	16	16	15	15	18	15	18	17	18	14	16	14	15	18	17	17	17	19	19	19	15	20	19	19	20	17	19	0	1	1	13	13	11	6	4	12	25	13	33	3	2	18	10	42	20	44	33	49	31	14	42	12	33	10	19	12	18	42	31	3	57	13	19	6	8	42	19	15	11	23	42	52	23	30	15	9	27	17	9	37	38	89	73	49	38	58	71	30	44	46	28	84	46	45	76	50	51	66	36	47	52	16	57	75	51	21	36	62	89	68	41	51	79	51	72	58	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-275.520483186095134	-284.571326566546475	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.974357129016736	-1	1	3	6	8	6	12	5	10	10	8	9	9	11	10	11	14	8	12	9	15	11	13	9	12	6	10	13	12	10	11	12	10	16	11	14	13	13	12	15	14	9	14	9	11	14	15	15	13	15	12	15	18	13	12	21	13	15	15	18	16	16	18	16	15	16	14	19	15	18	17	16	17	13	14	15	16	18	17	17	14	17	19	14	18	13	19	20	20	21	0	1	2	8	4	8	24	3	18	26	4	26	4	27	24	24	55	6	33	5	36	30	14	26	10	2	24	32	9	12	33	26	18	17	10	7	27	27	9	57	39	5	29	11	42	51	25	57	12	55	27	51	64	29	10	70	39	38	32	32	86	36	17	38	67	52	39	31	51	82	69	16	21	22	15	23	49	82	62	66	25	37	60	25	66	22	50	81	36	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-280.098218599966003	-289.149061980417343	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.973098914884232	-1	4	3	7	8	9	13	8	11	10	9	8	9	11	9	6	14	9	12	7	12	10	13	10	8	11	11	11	11	10	12	11	9	16	12	16	13	12	12	15	14	12	12	13	13	13	14	14	14	13	12	13	19	13	20	21	14	16	15	16	12	14	17	16	13	16	15	17	13	15	18	19	15	15	16	16	16	19	13	14	14	17	18	16	20	17	19	15	12	19	0	3	1	16	16	25	14	16	11	18	4	4	16	10	16	2	43	16	12	2	28	11	31	8	4	30	16	13	13	6	10	30	4	48	22	65	19	32	15	45	89	9	14	39	89	15	5	43	51	61	8	31	81	21	82	75	61	41	47	73	25	13	38	6	10	81	37	36	43	54	17	88	50	80	54	49	73	67	51	39	42	64	60	62	75	60	71	46	28	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-288.266547170282422	-297.317390550733762	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999626966619621	1	3	2	5	7	7	11	8	11	10	8	9	10	10	10	11	15	10	12	7	13	10	12	11	11	11	10	13	11	11	11	13	11	15	10	13	13	11	12	15	14	13	11	12	12	14	14	14	12	14	15	14	18	14	18	20	14	16	15	15	15	15	13	17	13	16	14	19	16	19	12	18	17	12	14	13	13	19	17	16	15	16	18	13	19	20	19	20	20	16	0	1	1	3	1	1	12	5	14	12	4	20	4	8	6	6	47	5	22	2	15	5	13	35	18	11	20	45	22	8	15	38	27	46	11	8	15	6	35	36	39	22	14	29	22	16	25	76	30	9	14	24	84	63	79	82	43	50	37	19	38	33	12	19	26	57	19	60	71	58	33	82	47	13	74	5	9	50	82	46	27	44	61	45	82	51	77	79	59	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-273.251816633825740	-282.302660014277080	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988069881465368	1	4	3	5	7	8	9	8	11	9	9	8	9	9	7	11	14	10	12	8	14	10	13	10	8	12	10	13	11	10	12	10	8	16	12	14	13	10	7	15	12	12	14	13	13	6	13	13	14	15	15	10	18	11	20	18	10	16	12	18	16	15	17	14	13	16	14	20	16	16	16	15	16	14	16	15	18	18	16	15	16	13	17	16	19	19	18	19	21	18	0	3	1	3	46	46	8	46	30	33	25	15	33	33	4	11	35	11	18	5	48	39	54	20	39	9	10	42	38	39	57	6	5	51	13	45	41	14	2	18	9	38	18	38	15	4	35	59	59	67	23	25	69	8	60	63	8	62	18	69	80	48	49	26	26	64	82	63	40	64	17	42	49	6	74	41	66	50	64	26	76	22	84	17	70	73	49	73	73	21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-250.632500934885400	-259.683344315336740	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996305083554505	2	4	4	6	7	9	13	7	10	9	8	8	9	8	10	11	14	9	12	10	14	11	12	10	12	11	9	12	11	10	12	9	12	14	12	15	14	12	12	12	14	11	13	12	12	12	14	13	14	10	14	13	19	12	21	20	15	15	15	15	15	13	18	14	14	16	16	20	16	19	18	14	17	16	15	15	17	18	17	16	18	17	19	17	17	16	16	20	18	21	0	1	1	3	2	4	22	4	12	8	4	4	2	2	12	32	44	8	20	32	54	30	13	8	18	15	5	16	18	12	42	12	16	35	50	64	35	11	16	27	9	27	45	26	15	16	28	22	54	13	52	28	85	22	68	73	65	37	41	19	72	42	82	45	45	17	33	86	21	71	79	62	60	7	35	33	69	59	75	61	86	59	87	72	58	52	42	33	82	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-266.813256689348464	-275.864100069799804	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978349049075937	1	3	2	6	7	6	13	5	10	10	9	8	7	10	9	10	14	6	10	9	15	11	13	9	11	12	11	12	11	10	10	13	11	14	11	15	11	13	8	16	14	9	13	13	13	14	12	12	14	13	15	13	19	13	20	20	14	13	15	13	11	13	17	16	15	14	15	18	15	14	17	17	12	15	12	14	18	16	16	16	18	18	18	15	19	19	18	21	21	22	0	1	1	2	8	8	25	2	24	12	5	5	8	15	39	15	16	2	6	6	54	12	35	18	12	9	5	35	10	12	15	30	42	26	20	45	20	35	8	45	32	39	30	33	30	22	16	30	29	61	62	61	72	29	58	87	28	35	46	22	10	10	49	58	57	38	32	34	28	45	21	23	14	66	9	43	79	76	21	70	74	79	65	37	63	77	62	87	63	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-273.824473741942768	-282.875317122394108	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999228349522298	2	3	4	6	7	9	10	7	11	8	9	9	10	11	10	9	15	8	9	8	15	10	12	10	11	11	9	11	12	10	13	13	12	15	11	13	13	10	12	14	13	12	12	13	12	14	15	13	14	13	10	11	17	13	20	20	15	12	15	15	11	14	17	17	12	15	15	21	15	19	17	19	17	10	16	15	17	19	15	16	17	15	18	17	18	16	17	18	12	19	0	1	1	3	3	5	19	4	74	2	4	5	6	12	11	8	35	4	18	5	6	27	30	5	20	15	20	10	25	20	28	52	10	39	12	25	43	19	16	23	38	30	26	58	51	30	46	38	11	29	11	24	47	14	85	81	9	15	14	32	8	36	46	17	15	42	58	55	31	80	66	36	79	12	46	49	49	73	44	17	75	38	76	67	53	49	57	53	30	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-266.723266941683846	-275.774110322135186	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997015941291978	2	4	4	6	7	4	12	6	11	10	9	8	9	7	7	11	14	10	10	9	14	11	13	9	11	10	10	14	12	8	10	12	12	15	8	16	13	10	10	16	14	12	13	14	11	11	14	14	12	14	13	15	13	13	19	17	13	14	16	18	16	14	18	16	15	14	10	17	14	17	18	19	16	15	15	14	17	19	17	16	17	19	18	16	19	19	19	20	21	21	0	1	1	6	8	1	20	2	31	5	3	14	6	3	8	27	53	4	20	12	37	12	10	8	27	24	11	57	19	4	12	16	67	17	3	69	33	11	5	17	51	10	7	54	12	26	37	37	4	9	33	7	29	16	40	64	18	46	21	81	23	27	37	21	76	53	30	62	43	65	62	56	39	44	7	42	32	59	73	43	75	73	68	54	64	80	63	87	55	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
