step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.99998	0.41688	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.50400	0.41078	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.45200	0.41259	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.42200	0.41212	0.000150000000000	1.000000000000000	0.022500000000000	0
2500		-nan	-nan	0.42667	0.41192	0.000150000000000	1.000000000000000	0.022500000000000	0
3000		-nan	-nan	0.43000	0.41101	0.000150000000000	1.000000000000000	0.022500000000000	0
3500		-nan	-nan	0.43200	0.41102	0.000150000000000	1.000000000000000	0.022500000000000	0
4000		-nan	-nan	0.43400	0.41058	0.000150000000000	1.000000000000000	0.022500000000000	0
4500		-nan	-nan	0.43000	0.41137	0.000150000000000	1.000000000000000	0.022500000000000	0
5000		-nan	-nan	0.43050	0.41080	0.000150000000000	1.000000000000000	0.022500000000000	0
5500		-nan	-nan	0.42400	0.41098	0.000150000000000	1.000000000000000	0.022500000000000	0
6000		-nan	-nan	0.42340	0.41096	0.000150000000000	1.000000000000000	0.022500000000000	0
6500		-nan	-nan	0.42873	0.41174	0.000150000000000	1.000000000000000	0.022500000000000	0
7000		-nan	-nan	0.42617	0.41153	0.000150000000000	1.000000000000000	0.022500000000000	0
7500		-nan	-nan	0.42662	0.41154	0.000150000000000	1.000000000000000	0.022500000000000	0
8000		-nan	-nan	0.43086	0.41141	0.000150000000000	1.000000000000000	0.022500000000000	0
8500		-nan	-nan	0.42973	0.41102	0.000150000000000	1.000000000000000	0.022500000000000	0
9000		-nan	-nan	0.43000	0.41090	0.000150000000000	1.000000000000000	0.022500000000000	0
9500		-nan	-nan	0.43224	0.41123	0.000150000000000	1.000000000000000	0.022500000000000	0
10000		-nan	-nan	0.43233	0.41153	0.000150000000000	1.000000000000000	0.022500000000000	0
10500		-nan	-nan	0.43147	0.41150	0.000150000000000	1.000000000000000	0.022500000000000	0
11000		-nan	-nan	0.43290	0.41163	0.000150000000000	1.000000000000000	0.022500000000000	0
11500		-nan	-nan	0.43371	0.41176	0.000150000000000	1.000000000000000	0.022500000000000	0
12000		-nan	-nan	0.43409	0.41174	0.000150000000000	1.000000000000000	0.022500000000000	0
12500		-nan	-nan	0.43443	0.41171	0.000150000000000	1.000000000000000	0.022500000000000	0
13000		-nan	-nan	0.43275	0.41147	0.000150000000000	1.000000000000000	0.022500000000000	0
13500		-nan	-nan	0.43320	0.41177	0.000150000000000	1.000000000000000	0.022500000000000	0
14000		-nan	-nan	0.43454	0.41156	0.000150000000000	1.000000000000000	0.022500000000000	0
14500		-nan	-nan	0.43474	0.41171	0.000150000000000	1.000000000000000	0.022500000000000	0
15000		-nan	-nan	0.43493	0.41146	0.000150000000000	1.000000000000000	0.022500000000000	0
15500		-nan	-nan	0.43503	0.41163	0.000150000000000	1.000000000000000	0.022500000000000	0
16000		-nan	-nan	0.43560	0.41165	0.000150000000000	1.000000000000000	0.022500000000000	0
16500		-nan	-nan	0.43535	0.41139	0.000150000000000	1.000000000000000	0.022500000000000	0
17000		-nan	-nan	0.43569	0.41149	0.000150000000000	1.000000000000000	0.022500000000000	0
17500		-nan	-nan	0.43497	0.41176	0.000150000000000	1.000000000000000	0.022500000000000	0
18000		-nan	-nan	0.43500	0.41173	0.000150000000000	1.000000000000000	0.022500000000000	0
18500		-nan	-nan	0.43526	0.41172	0.000150000000000	1.000000000000000	0.022500000000000	0
19000		-nan	-nan	0.43572	0.41185	0.000150000000000	1.000000000000000	0.022500000000000	0
19500		-nan	-nan	0.43454	0.41186	0.000150000000000	1.000000000000000	0.022500000000000	0
20000		-nan	-nan	0.43432	0.41157	0.000150000000000	1.000000000000000	0.022500000000000	0
20500		-nan	-nan	0.43426	0.41150	0.000150000000000	1.000000000000000	0.022500000000000	0
21000		-nan	-nan	0.43390	0.41142	0.000150000000000	1.000000000000000	0.022500000000000	0
21500		-nan	-nan	0.43415	0.41133	0.000150000000000	1.000000000000000	0.022500000000000	0
22000		-nan	-nan	0.43333	0.41130	0.000150000000000	1.000000000000000	0.022500000000000	0
22500		-nan	-nan	0.43353	0.41131	0.000150000000000	1.000000000000000	0.022500000000000	0
23000		-nan	-nan	0.43359	0.41128	0.000150000000000	1.000000000000000	0.022500000000000	0
23500		-nan	-nan	0.43431	0.41111	0.000150000000000	1.000000000000000	0.022500000000000	0
24000		-nan	-nan	0.43396	0.41106	0.000150000000000	1.000000000000000	0.022500000000000	0
24500		-nan	-nan	0.43357	0.41101	0.000150000000000	1.000000000000000	0.022500000000000	0
25000		-nan	-nan	0.43267	0.41127	0.000150000000000	1.000000000000000	0.022500000000000	0
25500		-nan	-nan	0.43237	0.41122	0.000150000000000	1.000000000000000	0.022500000000000	0
26000		-nan	-nan	0.43276	0.41115	0.000150000000000	1.000000000000000	0.022500000000000	0
26500		-nan	-nan	0.43271	0.41118	0.000150000000000	1.000000000000000	0.022500000000000	0
27000		-nan	-nan	0.43335	0.41118	0.000150000000000	1.000000000000000	0.022500000000000	0
27500		-nan	-nan	0.43253	0.41110	0.000150000000000	1.000000000000000	0.022500000000000	0
28000		-nan	-nan	0.43319	0.41100	0.000150000000000	1.000000000000000	0.022500000000000	0
28500		-nan	-nan	0.43364	0.41091	0.000150000000000	1.000000000000000	0.022500000000000	0
29000		-nan	-nan	0.43364	0.41097	0.000150000000000	1.000000000000000	0.022500000000000	0
29500		-nan	-nan	0.43340	0.41099	0.000150000000000	1.000000000000000	0.022500000000000	0
30000		-nan	-nan	0.43414	0.41092	0.000150000000000	1.000000000000000	0.022500000000000	0
30500		-nan	-nan	0.43454	0.41087	0.000150000000000	1.000000000000000	0.022500000000000	0
31000		-nan	-nan	0.43500	0.41086	0.000150000000000	1.000000000000000	0.022500000000000	0
31500		-nan	-nan	0.43492	0.41104	0.000150000000000	1.000000000000000	0.022500000000000	0
32000		-nan	-nan	0.43439	0.41104	0.000150000000000	1.000000000000000	0.022500000000000	0
32500		-nan	-nan	0.43400	0.41103	0.000150000000000	1.000000000000000	0.022500000000000	0
33000		-nan	-nan	0.43400	0.41098	0.000150000000000	1.000000000000000	0.022500000000000	0
33500		-nan	-nan	0.43320	0.41111	0.000150000000000	1.000000000000000	0.022500000000000	0
34000		-nan	-nan	0.43342	0.41111	0.000150000000000	1.000000000000000	0.022500000000000	0
34500		-nan	-nan	0.43355	0.41112	0.000150000000000	1.000000000000000	0.022500000000000	0
35000		-nan	-nan	0.43347	0.41125	0.000150000000000	1.000000000000000	0.022500000000000	0
35500		-nan	-nan	0.43386	0.41122	0.000150000000000	1.000000000000000	0.022500000000000	0
36000		-nan	-nan	0.43377	0.41119	0.000150000000000	1.000000000000000	0.022500000000000	0
36500		-nan	-nan	0.43386	0.41107	0.000150000000000	1.000000000000000	0.022500000000000	0
37000		-nan	-nan	0.43431	0.41103	0.000150000000000	1.000000000000000	0.022500000000000	0
37500		-nan	-nan	0.43381	0.41091	0.000150000000000	1.000000000000000	0.022500000000000	0
38000		-nan	-nan	0.43411	0.41084	0.000150000000000	1.000000000000000	0.022500000000000	0
38500		-nan	-nan	0.43456	0.41084	0.000150000000000	1.000000000000000	0.022500000000000	0
39000		-nan	-nan	0.43453	0.41086	0.000150000000000	1.000000000000000	0.022500000000000	0
39500		-nan	-nan	0.43400	0.41086	0.000150000000000	1.000000000000000	0.022500000000000	0
40000		-nan	-nan	0.43436	0.41093	0.000150000000000	1.000000000000000	0.022500000000000	0
40500		-nan	-nan	0.43466	0.41088	0.000150000000000	1.000000000000000	0.022500000000000	0
41000		-nan	-nan	0.43397	0.41085	0.000150000000000	1.000000000000000	0.022500000000000	0
41500		-nan	-nan	0.43380	0.41087	0.000150000000000	1.000000000000000	0.022500000000000	0
42000		-nan	-nan	0.43351	0.41076	0.000150000000000	1.000000000000000	0.022500000000000	0
42500		-nan	-nan	0.43340	0.41075	0.000150000000000	1.000000000000000	0.022500000000000	0
43000		-nan	-nan	0.43324	0.41069	0.000150000000000	1.000000000000000	0.022500000000000	0
43500		-nan	-nan	0.43374	0.41066	0.000150000000000	1.000000000000000	0.022500000000000	0
44000		-nan	-nan	0.43353	0.41063	0.000150000000000	1.000000000000000	0.022500000000000	0
44500		-nan	-nan	0.43368	0.41059	0.000150000000000	1.000000000000000	0.022500000000000	0
45000		-nan	-nan	0.43395	0.41052	0.000150000000000	1.000000000000000	0.022500000000000	0
45500		-nan	-nan	0.43333	0.41049	0.000150000000000	1.000000000000000	0.022500000000000	0
46000		-nan	-nan	0.43342	0.41045	0.000150000000000	1.000000000000000	0.022500000000000	0
46500		-nan	-nan	0.43358	0.41045	0.000150000000000	1.000000000000000	0.022500000000000	0
47000		-nan	-nan	0.43352	0.41042	0.000150000000000	1.000000000000000	0.022500000000000	0
47500		-nan	-nan	0.43314	0.41043	0.000150000000000	1.000000000000000	0.022500000000000	0
48000		-nan	-nan	0.43347	0.41040	0.000150000000000	1.000000000000000	0.022500000000000	0
48500		-nan	-nan	0.43337	0.41039	0.000150000000000	1.000000000000000	0.022500000000000	0
49000		-nan	-nan	0.43329	0.41042	0.000150000000000	1.000000000000000	0.022500000000000	0
49500		-nan	-nan	0.43340	0.41032	0.000150000000000	1.000000000000000	0.022500000000000	0
50000		-nan	-nan	0.43351	0.41024	0.000150000000000	1.000000000000000	0.022500000000000	0
50500		-nan	-nan	0.43358	0.41025	0.000150000000000	1.000000000000000	0.022500000000000	0
51000		-nan	-nan	0.43334	0.41022	0.000150000000000	1.000000000000000	0.022500000000000	0
51500		-nan	-nan	0.43343	0.41017	0.000150000000000	1.000000000000000	0.022500000000000	0
