step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91
1	-731.694821912669227	-740.745665293120624	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.193274792739928	0	2	3	3	3	3	3	3	4	4	5	4	5	8	6	5	5	5	5	6	7	5	9	5	5	6	8	13	8	7	7	7	6	6	8	11	9	7	8	8	7	8	7	11	8	9	9	9	9	9	10	9	9	10	8	9	9	9	9	10	10	8	11	10	10	12	10	10	11	12	14	11	12	13	10	12	12	12	11	13	14	12	13	12	13	12	14	13	15	16	16	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-259.205928971371350	-268.256772351822690	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.895227181654710	0	3	2	3	1	4	2	2	3	4	6	4	6	8	4	4	5	3	5	4	8	6	10	4	6	6	8	13	8	7	8	7	6	7	8	11	8	6	7	7	6	9	7	10	8	9	8	9	10	7	11	10	9	10	8	10	10	8	9	10	11	9	11	8	10	13	8	8	11	9	10	12	13	12	10	12	12	13	11	13	15	13	14	12	13	10	13	13	14	16	16	0	8	1	5	1	8	1	1	3	7	20	3	15	11	2	18	10	8	6	7	50	24	43	3	4	20	38	77	17	7	11	22	24	9	30	68	12	19	13	11	17	68	33	37	41	47	30	47	58	25	46	68	43	68	25	59	68	19	21	33	35	55	57	39	21	76	39	12	44	19	67	36	69	75	14	54	49	67	54	60	89	37	77	46	65	35	38	71	76	81	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-254.956337728818880	-264.007181109270221	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994487843870488	1	2	4	3	3	4	3	2	5	4	3	5	6	8	4	5	5	2	5	7	7	4	8	6	6	5	6	14	7	6	7	4	7	6	8	8	9	5	7	7	7	8	8	8	8	10	8	9	8	10	11	10	9	9	7	10	8	8	9	10	11	9	9	10	9	10	11	10	12	12	13	10	13	11	10	12	12	10	11	12	15	11	10	10	12	12	14	12	14	13	16	0	1	2	18	1	11	1	1	6	7	18	6	15	30	8	5	15	1	6	12	26	5	20	12	6	6	15	71	34	3	18	5	9	10	25	9	21	10	9	25	10	21	25	34	34	38	40	58	30	33	53	65	44	41	4	65	33	31	57	47	58	47	16	57	23	14	68	54	78	66	52	21	51	52	37	63	56	53	62	37	71	49	26	49	51	64	73	49	86	67	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-266.054326654004626	-275.105170034455966	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993679938038973	1	2	4	3	3	3	4	4	5	3	6	5	6	9	7	6	5	4	6	6	6	5	9	5	6	6	8	13	8	6	7	8	7	6	8	7	9	7	8	7	4	8	7	11	8	7	9	10	7	8	10	10	6	10	8	9	8	10	8	9	10	9	11	10	9	12	10	11	10	10	15	9	6	11	8	12	13	10	10	14	10	13	13	11	7	11	12	8	15	13	7	0	1	5	2	1	2	4	6	3	1	10	8	9	49	21	41	6	4	5	17	8	7	73	1	22	10	20	64	11	2	8	85	18	9	15	13	36	34	26	19	10	49	34	81	25	34	11	62	12	24	60	31	41	30	26	15	13	47	34	46	40	38	37	88	34	51	39	27	12	65	44	31	3	32	38	51	78	21	75	87	25	63	44	29	34	65	61	20	83	74	22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-270.288448455658624	-279.339291836109965	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997529647860826	0	2	4	3	4	4	3	2	4	5	5	5	5	8	7	5	4	1	6	7	7	6	10	2	6	6	5	13	9	7	6	7	7	7	7	11	10	8	7	8	7	9	7	12	8	10	9	9	10	9	10	6	6	11	8	10	8	8	8	9	10	8	10	11	11	13	9	9	11	13	12	12	13	13	11	9	11	11	11	4	12	11	13	10	11	9	14	13	14	16	16	0	18	8	24	7	8	8	1	24	6	3	9	9	4	27	24	7	1	10	80	31	17	42	1	6	12	9	79	41	7	13	25	4	12	26	53	19	10	25	15	12	41	6	61	2	34	19	59	68	39	39	5	10	47	15	25	22	21	22	39	39	34	35	68	86	62	16	62	63	64	82	27	75	63	35	41	39	48	68	18	34	23	72	52	48	52	70	72	38	87	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-276.068028585455409	-285.118871965906749	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.954867616865418	1	2	4	4	2	3	4	2	2	4	3	5	3	9	7	5	4	4	6	6	6	5	7	5	4	5	9	13	9	8	7	6	7	7	7	9	7	5	8	6	8	5	8	11	9	7	8	10	8	9	10	10	8	9	8	7	8	10	9	10	11	9	9	10	10	11	3	7	11	12	14	11	12	14	8	11	11	11	12	9	14	11	12	12	9	9	15	11	12	15	10	0	1	8	2	1	1	9	1	1	13	1	10	1	40	38	8	13	6	8	18	17	3	42	1	9	4	46	58	12	3	67	7	20	4	3	37	38	6	24	3	24	25	21	27	31	12	68	86	20	41	27	31	40	39	35	19	15	86	26	27	51	39	55	57	19	59	5	42	27	82	61	48	64	76	37	57	91	46	59	68	51	36	77	65	35	30	89	91	86	71	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-274.091352946580230	-283.142196327031570	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.959699189381796	0	3	4	4	3	3	2	1	4	3	6	5	6	9	6	5	5	2	6	7	8	4	10	4	5	7	8	13	9	5	6	8	6	7	9	12	10	1	8	7	7	8	7	11	7	10	8	10	8	9	10	10	7	11	7	9	8	9	9	10	10	9	11	9	7	10	9	11	12	12	14	9	8	13	10	11	10	13	11	8	13	13	12	12	13	11	15	8	10	16	10	0	18	5	6	38	8	1	1	7	8	9	2	22	31	10	10	10	38	30	31	13	18	40	18	10	11	13	89	88	2	9	55	6	12	20	51	13	1	20	31	22	8	24	65	15	64	11	24	17	47	40	12	12	67	15	32	65	45	55	27	39	34	56	33	22	40	15	21	91	89	83	39	40	21	56	58	43	91	49	34	63	46	56	37	60	67	75	19	26	54	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-289.977804078434247	-299.028647458885587	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987185538772997	0	3	4	2	3	4	3	2	2	5	6	3	6	9	7	6	6	6	5	6	8	6	9	6	5	4	8	12	8	8	4	8	6	5	6	11	9	6	9	7	5	8	5	6	8	9	5	10	5	10	7	9	8	10	6	10	8	8	7	10	9	9	9	9	11	11	8	7	10	11	13	7	9	11	9	12	11	12	12	12	15	11	14	12	11	13	10	13	14	16	16	0	9	9	1	1	5	9	1	1	3	25	1	41	41	17	10	8	41	31	26	31	34	41	3	31	2	35	77	34	11	8	17	6	12	41	30	15	25	24	13	7	40	26	41	18	27	7	52	2	45	34	11	25	18	19	51	44	33	5	51	68	21	15	15	5	46	20	31	75	73	55	19	59	40	40	77	39	56	17	77	15	69	79	54	20	25	14	15	75	71	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-263.620379657861974	-272.671223038313315	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994516847289636	0	2	1	4	3	3	2	3	3	5	4	4	6	7	7	5	5	6	5	6	6	5	9	4	6	7	9	13	9	6	5	8	4	6	9	12	8	7	7	8	8	8	7	10	7	7	10	9	10	9	10	9	10	10	8	7	7	10	4	11	10	9	12	7	11	8	9	9	12	12	13	12	10	14	9	11	11	12	10	12	13	12	12	12	13	10	12	14	15	14	12	0	3	1	6	3	2	3	7	7	59	2	2	33	13	2	7	2	22	8	31	17	9	39	7	16	17	37	29	30	11	2	21	5	16	66	54	39	22	9	64	18	26	17	64	17	11	59	15	23	10	40	56	40	52	17	10	4	43	6	62	75	55	26	34	58	64	66	57	44	73	77	23	14	81	40	27	53	65	43	67	78	48	76	50	32	38	61	61	84	29	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-264.927837235217567	-273.978680615668907	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998383091458074	1	2	2	4	4	3	3	4	4	5	6	5	6	9	5	4	5	4	5	6	7	5	9	6	6	7	6	9	7	8	7	7	5	7	7	8	7	8	9	8	7	8	5	10	7	7	10	10	8	6	11	10	9	9	8	8	9	6	10	11	4	5	8	10	9	13	11	11	10	12	14	11	9	13	9	7	9	9	11	9	13	12	9	11	11	13	13	13	14	16	14	0	1	1	7	1	1	1	3	2	6	18	3	61	34	18	2	9	3	6	33	58	6	24	12	5	22	61	63	22	11	5	13	5	11	12	6	16	10	32	13	19	24	6	78	43	43	29	63	5	10	45	56	21	37	50	45	42	4	56	77	7	3	29	35	26	68	48	83	14	68	69	49	29	41	35	15	27	32	39	32	52	60	26	28	23	72	68	78	74	71	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
