step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71
1	-1129.437673216274561	-1138.488516596725958	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.687356373489949	0	3	6	6	6	11	16	16	16	16	16	18	20	17	20	22	19	21	18	20	22	19	21	21	22	20	21	22	21	21	23	21	23	21	21	24	21	29	22	26	23	23	24	23	24	23	24	23	24	23	25	24	27	26	25	27	27	28	28	28	29	29	29	30	30	31	33	37	35	37	37	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-220.965233223880801	-230.016076604332142	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997754224153528	1	4	7	7	6	10	16	16	17	14	15	19	20	18	11	20	16	21	19	19	18	19	21	21	20	19	20	23	21	22	24	21	22	21	21	24	20	29	23	26	23	22	23	22	23	21	22	23	24	23	24	23	26	27	25	27	28	27	26	27	25	30	27	28	31	32	31	34	35	36	37	0	1	1	2	2	2	10	11	11	15	15	17	22	9	6	12	10	12	9	8	17	17	20	25	9	21	19	30	16	27	52	37	13	16	14	18	19	58	46	31	46	25	18	29	18	37	35	30	16	30	39	34	47	43	48	18	54	31	55	31	35	61	50	41	62	64	38	62	66	68	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-202.366150749516862	-211.416994129968202	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998990210810395	1	4	6	6	7	11	14	15	17	16	15	18	19	17	19	21	19	20	18	21	22	20	18	21	20	20	22	20	21	20	24	20	24	21	22	24	22	26	21	27	24	23	24	23	25	23	23	23	22	23	25	25	28	25	22	28	28	26	28	27	30	29	29	30	31	28	31	35	33	35	37	0	1	2	2	4	2	6	7	11	7	7	11	14	8	14	13	12	19	10	23	20	12	14	18	9	19	17	12	18	12	37	19	44	23	28	47	25	52	23	51	42	39	55	20	47	21	21	24	13	55	43	47	45	20	22	51	40	33	26	43	63	57	40	63	61	40	61	63	40	69	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-221.661323173041922	-230.712166553493262	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996131140828963	0	3	4	7	5	12	14	16	14	17	17	16	20	18	21	21	20	22	18	21	20	19	21	22	22	17	21	22	22	20	24	22	23	21	19	22	19	28	22	26	22	24	25	21	25	24	25	19	23	24	26	23	24	25	26	28	27	28	26	29	27	28	27	29	31	30	34	38	34	32	36	0	1	2	2	3	4	6	9	6	8	12	9	19	10	26	30	37	16	8	48	7	26	13	17	21	8	13	44	22	35	32	20	14	14	19	20	11	40	22	11	27	32	25	21	36	18	52	8	41	30	39	32	49	29	31	51	32	42	31	57	54	47	42	39	60	58	65	67	66	66	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-227.487754638339311	-236.538598018790651	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.960320868769587	1	2	4	7	6	11	17	15	16	14	17	18	20	18	19	21	20	20	17	21	22	19	22	20	22	20	19	23	22	22	23	22	24	21	21	23	22	29	19	25	20	23	23	24	21	22	21	23	25	19	25	25	25	27	25	26	28	28	27	27	30	30	24	27	30	30	31	36	35	33	33	0	1	2	3	3	5	9	10	6	6	8	8	15	9	19	11	15	14	8	24	34	7	35	19	39	12	14	35	13	27	23	47	46	39	15	50	24	59	19	21	15	15	17	23	22	20	13	30	36	9	30	23	29	49	33	17	52	44	31	52	57	58	23	49	57	58	38	71	67	28	25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-212.244894316149981	-221.295737696601321	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989054972871047	1	3	6	5	7	12	15	15	16	15	14	18	21	18	20	18	19	22	18	21	22	20	22	20	22	20	19	23	22	21	23	21	23	20	22	24	21	28	22	27	24	24	23	23	25	24	24	24	24	22	25	25	26	25	23	25	27	29	27	28	29	30	20	27	31	31	34	36	34	37	37	0	1	2	1	4	5	6	11	11	11	6	10	34	10	27	11	14	15	9	26	15	16	63	9	34	14	10	20	12	19	37	27	24	12	15	33	12	53	9	49	25	28	22	50	34	28	28	18	31	32	46	49	48	26	23	31	52	33	48	57	64	60	7	52	58	61	65	58	60	67	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-223.742896307567662	-232.793739688019002	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997873908383233	1	4	5	6	7	12	15	17	16	15	16	19	20	18	21	22	20	21	19	18	22	19	22	21	23	19	21	19	21	22	23	21	21	22	21	23	20	23	21	25	24	23	24	23	21	24	25	18	19	19	23	24	28	26	24	27	25	29	27	28	29	24	28	26	31	32	31	38	35	37	32	0	1	1	2	3	5	6	6	10	6	6	14	28	9	12	32	11	22	48	8	18	11	37	50	35	8	37	9	12	50	13	28	13	18	22	35	28	18	13	38	45	15	35	39	50	30	32	10	8	11	45	34	40	40	51	44	21	59	28	55	56	23	54	42	53	67	64	70	65	69	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-237.331112755788922	-246.381956136240262	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991564863359821	0	3	7	5	6	11	15	14	16	16	16	16	21	18	19	22	17	21	19	20	22	15	20	22	22	17	22	21	20	22	23	21	22	21	21	24	21	29	23	26	19	22	23	22	23	23	24	22	25	23	25	19	24	23	23	26	27	25	28	25	28	28	28	30	29	30	27	37	31	35	34	0	1	5	2	2	3	8	6	7	7	22	8	20	17	26	34	8	14	26	15	20	8	12	19	35	8	13	41	26	19	15	15	32	23	41	31	29	47	37	36	10	34	18	23	20	34	46	37	43	23	21	17	26	32	37	60	44	30	49	54	32	58	33	59	67	65	31	59	55	38	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-226.192226744812729	-235.243070125264069	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.950704776631136	1	3	5	6	4	10	16	15	13	17	17	19	21	14	20	23	18	18	17	21	18	19	22	21	19	19	21	19	20	20	24	20	24	21	22	21	20	27	21	26	24	23	24	24	23	22	23	23	25	24	26	25	27	26	23	27	27	26	20	25	29	29	30	27	31	31	33	38	34	36	34	0	1	1	2	2	5	8	9	6	14	8	10	12	6	17	22	11	11	8	25	10	10	26	26	7	8	15	8	10	17	23	19	23	28	12	17	22	49	29	41	55	20	47	48	28	30	27	25	39	45	60	48	44	49	11	58	60	31	21	36	57	57	62	16	56	64	66	69	66	71	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-220.340086090060169	-229.390929470511509	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.967905718479688	1	3	6	5	5	12	17	16	16	17	14	18	20	17	21	22	20	21	19	20	22	20	22	21	23	20	22	22	21	21	22	20	23	20	21	25	19	26	19	27	24	21	25	24	23	23	25	20	25	22	20	25	25	23	21	26	28	29	29	24	30	29	27	30	31	31	31	35	32	34	33	0	1	5	2	2	3	8	11	11	9	6	8	19	8	22	13	37	20	12	10	32	12	55	51	27	39	13	15	39	20	15	39	55	12	26	33	12	60	9	47	35	13	60	21	29	32	21	10	54	15	8	55	34	34	14	46	60	40	40	30	57	21	15	33	57	62	58	70	61	66	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
