step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.40681	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.57400	0.40688	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.43600	0.40729	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.44000	0.40701	0.000150000000000	1.000000000000000	0.022500000000000	0
2500		-nan	-nan	0.43133	0.40777	0.000150000000000	1.000000000000000	0.022500000000000	0
3000		-nan	-nan	0.43700	0.40801	0.000150000000000	1.000000000000000	0.022500000000000	0
3500		-nan	-nan	0.44800	0.40820	0.000150000000000	1.000000000000000	0.022500000000000	0
4000		-nan	-nan	0.45233	0.40832	0.000150000000000	1.000000000000000	0.022500000000000	0
4500		-nan	-nan	0.44571	0.40856	0.000150000000000	1.000000000000000	0.022500000000000	0
5000		-nan	-nan	0.45200	0.40840	0.000150000000000	1.000000000000000	0.022500000000000	0
5500		-nan	-nan	0.44533	0.40845	0.000150000000000	1.000000000000000	0.022500000000000	0
6000		-nan	-nan	0.44620	0.40803	0.000150000000000	1.000000000000000	0.022500000000000	0
6500		-nan	-nan	0.44564	0.40803	0.000150000000000	1.000000000000000	0.022500000000000	0
7000		-nan	-nan	0.45017	0.40800	0.000150000000000	1.000000000000000	0.022500000000000	0
7500		-nan	-nan	0.44815	0.40750	0.000150000000000	1.000000000000000	0.022500000000000	0
8000		-nan	-nan	0.44786	0.40723	0.000150000000000	1.000000000000000	0.022500000000000	0
8500		-nan	-nan	0.44840	0.40728	0.000150000000000	1.000000000000000	0.022500000000000	0
9000		-nan	-nan	0.44875	0.40693	0.000150000000000	1.000000000000000	0.022500000000000	0
9500		-nan	-nan	0.45059	0.40709	0.000150000000000	1.000000000000000	0.022500000000000	0
10000		-nan	-nan	0.44889	0.40742	0.000150000000000	1.000000000000000	0.022500000000000	0
10500		-nan	-nan	0.45063	0.40739	0.000150000000000	1.000000000000000	0.022500000000000	0
11000		-nan	-nan	0.45230	0.40726	0.000150000000000	1.000000000000000	0.022500000000000	0
11500		-nan	-nan	0.45190	0.40710	0.000150000000000	1.000000000000000	0.022500000000000	0
12000		-nan	-nan	0.45036	0.40715	0.000150000000000	1.000000000000000	0.022500000000000	0
12500		-nan	-nan	0.45026	0.40728	0.000150000000000	1.000000000000000	0.022500000000000	0
13000		-nan	-nan	0.45042	0.40749	0.000150000000000	1.000000000000000	0.022500000000000	0
13500		-nan	-nan	0.44848	0.40759	0.000150000000000	1.000000000000000	0.022500000000000	0
14000		-nan	-nan	0.45023	0.40749	0.000150000000000	1.000000000000000	0.022500000000000	0
14500		-nan	-nan	0.44889	0.40758	0.000150000000000	1.000000000000000	0.022500000000000	0
15000		-nan	-nan	0.44814	0.40761	0.000150000000000	1.000000000000000	0.022500000000000	0
15500		-nan	-nan	0.44662	0.40783	0.000150000000000	1.000000000000000	0.022500000000000	0
16000		-nan	-nan	0.44700	0.40767	0.000150000000000	1.000000000000000	0.022500000000000	0
16500		-nan	-nan	0.44542	0.40733	0.000150000000000	1.000000000000000	0.022500000000000	0
17000		-nan	-nan	0.44638	0.40760	0.000150000000000	1.000000000000000	0.022500000000000	0
17500		-nan	-nan	0.44418	0.40731	0.000150000000000	1.000000000000000	0.022500000000000	0
18000		-nan	-nan	0.44382	0.40721	0.000150000000000	1.000000000000000	0.022500000000000	0
18500		-nan	-nan	0.44400	0.40728	0.000150000000000	1.000000000000000	0.022500000000000	0
19000		-nan	-nan	0.44333	0.40725	0.000150000000000	1.000000000000000	0.022500000000000	0
19500		-nan	-nan	0.44276	0.40724	0.000150000000000	1.000000000000000	0.022500000000000	0
20000		-nan	-nan	0.44121	0.40747	0.000150000000000	1.000000000000000	0.022500000000000	0
20500		-nan	-nan	0.44241	0.40724	0.000150000000000	1.000000000000000	0.022500000000000	0
21000		-nan	-nan	0.44250	0.40717	0.000150000000000	1.000000000000000	0.022500000000000	0
21500		-nan	-nan	0.44229	0.40714	0.000150000000000	1.000000000000000	0.022500000000000	0
22000		-nan	-nan	0.44271	0.40696	0.000150000000000	1.000000000000000	0.022500000000000	0
22500		-nan	-nan	0.44167	0.40700	0.000150000000000	1.000000000000000	0.022500000000000	0
23000		-nan	-nan	0.44127	0.40696	0.000150000000000	1.000000000000000	0.022500000000000	0
23500		-nan	-nan	0.44178	0.40684	0.000150000000000	1.000000000000000	0.022500000000000	0
24000		-nan	-nan	0.44187	0.40682	0.000150000000000	1.000000000000000	0.022500000000000	0
24500		-nan	-nan	0.44243	0.40680	0.000150000000000	1.000000000000000	0.022500000000000	0
25000		-nan	-nan	0.44221	0.40657	0.000150000000000	1.000000000000000	0.022500000000000	0
25500		-nan	-nan	0.44196	0.40671	0.000150000000000	1.000000000000000	0.022500000000000	0
26000		-nan	-nan	0.44236	0.40669	0.000150000000000	1.000000000000000	0.022500000000000	0
26500		-nan	-nan	0.44247	0.40656	0.000150000000000	1.000000000000000	0.022500000000000	0
27000		-nan	-nan	0.44269	0.40652	0.000150000000000	1.000000000000000	0.022500000000000	0
27500		-nan	-nan	0.44272	0.40641	0.000150000000000	1.000000000000000	0.022500000000000	0
28000		-nan	-nan	0.44333	0.40645	0.000150000000000	1.000000000000000	0.022500000000000	0
28500		-nan	-nan	0.44309	0.40643	0.000150000000000	1.000000000000000	0.022500000000000	0
29000		-nan	-nan	0.44293	0.40652	0.000150000000000	1.000000000000000	0.022500000000000	0
29500		-nan	-nan	0.44288	0.40649	0.000150000000000	1.000000000000000	0.022500000000000	0
30000		-nan	-nan	0.44214	0.40644	0.000150000000000	1.000000000000000	0.022500000000000	0
30500		-nan	-nan	0.44197	0.40636	0.000150000000000	1.000000000000000	0.022500000000000	0
31000		-nan	-nan	0.44227	0.40632	0.000150000000000	1.000000000000000	0.022500000000000	0
31500		-nan	-nan	0.44213	0.40630	0.000150000000000	1.000000000000000	0.022500000000000	0
32000		-nan	-nan	0.44232	0.40625	0.000150000000000	1.000000000000000	0.022500000000000	0
32500		-nan	-nan	0.44251	0.40623	0.000150000000000	1.000000000000000	0.022500000000000	0
33000		-nan	-nan	0.44266	0.40627	0.000150000000000	1.000000000000000	0.022500000000000	0
33500		-nan	-nan	0.44182	0.40628	0.000150000000000	1.000000000000000	0.022500000000000	0
34000		-nan	-nan	0.44176	0.40627	0.000150000000000	1.000000000000000	0.022500000000000	0
34500		-nan	-nan	0.44203	0.40634	0.000150000000000	1.000000000000000	0.022500000000000	0
35000		-nan	-nan	0.44212	0.40639	0.000150000000000	1.000000000000000	0.022500000000000	0
35500		-nan	-nan	0.44186	0.40639	0.000150000000000	1.000000000000000	0.022500000000000	0
36000		-nan	-nan	0.44140	0.40635	0.000150000000000	1.000000000000000	0.022500000000000	0
36500		-nan	-nan	0.44082	0.40625	0.000150000000000	1.000000000000000	0.022500000000000	0
37000		-nan	-nan	0.44047	0.40632	0.000150000000000	1.000000000000000	0.022500000000000	0
37500		-nan	-nan	0.44003	0.40624	0.000150000000000	1.000000000000000	0.022500000000000	0
38000		-nan	-nan	0.44000	0.40630	0.000150000000000	1.000000000000000	0.022500000000000	0
38500		-nan	-nan	0.43963	0.40623	0.000150000000000	1.000000000000000	0.022500000000000	0
39000		-nan	-nan	0.44076	0.40627	0.000150000000000	1.000000000000000	0.022500000000000	0
39500		-nan	-nan	0.44055	0.40624	0.000150000000000	1.000000000000000	0.022500000000000	0
40000		-nan	-nan	0.44067	0.40624	0.000150000000000	1.000000000000000	0.022500000000000	0
40500		-nan	-nan	0.44033	0.40626	0.000150000000000	1.000000000000000	0.022500000000000	0
41000		-nan	-nan	0.44072	0.40621	0.000150000000000	1.000000000000000	0.022500000000000	0
41500		-nan	-nan	0.44032	0.40618	0.000150000000000	1.000000000000000	0.022500000000000	0
42000		-nan	-nan	0.44083	0.40616	0.000150000000000	1.000000000000000	0.022500000000000	0
42500		-nan	-nan	0.44046	0.40625	0.000150000000000	1.000000000000000	0.022500000000000	0
43000		-nan	-nan	0.44102	0.40626	0.000150000000000	1.000000000000000	0.022500000000000	0
43500		-nan	-nan	0.44153	0.40614	0.000150000000000	1.000000000000000	0.022500000000000	0
44000		-nan	-nan	0.44163	0.40612	0.000150000000000	1.000000000000000	0.022500000000000	0
44500		-nan	-nan	0.44198	0.40607	0.000150000000000	1.000000000000000	0.022500000000000	0
45000		-nan	-nan	0.44205	0.40611	0.000150000000000	1.000000000000000	0.022500000000000	0
45500		-nan	-nan	0.44184	0.40616	0.000150000000000	1.000000000000000	0.022500000000000	0
46000		-nan	-nan	0.44189	0.40608	0.000150000000000	1.000000000000000	0.022500000000000	0
46500		-nan	-nan	0.44165	0.40611	0.000150000000000	1.000000000000000	0.022500000000000	0
47000		-nan	-nan	0.44172	0.40599	0.000150000000000	1.000000000000000	0.022500000000000	0
47500		-nan	-nan	0.44183	0.40597	0.000150000000000	1.000000000000000	0.022500000000000	0
48000		-nan	-nan	0.44145	0.40599	0.000150000000000	1.000000000000000	0.022500000000000	0
48500		-nan	-nan	0.44166	0.40602	0.000150000000000	1.000000000000000	0.022500000000000	0
49000		-nan	-nan	0.44123	0.40615	0.000150000000000	1.000000000000000	0.022500000000000	0
49500		-nan	-nan	0.44107	0.40624	0.000150000000000	1.000000000000000	0.022500000000000	0
50000		-nan	-nan	0.44141	0.40620	0.000150000000000	1.000000000000000	0.022500000000000	0
50500		-nan	-nan	0.44204	0.40618	0.000150000000000	1.000000000000000	0.022500000000000	0
51000		-nan	-nan	0.44216	0.40623	0.000150000000000	1.000000000000000	0.022500000000000	0
