step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88
1	-708.333093339610173	-717.383936720061570	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.470135350700600	-1	2	2	1	3	2	2	5	3	4	3	4	5	6	5	5	5	4	5	5	5	7	6	6	6	5	5	7	5	6	7	5	6	8	7	7	10	6	7	6	6	7	10	10	9	8	7	7	8	8	10	8	7	8	8	8	12	8	9	9	7	11	15	11	11	9	11	8	8	10	10	10	9	11	11	13	11	10	11	13	13	12	14	17	14	16	15	22	0	1	1	1	2	1	1	18	4	6	7	2	4	6	7	18	18	3	9	10	11	3	7	8	9	9	12	6	6	7	7	7	20	12	12	12	6	8	3	9	9	27	29	29	29	7	32	33	6	8	24	25	9	29	32	32	33	35	69	29	7	12	13	21	23	39	47	47	36	39	7	25	55	56	59	13	49	50	59	70	7	71	72	77	50	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-590.852705940411852	-598.786307377497565	7.933601437085665	0.000009983548000	0.000040089349493	4.015541318055726	0.995707859949331	-1	1	1	2	2	3	2	6	3	5	3	5	5	5	6	6	4	3	4	6	6	5	5	7	7	4	6	8	6	4	5	5	7	8	6	7	6	7	7	5	6	7	9	9	10	8	7	8	8	8	8	7	5	8	7	7	10	9	9	10	4	9	7	11	9	9	11	8	8	10	10	9	8	11	10	8	11	11	11	13	8	12	14	12	13	17	15	21	0	1	1	2	2	2	3	17	4	6	7	2	4	6	7	17	18	3	9	10	11	3	7	17	40	9	12	14	6	7	30	30	20	12	12	12	14	8	22	19	40	27	29	29	29	15	32	33	14	8	24	40	9	29	32	32	33	35	69	44	7	12	13	21	23	39	47	47	36	39	15	52	55	56	59	63	49	50	69	70	15	71	72	77	50	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-590.937297334674781	-599.024442619375577	8.087145284700810	0.000009960863308	0.000035296479904	3.543516140230246	0.998794387932506	-3	1	0	2	2	3	2	5	3	5	3	3	4	5	5	6	4	2	5	6	5	5	7	5	7	4	4	6	5	6	5	4	7	5	7	5	9	6	7	6	7	7	10	9	7	8	7	8	8	9	7	9	6	8	6	6	10	8	10	10	7	10	10	9	10	8	10	8	7	11	11	11	8	12	12	13	12	11	12	13	10	12	15	16	15	17	15	21	0	1	1	2	2	2	3	17	4	6	7	2	4	6	7	8	18	3	26	10	11	3	15	17	40	9	12	14	6	15	7	7	20	12	12	12	14	8	22	9	40	27	45	45	29	15	32	33	14	8	24	25	19	29	32	32	33	35	69	44	7	12	13	21	23	39	47	47	36	39	46	52	55	56	59	63	49	50	59	70	46	71	72	77	50	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-581.726835571365996	-589.766651431488299	8.039815860122292	0.000009936760494	0.000036722929817	3.695664179432850	0.994170914428187	0	1	1	2	2	3	2	5	3	4	4	5	6	5	5	5	3	2	4	6	5	6	6	7	5	5	6	5	6	4	6	5	7	9	7	6	7	7	8	4	6	7	7	9	8	8	7	8	9	7	10	6	7	8	8	8	12	8	10	10	7	7	12	10	11	10	11	8	8	9	11	8	9	11	10	14	11	9	12	13	13	13	14	16	12	15	16	20	0	1	1	2	2	2	3	17	4	6	7	2	4	6	7	17	18	3	9	10	11	3	30	8	40	9	12	6	6	7	15	30	20	12	12	12	14	8	22	9	40	27	29	45	43	15	32	33	37	8	24	25	19	29	32	32	33	35	69	44	15	12	13	21	23	39	47	47	36	39	46	52	55	56	69	63	49	50	59	70	46	71	72	77	78	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-586.574155650551916	-594.714456602231621	8.140300951679730	0.000010012874569	0.000033730402702	3.368703210090151	0.997002306046601	0	1	1	2	4	3	3	6	3	4	4	4	4	4	5	6	5	2	5	5	6	6	6	7	7	5	5	5	5	6	8	5	6	8	6	6	6	6	8	5	7	6	6	9	7	7	7	8	8	7	10	9	7	7	8	8	8	8	10	10	7	6	12	12	11	9	9	9	9	9	10	8	9	11	12	13	10	11	11	12	9	11	11	17	14	16	16	22	0	1	1	2	2	2	3	17	4	6	7	2	4	6	7	17	18	3	9	10	11	3	15	8	40	9	12	14	14	7	7	7	20	12	12	12	14	17	22	9	40	27	29	45	43	15	32	33	14	17	24	25	26	43	32	32	33	35	69	44	30	12	13	21	23	39	47	47	36	39	46	40	55	56	59	63	49	50	69	70	30	71	72	77	78	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-581.403632757873993	-589.643439714447936	8.239806956573887	0.000010136961418	0.000030858904016	3.044196652688484	0.982333268754118	-1	1	1	2	3	3	3	5	4	4	4	5	5	5	5	6	4	3	6	5	5	5	7	7	7	5	6	7	6	7	7	4	6	7	7	7	9	5	7	5	7	8	10	8	8	9	5	8	9	7	9	6	6	8	5	6	10	9	10	9	8	7	12	7	10	9	9	7	8	11	11	10	9	10	11	13	11	10	9	13	13	12	14	17	13	17	15	21	0	1	1	2	2	2	3	17	4	6	7	2	4	6	7	17	18	3	9	10	11	3	15	8	40	9	12	6	14	7	15	7	20	12	12	12	14	17	22	9	52	27	45	29	29	15	32	33	6	17	24	40	26	29	32	32	33	35	69	44	15	12	13	21	23	39	47	47	36	39	30	25	55	56	69	63	49	50	69	70	46	71	72	77	78	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-571.889169320224823	-580.186807849358047	8.297638529133224	0.000010157746480	0.000029214012728	2.876032866547688	0.998106565247936	0	1	2	2	3	3	3	6	4	4	4	5	5	5	5	6	5	4	5	5	5	6	5	7	6	6	6	5	6	7	7	5	7	7	7	8	8	6	8	5	7	7	8	9	7	8	7	8	8	7	9	8	5	9	6	7	12	9	10	10	7	8	12	10	12	10	9	9	9	10	10	10	9	11	11	14	12	11	12	14	12	11	14	16	15	16	14	20	0	1	1	2	2	2	3	17	4	6	7	2	4	6	7	17	18	3	9	10	11	3	7	8	40	19	12	6	6	15	15	7	20	12	12	12	6	17	22	9	40	27	29	45	29	30	32	33	14	17	24	25	9	43	32	32	33	35	69	44	15	12	13	21	23	39	47	47	36	39	46	25	55	56	69	63	49	50	59	70	46	71	72	77	78	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-582.873721224002907	-591.340857118854842	8.467135894851886	0.000010631811841	0.000024417113165	2.296608849905807	0.994883501385673	-1	1	0	2	2	3	3	5	3	4	4	4	3	5	6	5	3	2	4	6	5	5	6	5	6	6	6	7	6	4	7	6	7	8	6	6	7	6	7	5	7	8	7	7	8	5	8	8	8	8	10	7	6	8	8	8	8	8	9	8	7	5	11	11	8	8	12	9	8	10	10	11	9	11	10	12	11	11	11	13	7	12	14	15	9	17	14	22	0	1	1	2	2	2	3	17	4	6	7	2	4	6	30	17	18	3	9	10	11	3	46	17	40	19	12	14	14	7	15	30	20	12	12	12	14	17	22	9	40	27	29	29	43	7	32	33	37	8	24	40	19	43	32	32	33	35	69	44	15	12	13	21	23	39	47	47	36	39	46	52	55	56	69	63	49	85	59	70	15	71	72	77	50	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-576.443144764901490	-584.504031597343214	8.060886832441746	0.000011374655098	0.000036426005157	3.202383267243113	0.992571996283646	0	1	2	2	2	3	3	6	3	4	4	5	5	5	5	6	5	4	5	6	5	4	6	7	7	4	6	8	6	6	6	6	7	9	6	7	8	6	6	5	7	7	8	7	8	7	8	8	7	8	9	9	7	9	7	8	9	9	9	9	8	6	13	10	12	10	11	9	8	9	7	11	10	11	12	14	11	10	11	13	10	13	15	17	13	16	13	20	0	1	1	2	2	2	3	17	4	6	7	2	4	6	7	17	18	3	9	10	11	3	15	8	40	9	12	6	14	15	7	15	20	12	12	12	14	17	22	9	40	27	29	29	29	15	32	33	14	8	24	25	19	43	32	32	33	35	69	44	15	12	13	21	23	39	47	47	36	39	7	52	55	56	69	63	49	50	69	70	7	71	72	77	50	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-556.656232052439918	-564.594800365465971	7.938568313026055	0.000013802720285	0.000039489349758	2.860983120886332	0.984318937379968	-2	0	1	1	3	2	2	6	3	4	4	4	4	7	6	6	5	2	4	5	6	6	4	7	6	5	5	8	6	5	7	6	6	7	6	7	10	6	8	5	7	6	9	7	9	8	8	8	9	8	8	8	5	7	7	8	12	8	9	8	7	6	10	9	10	9	12	9	8	10	9	10	9	11	12	14	11	10	10	13	9	11	13	14	15	17	13	21	0	1	1	2	2	2	3	17	4	6	7	2	4	6	30	17	18	3	9	10	11	3	7	8	40	9	12	14	6	7	15	30	20	12	12	12	14	17	22	19	40	27	29	29	29	15	32	33	14	8	24	25	9	29	32	32	33	35	69	44	30	12	13	21	23	39	47	47	36	39	46	52	55	56	59	63	49	50	59	70	46	71	72	77	50	83	74	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
