step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91
1	-872.168380512076055	-881.219223892527452	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.060594506559501	4	4	9	7	9	13	16	9	12	9	10	18	17	24	9	14	14	16	15	11	20	22	17	12	20	14	17	21	16	18	21	19	20	14	25	19	23	16	20	16	26	20	17	21	18	25	24	19	24	16	24	22	25	17	29	18	24	21	24	17	21	20	19	26	27	21	22	22	20	24	19	22	23	29	25	22	21	31	25	21	32	31	28	30	34	29	32	30	34	44	51	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-586.047585382800776	-595.098428763252173	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.228820276890058	-3	5	10	3	5	11	13	10	9	8	10	19	20	18	7	15	14	16	14	13	21	22	16	3	15	10	19	20	16	15	17	13	17	14	20	11	18	12	23	15	25	20	17	17	14	22	25	19	26	14	25	18	24	12	32	14	23	13	23	15	19	22	14	28	28	21	25	25	13	25	16	20	25	27	28	22	21	31	26	19	33	33	20	31	31	28	25	26	29	36	42	0	24	10	1	1	2	5	4	4	24	24	10	71	56	4	26	5	36	8	10	31	30	26	1	10	24	15	16	6	10	3	5	2	38	71	24	30	5	30	9	72	56	11	45	38	54	25	69	66	8	48	32	72	10	47	26	37	8	34	6	29	40	54	47	3	6	42	56	15	22	10	58	7	27	27	42	63	49	42	45	73	12	8	79	73	59	42	46	13	29	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-465.814336581634223	-474.865179962085563	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988925734572176	-3	5	6	6	10	13	13	9	15	1	6	18	16	25	8	9	12	17	13	11	19	18	10	11	18	16	20	20	14	21	24	17	13	6	26	19	22	16	19	16	24	20	17	22	18	23	28	16	15	11	22	23	22	13	27	13	25	23	13	20	16	11	16	24	24	22	26	17	10	17	16	23	22	31	27	22	21	23	23	9	31	31	27	17	34	26	33	34	33	43	43	0	10	10	10	2	4	11	2	80	1	10	50	24	76	3	3	2	16	3	3	24	6	11	15	59	80	32	36	4	19	42	5	16	1	38	18	62	23	20	59	43	2	16	61	26	71	18	50	34	11	25	17	84	34	53	11	33	25	34	17	10	80	20	68	84	62	48	50	3	2	16	30	43	21	41	49	59	32	45	1	55	55	73	17	72	37	72	65	67	88	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-464.172719422953719	-473.223562803405059	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986582160709865	-2	6	8	3	10	12	16	8	9	12	13	14	17	17	5	13	15	13	12	11	17	18	19	15	22	2	18	25	19	16	20	11	18	14	23	20	23	13	19	18	24	19	17	20	18	27	26	5	25	19	23	22	26	10	30	16	24	14	23	14	22	7	22	28	27	13	13	24	15	25	20	24	19	31	21	19	15	28	24	21	32	27	28	26	26	23	35	31	32	37	42	0	1	1	1	62	2	20	15	1	48	9	20	19	6	26	4	48	9	48	4	48	9	30	54	16	1	32	39	60	20	77	4	30	15	73	7	11	9	9	24	9	19	69	38	60	44	86	1	73	2	29	50	73	4	72	8	44	54	27	20	16	15	33	86	57	4	48	73	3	58	10	29	6	42	34	7	48	71	34	60	75	45	53	30	13	14	88	65	73	89	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-463.962072975322656	-473.012916355773996	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.967141393368635	0	4	6	4	8	14	12	12	9	7	8	4	17	19	13	15	15	13	16	14	24	24	10	7	13	10	14	20	17	22	19	11	13	10	14	14	18	15	19	18	24	23	16	18	19	25	14	20	26	14	28	23	21	20	24	19	18	18	23	17	21	21	21	21	26	18	25	23	13	25	13	19	23	28	26	25	22	30	15	10	30	31	29	30	31	31	19	23	33	46	53	0	1	1	1	3	7	10	12	12	12	2	1	9	8	5	32	5	10	2	23	57	39	10	4	23	10	80	17	10	72	18	2	11	10	2	80	71	33	38	35	58	7	9	25	18	77	80	38	25	9	22	54	35	25	60	23	5	36	37	27	33	43	18	69	64	18	40	38	23	38	5	25	60	70	47	53	79	73	80	24	59	21	61	52	77	55	20	54	21	78	90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-468.137099791219271	-477.187943171670611	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996435125800826	1	7	12	6	8	15	15	9	14	6	5	18	19	24	9	13	15	18	11	13	20	23	6	13	21	12	19	14	12	14	19	20	18	15	20	19	24	16	15	18	23	21	14	12	12	20	23	19	23	8	20	24	20	16	29	10	27	16	26	17	16	16	20	29	24	19	22	15	19	15	17	23	26	21	28	21	22	33	18	19	30	28	27	28	22	26	30	16	33	45	40	0	1	56	1	1	15	26	4	5	1	1	19	28	21	23	23	4	38	8	56	17	70	1	56	12	10	9	56	5	15	19	39	9	8	10	58	77	44	10	11	18	71	1	23	4	58	31	44	46	23	10	24	19	56	76	5	43	26	43	26	4	9	43	31	19	34	20	15	2	3	39	25	48	24	54	70	24	57	17	26	37	65	46	25	33	31	67	26	57	87	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-484.921833904792493	-493.972677285243833	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983521993534356	-4	7	4	10	4	9	13	6	0	4	11	18	15	22	3	11	14	15	14	13	20	23	20	2	17	11	15	12	17	20	14	17	21	9	17	8	23	13	22	18	26	17	11	19	10	18	21	17	23	21	17	23	18	19	26	19	25	23	22	18	25	19	18	25	27	18	27	22	10	12	14	8	23	28	23	23	14	31	16	21	31	26	26	28	29	30	34	24	27	42	49	0	15	1	24	9	1	36	5	1	9	10	6	8	70	1	6	11	72	45	34	71	27	19	1	31	15	69	9	70	27	36	16	40	2	20	9	33	72	19	20	47	28	8	31	8	69	79	7	7	18	72	19	8	7	27	20	66	2	26	11	21	43	3	47	27	77	17	4	15	6	8	5	63	11	40	11	3	41	16	29	59	54	58	66	49	62	86	11	62	41	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-463.330065870883743	-472.380909251335083	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998096803484507	-3	3	2	6	5	13	11	0	14	7	9	17	20	22	7	11	11	7	11	9	19	23	15	8	18	3	14	22	15	17	19	12	22	14	14	20	26	14	21	13	25	24	14	22	13	25	24	17	22	18	25	13	27	21	30	18	28	19	23	19	21	22	15	29	24	17	24	19	16	18	19	22	22	30	26	22	19	31	25	21	30	26	25	18	36	29	28	29	38	39	46	0	1	1	8	8	10	5	1	20	1	5	43	26	40	26	18	18	2	3	18	27	68	10	1	23	1	4	50	15	19	23	10	27	16	11	7	68	2	66	4	13	32	24	38	26	17	34	2	27	19	68	15	48	30	67	26	25	17	66	40	24	66	11	50	21	2	50	38	17	2	6	29	50	44	31	27	9	65	21	30	77	22	69	40	46	46	34	14	88	82	44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-475.965551136729175	-485.016394517180515	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977919434474861	-4	7	9	10	4	15	6	3	10	9	0	22	11	23	13	8	3	12	16	12	19	25	16	7	18	14	17	21	16	15	15	16	18	16	21	21	22	13	21	19	14	20	15	19	16	21	23	20	25	17	19	16	11	17	28	16	24	22	28	16	24	16	13	27	23	20	25	19	24	26	17	23	25	26	30	19	23	26	23	24	32	30	27	30	38	25	31	34	30	42	34	0	11	11	17	1	7	11	11	7	1	1	15	11	48	10	5	1	2	3	9	34	66	24	1	13	2	15	18	20	18	13	63	41	8	60	56	7	7	34	3	8	62	10	4	24	60	66	43	40	15	4	15	24	3	12	53	52	30	14	7	28	2	5	23	68	53	34	41	44	23	24	31	42	42	49	53	52	10	33	48	31	22	44	54	82	54	67	67	62	75	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-476.589903259752816	-485.640746640204156	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993813478231910	1	7	5	4	12	6	17	13	7	10	7	16	19	27	12	16	13	16	10	13	17	18	14	8	15	14	20	20	10	15	20	17	20	13	12	18	23	15	16	19	24	20	11	20	17	17	26	14	27	17	19	14	14	17	31	20	24	20	21	18	18	11	20	24	19	19	24	10	10	25	15	12	22	30	28	26	20	19	23	23	27	24	29	20	35	25	32	22	36	43	48	0	1	1	1	10	1	29	19	1	4	4	3	20	53	69	72	9	62	9	11	43	68	19	3	69	62	18	7	4	19	26	17	3	4	6	26	21	29	8	19	18	17	6	38	9	9	77	3	66	17	39	69	3	68	22	2	7	45	58	25	35	6	39	29	17	18	18	3	6	61	4	6	71	20	79	28	71	15	46	29	40	31	73	10	80	59	49	61	87	89	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
