step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-1258.178834251326180	-1267.229677631777577	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.335092741230092	6	8	7	19	17	18	22	23	29	28	30	28	28	34	34	36	33	32	38	42	31	42	38	39	40	34	36	49	37	33	51	38	42	35	36	41	42	39	43	49	54	48	44	51	49	49	47	44	41	44	46	46	52	46	47	45	47	54	53	49	50	55	44	49	47	55	49	48	49	63	54	52	63	60	61	64	66	58	59	65	66	67	69	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-436.556394804926015	-445.607238185377355	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.845537473594151	5	10	10	19	17	14	20	21	30	28	31	26	24	37	32	37	33	30	35	38	28	43	40	42	34	36	40	46	36	27	49	41	40	35	34	36	30	40	45	41	53	47	42	49	51	53	41	35	45	45	45	49	52	43	46	46	47	54	52	50	52	50	44	49	45	51	51	43	46	55	54	55	45	48	54	62	59	59	61	57	64	61	64	0	1	1	6	2	2	5	3	13	5	12	8	4	21	21	9	6	30	30	25	13	15	11	35	12	18	19	33	17	4	43	9	16	37	9	30	8	25	20	19	42	26	36	27	51	74	9	18	20	27	32	26	64	18	48	19	26	63	42	33	51	73	23	43	26	43	68	17	32	47	65	54	32	49	62	72	56	31	75	69	75	71	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-433.637440172685672	-442.688283553137012	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989132861665792	-1	5	9	16	15	18	22	24	24	31	28	29	29	27	34	35	32	30	37	41	30	40	39	34	32	30	26	52	38	28	42	36	41	35	38	35	43	41	43	45	49	50	45	47	43	45	40	38	39	39	45	44	54	41	45	49	42	54	52	45	49	52	46	51	42	56	49	42	53	55	55	50	61	56	63	58	68	57	57	62	61	61	66	0	1	2	3	1	2	4	6	6	27	6	7	9	7	30	27	8	8	30	32	27	15	13	27	3	4	5	47	24	9	7	13	19	13	17	9	18	18	25	22	57	60	19	55	36	49	13	18	25	11	38	47	41	13	47	35	29	43	16	47	68	54	47	63	50	62	51	48	20	47	19	57	61	59	63	53	82	41	22	70	62	58	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-442.078487068919856	-451.129330449371196	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986130862339946	4	10	10	18	18	15	21	21	28	22	20	23	26	28	27	34	34	29	36	43	31	43	40	39	44	30	35	52	40	36	46	35	40	33	38	40	36	35	44	49	57	47	45	54	43	47	51	47	45	43	39	38	53	49	41	35	47	52	37	48	47	49	42	45	44	56	31	50	48	60	50	54	61	57	56	58	60	60	58	62	66	56	65	0	1	1	6	6	3	5	5	12	6	6	4	4	5	8	5	67	7	5	29	10	38	32	30	63	7	26	46	34	34	19	18	15	9	9	19	9	12	21	22	68	45	16	54	59	51	22	36	18	32	15	21	48	20	26	14	45	40	56	15	52	33	14	23	24	42	8	48	55	28	24	45	74	28	28	47	25	22	58	75	76	54	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-432.074340685829554	-441.125184066280895	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995823776264420	2	9	11	16	19	14	19	27	29	31	31	27	25	28	30	40	34	27	37	34	33	35	40	42	42	28	30	38	36	33	47	41	39	33	39	41	43	35	39	47	53	43	40	47	50	46	48	44	44	30	42	45	35	45	48	47	49	51	51	42	52	59	39	50	44	56	48	48	51	64	58	48	64	50	60	59	66	45	59	60	66	64	71	0	1	2	2	4	3	3	3	7	18	26	7	6	7	13	10	9	3	15	18	18	14	53	20	34	13	8	13	11	18	22	11	38	26	17	34	29	11	20	37	68	10	20	32	60	63	35	25	22	5	53	21	26	50	78	24	24	42	54	29	54	61	14	16	29	45	23	36	60	75	56	23	75	35	66	72	62	38	68	69	59	71	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-454.773714379784167	-463.824557760235507	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.961478400428034	4	10	11	12	16	17	14	14	31	32	23	22	28	32	34	35	28	30	34	36	33	46	39	35	39	26	24	52	31	28	51	39	43	36	29	44	45	32	40	50	56	38	40	53	45	50	44	45	39	46	47	39	51	46	42	45	47	52	43	48	53	50	41	42	50	55	47	49	42	47	55	36	61	59	58	57	64	55	59	46	59	56	60	0	1	1	2	7	4	3	1	11	26	5	8	12	26	27	9	11	11	29	12	17	23	14	6	38	6	8	48	17	7	37	29	24	14	26	43	63	17	34	23	62	10	27	48	21	25	49	30	38	20	52	10	54	72	42	72	25	67	32	54	51	67	14	15	23	51	36	64	49	48	68	27	58	78	62	57	81	59	70	17	78	36	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-442.224356190569040	-451.275199571020380	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999647425177688	-2	5	8	21	20	14	19	25	26	23	16	27	31	35	36	37	30	28	38	43	31	41	35	32	39	28	36	45	41	35	43	31	41	33	26	38	42	41	42	49	49	36	39	54	50	51	43	37	45	42	38	50	51	30	47	47	50	56	52	52	45	53	45	50	44	57	51	47	47	63	55	49	55	52	61	64	56	48	56	58	63	56	63	0	1	2	11	2	1	3	4	5	7	3	6	18	26	35	8	35	10	13	16	12	23	12	35	35	11	32	23	19	10	17	10	30	12	7	48	48	27	14	63	29	54	42	63	65	43	23	54	51	48	12	50	49	10	48	12	20	59	33	31	16	55	15	20	43	41	31	39	37	79	31	20	43	69	44	28	52	43	53	72	80	28	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-424.401002636844453	-433.451846017295793	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991771693312972	3	9	11	18	14	17	18	24	32	24	31	25	22	35	36	33	31	29	39	42	30	40	39	34	43	32	39	51	29	27	52	39	44	37	34	36	44	40	35	49	52	51	42	54	45	49	48	45	34	38	47	48	46	38	43	45	47	50	55	43	51	55	43	46	45	52	41	45	51	53	55	51	61	58	53	58	70	53	54	66	59	63	65	0	1	2	5	1	2	2	7	12	7	10	7	6	18	16	13	10	7	49	49	10	39	26	13	14	29	16	48	8	13	45	18	16	49	11	17	39	26	17	63	68	53	16	45	50	22	51	14	12	21	11	38	36	16	19	54	55	32	31	22	25	51	9	36	67	60	21	63	49	57	46	55	62	41	25	59	79	40	42	44	71	79	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-425.347118416870728	-434.397961797322068	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972170158080176	5	11	11	18	18	14	23	24	29	26	28	27	25	22	32	38	27	30	42	35	32	39	37	34	39	33	35	48	32	33	51	39	35	37	33	43	39	37	46	48	54	48	47	41	51	41	47	41	42	41	48	45	50	48	43	45	47	56	55	52	38	56	47	48	45	49	46	39	44	65	53	39	62	61	52	58	67	54	58	64	65	67	71	0	1	1	3	2	1	4	4	7	4	13	7	5	3	13	18	2	12	16	13	11	26	18	18	26	13	17	36	10	14	56	26	9	26	11	38	20	15	48	25	40	16	48	34	52	20	72	18	38	34	32	19	27	33	44	27	32	16	40	55	12	52	22	50	30	13	37	21	37	78	63	27	62	57	67	60	80	63	54	62	39	80	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-431.035911394199388	-440.086754774650728	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972110749119689	5	8	11	21	12	15	21	21	26	18	28	28	27	36	34	38	30	36	35	44	31	40	36	32	38	35	34	47	32	33	47	40	36	33	30	40	40	39	39	46	43	46	41	35	40	51	47	45	39	42	43	42	54	44	46	42	47	55	41	53	54	54	44	41	42	56	45	50	50	61	52	55	57	58	57	63	60	58	56	67	57	59	61	0	1	1	6	2	3	10	6	10	1	9	8	7	29	13	24	10	34	29	32	9	34	8	12	21	11	11	49	12	9	18	33	7	13	4	15	14	26	24	44	38	63	33	11	15	55	51	30	34	19	17	16	31	24	39	30	25	54	18	57	41	55	39	21	23	71	25	30	45	75	48	57	71	42	54	71	69	40	28	82	72	60	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
