step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.78379	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.56000	0.78832	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.48400	0.78562	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.47500	0.78640	0.000150000000000	1.000000000000000	0.022500000000000	0
2500		-nan	-nan	0.46000	0.78728	0.000150000000000	1.000000000000000	0.022500000000000	0
3000		-nan	-nan	0.45550	0.78664	0.000150000000000	1.000000000000000	0.022500000000000	0
3500		-nan	-nan	0.45600	0.78638	0.000150000000000	1.000000000000000	0.022500000000000	0
4000		-nan	-nan	0.45500	0.78616	0.000150000000000	1.000000000000000	0.022500000000000	0
4500		-nan	-nan	0.45029	0.78583	0.000150000000000	1.000000000000000	0.022500000000000	0
5000		-nan	-nan	0.44625	0.78549	0.000150000000000	1.000000000000000	0.022500000000000	0
5500		-nan	-nan	0.44933	0.78540	0.000150000000000	1.000000000000000	0.022500000000000	0
6000		-nan	-nan	0.44540	0.78484	0.000150000000000	1.000000000000000	0.022500000000000	0
6500		-nan	-nan	0.44727	0.78457	0.000150000000000	1.000000000000000	0.022500000000000	0
7000		-nan	-nan	0.44533	0.78480	0.000150000000000	1.000000000000000	0.022500000000000	0
7500		-nan	-nan	0.44477	0.78479	0.000150000000000	1.000000000000000	0.022500000000000	0
8000		-nan	-nan	0.44529	0.78450	0.000150000000000	1.000000000000000	0.022500000000000	0
8500		-nan	-nan	0.44333	0.78469	0.000150000000000	1.000000000000000	0.022500000000000	0
9000		-nan	-nan	0.44238	0.78460	0.000150000000000	1.000000000000000	0.022500000000000	0
9500		-nan	-nan	0.44400	0.78451	0.000150000000000	1.000000000000000	0.022500000000000	0
10000		-nan	-nan	0.44611	0.78467	0.000150000000000	1.000000000000000	0.022500000000000	0
10500		-nan	-nan	0.44568	0.78455	0.000150000000000	1.000000000000000	0.022500000000000	0
11000		-nan	-nan	0.44460	0.78444	0.000150000000000	1.000000000000000	0.022500000000000	0
11500		-nan	-nan	0.44410	0.78448	0.000150000000000	1.000000000000000	0.022500000000000	0
12000		-nan	-nan	0.44264	0.78436	0.000150000000000	1.000000000000000	0.022500000000000	0
12500		-nan	-nan	0.44157	0.78466	0.000150000000000	1.000000000000000	0.022500000000000	0
13000		-nan	-nan	0.44067	0.78471	0.000150000000000	1.000000000000000	0.022500000000000	0
13500		-nan	-nan	0.44064	0.78455	0.000150000000000	1.000000000000000	0.022500000000000	0
14000		-nan	-nan	0.44177	0.78455	0.000150000000000	1.000000000000000	0.022500000000000	0
14500		-nan	-nan	0.44096	0.78449	0.000150000000000	1.000000000000000	0.022500000000000	0
15000		-nan	-nan	0.43957	0.78460	0.000150000000000	1.000000000000000	0.022500000000000	0
15500		-nan	-nan	0.44028	0.78456	0.000150000000000	1.000000000000000	0.022500000000000	0
16000		-nan	-nan	0.44100	0.78446	0.000150000000000	1.000000000000000	0.022500000000000	0
16500		-nan	-nan	0.43961	0.78450	0.000150000000000	1.000000000000000	0.022500000000000	0
17000		-nan	-nan	0.43931	0.78455	0.000150000000000	1.000000000000000	0.022500000000000	0
17500		-nan	-nan	0.43794	0.78434	0.000150000000000	1.000000000000000	0.022500000000000	0
18000		-nan	-nan	0.43871	0.78423	0.000150000000000	1.000000000000000	0.022500000000000	0
18500		-nan	-nan	0.43966	0.78421	0.000150000000000	1.000000000000000	0.022500000000000	0
19000		-nan	-nan	0.44100	0.78427	0.000150000000000	1.000000000000000	0.022500000000000	0
19500		-nan	-nan	0.44038	0.78423	0.000150000000000	1.000000000000000	0.022500000000000	0
20000		-nan	-nan	0.44053	0.78433	0.000150000000000	1.000000000000000	0.022500000000000	0
20500		-nan	-nan	0.44031	0.78430	0.000150000000000	1.000000000000000	0.022500000000000	0
21000		-nan	-nan	0.43995	0.78423	0.000150000000000	1.000000000000000	0.022500000000000	0
21500		-nan	-nan	0.43961	0.78426	0.000150000000000	1.000000000000000	0.022500000000000	0
22000		-nan	-nan	0.43886	0.78427	0.000150000000000	1.000000000000000	0.022500000000000	0
22500		-nan	-nan	0.43963	0.78422	0.000150000000000	1.000000000000000	0.022500000000000	0
23000		-nan	-nan	0.44045	0.78424	0.000150000000000	1.000000000000000	0.022500000000000	0
23500		-nan	-nan	0.43947	0.78416	0.000150000000000	1.000000000000000	0.022500000000000	0
24000		-nan	-nan	0.43996	0.78411	0.000150000000000	1.000000000000000	0.022500000000000	0
24500		-nan	-nan	0.44077	0.78401	0.000150000000000	1.000000000000000	0.022500000000000	0
25000		-nan	-nan	0.44117	0.78401	0.000150000000000	1.000000000000000	0.022500000000000	0
25500		-nan	-nan	0.44139	0.78404	0.000150000000000	1.000000000000000	0.022500000000000	0
26000		-nan	-nan	0.44188	0.78409	0.000150000000000	1.000000000000000	0.022500000000000	0
26500		-nan	-nan	0.44282	0.78405	0.000150000000000	1.000000000000000	0.022500000000000	0
27000		-nan	-nan	0.44300	0.78413	0.000150000000000	1.000000000000000	0.022500000000000	0
27500		-nan	-nan	0.44347	0.78418	0.000150000000000	1.000000000000000	0.022500000000000	0
28000		-nan	-nan	0.44337	0.78416	0.000150000000000	1.000000000000000	0.022500000000000	0
28500		-nan	-nan	0.44324	0.78417	0.000150000000000	1.000000000000000	0.022500000000000	0
29000		-nan	-nan	0.44311	0.78422	0.000150000000000	1.000000000000000	0.022500000000000	0
29500		-nan	-nan	0.44337	0.78421	0.000150000000000	1.000000000000000	0.022500000000000	0
30000		-nan	-nan	0.44341	0.78427	0.000150000000000	1.000000000000000	0.022500000000000	0
30500		-nan	-nan	0.44342	0.78426	0.000150000000000	1.000000000000000	0.022500000000000	0
31000		-nan	-nan	0.44383	0.78419	0.000150000000000	1.000000000000000	0.022500000000000	0
31500		-nan	-nan	0.44380	0.78423	0.000150000000000	1.000000000000000	0.022500000000000	0
32000		-nan	-nan	0.44377	0.78418	0.000150000000000	1.000000000000000	0.022500000000000	0
32500		-nan	-nan	0.44416	0.78418	0.000150000000000	1.000000000000000	0.022500000000000	0
33000		-nan	-nan	0.44469	0.78410	0.000150000000000	1.000000000000000	0.022500000000000	0
33500		-nan	-nan	0.44471	0.78405	0.000150000000000	1.000000000000000	0.022500000000000	0
34000		-nan	-nan	0.44503	0.78406	0.000150000000000	1.000000000000000	0.022500000000000	0
34500		-nan	-nan	0.44513	0.78391	0.000150000000000	1.000000000000000	0.022500000000000	0
35000		-nan	-nan	0.44559	0.78386	0.000150000000000	1.000000000000000	0.022500000000000	0
35500		-nan	-nan	0.44580	0.78391	0.000150000000000	1.000000000000000	0.022500000000000	0
36000		-nan	-nan	0.44580	0.78393	0.000150000000000	1.000000000000000	0.022500000000000	0
36500		-nan	-nan	0.44558	0.78391	0.000150000000000	1.000000000000000	0.022500000000000	0
37000		-nan	-nan	0.44575	0.78390	0.000150000000000	1.000000000000000	0.022500000000000	0
37500		-nan	-nan	0.44521	0.78391	0.000150000000000	1.000000000000000	0.022500000000000	0
38000		-nan	-nan	0.44427	0.78393	0.000150000000000	1.000000000000000	0.022500000000000	0
38500		-nan	-nan	0.44437	0.78397	0.000150000000000	1.000000000000000	0.022500000000000	0
39000		-nan	-nan	0.44439	0.78392	0.000150000000000	1.000000000000000	0.022500000000000	0
39500		-nan	-nan	0.44408	0.78396	0.000150000000000	1.000000000000000	0.022500000000000	0
40000		-nan	-nan	0.44385	0.78401	0.000150000000000	1.000000000000000	0.022500000000000	0
40500		-nan	-nan	0.44344	0.78399	0.000150000000000	1.000000000000000	0.022500000000000	0
41000		-nan	-nan	0.44325	0.78401	0.000150000000000	1.000000000000000	0.022500000000000	0
41500		-nan	-nan	0.44346	0.78396	0.000150000000000	1.000000000000000	0.022500000000000	0
42000		-nan	-nan	0.44354	0.78397	0.000150000000000	1.000000000000000	0.022500000000000	0
42500		-nan	-nan	0.44361	0.78396	0.000150000000000	1.000000000000000	0.022500000000000	0
43000		-nan	-nan	0.44417	0.78392	0.000150000000000	1.000000000000000	0.022500000000000	0
43500		-nan	-nan	0.44402	0.78393	0.000150000000000	1.000000000000000	0.022500000000000	0
44000		-nan	-nan	0.44374	0.78393	0.000150000000000	1.000000000000000	0.022500000000000	0
44500		-nan	-nan	0.44391	0.78390	0.000150000000000	1.000000000000000	0.022500000000000	0
45000		-nan	-nan	0.44402	0.78391	0.000150000000000	1.000000000000000	0.022500000000000	0
45500		-nan	-nan	0.44476	0.78386	0.000150000000000	1.000000000000000	0.022500000000000	0
46000		-nan	-nan	0.44464	0.78390	0.000150000000000	1.000000000000000	0.022500000000000	0
46500		-nan	-nan	0.44411	0.78383	0.000150000000000	1.000000000000000	0.022500000000000	0
47000		-nan	-nan	0.44374	0.78379	0.000150000000000	1.000000000000000	0.022500000000000	0
47500		-nan	-nan	0.44400	0.78377	0.000150000000000	1.000000000000000	0.022500000000000	0
48000		-nan	-nan	0.44396	0.78374	0.000150000000000	1.000000000000000	0.022500000000000	0
48500		-nan	-nan	0.44436	0.78372	0.000150000000000	1.000000000000000	0.022500000000000	0
49000		-nan	-nan	0.44460	0.78374	0.000150000000000	1.000000000000000	0.022500000000000	0
49500		-nan	-nan	0.44439	0.78374	0.000150000000000	1.000000000000000	0.022500000000000	0
50000		-nan	-nan	0.44439	0.78373	0.000150000000000	1.000000000000000	0.022500000000000	0
50500		-nan	-nan	0.44390	0.78378	0.000150000000000	1.000000000000000	0.022500000000000	0
51000		-nan	-nan	0.44364	0.78382	0.000150000000000	1.000000000000000	0.022500000000000	0
51500		-nan	-nan	0.44335	0.78384	0.000150000000000	1.000000000000000	0.022500000000000	0
52000		-nan	-nan	0.44316	0.78379	0.000150000000000	1.000000000000000	0.022500000000000	0
52500		-nan	-nan	0.44330	0.78379	0.000150000000000	1.000000000000000	0.022500000000000	0
53000		-nan	-nan	0.44356	0.78375	0.000150000000000	1.000000000000000	0.022500000000000	0
53500		-nan	-nan	0.44370	0.78376	0.000150000000000	1.000000000000000	0.022500000000000	0
54000		-nan	-nan	0.44366	0.78377	0.000150000000000	1.000000000000000	0.022500000000000	0
54500		-nan	-nan	0.44355	0.78380	0.000150000000000	1.000000000000000	0.022500000000000	0
55000		-nan	-nan	0.44346	0.78378	0.000150000000000	1.000000000000000	0.022500000000000	0
55500		-nan	-nan	0.44352	0.78380	0.000150000000000	1.000000000000000	0.022500000000000	0
56000		-nan	-nan	0.44311	0.78375	0.000150000000000	1.000000000000000	0.022500000000000	0
56500		-nan	-nan	0.44326	0.78374	0.000150000000000	1.000000000000000	0.022500000000000	0
57000		-nan	-nan	0.44330	0.78382	0.000150000000000	1.000000000000000	0.022500000000000	0
57500		-nan	-nan	0.44319	0.78382	0.000150000000000	1.000000000000000	0.022500000000000	0
