step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	0.24048	1.00000	0.78292	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.27400	0.55800	0.78249	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99000	0.30300	0.50400	0.78209	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.97800	0.31133	0.38800	0.78219	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97800	0.30550	0.38800	0.78240	0.000506250000000	0.666666666666667	0.033750000000000	0
3000		0.96600	0.30960	0.40333	0.78229	0.000759375000000	0.666666666666667	0.033750000000000	0
3500		0.95200	0.30567	0.40850	0.78172	0.001139062500000	0.666666666666667	0.033750000000000	0
4000		0.92400	0.30800	0.40600	0.78159	0.001708593750000	0.666666666666667	0.033750000000000	0
4500		0.91000	0.30850	0.40600	0.78140	0.002562890625000	0.666666666666667	0.033750000000000	0
5000		0.87400	0.31356	0.39743	0.78144	0.003844335937500	0.666666666666667	0.033750000000000	0
5500		0.85200	0.31020	0.39525	0.78136	0.005766503906250	0.666666666666667	0.033750000000000	0
6000		0.81000	0.30982	0.39156	0.78100	0.008649755859375	0.666666666666667	0.033750000000000	0
6500		0.89600	0.31083	0.39400	0.78132	0.012974633789063	0.666666666666667	0.033750000000000	0
7000		0.92600	0.30923	0.39055	0.78147	0.019461950683594	0.666666666666667	0.033750000000000	0
7500		0.88400	0.30857	0.39567	0.78120	0.029192926025391	0.666666666666667	0.033750000000000	0
8000		0.83600	0.30947	0.39462	0.78135	0.043789389038086	0.666666666666667	0.033750000000000	0
8500		0.71800	0.30850	0.39471	0.78064	0.065684083557129	0.666666666666667	0.033750000000000	0
9000		0.68800	0.30965	0.39053	0.78028	0.098526125335693	0.666666666666667	0.033750000000000	0
9500		0.53600	0.31222	0.39163	0.78001	0.147789188003540	0.666666666666667	0.033750000000000	0
10000		0.45000	0.31137	0.39000	0.78046	0.221683782005310	0.666666666666667	0.033750000000000	0
10500		0.44400	0.31190	0.38844	0.78040	0.221683782005310	0.666666666666667	0.033750000000000	0
11000		0.44000	0.31210	0.38842	0.78042	0.221683782005310	0.666666666666667	0.033750000000000	0
11500		0.42250	0.31273	0.38950	0.78063	0.221683782005310	0.666666666666667	0.033750000000000	0
12000		0.42520	0.31243	0.38924	0.78056	0.221683782005310	0.666666666666667	0.033750000000000	0
12500		0.42100	0.31242	0.38836	0.78047	0.221683782005310	0.666666666666667	0.033750000000000	0
13000		0.41943	0.31088	0.38678	0.78052	0.221683782005310	0.666666666666667	0.033750000000000	0
13500		0.42000	0.31062	0.38733	0.78024	0.221683782005310	0.666666666666667	0.033750000000000	0
14000		0.41622	0.31089	0.38680	0.78008	0.221683782005310	0.666666666666667	0.033750000000000	0
14500		0.41040	0.31171	0.38808	0.78034	0.221683782005310	0.666666666666667	0.033750000000000	0
15000		0.41309	0.31097	0.38815	0.78033	0.221683782005310	0.666666666666667	0.033750000000000	0
15500		0.41633	0.31087	0.38657	0.78047	0.221683782005310	0.666666666666667	0.033750000000000	0
16000		0.41692	0.31129	0.38572	0.78038	0.221683782005310	0.666666666666667	0.033750000000000	0
16500		0.41586	0.31069	0.38573	0.78033	0.221683782005310	0.666666666666667	0.033750000000000	0
17000		0.41733	0.30994	0.38587	0.78046	0.221683782005310	0.666666666666667	0.033750000000000	0
17500		0.41600	0.30965	0.38562	0.78038	0.221683782005310	0.666666666666667	0.033750000000000	0
18000		0.41541	0.31057	0.38727	0.78032	0.221683782005310	0.666666666666667	0.033750000000000	0
18500		0.41411	0.31050	0.38641	0.78063	0.221683782005310	0.666666666666667	0.033750000000000	0
19000		0.41442	0.31049	0.38743	0.78040	0.221683782005310	0.666666666666667	0.033750000000000	0
19500		0.41520	0.31011	0.38589	0.78029	0.221683782005310	0.666666666666667	0.033750000000000	0
20000		0.41552	0.30979	0.38465	0.78017	0.221683782005310	0.666666666666667	0.033750000000000	0
20500		0.41555	0.31000	0.38447	0.78013	0.221683782005310	0.666666666666667	0.033750000000000	0
21000		0.41739	0.31054	0.38451	0.78005	0.221683782005310	0.666666666666667	0.033750000000000	0
21500		0.41875	0.30986	0.38480	0.78011	0.221683782005310	0.666666666666667	0.033750000000000	0
22000		0.41848	0.30986	0.38463	0.78023	0.221683782005310	0.666666666666667	0.033750000000000	0
22500		0.41731	0.31027	0.38295	0.78022	0.221683782005310	0.666666666666667	0.033750000000000	0
23000		0.41607	0.31071	0.38140	0.78017	0.221683782005310	0.666666666666667	0.033750000000000	0
23500		0.41671	0.31152	0.38182	0.78011	0.221683782005310	0.666666666666667	0.033750000000000	0
24000		0.41669	0.31102	0.38147	0.77995	0.221683782005310	0.666666666666667	0.033750000000000	0
24500		0.41713	0.31171	0.38178	0.77990	0.221683782005310	0.666666666666667	0.033750000000000	0
25000		0.41755	0.31192	0.38217	0.77989	0.221683782005310	0.666666666666667	0.033750000000000	0
25500		0.41763	0.31232	0.38275	0.77986	0.221683782005310	0.666666666666667	0.033750000000000	0
26000		0.41727	0.31208	0.38314	0.77992	0.221683782005310	0.666666666666667	0.033750000000000	0
26500		0.41541	0.31185	0.38328	0.77979	0.221683782005310	0.666666666666667	0.033750000000000	0
27000		0.41457	0.31125	0.38318	0.77971	0.221683782005310	0.666666666666667	0.033750000000000	0
27500		0.41494	0.31119	0.38246	0.77986	0.221683782005310	0.666666666666667	0.033750000000000	0
28000		0.41459	0.31138	0.38249	0.77993	0.221683782005310	0.666666666666667	0.033750000000000	0
28500		0.41479	0.31121	0.38252	0.77990	0.221683782005310	0.666666666666667	0.033750000000000	0
29000		0.41492	0.31161	0.38262	0.77987	0.221683782005310	0.666666666666667	0.033750000000000	0
29500		0.41605	0.31203	0.38211	0.77976	0.221683782005310	0.666666666666667	0.033750000000000	0
30000		0.41576	0.31190	0.38161	0.77988	0.221683782005310	0.666666666666667	0.033750000000000	0
30500		0.41614	0.31140	0.38152	0.77991	0.221683782005310	0.666666666666667	0.033750000000000	0
31000		0.41698	0.31118	0.38156	0.77988	0.221683782005310	0.666666666666667	0.033750000000000	0
31500		0.41586	0.31119	0.38150	0.77991	0.221683782005310	0.666666666666667	0.033750000000000	0
32000		0.41600	0.31149	0.38141	0.78004	0.221683782005310	0.666666666666667	0.033750000000000	0
32500		0.41552	0.31131	0.38181	0.77998	0.221683782005310	0.666666666666667	0.033750000000000	0
33000		0.41570	0.31148	0.38181	0.77989	0.221683782005310	0.666666666666667	0.033750000000000	0
33500		0.41487	0.31227	0.38159	0.77991	0.221683782005310	0.666666666666667	0.033750000000000	0
34000		0.41449	0.31152	0.38243	0.78000	0.221683782005310	0.666666666666667	0.033750000000000	0
34500		0.41440	0.31153	0.38236	0.77997	0.221683782005310	0.666666666666667	0.033750000000000	0
35000		0.41373	0.31168	0.38245	0.77999	0.221683782005310	0.666666666666667	0.033750000000000	0
35500		0.41388	0.31186	0.38256	0.77992	0.221683782005310	0.666666666666667	0.033750000000000	0
36000		0.41309	0.31270	0.38328	0.77993	0.221683782005310	0.666666666666667	0.033750000000000	0
36500		0.41356	0.31289	0.38349	0.77992	0.221683782005310	0.666666666666667	0.033750000000000	0
37000		0.41378	0.31310	0.38307	0.77992	0.221683782005310	0.666666666666667	0.033750000000000	0
37500		0.41396	0.31327	0.38344	0.77987	0.221683782005310	0.666666666666667	0.033750000000000	0
38000		0.41421	0.31323	0.38329	0.77996	0.221683782005310	0.666666666666667	0.033750000000000	0
38500		0.41403	0.31332	0.38278	0.77993	0.221683782005310	0.666666666666667	0.033750000000000	0
39000		0.41420	0.31283	0.38275	0.77993	0.221683782005310	0.666666666666667	0.033750000000000	0
39500		0.41413	0.31290	0.38324	0.77984	0.221683782005310	0.666666666666667	0.033750000000000	0
40000		0.41439	0.31296	0.38351	0.77985	0.221683782005310	0.666666666666667	0.033750000000000	0
40500		0.41387	0.31305	0.38356	0.77985	0.221683782005310	0.666666666666667	0.033750000000000	0
41000		0.41378	0.31257	0.38387	0.77983	0.221683782005310	0.666666666666667	0.033750000000000	0
41500		0.41322	0.31295	0.38398	0.77994	0.221683782005310	0.666666666666667	0.033750000000000	0
42000		0.41283	0.31330	0.38427	0.77996	0.221683782005310	0.666666666666667	0.033750000000000	0
42500		0.41321	0.31374	0.38410	0.77991	0.221683782005310	0.666666666666667	0.033750000000000	0
43000		0.41340	0.31362	0.38395	0.77995	0.221683782005310	0.666666666666667	0.033750000000000	0
43500		0.41315	0.31342	0.38421	0.77999	0.221683782005310	0.666666666666667	0.033750000000000	0
44000		0.41287	0.31366	0.38424	0.77999	0.221683782005310	0.666666666666667	0.033750000000000	0
44500		0.41334	0.31389	0.38400	0.77999	0.221683782005310	0.666666666666667	0.033750000000000	0
45000		0.41304	0.31337	0.38430	0.77989	0.221683782005310	0.666666666666667	0.033750000000000	0
45500		0.41286	0.31289	0.38391	0.77987	0.221683782005310	0.666666666666667	0.033750000000000	0
46000		0.41263	0.31288	0.38436	0.77978	0.221683782005310	0.666666666666667	0.033750000000000	0
