step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.99998	0.79009	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.52600	0.79182	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.40800	0.79148	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.44000	0.79256	0.000150000000000	1.000000000000000	0.022500000000000	0
2500		-nan	-nan	0.44467	0.79279	0.000150000000000	1.000000000000000	0.022500000000000	0
3000		-nan	-nan	0.45350	0.79356	0.000150000000000	1.000000000000000	0.022500000000000	0
3500		-nan	-nan	0.44880	0.79300	0.000150000000000	1.000000000000000	0.022500000000000	0
4000		-nan	-nan	0.45033	0.79303	0.000150000000000	1.000000000000000	0.022500000000000	0
4500		-nan	-nan	0.45114	0.79314	0.000150000000000	1.000000000000000	0.022500000000000	0
5000		-nan	-nan	0.45375	0.79389	0.000150000000000	1.000000000000000	0.022500000000000	0
5500		-nan	-nan	0.45533	0.79461	0.000150000000000	1.000000000000000	0.022500000000000	0
6000		-nan	-nan	0.45920	0.79390	0.000150000000000	1.000000000000000	0.022500000000000	0
6500		-nan	-nan	0.45927	0.79350	0.000150000000000	1.000000000000000	0.022500000000000	0
7000		-nan	-nan	0.45550	0.79353	0.000150000000000	1.000000000000000	0.022500000000000	0
7500		-nan	-nan	0.45692	0.79334	0.000150000000000	1.000000000000000	0.022500000000000	0
8000		-nan	-nan	0.45629	0.79371	0.000150000000000	1.000000000000000	0.022500000000000	0
8500		-nan	-nan	0.45440	0.79369	0.000150000000000	1.000000000000000	0.022500000000000	0
9000		-nan	-nan	0.45737	0.79374	0.000150000000000	1.000000000000000	0.022500000000000	0
9500		-nan	-nan	0.45718	0.79344	0.000150000000000	1.000000000000000	0.022500000000000	0
10000		-nan	-nan	0.46056	0.79336	0.000150000000000	1.000000000000000	0.022500000000000	0
10500		-nan	-nan	0.46274	0.79327	0.000150000000000	1.000000000000000	0.022500000000000	0
11000		-nan	-nan	0.46620	0.79337	0.000150000000000	1.000000000000000	0.022500000000000	0
11500		-nan	-nan	0.46524	0.79311	0.000150000000000	1.000000000000000	0.022500000000000	0
12000		-nan	-nan	0.46582	0.79313	0.000150000000000	1.000000000000000	0.022500000000000	0
12500		-nan	-nan	0.46530	0.79294	0.000150000000000	1.000000000000000	0.022500000000000	0
13000		-nan	-nan	0.46525	0.79266	0.000150000000000	1.000000000000000	0.022500000000000	0
13500		-nan	-nan	0.46568	0.79263	0.000150000000000	1.000000000000000	0.022500000000000	0
14000		-nan	-nan	0.46585	0.79289	0.000150000000000	1.000000000000000	0.022500000000000	0
14500		-nan	-nan	0.46607	0.79284	0.000150000000000	1.000000000000000	0.022500000000000	0
15000		-nan	-nan	0.46679	0.79266	0.000150000000000	1.000000000000000	0.022500000000000	0
15500		-nan	-nan	0.46786	0.79265	0.000150000000000	1.000000000000000	0.022500000000000	0
16000		-nan	-nan	0.46847	0.79245	0.000150000000000	1.000000000000000	0.022500000000000	0
16500		-nan	-nan	0.47039	0.79247	0.000150000000000	1.000000000000000	0.022500000000000	0
17000		-nan	-nan	0.47025	0.79245	0.000150000000000	1.000000000000000	0.022500000000000	0
