step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95
1	-6357.805091883165005	-6356.343009798646563	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.998588121922634	0	1	4	2	2	3	3	4	5	4	4	5	5	6	6	6	7	7	7	6	6	7	8	7	7	8	7	8	8	8	8	9	8	8	9	10	9	9	10	9	9	9	9	9	9	9	10	10	10	11	11	10	10	10	10	10	10	10	11	10	11	11	11	11	13	12	12	11	11	11	11	12	11	12	13	12	14	12	14	13	13	13	13	13	13	13	13	14	16	14	14	14	15	15	17	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	3	4	3	3	4	4	5	5	5	6	6	6	5	5	6	6	6	6	6	6	6	6	6	6	7	6	6	7	8	7	7	8	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	10	9	9	8	8	8	8	9	8	9	10	9	11	9	11	10	10	10	10	10	10	10	10	11	12	11	11	11	11	11	13
500	-818.449054214681837	-816.230586005048394	-2.218468209633484	0.000009982248735	0.000029236368261	2.928835880243361	0.275547107593873	0	1	2	1	2	3	3	4	2	4	3	4	5	3	5	6	7	7	6	6	4	5	8	7	4	8	6	8	8	8	8	9	5	8	9	10	9	9	10	8	7	9	8	7	9	9	10	8	10	11	9	7	10	10	10	10	10	10	11	9	9	11	11	11	13	11	12	11	11	11	11	12	11	11	13	12	14	12	14	13	13	13	13	13	13	13	13	14	15	14	14	14	15	15	17	0	1	4	1	2	2	5	3	1	7	5	5	9	9	21	10	12	13	14	14	11	12	12	13	14	21	21	52	19	18	27	22	25	21	15	12	12	28	28	22	33	33	33	33	21	15	21	22	20	37	23	12	38	25	33	44	42	41	44	34	21	29	12	12	40	22	48	52	44	33	33	59	60	22	22	52	33	61	29	28	38	48	68	33	27	11	47	28	28	21	21	21	12	27	28	1	1	1	1	1	2	1	2	2	1	1	2	2	1	1	1	2	2	2	3	1	1	3	2	1	2	2	1	2	1	1	2	1	3	4	5	5	1	2	3	2	4	2	2	3	4	6	2	3	2	1	3	1	5	4	3	1	1	4	1	5	3	6	6	5	6	4	4	4	4	4	1	2	5	5	3	7	3	4	2	4	5	1	7	7	9	3	6	6	10	7	10	10	9	8
1000	-664.635361694569838	-662.624683362086330	-2.010678332483458	0.000009972624384	0.000023627103040	2.369196124381780	0.421689895742273	0	1	2	2	2	3	3	4	3	4	3	4	4	3	6	5	6	7	7	6	4	6	8	6	4	8	6	8	8	8	7	9	5	5	9	10	9	9	9	8	9	9	8	7	9	9	10	10	10	11	8	7	10	9	10	10	10	10	11	9	11	11	11	11	13	12	11	11	11	11	11	12	8	12	13	10	14	11	12	13	11	13	12	13	12	13	13	14	16	14	14	14	15	14	16	0	1	1	1	2	2	5	3	1	5	5	5	9	4	11	7	12	24	9	14	11	12	12	13	4	27	34	52	19	24	34	40	25	21	27	12	17	28	28	22	33	44	44	33	21	15	45	22	29	51	17	12	38	33	43	43	44	42	54	73	45	29	17	12	32	22	40	38	57	58	33	59	31	48	40	52	69	21	49	64	39	74	76	57	26	45	78	28	88	45	78	27	39	21	28	1	1	2	2	1	2	1	2	2	2	1	2	1	1	1	2	2	1	4	2	1	2	3	2	2	2	1	1	1	1	2	1	1	1	3	6	2	1	1	2	3	2	1	2	5	3	1	2	2	2	2	3	1	4	2	2	3	1	2	1	2	3	5	6	3	6	3	2	1	1	3	1	1	2	4	2	3	4	2	2	2	1	1	3	4	4	2	5	1	3	2	8	5	10	7
1500	-588.469318290872138	-586.913898357085941	-1.555419933786214	0.000010087584424	0.000012536003126	1.242716055665183	0.469011417937059	-1	1	4	0	2	3	3	2	3	4	3	4	5	5	5	5	5	7	7	6	4	7	7	6	5	8	6	8	7	8	8	9	6	7	9	10	9	9	10	9	8	9	9	8	9	8	10	8	10	11	10	7	10	9	10	10	9	10	9	10	11	11	10	10	12	12	10	11	10	11	10	11	10	12	13	11	14	11	14	13	13	13	13	13	13	13	13	14	16	13	14	14	14	15	17	0	1	4	1	2	2	5	4	4	6	5	7	9	9	21	6	12	24	14	14	11	17	17	13	9	21	21	52	25	24	34	22	25	21	26	23	23	28	38	48	33	33	33	33	27	21	35	22	29	36	23	12	38	44	43	42	41	42	41	26	47	29	17	28	32	40	22	52	57	58	41	59	34	48	22	52	69	26	62	64	38	66	76	69	78	78	78	28	80	78	78	27	39	46	93	1	1	3	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	2	3	2	1	2	2	1	1	1	2	1	3	2	1	1	1	2	3	3	2	2	3	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	2	5	2	2	2	2	2	1	1	2	1	2	3	3	2	3	3	1	2	4	1	2	2	2	2	2	6	3	1	3	8	4	7	3
2000	-551.920791250259867	-550.240784740508161	-1.680006509751727	0.000010134769325	0.000015676789235	1.546832368058586	0.532833351495153	0	1	2	2	2	3	3	3	3	4	3	5	5	4	6	6	6	7	7	5	4	7	7	6	5	6	7	8	8	8	7	8	6	7	9	9	9	9	10	9	9	9	9	9	9	9	10	10	9	11	11	7	10	10	10	10	10	10	11	10	11	11	11	11	13	12	12	10	11	11	11	12	8	11	13	11	14	11	13	10	13	13	12	13	13	13	12	14	16	14	12	14	14	15	16	0	1	1	1	2	2	5	3	4	5	5	10	9	4	21	7	12	24	25	14	11	17	17	13	14	21	21	52	19	24	15	22	25	26	34	23	23	28	28	32	33	33	33	33	27	34	35	22	29	36	36	12	28	33	43	43	44	41	42	73	47	49	12	38	74	22	74	52	57	58	54	59	27	22	48	52	69	60	49	28	64	48	76	69	78	78	78	64	88	78	78	27	80	73	93	1	1	2	2	1	2	1	1	1	2	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	2	1	2	1	3	2	3	3	2	2	1	2	1	2	2	2	1	2	1	1	1	1	2	2	1	2	4	2	2	2	1	3	1	1	1	1	1	3	2	4	3	1	3	1	2	2	1	2	1	2	1	3	2	3	1	7	2	5	2
2500	-508.685486332038863	-507.077726955165247	-1.607759376873608	0.000010356692402	0.000014204627209	1.371540899100661	0.620612818940540	0	1	1	2	2	3	3	4	4	4	4	5	5	5	6	5	6	7	7	6	5	7	7	6	5	8	7	8	8	8	6	8	7	7	8	10	9	9	10	9	8	9	9	9	9	7	10	9	10	10	11	7	10	10	10	10	10	10	11	10	11	10	11	11	12	10	12	11	11	11	10	12	9	11	11	12	14	11	14	11	13	13	13	13	12	12	12	14	16	14	14	14	15	15	17	0	1	1	1	2	2	5	3	4	5	7	10	9	9	11	10	12	24	14	14	11	17	17	13	9	21	21	52	19	18	21	22	25	21	46	23	23	28	28	32	33	41	33	41	46	21	35	22	29	37	36	12	28	41	43	43	41	33	33	73	47	29	36	28	66	22	66	52	57	58	41	59	15	48	48	64	69	60	49	28	38	66	76	69	78	78	78	39	88	85	86	34	88	78	93	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	2	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	2	2	1	1	2	3	3	1	1	2	1	3	1	3	2	3	1	1	2	1	2	1	2	1	2	1	2	3	2	3	1	2	1	1	1	3	2	2	2	6	1	4	2
3000	-505.265326522092607	-503.559542600180237	-1.705783921912386	0.000010322238354	0.000016610850650	1.609229517883871	0.655534143834126	0	1	4	2	2	2	3	4	2	4	3	5	4	5	4	6	7	7	7	6	5	7	8	6	7	8	7	8	8	8	8	8	7	8	9	10	9	9	10	9	8	9	8	9	9	7	10	10	9	11	10	7	10	10	10	10	10	9	11	10	10	10	11	9	12	12	11	11	11	11	11	12	11	10	12	12	14	11	14	13	12	13	13	13	12	12	13	12	16	14	14	13	15	15	17	0	1	4	1	2	2	5	4	1	7	5	10	4	9	11	5	12	24	20	14	15	12	17	13	14	21	21	52	14	18	15	22	14	21	26	23	23	28	38	32	33	41	33	41	46	21	35	22	14	37	23	12	64	42	43	43	42	33	42	26	35	29	36	28	40	40	48	52	57	58	42	59	34	22	48	68	69	60	62	39	64	66	76	69	78	78	78	64	80	85	86	78	88	92	93	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	4	2	1	1	1	1	1	1	2	2	2	2	1	2	1	3	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	3	4	1	2	2	1	1	2	2	1	1	2	2	1	2	1	1	2	2	1	2	1	2	2	1	2	3	1	1	2	1	1	2	2	1	1	2	1	1	1	2	1	1	2	2	1	2	2
3500	-502.935201871913534	-501.313475052479646	-1.621726819433914	0.000010813549970	0.000015199118443	1.405562325558096	0.686626630261288	-1	1	3	2	2	3	3	4	4	4	3	5	5	5	4	6	7	7	7	6	5	7	8	6	7	8	7	8	8	8	8	8	6	7	9	10	9	9	10	9	9	8	9	9	9	8	10	10	10	9	11	7	10	10	10	10	10	10	11	10	11	10	11	11	10	12	12	11	11	11	11	11	11	9	10	12	14	11	14	12	13	12	13	13	12	13	13	12	16	14	14	14	15	15	16	0	1	4	1	2	2	5	4	4	5	4	7	9	9	11	10	12	24	14	14	15	12	17	9	20	21	21	52	19	24	27	22	14	21	27	23	23	52	28	32	33	33	42	33	26	21	35	74	29	23	23	12	28	42	43	43	42	42	42	27	35	29	23	28	22	48	48	52	57	58	42	42	60	22	74	68	69	27	49	39	38	74	76	69	78	78	85	38	80	85	86	87	80	92	93	1	2	1	3	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	3	2	1	1	2	1	1	1	2	1	1	1	2	2	1	2	2	1	3	1	2	1	1	2	1	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	1	1	2	4	1	2	3	3	1	2	1	1	1	3	2	1	1	1	2	1	1
4000	-497.620869421570660	-495.917671261218516	-1.703198160352137	0.000011058947911	0.000017727137626	1.602967820184918	0.645109456907788	0	1	3	2	2	3	3	4	4	4	3	5	5	5	4	6	6	7	7	6	5	7	8	6	7	8	6	8	8	7	7	8	6	7	8	10	9	9	9	9	9	9	9	8	9	9	10	9	10	8	11	7	10	10	10	10	10	10	10	8	11	11	11	11	13	12	12	11	11	11	11	12	10	12	13	12	14	11	14	13	12	13	13	13	13	12	13	13	16	14	14	14	15	15	16	0	1	1	1	2	2	5	3	4	5	5	10	4	9	11	10	12	24	14	14	15	17	17	13	9	21	21	12	19	24	27	22	14	21	21	23	23	52	28	32	33	33	44	33	35	60	35	22	29	17	37	12	39	33	43	42	44	41	42	27	34	29	36	38	66	48	48	52	57	58	42	54	60	22	67	68	69	73	49	39	68	74	76	69	78	78	78	68	93	85	86	87	80	92	93	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	3	1	2	1	1	1	1	1	2	2	2	1	2	1	1	3	2	1	2	1	1	2	1	2	2	2	2	1	4	1	1	2	1	1	2	1	2	1	2	1	3	3	3	1	1	2	2	2	3	1	1	2	1	3	2	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1
4500	-488.634879186812782	-487.045759745312523	-1.589119441500260	0.000011869774047	0.000015738722544	1.325949633180993	0.646881030792328	0	1	4	2	2	3	3	3	4	4	4	5	5	5	5	5	6	7	7	5	6	7	7	6	5	8	7	7	6	8	8	8	6	8	8	10	9	9	10	9	9	9	9	9	9	9	10	10	10	11	11	10	10	7	10	10	10	10	10	9	10	9	10	11	10	11	11	11	11	11	11	12	11	12	12	12	14	11	11	13	13	13	13	12	13	12	13	13	16	14	14	14	14	15	16	0	1	4	1	2	2	5	4	4	5	5	7	9	9	11	7	12	24	14	9	15	17	17	13	9	21	21	12	14	24	11	22	25	21	27	17	23	28	38	32	33	33	54	33	27	35	35	22	62	36	23	38	38	33	43	43	42	44	41	27	21	19	37	28	32	22	48	38	57	58	59	59	60	48	65	64	69	46	49	38	64	66	76	69	78	78	78	39	39	85	86	87	80	92	93	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	3	1	1	2	1	3	2	2	1	1	2	2	1	3	2	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	4	2	1	3	1	2	1	2	1	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	2	1	1	2	6	1	2	1	1	1	2
