step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98998	0.16834	1.00000	0.12379	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.23200	0.91000	0.10774	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98800	0.40200	0.89200	0.10203	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98000	0.38400	0.83800	0.10267	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.99200	0.39400	0.70800	0.10116	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.97400	0.40700	0.61000	0.10105	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.97000	0.41160	0.44600	0.10074	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.95400	0.41467	0.45700	0.10054	0.001708593750000	0.444444444444444	0.113906250000000	0
4500		0.91400	0.41971	0.47800	0.09940	0.002562890625000	0.444444444444444	0.113906250000000	0
5000		0.88800	0.41525	0.46900	0.09912	0.003844335937500	0.444444444444444	0.113906250000000	0
5500		0.87200	0.41511	0.47400	0.10030	0.005766503906250	0.444444444444444	0.113906250000000	0
6000		0.87600	0.41360	0.47300	0.10194	0.008649755859375	0.444444444444444	0.113906250000000	0
6500		0.92800	0.41655	0.47257	0.10260	0.012974633789063	0.444444444444444	0.113906250000000	0
7000		0.88200	0.41383	0.47100	0.10354	0.019461950683594	0.444444444444444	0.113906250000000	0
7500		0.85000	0.41154	0.47800	0.10501	0.029192926025391	0.444444444444444	0.113906250000000	0
8000		0.77000	0.40929	0.47900	0.10704	0.043789389038086	0.444444444444444	0.113906250000000	0
8500		0.71400	0.40760	0.47982	0.10844	0.065684083557129	0.444444444444444	0.113906250000000	0
9000		0.55000	0.40437	0.48233	0.10957	0.098526125335693	0.444444444444444	0.113906250000000	0
9500		0.43000	0.40071	0.48477	0.11039	0.147789188003540	0.444444444444444	0.113906250000000	0
10000		0.44800	0.39878	0.48757	0.11105	0.147789188003540	0.444444444444444	0.113906250000000	0
10500		0.45867	0.39737	0.49040	0.11197	0.147789188003540	0.444444444444444	0.113906250000000	0
11000		0.46000	0.39780	0.48988	0.11265	0.147789188003540	0.444444444444444	0.113906250000000	0
11500		0.46200	0.39733	0.49106	0.11317	0.147789188003540	0.444444444444444	0.113906250000000	0
12000		0.45667	0.39682	0.49322	0.11436	0.147789188003540	0.444444444444444	0.113906250000000	0
12500		0.44800	0.39652	0.49453	0.11561	0.147789188003540	0.444444444444444	0.113906250000000	0
13000		0.44525	0.39392	0.49580	0.11644	0.147789188003540	0.444444444444444	0.113906250000000	0
13500		0.44444	0.39272	0.49810	0.11700	0.147789188003540	0.444444444444444	0.113906250000000	0
14000		0.44780	0.39162	0.49645	0.11773	0.147789188003540	0.444444444444444	0.113906250000000	0
14500		0.44873	0.39111	0.49548	0.11856	0.147789188003540	0.444444444444444	0.113906250000000	0
15000		0.44767	0.39000	0.49658	0.11879	0.147789188003540	0.444444444444444	0.113906250000000	0
