step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-2498.461212893210813	-2505.316700844170100	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.373959020439202	0	1	2	2	4	7	8	9	9	9	9	12	10	11	13	11	11	11	12	11	11	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13	14	14	14	17	14	15	15	15	15	15	15	15	16	16	16	16	17	17	17	17	17	17	17	17	19	18	19	18	18	18	18	19	19	19	20	19	20	21	20	23	21	23	22	24	23	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	6	6	7	7	7	7	9	8	8	10	8	8	8	9	8	8	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	11	11	11	13	11	11	11	11	11	11	11	11	12	12	12	12	13	13	13	13	13	13	13	13	14	13	14	13	13	13	13	14	14	14	15	14	15	16	15	17	16	17	16	18	17	18
500	-807.678987400794654	-814.534475351754054	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.163926934819182	-2	1	1	2	3	5	8	8	6	6	9	11	10	11	11	11	11	11	12	9	9	12	11	9	12	12	9	12	13	12	13	13	13	13	13	13	14	14	14	17	14	15	15	15	15	15	15	15	16	16	16	16	14	17	17	17	17	16	17	17	19	17	19	17	18	18	18	19	19	19	20	19	20	20	20	22	20	23	22	24	23	25	0	1	1	2	3	5	5	5	5	5	8	27	7	8	20	8	11	9	12	9	7	7	24	6	10	12	6	20	13	9	28	24	8	30	12	7	10	30	10	5	27	8	6	9	18	9	27	30	46	27	41	0	14	10	9	18	43	39	1	0	9	6	23	10	46	47	2	2	46	24	3	8	6	9	0	11	5	9	7	9	8	24	1	3	2	1	2	2	3	5	2	3	1	2	1	3	1	3	2	2	1	3	1	4	2	4	5	1	3	3	3	6	1	4	4	1	2	4	8	2	6	14	3	7	10	7	4	8	6	3	1	6	2	1	3	11	11	4	2	2	16	1	9	9	6	8	3	2	13	15	4	9	16	9	9	12	1	11	15	17	12	15	14	15
1000	-661.153916166888507	-668.009404117847907	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.302667891173580	0	1	2	2	4	5	8	8	9	8	9	12	10	11	11	10	11	10	12	9	11	12	11	10	12	12	12	12	13	13	11	13	12	13	13	13	14	12	14	17	14	15	15	15	14	15	15	15	16	16	16	16	17	16	16	17	17	15	17	17	19	18	19	18	18	17	18	19	19	19	19	19	20	20	20	22	21	23	22	23	23	24	0	1	1	2	3	5	5	6	8	6	6	18	20	11	24	7	10	10	18	8	10	8	9	7	16	11	18	20	31	17	13	23	10	25	26	28	7	24	32	5	35	8	30	28	8	39	35	27	38	16	47	0	43	38	46	50	58	26	1	0	24	32	46	46	57	58	7	2	45	49	24	49	8	38	0	70	6	8	74	49	10	49	1	1	1	1	2	1	3	3	1	2	4	2	1	2	1	2	2	2	2	1	3	4	1	2	2	3	2	1	1	2	1	2	2	1	1	1	3	2	1	13	1	7	1	2	3	1	2	2	4	4	1	1	2	3	1	1	2	1	12	1	5	4	3	3	1	2	9	14	5	3	7	3	7	7	1	3	14	13	2	7	11	4
1500	-578.703315093215110	-585.558803044174510	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.343793847589114	0	1	2	2	4	5	7	9	9	7	9	12	10	10	10	11	11	11	10	11	11	12	11	12	12	12	12	12	12	13	12	13	13	13	13	11	14	14	14	17	14	15	14	15	15	15	15	15	16	15	16	14	17	17	17	17	17	16	17	17	19	18	18	17	17	18	18	17	19	19	20	18	19	21	20	23	21	23	22	23	23	23	0	1	1	2	3	5	6	10	10	6	10	19	7	11	9	7	9	8	11	13	14	21	15	15	16	19	10	36	20	10	36	23	25	25	26	9	13	24	23	16	19	10	22	13	38	32	30	41	45	41	27	0	43	38	46	27	49	38	11	0	24	58	64	39	58	58	52	4	54	45	70	58	11	24	0	69	6	7	69	74	54	73	1	1	2	1	2	1	2	2	2	2	2	2	3	1	1	2	2	2	1	1	1	1	1	2	1	2	4	1	1	4	1	2	1	1	1	2	2	2	3	6	4	6	2	4	1	2	2	1	1	1	3	1	3	3	2	3	1	2	6	1	7	2	1	2	1	2	4	13	2	2	1	2	6	4	1	4	14	11	1	2	5	2
2000	-521.169609176367203	-528.025097127326603	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.444150276490935	0	1	2	2	4	6	8	8	8	9	9	12	10	11	11	11	11	10	9	11	10	12	12	12	12	12	12	11	13	13	13	13	13	13	13	13	14	14	13	17	14	15	13	15	15	15	14	15	16	16	16	15	15	17	16	17	16	17	17	15	18	16	19	18	18	18	18	19	19	19	19	18	20	21	20	23	21	23	22	23	22	25	0	1	1	2	3	5	6	6	5	5	8	19	10	21	9	8	10	19	7	13	6	14	15	9	16	18	19	7	8	17	28	23	10	25	8	20	13	15	23	25	27	47	14	28	38	39	27	35	38	47	42	0	43	38	46	5	24	49	52	0	54	38	55	55	58	58	52	2	49	38	61	57	65	54	0	74	6	9	45	49	73	81	1	1	1	1	1	2	2	2	4	5	1	2	1	1	3	2	2	1	1	1	2	1	1	4	1	2	1	3	5	2	2	1	3	1	3	2	2	2	1	5	2	1	1	4	1	1	1	2	2	2	1	1	2	2	1	10	3	1	2	1	1	2	2	2	1	1	3	14	2	5	1	2	1	3	1	2	14	9	4	5	2	2
2500	-463.799080568609725	-470.654568519569125	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606731208044114	0	1	2	2	4	7	8	9	9	9	9	12	10	11	12	11	10	10	11	11	9	12	12	11	11	12	11	12	12	13	13	13	13	13	13	13	14	14	14	17	13	15	15	15	15	15	14	15	16	16	16	14	17	17	17	17	17	17	16	16	19	18	19	18	18	18	17	19	19	19	20	19	20	21	20	23	20	23	22	24	22	25	0	1	1	2	3	5	6	7	7	7	6	18	9	21	11	6	11	10	18	13	6	21	24	6	6	18	6	13	20	17	29	24	25	25	27	28	11	24	15	34	26	35	14	36	15	39	35	47	43	26	42	0	14	24	46	6	49	49	52	0	54	45	64	55	58	58	59	2	62	62	61	65	65	70	0	70	38	65	77	79	73	81	1	1	1	1	2	3	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	3	1	1	2	1	1	1	2	2	1	2	2	2	3	1	2	4	2	2	1	1	1	1	4	1	1	5	3	1	8	1	1	2	1	2	2	1	1	1	1	1	14	1	1	1	1	2	2	1	2	5	4	1	1	1	2
3000	-463.047145472895579	-469.902633423854979	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.577772083277472	0	1	2	2	4	7	8	8	9	9	9	11	10	11	13	11	10	10	12	11	10	12	11	12	12	12	12	12	13	13	13	13	13	11	10	13	14	14	13	14	14	15	15	15	14	15	13	12	15	16	15	16	17	17	17	15	17	16	17	16	19	18	19	18	18	18	18	18	19	18	20	19	19	21	20	23	19	23	22	24	23	25	0	1	1	2	3	5	6	6	6	8	7	7	9	21	23	9	10	7	35	13	11	21	9	23	34	18	35	20	20	17	20	23	34	6	8	28	13	24	23	25	12	47	14	28	24	23	27	35	38	47	47	0	30	49	46	27	45	49	52	0	70	24	64	55	45	58	59	3	70	38	61	66	66	70	0	70	45	73	74	69	73	73	1	1	1	1	2	2	1	1	2	1	1	3	1	1	2	2	1	1	2	1	1	2	2	1	1	1	2	1	2	3	1	2	2	2	2	1	2	2	1	1	2	2	2	2	2	3	1	2	1	1	2	1	3	1	2	3	2	1	1	1	1	3	1	1	2	2	1	12	1	4	1	1	1	2	1	2	2	2	1	2	4	3
3500	-444.265301983859501	-451.120789934818902	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.709631784691949	0	1	1	2	3	7	8	9	9	8	9	12	10	11	13	11	10	10	11	11	11	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13	14	14	14	17	14	13	15	15	15	15	15	15	15	15	16	16	17	17	17	17	17	16	17	17	19	15	19	18	18	18	18	19	19	18	20	19	19	21	20	21	21	23	22	24	22	25	0	1	1	2	3	5	5	7	10	5	6	17	9	7	23	6	8	8	8	13	6	14	7	9	16	18	16	20	20	7	20	23	25	25	27	28	26	30	23	34	35	12	14	28	24	39	27	42	38	42	47	0	43	38	46	50	62	49	52	0	45	24	55	55	57	58	59	6	54	49	61	65	57	70	0	70	70	73	76	79	73	73	1	1	1	1	2	3	2	1	1	2	1	2	1	3	1	4	1	1	2	1	2	1	2	2	1	2	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	1	2	3	3	1	3	2	1	2	1	1	1	1	2	2	2	1	1	1	3	2	2	1	1	2	1	7	1	3	1	1	1	2	1	1	3	3	1	1	1	4
4000	-442.079631022627893	-448.935118973587294	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623805326224195	0	1	2	2	4	7	8	9	9	9	8	12	9	11	13	11	11	11	10	10	10	12	11	12	12	10	12	12	11	13	13	13	13	13	13	13	11	14	14	16	14	13	14	13	14	15	15	15	16	16	16	16	17	16	17	17	17	17	17	17	18	18	18	18	18	18	18	19	18	19	20	19	20	21	20	22	21	23	22	22	23	25	0	1	1	2	3	5	6	7	7	6	6	19	6	21	24	7	11	26	10	13	10	21	9	6	10	8	18	20	20	17	20	24	25	25	27	28	20	24	23	25	27	27	21	13	24	39	42	42	38	42	42	0	43	45	46	47	54	49	52	0	54	54	55	46	58	58	59	40	54	49	61	65	72	49	0	74	54	73	74	70	65	78	1	1	1	1	2	3	1	1	1	2	1	2	2	1	1	2	2	1	1	1	1	2	1	3	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	3	2	1	3	4	2	1	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	3	1	1	3	2	1	2	5	2
4500	-386.504202281288428	-393.359690232247829	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657714793281136	0	1	2	2	4	7	8	9	9	9	9	12	10	11	13	11	11	11	10	11	11	9	11	12	12	12	11	12	12	13	13	13	12	13	13	13	14	14	14	17	13	14	15	14	15	15	15	15	16	16	16	16	17	17	16	17	17	16	17	15	19	18	19	17	18	18	18	19	19	19	20	19	20	21	20	23	20	23	22	24	22	25	0	1	1	2	3	5	6	7	7	7	7	19	9	22	23	7	6	19	10	13	22	6	6	23	16	18	19	20	20	17	20	23	16	25	27	28	13	15	15	34	27	41	9	28	38	39	42	35	45	42	42	0	43	45	39	50	45	38	52	0	45	45	55	39	58	49	59	59	54	49	61	65	54	77	0	79	70	73	54	76	65	78	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	2	3	1	1	1	2	2	3	1	1	1	1	1	1	2	2	1	1	1	2	1	4	1	1	2	2	1	2	2	1	1	1	2	1	2	1	1	2	2	2	1	2	2	1	1	2	2	2	1	2	2	1	2	2	3	1	1	3	1	1	1	1	3	4	1	3	2
