step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.15431	1.00000	0.16550	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98800	0.20200	0.91200	0.15733	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99000	0.32800	0.95600	0.14990	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98600	0.34500	0.88600	0.14540	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.98200	0.35067	0.79400	0.14207	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.97200	0.35400	0.69600	0.14029	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.97000	0.36480	0.56400	0.13706	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.96200	0.36833	0.40800	0.13438	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.93200	0.37571	0.44100	0.13111	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.88400	0.37750	0.44667	0.12843	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.89200	0.37644	0.43700	0.12742	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.86200	0.37660	0.43600	0.12578	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.89000	0.37636	0.43933	0.12638	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.88200	0.37417	0.44829	0.12997	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.87000	0.36738	0.45325	0.13281	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.75200	0.36414	0.45333	0.13386	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.65400	0.36093	0.45660	0.13509	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.57000	0.35875	0.45364	0.13633	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.48400	0.35718	0.45283	0.13696	0.147789188003540	0.444444444444444	0.170859375000000	0
10000		0.48400	0.35589	0.45215	0.13753	0.147789188003540	0.444444444444444	0.170859375000000	0
10500		0.47800	0.35347	0.45200	0.13871	0.147789188003540	0.444444444444444	0.170859375000000	0
11000		0.49050	0.35640	0.45240	0.13827	0.147789188003540	0.444444444444444	0.170859375000000	0
11500		0.49320	0.35914	0.45238	0.13813	0.147789188003540	0.444444444444444	0.170859375000000	0
12000		0.49933	0.36227	0.45012	0.13770	0.147789188003540	0.444444444444444	0.170859375000000	0
12500		0.50286	0.36417	0.44822	0.13745	0.147789188003540	0.444444444444444	0.170859375000000	0
13000		0.50275	0.36508	0.44768	0.13692	0.147789188003540	0.444444444444444	0.170859375000000	0
13500		0.50689	0.36800	0.44820	0.13634	0.147789188003540	0.444444444444444	0.170859375000000	0
14000		0.51040	0.36838	0.44438	0.13573	0.147789188003540	0.444444444444444	0.170859375000000	0
14500		0.51345	0.37119	0.44236	0.13514	0.147789188003540	0.444444444444444	0.170859375000000	0
15000		0.51533	0.37400	0.44017	0.13410	0.147789188003540	0.444444444444444	0.170859375000000	0
15500		0.51585	0.37586	0.43933	0.13370	0.147789188003540	0.444444444444444	0.170859375000000	0
16000		0.51971	0.37787	0.43808	0.13330	0.147789188003540	0.444444444444444	0.170859375000000	0
16500		0.51707	0.37903	0.43969	0.13289	0.147789188003540	0.444444444444444	0.170859375000000	0
17000		0.51462	0.38200	0.43748	0.13247	0.147789188003540	0.444444444444444	0.170859375000000	0
17500		0.51788	0.38370	0.43671	0.13214	0.147789188003540	0.444444444444444	0.170859375000000	0
18000		0.52011	0.38582	0.43628	0.13174	0.147789188003540	0.444444444444444	0.170859375000000	0
18500		0.52158	0.38749	0.43493	0.13143	0.147789188003540	0.444444444444444	0.170859375000000	0
19000		0.52170	0.38900	0.43471	0.13149	0.147789188003540	0.444444444444444	0.170859375000000	0
19500		0.52219	0.39032	0.43394	0.13126	0.147789188003540	0.444444444444444	0.170859375000000	0
20000		0.52327	0.39179	0.43273	0.13089	0.147789188003540	0.444444444444444	0.170859375000000	0
20500		0.52400	0.39133	0.43082	0.13100	0.147789188003540	0.444444444444444	0.170859375000000	0
21000		0.52358	0.39145	0.43069	0.13089	0.147789188003540	0.444444444444444	0.170859375000000	0
21500		0.52256	0.39107	0.42972	0.13101	0.147789188003540	0.444444444444444	0.170859375000000	0
22000		0.52469	0.39271	0.42843	0.13050	0.147789188003540	0.444444444444444	0.170859375000000	0
22500		0.52467	0.39405	0.42858	0.13030	0.147789188003540	0.444444444444444	0.170859375000000	0
23000		0.52379	0.39432	0.42877	0.12984	0.147789188003540	0.444444444444444	0.170859375000000	0
23500		0.52483	0.39564	0.42840	0.12959	0.147789188003540	0.444444444444444	0.170859375000000	0
24000		0.52633	0.39687	0.42810	0.12920	0.147789188003540	0.444444444444444	0.170859375000000	0
24500		0.52761	0.39732	0.42705	0.12908	0.147789188003540	0.444444444444444	0.170859375000000	0
25000		0.52806	0.39787	0.42595	0.12895	0.147789188003540	0.444444444444444	0.170859375000000	0
25500		0.52927	0.39922	0.42618	0.12887	0.147789188003540	0.444444444444444	0.170859375000000	0
26000		0.52994	0.40040	0.42653	0.12871	0.147789188003540	0.444444444444444	0.170859375000000	0
26500		0.53040	0.40047	0.42752	0.12863	0.147789188003540	0.444444444444444	0.170859375000000	0
27000		0.53067	0.40015	0.42787	0.12843	0.147789188003540	0.444444444444444	0.170859375000000	0
27500		0.53119	0.40038	0.42812	0.12835	0.147789188003540	0.444444444444444	0.170859375000000	0
28000		0.53084	0.40089	0.42731	0.12825	0.147789188003540	0.444444444444444	0.170859375000000	0
28500		0.53159	0.40095	0.42732	0.12822	0.147789188003540	0.444444444444444	0.170859375000000	0
29000		0.53140	0.40118	0.42729	0.12811	0.147789188003540	0.444444444444444	0.170859375000000	0
29500		0.53180	0.40154	0.42765	0.12818	0.147789188003540	0.444444444444444	0.170859375000000	0
30000		0.53238	0.40241	0.42728	0.12798	0.147789188003540	0.444444444444444	0.170859375000000	0
30500		0.53200	0.40315	0.42656	0.12809	0.147789188003540	0.444444444444444	0.170859375000000	0
31000		0.53214	0.40350	0.42633	0.12814	0.147789188003540	0.444444444444444	0.170859375000000	0
31500		0.53302	0.40292	0.42614	0.12805	0.147789188003540	0.444444444444444	0.170859375000000	0
32000		0.53204	0.40265	0.42621	0.12800	0.147789188003540	0.444444444444444	0.170859375000000	0
32500		0.53243	0.40321	0.42628	0.12776	0.147789188003540	0.444444444444444	0.170859375000000	0
33000		0.53242	0.40372	0.42525	0.12766	0.147789188003540	0.444444444444444	0.170859375000000	0
33500		0.53363	0.40363	0.42480	0.12750	0.147789188003540	0.444444444444444	0.170859375000000	0
34000		0.53364	0.40376	0.42439	0.12749	0.147789188003540	0.444444444444444	0.170859375000000	0
34500		0.53447	0.40394	0.42410	0.12749	0.147789188003540	0.444444444444444	0.170859375000000	0
35000		0.53312	0.40365	0.42486	0.12775	0.147789188003540	0.444444444444444	0.170859375000000	0
35500		0.53242	0.40293	0.42531	0.12792	0.147789188003540	0.444444444444444	0.170859375000000	0
36000		0.53226	0.40346	0.42523	0.12809	0.147789188003540	0.444444444444444	0.170859375000000	0
36500		0.53295	0.40361	0.42533	0.12803	0.147789188003540	0.444444444444444	0.170859375000000	0
37000		0.53225	0.40403	0.42573	0.12811	0.147789188003540	0.444444444444444	0.170859375000000	0
37500		0.53298	0.40348	0.42635	0.12829	0.147789188003540	0.444444444444444	0.170859375000000	0
38000		0.53359	0.40438	0.42623	0.12831	0.147789188003540	0.444444444444444	0.170859375000000	0
38500		0.53237	0.40416	0.42649	0.12826	0.147789188003540	0.444444444444444	0.170859375000000	0
39000		0.53197	0.40403	0.42668	0.12819	0.147789188003540	0.444444444444444	0.170859375000000	0
39500		0.53151	0.40408	0.42631	0.12822	0.147789188003540	0.444444444444444	0.170859375000000	0
40000		0.53142	0.40482	0.42597	0.12825	0.147789188003540	0.444444444444444	0.170859375000000	0
40500		0.53210	0.40527	0.42535	0.12823	0.147789188003540	0.444444444444444	0.170859375000000	0
41000		0.53309	0.40555	0.42509	0.12817	0.147789188003540	0.444444444444444	0.170859375000000	0
41500		0.53308	0.40543	0.42471	0.12837	0.147789188003540	0.444444444444444	0.170859375000000	0
42000		0.53333	0.40529	0.42460	0.12826	0.147789188003540	0.444444444444444	0.170859375000000	0
42500		0.53281	0.40516	0.42451	0.12842	0.147789188003540	0.444444444444444	0.170859375000000	0
43000		0.53356	0.40488	0.42420	0.12834	0.147789188003540	0.444444444444444	0.170859375000000	0
43500		0.53359	0.40518	0.42500	0.12856	0.147789188003540	0.444444444444444	0.170859375000000	0
44000		0.53414	0.40507	0.42447	0.12868	0.147789188003540	0.444444444444444	0.170859375000000	0
44500		0.53372	0.40510	0.42424	0.12872	0.147789188003540	0.444444444444444	0.170859375000000	0
45000		0.53381	0.40516	0.42422	0.12860	0.147789188003540	0.444444444444444	0.170859375000000	0
45500		0.53359	0.40555	0.42381	0.12856	0.147789188003540	0.444444444444444	0.170859375000000	0
46000		0.53346	0.40611	0.42332	0.12841	0.147789188003540	0.444444444444444	0.170859375000000	0
46500		0.53384	0.40580	0.42330	0.12830	0.147789188003540	0.444444444444444	0.170859375000000	0
47000		0.53342	0.40604	0.42257	0.12821	0.147789188003540	0.444444444444444	0.170859375000000	0
47500		0.53374	0.40654	0.42243	0.12813	0.147789188003540	0.444444444444444	0.170859375000000	0
48000		0.53415	0.40715	0.42249	0.12809	0.147789188003540	0.444444444444444	0.170859375000000	0
48500		0.53438	0.40773	0.42209	0.12804	0.147789188003540	0.444444444444444	0.170859375000000	0
49000		0.53463	0.40773	0.42193	0.12799	0.147789188003540	0.444444444444444	0.170859375000000	0
49500		0.53412	0.40742	0.42196	0.12803	0.147789188003540	0.444444444444444	0.170859375000000	0
50000		0.53366	0.40755	0.42219	0.12804	0.147789188003540	0.444444444444444	0.170859375000000	0
50500		0.53361	0.40774	0.42185	0.12779	0.147789188003540	0.444444444444444	0.170859375000000	0
51000		0.53414	0.40800	0.42160	0.12766	0.147789188003540	0.444444444444444	0.170859375000000	0
51500		0.53506	0.40826	0.42092	0.12741	0.147789188003540	0.444444444444444	0.170859375000000	0
52000		0.53512	0.40900	0.42082	0.12723	0.147789188003540	0.444444444444444	0.170859375000000	0
52500		0.53563	0.40917	0.42086	0.12712	0.147789188003540	0.444444444444444	0.170859375000000	0
53000		0.53573	0.40890	0.42087	0.12706	0.147789188003540	0.444444444444444	0.170859375000000	0
53500		0.53573	0.40918	0.42110	0.12701	0.147789188003540	0.444444444444444	0.170859375000000	0
54000		0.53589	0.40904	0.42093	0.12703	0.147789188003540	0.444444444444444	0.170859375000000	0
54500		0.53622	0.40895	0.42049	0.12700	0.147789188003540	0.444444444444444	0.170859375000000	0
55000		0.53620	0.40904	0.42041	0.12706	0.147789188003540	0.444444444444444	0.170859375000000	0
55500		0.53583	0.40903	0.42092	0.12707	0.147789188003540	0.444444444444444	0.170859375000000	0
56000		0.53551	0.40913	0.42076	0.12708	0.147789188003540	0.444444444444444	0.170859375000000	0
56500		0.53528	0.40923	0.42011	0.12697	0.147789188003540	0.444444444444444	0.170859375000000	0
57000		0.53479	0.40887	0.41974	0.12690	0.147789188003540	0.444444444444444	0.170859375000000	0
57500		0.53495	0.40940	0.42011	0.12674	0.147789188003540	0.444444444444444	0.170859375000000	0
58000		0.53502	0.40958	0.41954	0.12669	0.147789188003540	0.444444444444444	0.170859375000000	0
58500		0.53509	0.40997	0.41936	0.12659	0.147789188003540	0.444444444444444	0.170859375000000	0
59000		0.53522	0.41048	0.41908	0.12645	0.147789188003540	0.444444444444444	0.170859375000000	0
59500		0.53523	0.41067	0.41916	0.12634	0.147789188003540	0.444444444444444	0.170859375000000	0
60000		0.53539	0.41105	0.41917	0.12617	0.147789188003540	0.444444444444444	0.170859375000000	0
60500		0.53555	0.41134	0.41895	0.12614	0.147789188003540	0.444444444444444	0.170859375000000	0
61000		0.53508	0.41140	0.41922	0.12623	0.147789188003540	0.444444444444444	0.170859375000000	0
61500		0.53518	0.41157	0.41967	0.12625	0.147789188003540	0.444444444444444	0.170859375000000	0
62000		0.53475	0.41162	0.42000	0.12629	0.147789188003540	0.444444444444444	0.170859375000000	0
62500		0.53465	0.41124	0.41995	0.12640	0.147789188003540	0.444444444444444	0.170859375000000	0
63000		0.53467	0.41113	0.41990	0.12638	0.147789188003540	0.444444444444444	0.170859375000000	0
63500		0.53481	0.41114	0.41988	0.12637	0.147789188003540	0.444444444444444	0.170859375000000	0
64000		0.53520	0.41138	0.42000	0.12633	0.147789188003540	0.444444444444444	0.170859375000000	0
64500		0.53537	0.41146	0.42005	0.12618	0.147789188003540	0.444444444444444	0.170859375000000	0
65000		0.53552	0.41213	0.41963	0.12604	0.147789188003540	0.444444444444444	0.170859375000000	0
65500		0.53595	0.41253	0.41985	0.12592	0.147789188003540	0.444444444444444	0.170859375000000	0
66000		0.53625	0.41268	0.41952	0.12585	0.147789188003540	0.444444444444444	0.170859375000000	0
66500		0.53683	0.41281	0.41952	0.12583	0.147789188003540	0.444444444444444	0.170859375000000	0
67000		0.53710	0.41283	0.41987	0.12562	0.147789188003540	0.444444444444444	0.170859375000000	0
67500		0.53715	0.41314	0.41970	0.12560	0.147789188003540	0.444444444444444	0.170859375000000	0
68000		0.53695	0.41364	0.41943	0.12564	0.147789188003540	0.444444444444444	0.170859375000000	0
68500		0.53704	0.41360	0.41908	0.12562	0.147789188003540	0.444444444444444	0.170859375000000	0
69000		0.53687	0.41374	0.41889	0.12558	0.147789188003540	0.444444444444444	0.170859375000000	0
69500		0.53676	0.41334	0.41877	0.12562	0.147789188003540	0.444444444444444	0.170859375000000	0
70000		0.53674	0.41346	0.41902	0.12559	0.147789188003540	0.444444444444444	0.170859375000000	0
70500		0.53662	0.41337	0.41912	0.12553	0.147789188003540	0.444444444444444	0.170859375000000	0
71000		0.53673	0.41351	0.41904	0.12550	0.147789188003540	0.444444444444444	0.170859375000000	0
71500		0.53685	0.41389	0.41896	0.12551	0.147789188003540	0.444444444444444	0.170859375000000	0
72000		0.53643	0.41361	0.41939	0.12562	0.147789188003540	0.444444444444444	0.170859375000000	0
72500		0.53668	0.41359	0.41923	0.12556	0.147789188003540	0.444444444444444	0.170859375000000	0
73000		0.53641	0.41365	0.41950	0.12552	0.147789188003540	0.444444444444444	0.170859375000000	0
73500		0.53647	0.41382	0.41961	0.12549	0.147789188003540	0.444444444444444	0.170859375000000	0
74000		0.53629	0.41395	0.41938	0.12546	0.147789188003540	0.444444444444444	0.170859375000000	0
74500		0.53615	0.41430	0.41927	0.12542	0.147789188003540	0.444444444444444	0.170859375000000	0
75000		0.53608	0.41450	0.41927	0.12544	0.147789188003540	0.444444444444444	0.170859375000000	0
75500		0.53629	0.41494	0.41943	0.12541	0.147789188003540	0.444444444444444	0.170859375000000	0
76000		0.53621	0.41507	0.41949	0.12546	0.147789188003540	0.444444444444444	0.170859375000000	0
