step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106
1	-1510.714963733058994	-1517.570451684018281	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.470432685064353	0	1	1	2	2	3	3	4	3	3	5	4	4	4	4	4	5	5	6	5	5	5	5	5	5	6	6	6	6	9	6	7	6	7	6	7	6	6	6	6	9	7	7	8	7	8	9	7	7	7	7	10	8	7	8	9	9	8	8	8	9	8	8	8	8	8	9	9	8	8	12	9	9	9	9	9	9	10	9	9	9	9	9	10	9	10	10	10	10	12	10	11	13	10	11	11	10	11	11	11	11	11	12	13	12	13	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	4	3	3	3	3	3	4	4	5	4	4	4	4	4	4	5	5	5	5	7	5	6	5	6	5	6	5	5	5	5	7	6	6	6	6	6	7	6	6	6	6	8	6	6	6	7	7	6	6	6	7	6	6	6	6	6	7	7	6	6	9	7	7	7	7	7	7	8	7	7	7	7	7	8	7	8	8	8	8	9	8	8	10	8	8	8	8	8	8	8	8	8	9	10	9	10
500	-628.518063628667051	-635.373551579626451	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458370105233678	0	1	1	2	2	3	3	4	3	3	5	3	4	2	3	4	5	4	6	5	5	5	5	5	5	6	6	6	6	8	6	7	5	7	6	5	4	6	6	4	9	7	7	8	7	5	9	6	6	7	7	9	8	5	7	9	8	8	8	8	9	8	6	8	7	8	9	8	8	8	12	8	8	9	9	7	9	10	9	9	6	9	9	10	9	8	9	10	10	12	10	11	13	10	11	11	9	10	11	11	11	11	11	13	11	12	0	1	1	2	1	1	14	4	4	14	3	4	9	1	14	10	13	6	36	7	7	5	12	10	15	16	22	13	14	46	13	48	1	18	18	37	6	12	12	6	59	81	63	65	3	6	6	46	22	18	19	10	27	0	6	44	45	17	31	81	86	81	11	42	27	46	51	16	54	0	63	14	39	12	63	22	30	58	54	55	22	1	17	97	51	63	29	58	26	103	16	73	39	82	79	2	45	86	30	40	45	97	40	41	30	6	1	1	1	1	1	3	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	1	2	3	2	2	1	4	3	2	1	1	3	2	1	1	1	1	1	4	2	6	1	1	1	1	4	1	1	3	1	1	2	1	2	1	2	1	1	1	2	2	4	2	1	5	5	2	6	3	1	1	1	2	2	1	6	2	1	2	2	2	2	3	1	5	2	6	1	2	9	1	1	2	6	3	2	5	3	2	8
1000	-531.735975984316269	-538.591463935275669	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570638289289478	0	1	1	2	2	3	3	4	3	3	5	4	4	2	4	4	4	5	5	5	5	4	5	5	5	6	6	6	5	8	6	7	6	7	6	7	4	6	6	6	9	7	7	8	7	8	9	6	7	6	7	10	8	6	7	9	6	8	8	8	9	8	8	5	6	7	8	9	8	8	10	9	9	9	9	9	8	10	8	9	9	9	7	10	8	9	10	10	10	12	10	11	13	10	11	11	10	11	11	11	11	10	12	13	12	13	0	1	1	2	3	1	2	4	4	14	22	4	9	3	10	10	2	6	1	7	7	6	12	15	15	29	22	13	16	45	24	48	2	18	18	19	6	23	12	16	17	64	64	65	65	66	17	7	19	18	19	40	26	0	20	66	17	36	49	42	42	65	27	6	17	17	51	26	54	0	63	18	38	23	11	63	65	41	54	55	43	43	27	41	33	36	68	56	68	100	68	73	74	6	79	44	46	27	88	53	36	41	68	99	102	44	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	3	2	4	2	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	1	5	2	2	2	1	1	4	1	2	1	1	3	2	1	2	2	1	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	2	3	2	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	3	7	3	3	2	2	1	2	2	1	2	1	2	5
1500	-537.030699847680921	-543.886187798640321	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602588408681643	0	1	1	2	1	2	3	4	3	3	5	3	4	3	4	4	4	5	3	5	5	5	5	5	5	5	6	6	6	8	6	7	6	7	6	6	6	5	6	6	7	6	6	8	7	8	9	7	5	7	7	10	8	6	7	9	8	6	8	8	8	7	8	8	8	8	8	8	8	7	12	9	8	9	7	9	9	10	8	9	8	9	9	10	9	9	9	7	10	11	10	10	13	10	11	10	9	11	11	10	8	10	12	13	12	13	0	1	1	2	1	2	6	9	4	3	5	4	9	5	14	14	6	6	2	7	7	14	12	16	15	16	22	13	16	45	11	17	22	11	18	49	49	12	12	24	24	5	7	48	58	45	88	17	2	18	37	53	40	0	20	66	32	19	41	42	27	22	43	43	41	45	51	40	54	0	85	18	38	39	43	75	46	101	54	55	42	75	43	97	51	60	40	31	68	91	68	74	92	101	79	45	46	61	88	40	49	56	90	99	102	96	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	1	2	1	1	1	2	2	1	2	3	3	1	1	1	2	2	3	2	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	2	1	3	3	2	2	1	2	1	1	2	2	2	1	2	1	2	1	1	1	2	1	2	1	3	2	3	3	1	3	2	3	2	1	1	2	2	2
2000	-556.571670618294775	-563.427158569254175	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552175065003529	0	1	1	2	2	2	3	4	3	3	3	4	4	2	4	4	5	5	6	4	5	5	5	5	5	6	4	5	6	9	6	7	6	7	6	7	5	6	6	6	8	7	7	8	6	7	9	6	7	7	6	9	8	6	7	9	8	6	8	8	9	8	7	8	7	8	8	8	8	7	11	9	9	9	6	8	9	9	9	9	9	9	8	10	9	10	9	7	10	12	10	10	13	9	11	11	9	11	11	11	8	10	12	11	12	13	0	1	1	2	3	2	1	9	4	14	3	4	9	1	10	10	3	27	37	7	27	11	12	14	15	16	3	13	17	46	2	27	5	35	18	22	27	23	12	10	26	33	75	65	6	45	88	24	7	18	27	26	24	0	20	66	17	6	21	75	42	58	75	75	45	49	51	17	54	0	49	34	23	23	22	75	41	101	54	55	42	63	27	97	67	63	16	31	53	40	87	74	73	101	79	97	58	24	88	68	33	6	24	47	30	96	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	3	1	1	1	1	2	1	2	1	2	3	1	1	1	3	2	3	1	1	2	1	1	2	3	2	1	1	1	3	1	2	1	3	2	2	1	2	1	3	1	3	3	2	2	2	2	1	2	1	1	1	3	2	1	1	2	3	4	1	2	1	1	2	2	1	2	2	1	1	3	5	1	1	2	1	1	2	1	2	1	2	3	3	2	2	7	4	2	2	2
2500	-561.163647103462722	-568.019135054422122	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519146095008768	0	1	1	2	2	3	3	4	3	3	5	4	4	2	4	4	5	5	6	5	5	5	4	5	5	6	4	5	5	9	6	7	6	7	6	6	5	6	6	6	9	7	7	5	6	8	9	7	7	7	7	10	8	6	8	9	9	7	7	7	9	8	8	7	8	8	8	8	7	8	11	8	8	9	9	9	9	8	9	6	8	8	8	10	9	8	10	7	7	11	10	11	13	9	11	11	9	11	9	11	11	10	12	13	11	13	0	1	1	2	3	2	2	4	4	14	5	4	9	3	14	14	2	8	37	6	7	27	6	10	15	17	5	9	16	45	6	7	2	18	18	37	27	12	8	24	32	1	22	6	44	45	88	5	6	18	8	68	24	0	80	7	48	21	17	22	43	64	48	17	44	45	48	24	54	0	64	48	23	38	43	42	22	33	54	20	60	11	27	97	67	11	68	31	16	68	42	73	92	78	79	30	48	75	88	24	94	97	90	99	102	96	1	1	1	1	1	1	1	2	1	1	3	2	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	3	1	2	1	1	1	1	2	1	1	2	4	2	1	1	2	2	4	4	2	2	2	3	1	2	3	1	2	2	2	2	1	1	2	2	2	1	3	1	1	4	1	3	2	2	2	3	1	3	1	1	2	3	1	1	1	2	1	2	2	2	3	2	1	2	1	2	1	2	3	2	1	1	3	1	2
3000	-546.502164746925132	-553.357652697884532	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667371233776048	0	1	1	2	2	3	3	3	3	2	3	4	4	4	4	4	5	4	6	5	4	5	5	5	5	5	5	4	6	9	6	6	6	6	6	7	6	6	6	6	9	7	7	8	6	8	9	7	7	7	7	10	8	5	8	8	9	8	7	8	9	8	8	7	7	8	9	9	7	8	12	9	8	6	9	9	7	9	8	6	9	9	8	8	7	10	9	10	10	10	9	11	13	10	10	10	10	9	11	11	11	10	12	13	12	13	0	1	1	2	1	2	2	4	4	1	5	6	9	5	10	10	10	6	7	7	7	11	12	14	15	14	3	9	26	45	17	1	3	18	18	19	10	12	12	16	58	16	27	65	17	45	33	32	33	35	32	68	40	0	80	17	33	32	6	33	42	17	11	22	45	27	51	26	54	0	30	18	39	23	17	43	45	49	54	20	42	11	33	45	37	43	40	33	62	53	53	73	92	78	79	46	84	83	47	91	94	56	16	88	102	97	1	1	1	1	2	2	2	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	2	1	3	4	2	2	1	2	2	2	1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	2	3	3	2	2	2	1	2	3	2	1	2	2	2	1	1	1	3	2	1	3	1	1	2	2	1	2	3	2	1	1	3	3	2	2	2	1	3	2	1	2	2	2	1	1	2	1	1	4	2	2	3
3500	-520.783641097166765	-527.639129048126165	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608361161714136	0	1	1	2	2	3	3	3	3	2	5	4	4	4	4	3	5	5	5	5	5	4	5	5	5	6	6	6	6	9	6	5	6	7	6	7	6	5	6	6	9	6	6	8	7	8	8	7	7	7	7	10	8	7	7	9	9	8	8	8	9	7	7	8	7	8	7	8	8	7	12	9	7	9	8	8	9	9	9	9	9	9	9	10	9	10	10	10	9	12	9	11	13	10	11	11	10	11	9	11	11	10	12	13	12	13	0	1	1	2	3	1	2	4	4	1	22	6	9	10	5	10	3	6	6	7	7	6	12	14	15	16	32	9	24	75	19	14	17	18	18	37	19	12	38	10	58	17	22	65	5	33	65	32	33	18	37	75	40	0	20	59	6	17	3	42	63	43	22	63	17	65	32	40	54	0	86	50	38	39	5	63	46	65	54	55	62	22	64	65	67	57	17	47	75	26	68	73	92	78	54	84	45	43	31	91	94	46	52	88	97	96	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	4	2	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	1	1	1	2	1	2	2	1	2	1	5	2	3	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	5	1	1	2	2	1	2	5	1	2	2	1	2	2	1	4	1	3	2	1	2	1	1	5	3	2	1	2	1	2	1	1
4000	-554.122875605917898	-560.978363556877298	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523324851850781	0	1	1	2	2	3	2	4	3	3	5	4	4	4	4	4	4	4	5	5	5	5	5	2	5	6	4	6	5	9	5	7	6	6	6	7	6	5	6	5	9	7	7	8	7	8	8	5	6	7	7	9	8	7	8	9	9	8	8	5	9	8	8	6	5	8	8	8	8	8	12	8	8	9	9	9	9	10	9	9	9	8	9	10	9	10	10	10	10	12	10	11	13	10	10	11	9	11	11	11	11	11	10	13	11	13	0	1	1	2	3	2	2	4	4	24	5	4	9	24	6	10	3	6	8	6	7	6	12	1	24	16	3	9	16	65	8	14	17	18	18	37	48	12	23	16	32	26	64	17	65	28	32	6	6	34	19	14	40	0	20	66	27	33	48	24	44	22	64	27	27	45	36	40	54	0	59	34	39	39	43	11	4	30	54	20	42	43	17	97	67	30	26	47	52	91	68	73	73	83	54	30	45	77	33	26	94	97	52	99	30	96	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	3	3	1	4	1	1	2	1	1	1	1	1	1	1	2	1	1	3	2	2	1	2	1	1	2	2	2	1	2	1	2	2	3	2	1	1	2	2	1	1	1	2	1	1	3	2	2	2	2	3	4	1	2	3	1	1	4	1	1	1	4	2	1	2	2	3	3	1	3	2	2	1	3	3	1	2	1	2	2	1
4500	-528.718213319379856	-535.573701270339257	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677107366439786	0	1	1	2	2	3	3	4	3	3	5	3	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	9	5	6	6	6	6	7	6	6	5	6	9	5	7	7	7	8	8	7	7	6	7	10	8	7	7	9	9	8	7	7	9	8	8	8	8	8	8	6	8	8	12	8	8	9	7	9	9	10	9	7	6	9	9	10	9	10	9	10	8	11	9	10	13	10	10	8	10	11	11	8	10	8	12	13	11	13	0	1	1	2	3	5	2	4	4	5	5	4	9	10	10	10	6	6	2	7	7	3	12	3	15	16	3	13	24	66	17	6	6	18	18	33	19	12	12	16	2	6	6	6	26	45	31	27	21	18	11	91	68	0	20	46	27	32	19	81	62	21	75	42	45	45	36	24	54	0	86	34	39	39	11	60	46	41	54	20	42	64	64	96	67	63	29	47	26	53	26	73	73	44	79	45	96	43	24	27	41	44	90	99	102	96	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	4	1	2	4	1	1	1	1	2	1	1	1	1	1	2	2	2	4	2	3	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	2	2	2	3	2	2	1	1	2	2	1	1	1	1	1	1	3	2	2	1	2	2	2	1	1	1	1	3	2	2	1	1	1	2	3	2
