step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
1	-1662.296611801710014	-1660.834529717191117	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.111394910619696	0	2	3	2	2	3	3	2	3	4	3	3	4	6	3	4	4	4	4	5	5	7	4	4	4	4	5	7	5	5	5	5	7	5	6	5	7	8	7	6	7	6	6	6	6	6	6	6	6	9	9	7	8	7	7	7	7	7	8	8	8	8	8	8	9	9	8	9	9	9	9	9	9	9	10	10	13	11	12	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	3	3	2	3	3	3	3	3	5	3	3	3	3	3	4	4	6	3	3	3	3	4	6	4	4	4	4	6	4	5	4	6	6	6	5	6	5	5	5	5	5	5	5	5	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	6	7	7	7	7	7	7	7	8	8	10	8	9
500	-573.011727197502410	-570.920295416213435	-2.091431781288939	0.000009974707292	0.000025753064462	2.581836610108385	0.213093773131961	-1	1	3	2	2	3	3	2	0	4	3	2	3	6	3	4	4	4	4	4	3	7	4	4	4	4	5	6	5	5	5	5	5	5	6	4	7	8	7	6	5	6	6	6	6	6	6	6	5	9	9	6	7	7	7	7	7	7	8	7	8	7	8	8	9	9	8	9	9	8	9	8	9	9	10	10	13	11	12	0	9	1	2	1	12	5	2	1	4	4	1	12	26	8	5	1	3	4	3	5	23	11	13	13	5	12	12	13	16	3	19	19	20	20	21	21	49	20	11	12	16	31	31	32	36	21	49	11	60	59	17	33	11	42	21	36	47	28	47	27	33	33	40	55	46	21	36	46	47	61	12	62	46	12	74	42	53	6	1	1	3	1	3	1	1	1	1	1	1	3	1	2	1	1	4	1	2	1	1	2	1	1	1	2	3	2	2	1	2	1	1	1	2	1	4	3	3	2	1	2	1	1	1	2	2	1	2	2	1	2	2	2	1	3	3	1	2	1	2	2	3	2	2	3	3	4	2	2	1	5	2	2	6	1	6	2	9
1000	-491.105804524730331	-488.764750322600037	-2.341054202130301	0.000009992749936	0.000032771463835	3.279524059511099	0.552671309238732	0	1	3	2	2	3	2	1	3	4	3	2	3	6	2	4	4	4	3	3	3	7	4	4	4	4	4	6	5	5	5	5	5	5	6	5	5	8	4	5	7	5	6	6	6	6	6	6	5	9	9	7	8	7	7	7	7	7	7	7	7	8	8	8	9	9	8	9	9	9	9	9	9	9	9	10	13	11	11	0	1	8	8	1	12	2	1	5	4	4	8	12	26	1	9	5	3	4	1	7	23	11	13	13	7	12	27	13	16	18	19	19	20	20	21	21	49	20	23	27	16	31	31	32	37	21	49	11	60	61	31	33	11	42	37	46	37	28	37	28	33	33	11	55	36	58	56	37	60	61	27	62	47	12	74	55	62	72	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	2	1	1	1	2	2	2	1	1	1	2	2	2	3	1	2	2	1	1	3	1	1	1	1	1	3	1	2	2	2	2	3	3	1	2	1	1	1	2	1	2	3	3	2	2	1	1	4	2	1	4	1	2	7	1	3	3	2
1500	-451.454051616847835	-449.348293383405007	-2.105758233442852	0.000010030948006	0.000026282910529	2.620182111710499	0.648232695852712	0	2	1	1	2	3	1	2	3	3	2	2	3	5	3	4	3	4	3	4	4	7	4	4	4	3	5	6	5	5	5	5	5	5	5	5	7	8	6	4	6	6	6	6	6	6	5	6	5	9	9	7	8	7	7	6	7	7	8	8	7	8	7	5	8	9	8	8	9	9	9	9	9	9	10	10	10	10	12	0	1	1	1	1	12	1	1	3	4	4	1	12	26	2	8	5	3	4	7	7	23	11	13	13	7	6	6	13	16	18	19	19	20	20	21	47	49	20	11	27	30	31	31	32	21	21	49	11	60	61	31	33	40	42	36	46	47	28	37	28	33	33	11	42	58	46	58	37	60	61	61	62	58	61	74	42	62	72	1	2	1	1	2	1	1	1	2	2	1	2	1	2	1	1	1	2	1	2	2	2	2	1	1	2	2	2	1	1	1	2	2	1	1	1	2	3	2	2	1	1	1	1	1	1	1	1	3	1	2	2	3	3	1	1	1	2	2	1	1	2	2	2	2	2	2	1	2	1	2	1	1	2	3	1	3	1	2
2000	-426.386898381094056	-423.887846858229750	-2.499051522864324	0.000010114538560	0.000037995125524	3.756486299227543	0.743501230002409	0	1	3	2	2	3	3	2	1	4	3	2	3	6	2	3	3	1	3	4	4	7	4	4	4	4	5	6	4	5	4	5	6	5	6	5	7	8	7	5	7	6	6	6	6	6	6	6	5	9	9	7	8	6	7	7	7	7	8	8	7	7	8	7	9	9	8	9	8	9	8	9	9	9	10	10	13	9	11	0	1	5	9	9	12	8	9	1	4	4	2	12	26	1	5	5	1	4	5	7	23	11	13	13	7	12	6	13	15	18	19	19	20	20	21	21	49	20	23	12	30	31	31	32	36	21	49	11	60	61	44	33	23	42	46	46	46	28	37	28	33	33	54	55	58	58	56	58	60	61	61	62	67	71	74	65	62	72	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	3	1	1	2	3	2	2	1	2	1	2	2	2	1	4	1	1	2	1	1	2	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	3	2	1
2500	-411.343942901014429	-409.311421668262540	-2.032521232751916	0.000010164900199	0.000024661494395	2.426142304657978	0.756213952046844	0	2	3	2	1	3	2	2	1	3	3	2	3	6	3	4	4	3	3	4	4	7	4	4	4	4	5	6	5	5	5	5	6	5	6	5	7	8	6	5	7	6	6	6	6	6	6	6	5	7	9	7	7	6	7	7	7	7	8	5	7	7	8	8	9	9	8	9	8	8	9	9	9	9	10	10	11	9	12	0	9	9	9	1	12	9	9	1	4	4	5	12	26	2	5	8	1	4	9	7	11	11	13	13	7	12	27	13	16	18	19	19	20	20	21	47	49	20	11	27	30	31	31	32	36	36	49	11	60	61	43	33	11	42	46	46	46	28	21	28	33	53	23	42	58	58	56	58	60	61	61	62	58	71	74	65	62	72	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	1	1	3	2	1	1	2	1	1	2	2	2	2	1	1	2	2	2
3000	-407.066133349791812	-404.883942013427657	-2.182191336364135	0.000010307073745	0.000029149497889	2.828106076536168	0.766556102540165	0	2	3	2	1	3	3	2	2	4	3	2	3	6	3	3	4	3	4	3	4	6	4	4	4	4	5	6	5	5	4	5	5	5	6	5	6	8	7	6	7	6	5	6	6	6	6	6	5	9	9	6	8	5	7	7	7	7	8	7	7	7	7	8	9	9	8	8	9	9	9	9	9	8	10	9	11	11	12	0	5	8	5	1	12	2	5	1	4	4	5	12	26	9	5	9	9	4	9	9	23	11	13	13	7	6	27	13	16	18	19	19	20	34	21	21	49	34	54	27	30	31	31	32	36	21	49	23	60	61	31	33	11	42	46	46	46	28	47	28	33	33	11	55	58	58	56	58	60	61	61	62	58	71	74	65	62	51	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	2	1	1	2	1	1	2	1	1	2	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	2	1	1	2	2	1	1	1	2	3	2
3500	-396.651421479006444	-394.657156244113878	-1.994265234892545	0.000010513015048	0.000024460350521	2.326673214878068	0.660269849628691	-1	0	2	2	2	3	3	1	2	4	3	2	3	6	3	3	4	3	4	4	4	7	4	4	4	4	5	6	5	5	4	5	6	5	5	5	7	7	7	6	7	6	6	6	6	6	6	6	5	9	9	7	7	7	7	7	7	7	8	8	7	7	8	8	9	8	8	9	8	9	9	9	9	9	10	10	12	9	10	0	1	1	2	1	12	8	1	2	4	4	2	12	26	5	2	5	9	4	3	3	23	11	13	13	7	6	27	13	16	18	19	19	20	20	21	47	49	20	23	27	30	31	31	32	36	21	49	11	60	61	31	33	23	42	46	46	46	28	47	28	33	53	23	55	58	58	56	58	60	61	61	62	66	71	74	65	62	72	1	1	2	2	1	1	1	2	2	1	1	2	1	2	1	1	1	1	2	2	2	2	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	2	3	2	2	1	2	2	1	1	2	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	2	2	1
4000	-401.968272506218341	-400.052431516779507	-1.915840989438827	0.000010843112956	0.000023057645632	2.126478413099248	0.652677115449948	0	2	1	2	2	3	3	2	3	4	3	2	3	6	2	3	4	3	4	4	4	7	4	4	4	4	5	6	5	4	4	5	6	5	6	5	7	8	7	6	7	6	6	6	6	6	6	6	5	9	9	6	8	7	7	7	7	7	8	8	7	7	8	8	9	8	8	8	9	9	9	9	9	9	10	10	13	11	12	0	3	1	1	3	12	5	3	5	4	4	3	12	26	3	8	2	2	4	5	15	11	11	13	13	7	6	27	13	16	18	19	19	20	20	21	21	49	20	11	27	30	31	31	32	36	21	49	11	60	61	31	33	23	42	46	46	46	28	37	28	33	33	40	42	58	58	56	58	60	61	61	62	66	71	74	65	62	61	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	3	2	2	1	2	2	2	1	1	2	1	2	1	1	2	2	3	1	1	1	1	2	1	1	1	2	1	3	1	1	1	2	1	2	2	2	1	1	1	1	2	4
4500	-389.352461975377821	-387.927750027164166	-1.424711948213633	0.000013376942917	0.000011915334767	0.890736758082623	0.706826044668159	0	1	3	2	2	3	3	1	3	3	3	2	3	6	3	4	2	3	4	3	4	7	4	4	4	4	5	6	5	5	4	5	6	5	6	5	7	8	7	6	6	6	5	6	6	6	6	6	4	8	9	7	8	7	7	7	7	7	7	6	7	7	7	8	9	8	8	8	9	8	9	9	9	9	10	10	13	11	12	0	1	2	2	2	12	8	1	5	4	4	2	12	26	5	3	8	5	10	5	7	23	11	13	13	7	12	6	13	16	18	19	19	20	20	21	21	49	20	11	27	30	31	43	32	36	21	49	11	60	61	31	33	23	42	46	46	46	28	21	28	33	33	22	42	58	58	56	58	37	61	61	62	66	71	74	65	73	51	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	2	2	2	1	2	2	3	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	2	1	1	1	2	2	2
