step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.14629	1.00000	0.12096	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.32000	0.91800	0.10813	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99200	0.32300	0.89600	0.10773	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99000	0.34067	0.82200	0.10303	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99200	0.34350	0.76000	0.10045	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.98200	0.35240	0.65800	0.09991	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.98400	0.35567	0.50800	0.09734	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.95800	0.35543	0.38000	0.09638	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.93000	0.35650	0.38000	0.09444	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.92000	0.35911	0.37733	0.09458	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.93400	0.36280	0.38350	0.09478	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.89600	0.36527	0.38640	0.09408	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.92800	0.36183	0.38300	0.09382	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.95000	0.35692	0.38257	0.09566	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.88200	0.35571	0.38550	0.09663	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.80200	0.35507	0.38867	0.09765	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.80000	0.35300	0.39120	0.09843	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.68800	0.34729	0.39364	0.09920	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.54000	0.34567	0.39383	0.09997	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.40000	0.34642	0.39231	0.09951	0.221683782005310	0.666666666666667	0.170859375000000	0
10500		0.40900	0.34350	0.39414	0.09961	0.221683782005310	0.666666666666667	0.170859375000000	0
11000		0.40933	0.34210	0.39627	0.09923	0.221683782005310	0.666666666666667	0.170859375000000	0
11500		0.42050	0.34082	0.39587	0.10002	0.221683782005310	0.666666666666667	0.170859375000000	0
12000		0.42320	0.34130	0.39529	0.09991	0.221683782005310	0.666666666666667	0.170859375000000	0
12500		0.42067	0.34225	0.39800	0.10024	0.221683782005310	0.666666666666667	0.170859375000000	0
13000		0.42686	0.34264	0.39863	0.10054	0.221683782005310	0.666666666666667	0.170859375000000	0
13500		0.43550	0.34177	0.39720	0.10037	0.221683782005310	0.666666666666667	0.170859375000000	0
14000		0.43578	0.34193	0.39695	0.10003	0.221683782005310	0.666666666666667	0.170859375000000	0
14500		0.43280	0.34121	0.39882	0.10019	0.221683782005310	0.666666666666667	0.170859375000000	0
15000		0.42818	0.33924	0.39861	0.10126	0.221683782005310	0.666666666666667	0.170859375000000	0
15500		0.43067	0.33913	0.39992	0.10187	0.221683782005310	0.666666666666667	0.170859375000000	0
16000		0.43338	0.33974	0.40088	0.10134	0.221683782005310	0.666666666666667	0.170859375000000	0
16500		0.43257	0.33775	0.40077	0.10122	0.221683782005310	0.666666666666667	0.170859375000000	0
17000		0.43187	0.33655	0.40252	0.10168	0.221683782005310	0.666666666666667	0.170859375000000	0
17500		0.43262	0.33494	0.40329	0.10239	0.221683782005310	0.666666666666667	0.170859375000000	0
18000		0.43482	0.33543	0.40324	0.10241	0.221683782005310	0.666666666666667	0.170859375000000	0
18500		0.43611	0.33506	0.40253	0.10226	0.221683782005310	0.666666666666667	0.170859375000000	0
19000		0.43611	0.33638	0.40181	0.10215	0.221683782005310	0.666666666666667	0.170859375000000	0
19500		0.43830	0.33684	0.40163	0.10192	0.221683782005310	0.666666666666667	0.170859375000000	0
20000		0.43810	0.33708	0.40018	0.10171	0.221683782005310	0.666666666666667	0.170859375000000	0
20500		0.43718	0.33750	0.39994	0.10174	0.221683782005310	0.666666666666667	0.170859375000000	0
21000		0.43757	0.33668	0.40109	0.10214	0.221683782005310	0.666666666666667	0.170859375000000	0
21500		0.43658	0.33600	0.40167	0.10225	0.221683782005310	0.666666666666667	0.170859375000000	0
