step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.10822	1.00000	0.14694	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99200	0.22200	0.95000	0.14229	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99000	0.40600	0.92400	0.13373	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.99400	0.45900	0.87200	0.12672	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.98800	0.49333	0.81000	0.12321	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.99200	0.50600	0.68600	0.11886	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.99000	0.42600	0.56800	0.11597	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.98000	0.45000	0.46600	0.11234	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.96800	0.43533	0.47000	0.11124	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.95800	0.43050	0.46133	0.11182	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.93800	0.43920	0.46800	0.11081	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.91000	0.43567	0.47040	0.11092	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.90800	0.43000	0.47433	0.11098	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.95000	0.42925	0.46914	0.11038	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.94000	0.42378	0.46700	0.11129	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.88200	0.42000	0.46778	0.11094	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.80800	0.41436	0.46700	0.11147	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.74400	0.41083	0.46564	0.11289	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.66600	0.40831	0.46567	0.11274	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.51400	0.40943	0.46446	0.11312	0.221683782005310	0.666666666666667	0.170859375000000	0
10500		0.38200	0.40933	0.46543	0.11295	0.332525673007965	0.666666666666667	0.170859375000000	0
11000		0.40800	0.40800	0.46880	0.11252	0.332525673007965	0.666666666666667	0.170859375000000	0
11500		0.41067	0.40482	0.47000	0.11235	0.332525673007965	0.666666666666667	0.170859375000000	0
12000		0.42150	0.40489	0.47153	0.11230	0.332525673007965	0.666666666666667	0.170859375000000	0
12500		0.41200	0.40389	0.47089	0.11270	0.332525673007965	0.666666666666667	0.170859375000000	0
13000		0.40667	0.40380	0.46937	0.11301	0.332525673007965	0.666666666666667	0.170859375000000	0
13500		0.40257	0.40286	0.46980	0.11321	0.332525673007965	0.666666666666667	0.170859375000000	0
14000		0.39700	0.40327	0.46667	0.11336	0.332525673007965	0.666666666666667	0.170859375000000	0
14500		0.39733	0.40226	0.46573	0.11357	0.332525673007965	0.666666666666667	0.170859375000000	0
15000		0.39340	0.40250	0.46678	0.11415	0.332525673007965	0.666666666666667	0.170859375000000	0
15500		0.39182	0.40160	0.46708	0.11473	0.332525673007965	0.666666666666667	0.170859375000000	0
16000		0.39417	0.40085	0.46664	0.11521	0.332525673007965	0.666666666666667	0.170859375000000	0
16500		0.39723	0.39970	0.46600	0.11508	0.332525673007965	0.666666666666667	0.170859375000000	0
17000		0.39700	0.39871	0.46548	0.11498	0.332525673007965	0.666666666666667	0.170859375000000	0
17500		0.39440	0.39869	0.46486	0.11477	0.332525673007965	0.666666666666667	0.170859375000000	0
18000		0.39600	0.39847	0.46448	0.11496	0.332525673007965	0.666666666666667	0.170859375000000	0
18500		0.40024	0.39955	0.46300	0.11491	0.332525673007965	0.666666666666667	0.170859375000000	0
19000		0.40122	0.40037	0.46258	0.11485	0.332525673007965	0.666666666666667	0.170859375000000	0
19500		0.40074	0.39982	0.46269	0.11508	0.332525673007965	0.666666666666667	0.170859375000000	0
20000		0.39970	0.39865	0.46406	0.11504	0.332525673007965	0.666666666666667	0.170859375000000	0
20500		0.40200	0.39863	0.46265	0.11476	0.332525673007965	0.666666666666667	0.170859375000000	0
21000		0.40173	0.39822	0.46280	0.11455	0.332525673007965	0.666666666666667	0.170859375000000	0
21500		0.40078	0.39789	0.46306	0.11460	0.332525673007965	0.666666666666667	0.170859375000000	0
22000		0.40117	0.39711	0.46276	0.11494	0.332525673007965	0.666666666666667	0.170859375000000	0
22500		0.40152	0.39692	0.46221	0.11498	0.332525673007965	0.666666666666667	0.170859375000000	0
23000		0.40238	0.39680	0.46149	0.11478	0.332525673007965	0.666666666666667	0.170859375000000	0
23500		0.40319	0.39737	0.46100	0.11458	0.332525673007965	0.666666666666667	0.170859375000000	0
24000		0.40364	0.39729	0.46117	0.11457	0.332525673007965	0.666666666666667	0.170859375000000	0
24500		0.40214	0.39665	0.46233	0.11478	0.332525673007965	0.666666666666667	0.170859375000000	0
25000		0.40120	0.39627	0.46321	0.11478	0.332525673007965	0.666666666666667	0.170859375000000	0
25500		0.40142	0.39667	0.46341	0.11469	0.332525673007965	0.666666666666667	0.170859375000000	0
26000		0.40131	0.39626	0.46444	0.11468	0.332525673007965	0.666666666666667	0.170859375000000	0
26500		0.40212	0.39702	0.46378	0.11469	0.332525673007965	0.666666666666667	0.170859375000000	0
27000		0.40282	0.39642	0.46362	0.11447	0.332525673007965	0.666666666666667	0.170859375000000	0
27500		0.40377	0.39661	0.46296	0.11449	0.332525673007965	0.666666666666667	0.170859375000000	0
