step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98798	0.22645	1.00000	0.12519	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.27600	0.95000	0.12835	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98400	0.28700	0.92800	0.12645	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98600	0.29533	0.90800	0.12830	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99400	0.30950	0.80000	0.12738	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.99000	0.32640	0.74000	0.12697	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.98400	0.34167	0.61200	0.12498	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.97600	0.35800	0.45600	0.12377	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.93600	0.37050	0.43800	0.12193	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.93200	0.37867	0.42867	0.12067	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.91000	0.38380	0.44150	0.11907	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.87000	0.38709	0.43440	0.11787	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.89000	0.38850	0.43300	0.11748	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.91600	0.38754	0.43257	0.11729	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.90000	0.39300	0.43900	0.11807	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.83200	0.39200	0.44000	0.12017	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.78800	0.39025	0.43820	0.12104	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.68200	0.39012	0.43436	0.12126	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.47600	0.38733	0.43267	0.12162	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.51100	0.38684	0.43585	0.12292	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.51333	0.38570	0.44114	0.12324	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.50300	0.38333	0.44507	0.12426	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.50160	0.38264	0.44588	0.12551	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.50500	0.38235	0.44494	0.12600	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.50743	0.38275	0.44544	0.12586	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.51150	0.38280	0.44705	0.12595	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.51178	0.38069	0.44750	0.12656	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.51100	0.38133	0.44705	0.12670	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.50818	0.38157	0.45000	0.12712	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.50783	0.38124	0.45209	0.12796	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.50969	0.38133	0.45225	0.12857	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.50814	0.38116	0.45400	0.12927	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.50707	0.37969	0.45531	0.13025	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.50762	0.37885	0.45622	0.13053	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.50776	0.37706	0.45571	0.13057	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.50744	0.37811	0.45669	0.13123	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.50947	0.37800	0.45580	0.13200	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.50930	0.37714	0.45761	0.13241	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.51029	0.37653	0.45687	0.13267	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.51036	0.37533	0.45703	0.13282	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.51243	0.37640	0.45665	0.13285	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.51608	0.37751	0.45771	0.13277	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.51832	0.37862	0.45833	0.13260	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.51946	0.37860	0.45827	0.13278	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.52022	0.37850	0.45879	0.13289	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.51921	0.37907	0.45913	0.13291	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.52193	0.37961	0.45710	0.13276	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.52327	0.37983	0.45707	0.13270	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.52387	0.37938	0.45695	0.13261	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.52406	0.37951	0.45772	0.13262	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.52279	0.37936	0.45827	0.13296	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.52118	0.37949	0.45884	0.13310	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.52086	0.37904	0.45939	0.13314	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.52111	0.37989	0.45928	0.13320	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.52168	0.37926	0.46013	0.13304	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.52074	0.37978	0.46012	0.13303	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.51933	0.38007	0.45928	0.13301	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.51965	0.38011	0.46020	0.13296	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.52068	0.38062	0.46127	0.13296	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.52090	0.38027	0.46117	0.13321	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.51986	0.37967	0.46126	0.13340	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.51905	0.37902	0.46156	0.13366	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.51871	0.37874	0.46182	0.13415	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.52022	0.37838	0.46193	0.13411	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.52132	0.37853	0.46152	0.13402	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.52192	0.37889	0.46129	0.13395	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.52196	0.37852	0.46143	0.13397	0.147789188003540	0.666666666666667	0.170859375000000	0
34000		0.52172	0.37863	0.46134	0.13411	0.147789188003540	0.666666666666667	0.170859375000000	0
34500		0.52173	0.37876	0.46135	0.13419	0.147789188003540	0.666666666666667	0.170859375000000	0
35000		0.52200	0.37829	0.46114	0.13412	0.147789188003540	0.666666666666667	0.170859375000000	0
35500		0.52170	0.37863	0.46134	0.13423	0.147789188003540	0.666666666666667	0.170859375000000	0
36000		0.52196	0.37865	0.46212	0.13407	0.147789188003540	0.666666666666667	0.170859375000000	0
