step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112
1	-3458.546101725921744	-3465.401589676881031	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.806721619274988	0	1	4	3	2	2	2	5	4	4	4	4	6	5	5	6	7	6	7	7	6	8	7	8	7	7	8	8	8	8	8	10	9	10	9	9	9	10	11	10	10	11	10	10	11	11	12	11	11	13	12	12	14	12	14	12	12	12	12	13	13	13	13	14	14	13	13	14	14	14	14	15	14	14	15	16	16	16	15	15	15	15	15	16	16	16	16	16	16	16	17	17	17	18	18	19	18	19	20	19	19	21	20	21	22	22	24	23	24	25	24	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	2	4	3	3	3	3	5	4	4	5	6	5	6	6	5	6	6	6	6	6	6	6	6	6	6	8	7	8	7	7	7	8	8	8	8	8	8	8	8	8	9	8	8	10	9	9	11	9	11	9	9	9	9	10	10	10	10	11	11	10	10	11	11	11	11	11	11	11	11	12	12	12	11	11	11	11	11	12	12	12	12	12	12	12	13	13	13	13	13	14	13	14	15	14	14	16	15	16	16	16	18	17	18	18	18	19
500	-935.169903050067546	-942.025391001026946	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.228156816206853	0	1	4	3	2	1	2	4	4	4	1	3	5	4	3	5	7	6	5	7	4	7	6	8	7	6	8	5	8	7	8	10	8	10	7	9	8	10	8	10	10	11	9	10	10	10	12	8	11	13	12	12	14	12	14	12	12	12	10	13	13	13	10	13	14	12	13	14	12	14	14	15	14	11	15	16	16	16	15	15	15	15	14	16	16	16	16	16	15	16	15	17	17	18	18	19	18	19	20	19	18	20	20	21	22	22	23	23	24	24	23	26	0	1	6	2	2	1	6	15	12	2	1	7	10	5	11	15	15	13	5	10	11	16	21	4	2	21	22	11	35	18	20	10	17	48	13	24	10	5	10	18	33	23	17	29	20	31	33	23	34	24	29	74	25	14	32	46	41	21	15	29	42	40	13	41	26	49	51	46	25	26	26	83	61	39	14	69	24	69	42	59	17	83	64	81	49	44	49	49	34	65	28	23	11	34	26	73	28	17	58	58	42	28	48	89	23	23	92	0	91	17	48	58	1	1	2	2	1	1	1	1	1	3	1	1	1	1	2	2	3	1	2	3	2	2	1	5	5	2	1	3	1	1	1	4	1	2	1	1	4	6	4	2	1	3	2	2	3	2	2	2	1	4	3	1	7	5	3	2	1	7	7	5	2	3	3	3	7	1	1	3	3	7	7	1	1	2	10	4	5	4	4	5	8	1	1	1	2	4	5	5	5	1	6	11	15	5	12	5	12	10	5	5	7	13	9	5	14	15	5	1	9	16	9	11
1000	-764.624717329344321	-771.480205280303721	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.324396247656344	0	1	4	3	2	1	2	5	4	4	3	4	6	5	5	6	7	6	7	7	4	8	7	8	7	6	8	8	7	8	8	10	8	10	9	9	9	10	10	10	10	11	9	9	11	11	12	11	11	12	12	12	14	12	14	12	12	11	11	13	13	11	13	11	13	13	11	14	14	13	14	15	14	14	15	16	16	16	13	14	15	15	15	16	15	15	16	16	16	15	17	17	17	18	18	18	18	19	20	19	19	20	20	21	22	21	24	22	23	25	24	24	0	1	6	1	2	1	6	2	7	5	2	7	4	5	11	21	16	4	18	1	11	16	16	14	10	21	16	11	13	13	25	25	26	28	29	30	14	5	13	30	26	43	23	30	25	31	64	17	28	58	32	67	37	38	46	46	64	28	28	35	28	35	44	41	33	49	24	46	42	26	64	57	59	44	20	61	13	85	28	61	64	71	47	83	66	62	49	80	80	65	78	48	11	88	26	79	28	28	85	69	92	28	79	76	48	48	106	0	69	61	92	92	1	1	2	2	1	1	1	2	2	2	1	2	3	2	2	2	1	2	1	4	1	1	1	3	3	1	1	4	1	2	1	3	2	2	2	1	3	4	1	2	2	2	2	1	4	2	1	4	3	1	2	1	4	1	2	1	1	3	2	3	5	2	3	1	4	1	2	2	2	7	3	3	1	4	7	2	7	1	3	1	3	1	2	1	2	4	4	2	2	2	1	6	13	2	12	4	9	8	3	5	2	12	4	4	11	9	3	1	5	12	7	5
1500	-707.674012461302823	-714.529500412262223	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.476432717636887	0	1	1	3	2	2	2	5	3	4	4	4	5	5	4	5	6	5	7	7	6	8	7	8	6	7	8	8	8	7	8	10	9	10	9	8	7	9	11	9	10	10	10	9	11	10	12	11	11	13	9	12	13	11	14	12	12	9	12	13	13	13	13	11	13	12	12	14	14	14	14	15	14	14	15	16	16	15	14	15	15	15	15	16	15	16	14	16	16	16	17	15	17	18	18	19	17	19	20	18	18	21	20	21	22	22	23	23	23	25	24	26	0	1	1	2	2	3	3	15	7	5	2	9	2	5	4	15	11	2	18	5	16	16	11	19	14	11	23	17	19	8	20	20	26	22	29	19	14	25	29	4	16	23	28	29	20	20	64	42	42	48	29	35	37	37	56	46	64	23	49	52	59	19	67	33	57	49	13	32	34	33	47	65	66	67	46	59	67	79	49	59	65	70	65	65	61	45	59	80	80	83	78	59	49	88	41	93	59	97	87	34	79	93	87	98	87	42	102	0	79	87	93	87	1	1	1	2	1	1	1	1	1	2	3	1	4	2	1	1	2	3	2	4	1	3	3	1	1	2	1	2	1	2	1	1	2	2	1	1	2	2	1	3	2	2	2	1	4	2	1	1	1	2	1	2	3	4	2	2	1	2	1	1	1	4	1	2	1	1	4	2	2	5	2	2	1	2	3	2	3	1	1	3	1	1	2	2	2	3	2	1	1	1	2	1	4	2	7	1	2	2	4	7	3	4	3	2	8	10	2	1	5	10	6	5
2000	-583.975644451359017	-590.831132402318417	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.551640128118370	0	1	1	3	2	2	2	5	3	4	4	4	5	5	5	6	7	6	7	7	5	7	6	8	7	7	7	8	8	8	8	10	9	10	9	9	9	10	11	10	10	11	9	10	11	9	12	10	11	11	12	11	14	12	14	11	12	11	12	12	13	12	13	11	12	13	13	14	14	13	14	14	14	13	15	15	15	14	13	15	15	15	15	16	15	16	16	15	16	16	17	17	17	18	18	19	17	18	20	19	17	21	20	21	21	22	24	23	24	24	23	26	0	1	1	2	2	3	3	10	7	2	4	9	4	5	11	21	23	14	13	10	11	21	15	14	4	15	11	17	18	18	25	20	26	33	18	30	25	37	32	24	33	48	22	4	32	31	64	43	28	48	52	40	32	45	38	46	64	28	43	35	59	35	24	41	64	59	44	46	59	65	65	65	66	60	68	59	62	79	58	49	72	65	65	72	61	44	85	79	88	71	78	61	79	89	72	61	78	87	85	98	87	93	100	100	92	104	105	0	104	105	98	110	1	1	1	2	1	1	1	1	1	2	1	1	2	3	1	1	1	1	2	3	1	2	1	1	2	2	1	1	1	1	1	3	2	1	2	1	1	1	1	2	1	1	1	5	1	1	1	1	3	1	1	1	3	1	3	2	1	3	3	3	1	2	3	1	1	1	3	3	2	1	2	2	1	1	1	2	2	1	2	3	1	2	3	2	2	4	1	1	1	2	3	2	3	2	4	3	2	2	3	1	1	2	1	2	2	1	3	1	2	3	5	2
2500	-595.956148522371450	-602.811636473330850	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627016648096609	-1	0	1	3	1	2	2	3	3	4	3	4	5	4	4	6	7	6	7	7	5	8	5	8	7	6	5	8	8	8	8	8	9	10	9	9	9	10	11	10	10	9	10	10	11	11	12	11	11	13	12	12	13	12	14	12	12	12	12	13	13	13	11	11	12	13	13	14	12	14	14	14	14	12	14	15	16	16	14	15	15	14	15	16	16	15	16	14	15	16	17	17	17	18	17	19	18	18	20	19	19	20	17	21	20	19	24	23	24	25	23	26	0	1	2	2	2	3	3	2	7	5	2	9	4	5	8	21	23	8	13	14	8	16	15	18	18	11	11	23	19	5	19	20	26	17	29	19	32	25	44	35	33	28	42	29	31	31	64	42	42	43	29	35	46	45	56	38	64	42	48	74	59	51	19	33	64	58	74	46	49	65	65	65	66	63	46	59	62	79	69	88	70	65	65	72	61	35	69	58	61	71	78	76	87	87	71	73	78	93	97	103	98	100	87	100	98	93	105	0	100	107	85	110	1	1	1	2	1	1	1	3	1	1	2	1	2	2	1	1	2	3	2	2	1	2	1	1	1	1	2	2	1	6	1	1	2	2	1	2	1	2	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	1	1	1	1	3	1	1	1	1	1	1	2	2	2	1	1	2	1	3	2	2	1	1	2	2	1	3	3	2	2	2	1	1	2	1	1	2	2	2	1	2	2	1	1	1	2	2	2	3	1	4	1	3	1
3000	-554.008311563750794	-560.863799514710195	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554637606586198	0	1	4	3	2	2	2	2	3	4	3	4	5	5	5	6	6	6	7	7	5	7	7	8	7	7	8	8	8	8	8	8	9	10	9	9	9	9	11	10	10	10	9	10	11	10	12	11	11	11	11	11	13	12	14	12	12	11	12	11	13	13	13	11	12	13	13	14	13	14	14	15	14	14	15	15	16	16	15	15	15	15	15	16	16	15	16	16	13	16	17	16	17	18	17	19	18	19	19	18	17	21	20	20	20	22	24	23	24	25	24	26	0	1	6	1	2	1	1	1	7	5	8	9	5	3	11	15	21	5	18	14	11	15	17	19	14	16	16	17	13	18	25	25	26	28	24	18	32	10	35	30	33	15	28	35	37	31	64	28	42	28	44	35	38	38	46	46	64	42	49	44	49	39	52	41	64	59	18	56	49	65	65	65	49	60	46	66	86	76	69	89	70	71	65	71	49	62	79	89	59	83	78	76	87	89	72	73	78	87	87	78	88	105	100	100	98	104	105	0	104	109	102	110	1	1	2	1	1	1	2	1	1	2	1	1	2	1	2	1	1	3	1	2	2	2	1	1	2	1	2	1	3	2	1	1	2	2	1	2	1	3	2	2	1	4	1	1	1	2	1	3	1	2	1	1	4	2	2	2	1	1	1	1	2	2	2	1	1	1	4	2	1	2	2	2	2	3	5	2	1	1	2	2	1	1	2	2	4	2	1	3	1	1	1	1	1	2	2	4	2	2	2	2	1	1	2	1	1	2	4	1	4	1	3	1
3500	-573.808362298573115	-580.663850249532516	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552500866290341	0	1	1	3	2	2	2	3	3	4	4	4	5	5	5	6	7	6	7	6	6	8	7	8	7	7	8	8	7	8	7	9	9	9	9	9	9	10	11	10	10	11	10	10	11	11	12	11	10	13	12	12	14	12	14	12	12	12	11	13	13	13	11	11	12	13	13	14	12	13	14	15	14	14	14	13	16	15	15	15	15	15	15	16	14	15	15	16	14	16	14	17	17	18	18	19	18	18	20	19	19	21	20	21	22	22	24	22	23	25	24	26	0	1	1	2	2	3	3	1	7	5	8	9	4	10	11	15	8	13	4	14	15	21	21	18	13	16	17	23	8	4	14	14	26	23	19	24	20	20	30	19	33	49	28	35	20	31	64	34	34	43	63	30	32	45	56	46	64	48	49	63	49	19	29	41	33	59	39	56	59	65	65	65	66	67	56	59	60	61	59	89	71	65	65	72	49	39	69	80	69	72	69	48	87	80	83	73	91	69	79	87	98	100	87	101	102	104	102	0	103	107	105	110	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	4	1	1	2	1	2	2	1	1	1	2	2	1	2	2	2	2	1	3	3	2	3	1	1	2	1	2	3	1	2	1	2	1	2	4	1	2	1	1	1	1	2	2	3	2	1	2	2	2	2	1	1	2	2	1	1	2	2	2	2	3	1	1	2	3	1	2	4	3	1	2	1	2	2	2	2	3	3	2	2	3	3	1	2	3	2	1	1	2	1	3	1	2	1
4000	-552.591721798091271	-559.447209749050671	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649411044594777	0	1	1	3	2	2	2	3	3	4	4	4	6	5	5	6	6	6	7	7	5	7	7	8	7	7	8	8	8	8	5	10	9	10	9	9	9	10	11	10	9	9	10	10	11	10	12	11	9	13	12	10	14	12	14	12	12	12	11	11	13	13	11	11	12	12	12	14	14	13	14	15	13	14	15	15	16	16	15	15	15	15	15	16	16	15	16	16	16	16	17	16	17	18	18	19	18	19	20	19	17	21	17	21	22	22	24	21	22	25	23	26	0	1	1	2	2	3	3	1	7	5	8	9	4	4	11	21	15	4	18	13	11	11	15	19	14	15	16	17	19	13	5	25	26	42	29	30	14	20	35	25	26	17	17	19	20	25	64	43	23	34	29	35	45	38	56	46	64	34	38	35	66	51	52	41	64	49	60	56	61	65	65	65	48	67	56	59	29	69	69	61	70	71	65	83	48	51	69	80	61	72	78	66	87	80	90	76	91	87	98	103	89	98	87	103	102	104	102	0	101	107	102	107	1	1	1	2	1	1	1	3	1	1	1	1	3	1	1	1	1	2	1	1	1	2	2	1	2	1	2	2	1	2	2	2	2	1	1	1	3	3	1	2	2	2	2	2	1	3	1	1	2	2	3	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	2	1	2	3	5	2	1	2	2	1	2	1	3	2	1	1	2	1	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	1	1	1	4	1	2	1
4500	-534.796580498200910	-541.652068449160311	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740339990827934	0	1	1	3	2	2	2	4	3	1	4	4	6	5	5	6	6	6	7	7	5	7	7	8	5	6	6	8	7	8	8	10	8	9	9	8	9	9	9	10	10	10	10	10	11	11	12	11	11	13	11	12	13	10	14	12	12	12	12	13	13	11	13	11	13	13	12	14	14	14	14	14	14	14	15	15	15	16	13	15	15	15	15	16	16	16	16	16	14	16	17	16	17	18	17	18	18	19	20	18	18	21	20	21	22	22	23	23	24	25	24	26	0	1	1	2	10	3	3	4	7	1	2	9	4	5	8	21	21	4	13	14	8	16	17	1	10	11	11	17	18	18	14	18	26	28	29	19	20	25	19	30	26	34	34	19	37	31	64	42	42	48	35	51	45	37	56	46	64	42	49	67	49	39	62	41	47	59	35	56	79	65	65	65	66	67	55	49	51	69	49	89	72	47	65	82	76	77	79	89	61	83	76	69	87	85	90	92	91	76	100	93	69	99	100	93	102	98	105	0	103	107	105	110	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	1	2	1	1	1	3	2	2	2	2	1	2	1	2	1	1	2	1	2	2	1	2	3	1	1	2	2	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	2	1	2	3	2	2	1	1	2	2	1	1	1	2	2	1	1	2	2	1	2	1	1	1	3	1	1	2	1	2	4	1	3	1	1	1	1	2	1
