step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106
1	-1966.279170758534747	-1973.134658709494033	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.046235658172941	0	2	1	1	3	2	2	4	3	3	3	4	4	4	4	6	4	5	6	5	6	5	5	5	6	6	6	6	6	6	6	6	6	8	10	8	7	7	7	7	7	7	7	8	8	9	8	8	8	10	9	10	9	9	9	10	11	10	11	10	12	11	12	11	14	11	12	11	12	14	12	12	12	12	14	12	12	13	14	15	14	14	14	15	16	15	15	17	16	16	18	19	18	19	18	19	20	20	22	24	24	25	26	27	31	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	2	3	3	3	3	3	3	3	3	5	3	4	5	4	5	4	4	4	5	5	5	5	5	5	5	5	5	6	8	6	6	6	6	6	6	6	6	6	6	7	6	6	6	8	7	8	7	7	7	8	8	8	8	8	9	8	9	8	11	8	9	8	9	11	9	9	9	9	11	9	9	10	11	11	11	11	11	11	12	11	11	13	12	12	13	14	13	14	13	14	15	15	16	18	18	18	19	20	23	23
500	-828.681213060315486	-835.536701011274886	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.147226098845568	0	2	1	1	3	1	1	2	3	2	2	4	4	4	4	3	4	4	6	3	6	5	5	5	6	3	5	6	5	6	6	6	6	7	8	8	7	6	7	7	7	7	7	5	8	9	8	8	8	7	9	10	9	9	8	10	9	7	11	10	11	10	12	10	13	10	12	11	9	14	12	12	11	12	14	12	12	13	14	15	14	14	14	15	15	15	15	17	16	16	18	19	18	19	18	18	20	20	22	24	23	25	26	27	31	31	0	1	1	1	3	1	1	3	4	6	6	4	8	8	20	11	11	10	14	10	15	16	11	18	6	10	26	11	13	20	20	15	18	11	28	44	44	10	23	27	23	16	10	12	34	22	38	6	44	27	18	47	38	45	10	22	25	32	28	69	51	28	28	58	27	43	43	55	17	32	28	23	58	20	64	23	26	21	18	40	11	34	27	33	42	15	59	52	50	17	78	51	76	85	0	76	76	44	28	76	23	81	55	84	0	0	1	1	1	1	2	1	1	1	1	1	1	3	2	2	1	1	2	2	2	1	2	2	3	1	2	1	1	4	1	3	3	1	2	3	1	3	2	3	1	2	2	3	4	1	1	3	2	5	2	1	5	2	3	1	6	2	3	1	4	1	2	4	5	2	6	3	5	3	4	5	3	6	3	8	4	6	8	7	9	6	10	7	6	7	5	7	4	5	8	8	5	8	6	1	1	4	8	13	13	11	13	8	16	9	1	1
1000	-659.709070977694410	-666.564558928653810	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.413350712400626	0	2	1	1	2	1	2	4	3	3	2	4	3	4	4	5	4	5	6	3	6	4	5	5	6	6	5	6	6	6	6	6	6	8	10	8	7	7	6	7	5	6	7	7	7	9	8	6	8	8	9	9	9	9	9	10	11	10	9	9	12	10	10	11	14	10	12	11	12	12	12	12	11	12	13	11	12	13	14	15	14	14	12	15	15	14	12	16	16	16	18	19	18	19	18	17	20	20	22	24	24	25	26	27	31	31	0	4	1	1	1	1	4	13	7	6	6	5	7	13	10	17	11	15	8	6	27	6	11	10	11	18	15	11	14	20	20	15	11	44	47	27	26	26	18	27	10	17	28	28	7	11	44	10	24	40	48	44	23	45	45	54	48	50	23	6	55	48	34	40	73	42	76	55	44	58	53	53	58	27	58	59	55	73	55	50	87	66	15	71	73	83	52	23	83	59	73	96	81	89	0	90	81	59	66	92	90	98	46	97	0	0	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	3	3	1	2	1	1	2	2	2	2	2	2	1	1	2	1	1	1	2	2	2	1	1	3	3	1	3	3	1	3	2	3	2	2	1	5	1	3	5	1	2	2	2	3	3	1	2	3	2	3	3	1	4	2	2	3	2	3	4	2	2	5	3	4	2	1	8	1	6	6	2	2	2	1	1	5	8	9	4	8	2	13	4	1	1
1500	-623.243830365771146	-630.099318316730546	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.550593156148418	-1	2	1	0	3	1	2	4	2	3	3	4	2	3	3	6	2	5	6	4	4	4	5	5	6	6	6	6	6	6	6	6	6	7	10	8	7	7	7	6	7	4	7	8	7	9	8	7	8	10	9	10	9	9	9	9	11	9	10	10	11	11	12	11	13	8	12	11	12	13	12	11	10	12	14	11	12	13	14	14	14	14	14	14	16	15	12	17	16	15	18	19	17	19	18	16	20	20	21	23	24	25	26	27	31	30	0	4	1	1	3	4	3	13	3	6	17	2	4	13	6	10	6	6	14	15	6	7	11	21	11	18	10	18	8	20	20	21	22	16	53	21	26	26	33	21	33	17	28	28	26	28	11	11	25	58	44	33	26	45	45	33	25	15	48	47	55	46	35	58	27	48	76	54	44	21	62	53	10	64	74	28	68	74	68	74	87	66	50	10	80	64	59	67	84	82	86	93	90	89	0	76	93	92	92	99	96	98	59	100	0	0	1	2	1	1	1	1	1	2	1	2	1	1	2	1	2	2	1	2	2	1	1	2	2	1	3	1	3	1	2	2	2	2	2	1	1	1	1	1	1	2	1	2	1	1	1	3	3	2	2	1	1	2	1	2	2	2	3	4	1	2	2	2	2	2	5	1	1	1	4	5	1	2	3	1	1	3	1	1	1	1	2	5	4	8	2	3	2	3	2	1	2	1	2	1	1	3	2	1	1	2	6	3	11	4	1	1
2000	-551.923209717561235	-558.778697668520635	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591027904438821	0	2	1	1	3	2	1	4	3	3	3	4	2	4	3	6	2	5	5	5	6	3	5	5	6	6	6	6	5	6	6	5	5	8	8	8	4	7	6	7	7	7	7	7	8	9	7	8	8	8	9	10	9	9	9	9	11	10	10	9	11	8	12	11	14	10	11	11	10	13	11	11	12	12	14	12	12	12	12	13	13	14	13	15	15	15	14	15	16	15	17	19	17	19	18	19	20	20	21	24	23	24	25	27	31	31	0	4	1	1	3	7	1	13	3	6	17	5	4	13	6	22	4	10	13	15	15	17	11	17	18	37	15	33	14	20	20	15	11	23	47	27	10	37	18	15	26	28	28	25	21	26	33	25	18	40	47	44	49	34	45	47	44	40	47	45	45	26	69	27	64	47	59	45	28	58	39	34	58	64	50	59	68	58	68	74	67	67	64	71	80	73	59	81	80	81	86	87	90	85	0	88	96	92	98	96	92	96	92	102	0	0	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	1	2	2	2	2	1	2	2	1	2	2	1	1	1	1	2	1	3	1	2	1	2	1	2	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	2	1	3	2	1	1	1	2	3	2	3	1	2	2	2	3	2	2	1	2	2	1	1	1	1	2	3	1	3	2	3	3	2	3	2	2	3	2	2	1	4	1	1	1	2	4	2	6	2	1	1
2500	-557.543446187334666	-564.398934138294067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622326664342244	0	2	1	1	3	2	2	4	3	3	3	1	2	4	3	6	1	5	6	4	6	5	5	3	6	5	6	6	6	6	6	6	6	8	9	7	7	7	7	7	7	7	6	8	6	9	7	8	8	9	9	10	8	9	9	10	11	9	10	10	12	10	12	11	14	11	12	10	12	12	11	12	10	12	11	12	11	13	11	13	14	14	14	15	16	15	15	17	16	16	18	19	18	18	18	19	20	20	22	24	24	25	26	27	31	30	0	4	1	1	12	17	1	13	4	6	17	1	3	13	6	23	1	10	14	15	15	11	6	17	11	6	15	10	8	20	20	15	18	47	34	27	21	11	28	15	25	26	18	47	26	48	33	33	28	36	44	34	25	45	23	34	22	38	18	54	54	37	34	58	64	34	59	55	55	64	53	71	36	64	7	66	68	73	25	70	59	76	78	72	70	80	81	81	86	82	80	87	88	80	0	90	93	90	98	96	96	100	99	102	0	0	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	1	1	1	2	1	2	2	1	2	3	2	2	3	2	2	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	2	2	1	2	1	2	3	1	5	2	2	1	2	3	3	2	2	2	2	1	2	1	1	1	3	1	4	1	1	2	3	1	4	2	1	1	4	2	1	2	1	2	2	3	1	2	1	3	2	2	2	2	4	1	3	2	1	1
3000	-517.070853102797855	-523.926341053757255	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586161345839814	0	2	1	1	3	2	2	4	3	3	3	4	2	4	4	6	1	5	6	5	5	5	4	5	6	6	6	6	5	6	6	6	6	7	10	8	7	4	7	7	7	7	7	8	7	9	8	6	8	10	7	10	9	9	8	9	9	8	11	9	12	10	12	11	14	11	12	11	11	13	12	11	12	12	14	12	12	10	13	13	13	14	14	15	15	15	15	17	16	16	17	18	18	19	18	19	20	20	21	24	22	25	26	27	31	29	0	3	1	1	4	17	4	13	7	6	6	2	4	13	6	22	1	6	8	15	11	38	17	11	17	38	15	6	8	20	20	15	23	23	54	40	33	10	48	21	11	33	48	10	38	47	41	23	10	32	18	34	37	45	26	34	48	32	35	55	55	53	56	78	74	25	66	45	50	64	62	47	64	40	70	52	68	58	61	74	52	76	70	62	80	80	82	82	74	82	86	90	90	91	0	92	93	96	98	96	81	100	100	100	0	0	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	2	1	2	1	2	1	2	2	2	3	1	1	1	2	2	2	1	1	1	1	1	2	2	1	1	3	3	1	1	2	3	3	2	2	2	2	1	2	2	2	1	1	4	1	2	1	2	2	1	2	1	2	1	2	1	4	1	2	1	1	1	1	3	2	1	2	2	2	1	3	1	2	2	1	2	2	1	1	2	1	1	3	5	1	1	3	1	1
3500	-544.561433332758156	-551.416921283717556	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596506961832660	0	2	1	1	3	2	2	4	3	3	3	4	2	4	3	5	1	4	6	5	6	5	5	5	6	6	5	6	6	6	6	6	6	8	10	7	7	5	7	6	7	7	7	8	7	8	7	8	8	10	9	9	9	9	9	10	10	9	11	10	12	11	12	11	12	11	12	11	12	14	12	12	11	12	14	10	12	13	14	15	14	12	14	15	15	15	14	17	15	15	18	19	18	19	17	19	20	20	22	24	24	25	26	27	30	31	0	4	1	1	4	17	1	13	1	6	17	5	4	13	6	11	1	10	14	15	15	17	10	11	23	38	15	23	14	20	27	15	6	28	40	21	38	11	38	15	25	16	24	47	11	37	28	24	10	21	47	43	45	40	38	34	43	32	49	49	54	37	57	58	64	76	52	60	48	64	35	45	50	50	65	33	68	58	61	73	59	76	74	37	70	73	76	81	83	87	85	90	88	91	0	88	93	88	97	96	96	100	102	102	0	0	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	2	1	1	2	2	2	2	1	1	1	1	2	1	2	1	1	2	4	2	1	1	2	2	2	2	1	2	2	1	3	1	1	2	3	1	1	1	1	2	2	2	3	2	1	2	3	4	1	2	1	1	3	1	2	2	2	4	1	2	2	3	1	3	2	4	1	2	1	4	1	2	3	3	1	1	3	2	1	1	1	2	2	2	1	4	4	1	1	2	1	1
4000	-500.774064402262127	-507.629552353221527	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.617951299005146	0	2	1	1	3	2	2	4	3	3	3	4	2	4	3	6	1	5	6	5	5	5	5	5	6	6	5	6	6	6	6	6	4	8	10	8	7	7	6	5	7	7	7	6	7	8	7	8	7	10	9	10	9	9	9	10	10	9	11	10	12	11	12	10	13	11	12	11	12	14	12	12	12	12	14	12	12	13	12	15	13	14	14	14	15	15	15	16	16	16	17	19	18	19	18	19	20	20	22	24	24	25	26	27	31	28	0	4	1	1	4	17	3	13	4	6	17	4	4	13	6	22	1	10	14	15	15	11	33	6	23	10	15	10	14	21	20	15	17	25	53	15	26	6	10	15	25	23	25	17	26	44	11	23	26	32	47	42	38	45	45	48	23	32	52	47	55	37	28	58	64	42	59	55	57	74	62	35	64	64	65	52	68	58	68	78	76	67	73	71	64	83	81	67	86	87	86	90	88	91	0	93	92	96	98	99	96	100	100	100	0	0	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	1	1	1	3	1	2	2	3	2	1	1	2	2	1	1	2	1	2	1	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	2	1	3	2	1	3	2	2	6	1	2	2	1	2	2	1	1	2	2	1	1	2	1	3	1	1	1	2	2	1	5	1	2	4	1	1	2	2	2	2	1	1	1	1	2	2	4	1	2	3	1	1
4500	-525.357187286015119	-532.212675236974519	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609178874897488	0	2	1	1	3	2	2	4	3	3	3	4	2	4	4	6	1	5	6	5	6	4	3	5	6	6	5	5	6	6	6	6	5	8	8	8	6	7	7	5	7	6	7	7	8	9	6	8	7	9	9	10	8	9	9	9	11	10	10	10	12	11	12	11	14	11	12	11	11	12	10	11	12	12	14	10	12	13	13	15	13	13	14	14	16	14	15	17	16	16	17	18	18	18	18	18	20	19	21	24	24	25	26	27	31	31	0	3	1	1	1	17	3	13	1	6	6	5	4	13	10	22	1	10	13	15	15	11	17	11	11	22	15	10	14	20	20	15	11	11	49	32	33	26	33	15	28	28	47	17	33	34	28	26	7	36	25	55	19	26	47	44	44	32	43	54	45	34	57	58	58	76	76	45	44	36	38	45	64	64	70	25	68	50	68	86	67	59	70	62	80	73	81	67	80	87	86	88	88	91	0	90	88	96	92	99	96	100	102	102	0	0	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	2	4	1	2	1	1	1	3	1	1	2	1	1	1	2	1	3	1	1	1	1	2	1	1	1	1	2	3	1	1	1	3	1	1	1	2	3	3	2	3	2	2	1	3	2	1	1	2	1	2	2	3	3	3	2	1	1	2	2	1	1	2	1	1	3	2	2	1	2	2	3	1	1	3	1	1	1	1	2	1	1	2	2	6	1	1	2	1	1
