step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.15026	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.87600	0.15198	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.92200	0.14641	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.84800	0.14863	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.79000	0.14995	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.66800	0.14751	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.50400	0.14413	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.39600	0.14257	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.41500	0.14083	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.41200	0.13839	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.40600	0.13675	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.39280	0.13581	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.38967	0.13615	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.39200	0.13693	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.39275	0.13623	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.39644	0.13736	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.39300	0.13765	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.39455	0.13730	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.39217	0.13689	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.39400	0.13677	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.39357	0.13636	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.39147	0.13584	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.39050	0.13555	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.38929	0.13523	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.38733	0.13513	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.38611	0.13454	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.38500	0.13405	0.000150000000000	1.000000000000000	0.170859375000000	0
