step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.15832	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.95400	0.14969	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.90200	0.13954	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.82400	0.13296	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.73200	0.12847	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.68200	0.12686	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.53600	0.12775	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.39000	0.12708	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.38000	0.12831	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.38933	0.12801	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.39550	0.12672	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.39400	0.12548	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.39733	0.12526	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.40114	0.12503	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.39825	0.12472	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.40178	0.12408	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.40320	0.12359	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.40309	0.12281	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.40217	0.12242	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.40262	0.12204	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.40286	0.12210	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.40293	0.12226	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.40225	0.12212	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.40212	0.12223	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.40167	0.12149	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.40084	0.12094	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.40020	0.12087	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.39952	0.12037	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.39727	0.12012	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.39843	0.12029	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.39867	0.12071	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.39800	0.12074	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.39923	0.12081	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.39867	0.12060	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.39850	0.12063	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.39938	0.12065	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.39767	0.12086	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.39768	0.12080	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.39656	0.12064	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.39606	0.12063	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.39676	0.12021	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.39680	0.11998	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.39572	0.11980	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.39514	0.12006	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.39579	0.11996	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.39590	0.11979	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.39570	0.11959	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.39624	0.11955	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.39638	0.11945	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.39614	0.11923	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.39691	0.11937	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.39724	0.11936	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.39687	0.11936	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.39706	0.11965	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.39771	0.11970	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.39739	0.11970	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.39832	0.11973	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.39898	0.11992	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.39935	0.11998	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.40008	0.12000	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.39963	0.11993	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.39978	0.12000	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.40036	0.11999	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.39968	0.12007	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.39948	0.12017	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.39963	0.11998	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.39990	0.12003	0.000150000000000	1.000000000000000	0.170859375000000	0
