step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112
1	-7799.897123420208118	-7798.435041335689675	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.089108032967340	1	1	1	2	2	3	3	5	4	5	6	6	8	7	7	7	7	7	7	7	8	8	10	8	8	8	9	10	10	10	11	11	14	12	13	12	16	14	13	13	14	16	14	14	14	15	15	15	15	15	15	15	15	16	15	15	18	16	17	16	16	16	16	16	16	16	16	16	16	17	17	17	17	17	17	17	19	17	17	17	17	17	17	17	18	18	19	18	19	18	18	18	18	18	19	21	19	19	20	20	20	20	19	19	19	21	20	20	20	23	21	22	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	4	6	5	5	5	5	5	5	5	6	6	7	6	6	6	6	7	7	7	8	8	10	8	9	8	11	10	9	9	10	11	10	10	10	11	11	11	11	11	11	11	11	11	11	11	13	11	12	11	11	11	11	11	11	11	11	11	11	12	12	12	12	12	12	12	13	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13	13	13	13	15	13	13	14	14	14	14	13	13	13	15	14	14	14	16	15	16
500	-3276.036499005766473	-3271.711068097696170	-4.325430908070233	0.000010028357566	0.000119900210261	11.956116389907264	0.124276078649515	1	0	1	2	1	3	3	4	4	3	5	6	7	6	7	6	7	4	6	4	8	5	10	8	5	6	9	7	10	10	9	11	14	12	13	12	16	14	13	13	14	16	14	12	14	15	15	15	14	13	15	15	13	16	15	15	17	16	17	16	16	15	16	14	15	16	16	13	16	16	16	17	17	17	17	17	18	17	17	17	17	17	17	17	15	18	19	18	19	18	18	15	18	18	19	21	19	19	19	18	20	20	19	19	19	20	20	19	20	23	20	21	2	0	0	2	0	2	2	6	2	4	4	18	10	10	4	18	18	10	10	10	18	10	17	19	20	25	13	10	17	19	22	24	25	13	10	9	22	26	10	0	14	22	26	0	0	19	22	22	31	26	26	26	13	45	11	15	13	28	34	28	31	22	22	26	26	7	9	14	1	68	22	31	22	31	19	28	13	22	31	26	25	6	15	15	7	31	25	31	31	22	19	28	3	1	28	26	28	22	28	9	9	22	22	31	22	30	10	68	13	31	16	31	1	1	1	2	1	2	3	1	3	1	3	2	3	2	2	2	1	1	2	1	2	2	2	2	1	1	2	4	2	4	4	2	9	3	9	8	10	6	9	1	7	8	6	1	1	8	7	5	4	5	6	6	6	2	9	5	10	6	5	8	5	7	9	6	4	10	7	5	11	3	8	6	10	5	8	7	10	11	6	9	11	14	9	10	7	7	10	7	9	11	11	8	14	11	10	13	8	10	10	8	13	14	10	7	12	8	14	6	10	13	11	12
1000	-2503.361279917033244	-2499.553815217578631	-3.807464699454480	0.000010018652634	0.000090653031720	9.048425475098355	0.189423831308059	-1	1	-2	2	2	3	2	5	3	3	6	6	6	6	7	7	7	4	7	6	8	5	9	6	7	8	9	8	10	10	8	11	14	12	13	12	16	14	13	13	14	16	13	14	14	14	15	14	15	15	15	14	15	15	15	15	18	16	16	15	16	16	16	16	15	16	15	14	16	17	17	17	16	17	17	17	17	17	17	16	15	17	17	17	18	17	19	18	19	18	17	17	17	18	19	21	19	19	20	20	19	20	19	19	19	21	19	20	20	23	21	21	3	1	0	2	0	2	2	2	7	4	4	18	10	10	11	12	12	10	24	10	18	18	17	10	10	25	24	13	23	24	22	30	26	28	10	14	22	26	28	0	28	31	26	0	0	14	22	22	31	20	26	25	8	45	14	45	24	28	41	28	31	31	22	20	43	11	14	11	56	68	22	31	22	73	30	13	20	22	48	20	25	1	11	14	68	31	26	31	31	22	24	28	13	8	28	52	68	31	28	68	36	22	31	31	22	36	14	69	31	31	31	31	1	2	1	1	1	2	1	4	1	1	4	2	3	3	1	1	1	1	1	3	4	1	2	2	3	1	3	2	1	2	2	1	4	4	9	4	10	4	4	1	5	7	3	1	1	6	6	5	4	8	7	6	6	1	7	1	10	7	1	7	5	4	8	8	2	8	9	4	1	3	9	7	8	1	7	8	7	9	3	5	5	15	10	8	2	8	8	5	7	11	7	9	11	9	10	6	3	11	9	6	7	15	6	9	11	8	12	3	8	12	10	11
1500	-2244.757314478068565	-2241.306986727340700	-3.450327750728027	0.000010032220443	0.000073598498844	7.336212283612379	0.228774648792324	0	1	-1	2	2	3	2	5	4	3	6	6	8	6	7	6	7	4	5	6	6	5	9	8	8	8	9	9	10	10	9	11	11	12	13	12	15	14	12	10	14	16	14	12	13	15	15	12	12	15	14	15	15	15	15	15	18	16	16	15	16	16	16	16	16	15	16	16	16	17	17	17	16	17	16	17	18	16	17	17	17	17	17	17	18	18	18	18	19	18	18	18	18	18	19	21	19	19	20	20	20	20	19	19	19	21	19	20	20	23	21	22	3	1	0	2	0	4	2	6	7	7	4	18	14	10	11	18	12	10	18	10	18	18	17	19	14	20	24	13	23	19	22	30	26	28	10	30	22	20	28	0	28	31	33	0	0	28	31	31	31	38	26	26	11	45	13	45	30	28	41	28	31	31	31	13	43	20	11	45	56	54	31	48	31	73	36	58	41	31	48	20	65	3	20	45	84	48	13	31	31	31	36	28	11	11	28	65	68	22	28	55	13	22	63	31	31	36	32	83	48	31	31	31	1	1	1	1	1	1	1	2	2	1	3	2	2	2	1	2	1	1	1	3	2	1	2	2	1	2	1	1	1	3	3	1	2	3	9	1	10	5	2	1	3	5	3	1	1	6	6	2	3	1	5	5	7	2	7	2	8	6	1	5	6	6	4	7	2	5	8	1	1	2	6	5	4	1	2	1	4	6	3	10	1	14	6	4	1	5	8	6	8	8	4	9	9	11	8	4	2	11	9	4	9	15	3	10	10	8	7	1	8	12	12	10
2000	-1902.821597894631168	-1899.780960638580382	-3.040637256050847	0.000010125004434	0.000057034881396	5.633072238952523	0.250698745034186	-1	1	-2	2	2	3	3	4	4	3	6	6	8	7	7	7	7	4	7	6	8	5	9	8	7	8	8	10	10	10	9	11	13	11	13	12	16	11	13	13	14	16	13	13	14	15	14	13	14	12	15	12	13	16	13	15	18	16	17	13	16	16	16	16	16	16	15	16	16	17	17	17	14	17	16	16	19	17	17	17	17	17	17	15	18	18	19	18	19	18	18	18	15	18	19	21	19	19	20	20	20	20	18	19	19	21	20	19	20	23	21	22	3	1	0	2	0	2	4	6	2	2	7	18	10	20	11	18	12	10	10	10	18	18	17	19	20	25	10	13	23	24	22	30	26	13	10	30	31	26	13	0	60	73	38	0	0	41	22	31	31	14	43	26	13	40	13	55	32	60	46	28	48	48	48	43	51	45	20	55	84	54	22	48	31	37	30	46	58	31	63	26	65	10	55	55	93	63	52	48	47	31	30	27	19	19	20	65	55	22	13	97	16	22	63	31	31	30	30	94	49	31	22	31	1	2	1	1	1	2	1	1	2	2	1	2	4	1	1	3	1	1	4	3	4	1	1	1	1	1	4	1	1	2	4	1	2	1	8	2	6	2	4	1	1	2	2	1	1	1	5	3	4	3	2	4	2	2	5	2	5	2	2	3	1	2	3	3	1	2	9	1	1	1	10	4	5	1	5	1	3	6	1	8	1	12	4	2	2	1	7	3	4	7	6	10	6	7	8	5	3	12	7	1	10	15	2	7	10	6	8	1	5	13	13	9
2500	-1100.562091158709563	-1098.160106144038991	-2.401985014670474	0.000010326299480	0.000035729211947	3.460020892946752	0.287077027371899	0	1	-1	2	1	3	3	5	3	3	6	6	7	7	7	5	7	4	7	6	6	6	9	8	8	8	9	8	10	10	9	11	13	12	12	12	16	11	13	10	14	16	13	14	13	15	15	13	15	14	15	15	15	16	13	15	18	16	17	16	15	16	16	16	15	16	16	16	16	14	17	17	16	17	17	17	19	16	17	17	17	17	17	15	18	18	19	17	19	18	18	17	18	17	19	21	19	19	20	20	20	20	18	19	19	20	19	20	20	23	21	22	3	1	0	2	0	4	2	6	4	2	7	18	18	10	11	18	18	10	10	10	18	16	17	10	20	20	19	13	23	19	22	30	26	28	28	30	31	25	13	0	35	49	38	0	0	41	31	31	48	33	50	38	44	45	40	55	36	41	41	41	48	48	48	43	43	55	45	56	84	55	22	48	31	37	36	58	58	48	63	26	65	24	55	55	84	63	51	48	49	31	30	13	84	40	13	65	67	22	35	67	84	22	63	31	31	36	30	93	37	31	31	63	1	1	1	1	1	1	2	2	1	2	3	2	3	2	1	1	2	1	2	1	2	1	1	4	2	1	2	1	1	3	3	1	3	4	4	2	7	3	4	1	2	1	2	1	1	1	6	3	2	1	1	4	1	2	3	2	4	2	3	2	2	2	2	2	2	2	3	1	1	1	10	2	4	1	5	1	2	3	1	7	2	8	4	2	2	1	3	3	3	7	7	9	2	5	7	5	3	9	8	3	5	14	2	9	9	6	8	2	3	12	11	4
3000	-925.381833678932026	-923.222024427731753	-2.159809251200268	0.000010638666365	0.000029433187532	2.766623796780276	0.327749157247091	0	1	-1	2	2	3	2	5	4	3	5	6	6	7	6	5	7	4	7	7	8	6	9	8	8	8	9	8	10	10	8	11	14	12	12	12	15	11	13	10	13	15	13	14	14	15	14	13	15	14	15	15	14	15	13	14	18	16	17	16	16	16	16	16	15	16	16	16	16	17	17	17	17	16	14	16	19	16	17	17	17	17	17	15	18	17	19	18	18	18	18	17	17	18	19	21	19	18	18	20	20	20	19	18	19	20	20	19	20	23	21	22	3	1	0	2	0	2	2	6	7	7	9	18	10	10	9	18	12	10	13	13	12	16	17	10	20	20	14	14	23	24	22	30	26	14	28	30	22	26	35	0	35	31	38	0	0	41	31	31	48	43	43	43	40	55	40	55	75	41	46	46	37	37	48	38	50	54	45	55	84	55	22	48	37	49	30	46	99	48	63	52	65	40	84	55	84	63	52	48	74	31	30	28	84	84	58	65	67	22	41	97	84	31	48	31	31	36	30	94	98	31	31	103	1	1	1	1	1	2	1	2	2	1	1	2	3	4	2	1	1	1	1	1	2	1	2	4	1	1	2	1	1	2	2	1	4	4	4	1	6	1	1	1	1	3	2	1	1	2	5	3	2	1	2	2	4	2	1	1	3	2	2	1	1	1	2	4	1	1	2	3	1	4	10	3	2	1	2	1	1	2	1	2	2	5	2	2	2	1	3	5	2	8	7	6	2	2	2	4	3	10	4	1	5	11	3	8	10	5	6	1	2	11	11	3
3500	-844.579428254190930	-842.399808449668058	-2.179619804522841	0.000011077911888	0.000031250973821	2.821016644308269	0.466341720429361	0	1	-1	2	2	2	3	5	4	4	5	6	7	7	7	7	7	5	7	5	8	8	8	8	8	8	9	10	10	9	11	11	14	11	12	11	15	11	13	10	14	15	14	12	13	15	12	13	15	14	15	15	15	15	14	15	18	16	17	16	16	16	16	16	15	16	16	16	15	17	17	17	16	17	14	17	19	14	17	17	17	17	17	14	18	18	19	16	19	18	18	17	16	18	19	21	18	19	20	20	20	20	19	19	19	21	20	19	20	23	21	22	3	1	0	2	0	2	2	6	7	7	7	18	10	10	11	18	18	10	10	10	10	16	17	19	19	14	24	14	23	19	22	30	38	13	14	30	31	26	35	0	35	47	38	0	0	41	31	47	47	38	50	43	44	45	45	55	75	41	46	41	48	78	42	50	43	45	55	45	84	54	22	48	49	49	36	58	58	48	63	64	65	67	69	45	93	63	80	48	74	48	36	35	84	84	46	81	67	31	58	82	85	22	48	22	22	107	75	94	90	47	47	102	1	1	1	1	1	1	2	2	1	1	1	1	3	3	2	2	2	1	2	1	3	1	1	1	1	1	1	3	2	2	2	2	2	4	3	1	2	2	1	1	2	2	2	1	1	1	1	1	2	3	1	1	2	2	1	1	4	2	2	1	2	2	1	2	1	2	1	2	1	1	8	3	1	2	2	1	3	1	1	1	2	1	1	1	2	2	1	3	1	4	6	3	2	1	3	3	2	6	4	3	1	12	4	7	9	1	5	1	1	9	7	2
4000	-748.392843138758280	-746.402912642011302	-1.989930496746964	0.000011856353576	0.000027453153789	2.315480355055648	0.529195240862774	-1	1	-2	2	2	3	3	4	4	4	6	6	8	6	7	7	7	5	6	7	7	8	9	8	8	8	9	10	10	8	11	10	13	11	12	12	16	12	13	12	14	16	14	13	13	15	15	13	15	14	15	15	14	15	15	15	18	16	17	16	15	16	15	15	16	16	15	16	16	17	16	16	17	17	14	17	19	14	16	17	17	17	17	15	18	17	18	18	18	18	18	17	17	18	19	21	19	18	20	20	20	20	18	17	19	20	19	20	20	23	20	22	3	1	0	2	0	2	4	6	7	7	9	18	10	10	11	18	18	10	10	14	18	16	17	19	10	20	24	13	23	14	22	30	20	13	28	32	31	26	35	0	35	49	38	0	0	41	31	31	31	38	50	43	40	45	45	45	75	41	46	41	48	78	48	43	50	54	45	54	84	55	31	48	49	49	36	58	58	48	63	64	65	67	56	45	69	63	64	72	104	74	75	58	84	93	58	65	67	71	58	82	85	22	48	31	22	91	91	94	105	111	71	103	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	2	1	2	2	2	1	1	2	1	2	3	1	4	3	1	1	3	3	1	1	1	1	2	1	1	1	4	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	2	3	3	2	2	2	1	2	1	1	2	1	1	2	1	2	1	2	2	1	1	3	1	2	1	3	4	3	2	2	3	1	12	5	5	10	2	1	2	1	2	3	1
4500	-688.440235798236813	-686.533406859516731	-1.906828938720056	0.000013650855766	0.000028718269780	2.103770655292558	0.556500752503022	0	1	-1	2	2	3	2	5	3	4	6	6	8	7	7	7	7	5	7	5	7	8	9	8	8	7	9	10	10	10	11	11	14	12	11	12	16	12	13	12	14	16	14	12	13	15	14	14	15	15	15	14	15	16	15	14	18	16	16	16	16	16	16	16	16	16	16	15	16	17	17	16	17	17	16	17	18	15	17	17	17	17	17	15	17	18	18	18	19	18	18	18	17	18	19	21	18	19	19	20	20	20	19	18	19	21	20	20	20	22	21	22	3	1	0	2	0	2	2	6	7	9	7	18	14	10	11	12	18	10	10	10	18	16	17	19	20	20	24	14	23	14	22	30	38	28	28	30	31	26	35	0	35	47	38	0	0	41	31	31	31	52	43	38	44	45	45	45	75	46	41	41	49	78	48	51	51	45	68	45	84	55	49	48	49	49	36	58	58	48	63	64	65	67	69	45	84	63	64	72	104	74	75	76	84	93	77	65	67	71	58	82	85	22	48	42	22	107	91	94	105	111	71	102	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	2	1	2	1	2	1	2	2	1	2	1	2	2	1	1	2	1	2	4	2	2	1	3	2	2	1	1	1	2	2	3	1	1	2	3	2	2	1	2	1	1	1	1	1	2	1	1	2	1	2	1	2	2	2	1	1	4	1	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	1	1	4	2	1	1	3	2	9	5	2	10	1	2	2	1	1	3	2
