step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99800	0.24850	1.00000	0.14577	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.32800	0.94000	0.13628	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.36000	0.92200	0.13325	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99800	0.38133	0.87200	0.13120	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99600	0.37700	0.80800	0.12998	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.99000	0.39200	0.71600	0.12735	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.98000	0.39700	0.56400	0.12899	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.95200	0.39914	0.47800	0.12876	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.96200	0.40050	0.47300	0.12881	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.94600	0.40022	0.46800	0.12865	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.90800	0.40620	0.46950	0.12856	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.87000	0.40927	0.47160	0.12780	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.91200	0.41100	0.47367	0.12699	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.93200	0.40677	0.47657	0.12747	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.89400	0.40600	0.48275	0.12861	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.86400	0.40267	0.48489	0.12926	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.78600	0.39963	0.48700	0.13083	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.70000	0.39788	0.48745	0.13233	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.55400	0.39722	0.48517	0.13331	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.48600	0.39737	0.48723	0.13380	0.221683782005310	0.666666666666667	0.170859375000000	0
10500		0.46800	0.39590	0.48771	0.13485	0.221683782005310	0.666666666666667	0.170859375000000	0
11000		0.46400	0.39438	0.48987	0.13529	0.221683782005310	0.666666666666667	0.170859375000000	0
