step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101
1	-3203.254086408383500	-3210.109574359342787	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.331203782621917	0	1	2	2	3	3	6	8	5	6	6	6	8	6	7	8	7	7	9	9	8	8	9	8	8	9	9	10	9	9	9	9	12	10	10	13	10	11	10	11	11	11	11	11	11	12	11	12	12	13	12	12	12	13	13	13	14	13	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	16	17	16	16	16	16	18	17	17	17	17	17	20	18	18	18	19	18	18	18	18	20	20	19	20	19	21	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	5	6	4	5	5	5	6	5	6	6	6	6	7	7	6	6	7	6	6	7	7	8	7	7	7	7	9	8	8	10	8	8	8	8	8	8	8	8	8	9	8	9	9	10	9	9	9	10	10	10	11	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	13	12	12	12	12	13	13	13	13	13	13	15	13	13	13	14	13	13	13	13	15	15	14	15	14	16	17
500	-1170.829735705672874	-1177.685223656632161	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.212182055394464	-1	0	1	2	2	1	6	8	2	3	4	3	8	6	6	6	7	4	9	9	6	8	9	8	7	8	9	10	8	8	6	9	12	7	10	13	10	11	9	11	11	11	9	8	10	12	11	11	12	10	12	10	12	13	13	13	14	13	13	14	14	14	14	14	14	14	15	15	15	15	15	15	15	16	17	16	16	16	16	17	17	16	17	17	17	20	18	18	18	19	16	18	17	18	20	20	19	20	17	21	23	0	1	2	2	2	2	10	11	6	6	6	4	12	9	6	12	12	12	25	11	9	15	7	17	31	31	13	14	7	10	3	26	24	18	18	10	9	28	29	29	50	15	44	18	43	23	31	39	21	22	43	7	34	9	44	18	44	0	44	34	34	35	18	44	17	30	18	58	55	12	37	18	12	64	52	30	12	18	44	60	12	34	5	44	31	67	12	53	17	12	43	44	31	49	18	52	18	44	12	10	34	1	1	1	2	2	1	2	4	1	2	2	1	4	3	3	2	4	1	2	5	3	2	3	1	1	1	1	2	2	4	4	1	3	1	5	8	7	1	1	3	1	5	1	4	1	3	4	2	6	2	2	3	2	11	4	7	6	1	4	5	5	2	10	4	7	2	10	2	2	8	3	9	11	1	4	8	12	11	6	3	12	5	12	6	9	3	11	6	10	12	6	7	8	5	14	9	12	12	12	16	12
1000	-915.050889543925337	-921.906377494884737	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.266390372527018	-1	0	1	2	3	3	6	8	4	5	6	3	7	6	6	7	4	5	9	9	7	7	9	8	8	9	9	10	9	8	9	8	12	9	8	13	10	11	10	11	11	11	10	9	9	12	10	12	11	13	12	11	12	13	12	10	14	13	14	13	14	14	13	14	14	14	15	14	15	14	15	15	15	15	16	16	16	16	15	18	17	16	17	17	17	20	17	18	16	18	18	17	18	17	20	19	19	20	19	21	21	0	1	2	2	2	3	9	7	6	6	10	3	9	9	3	12	12	12	13	11	9	15	10	17	14	10	13	13	10	6	30	10	16	35	18	47	9	37	27	9	22	15	34	12	18	15	31	39	21	41	35	44	44	39	43	12	51	0	43	44	51	53	12	53	56	20	35	58	51	60	51	56	18	56	24	37	44	12	16	72	18	43	58	70	12	65	56	89	57	56	53	82	37	58	53	67	43	56	44	52	73	1	1	1	1	1	2	2	2	1	1	1	2	2	2	5	4	1	2	1	2	2	1	4	3	2	2	1	3	2	4	1	3	3	1	2	3	6	1	1	5	4	4	1	2	2	6	1	2	2	2	4	2	2	1	2	7	1	1	3	3	2	2	9	2	4	5	6	1	3	1	2	5	9	3	6	5	5	11	7	3	12	6	2	2	11	3	5	2	2	6	4	1	6	4	8	4	7	8	8	10	5
1500	-691.514134216283992	-698.369622167243392	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.504614355140506	0	1	2	2	3	3	5	5	5	6	6	6	8	6	7	8	7	7	7	9	8	8	7	8	8	9	9	10	7	9	9	9	12	10	10	12	9	9	10	11	11	11	11	9	10	12	11	11	12	12	12	11	12	13	12	13	11	13	13	14	12	14	13	14	14	15	15	15	15	14	15	15	14	15	17	15	16	16	16	17	17	17	16	17	17	19	18	17	18	19	18	18	18	18	20	20	19	20	19	21	22	0	1	2	2	4	3	6	6	6	6	6	9	18	9	8	18	12	8	7	11	10	15	11	17	14	15	21	27	8	22	23	23	24	44	18	31	9	21	29	27	11	10	16	18	18	42	31	37	38	30	34	44	43	13	34	52	34	0	43	55	45	53	57	55	57	23	18	58	59	51	43	56	55	65	18	58	63	44	65	63	34	62	68	51	5	79	65	56	81	84	44	82	58	76	77	55	55	90	82	64	64	1	1	1	1	1	1	2	2	2	3	3	1	1	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	2	3	1	3	2	4	3	3	2	2	1	2	2	3	2	2	2	1	2	2	2	1	1	1	2	1	1	2	2	2	6	4	1	2	2	2	2	2	1	6	1	1	6	2	3	5	2	1	3	13	2	3	2	1	1	4	1	3	3	4	5	4	1	1	4	8
2000	-605.002919417842350	-611.858407368801750	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.517332508579799	-1	1	2	2	3	3	6	8	5	6	6	6	8	6	7	8	7	7	9	9	7	8	8	8	7	9	9	10	9	9	9	9	11	10	9	13	10	11	10	11	11	11	11	9	11	12	11	12	12	13	12	12	12	13	13	13	12	13	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	16	17	16	16	16	16	17	17	17	14	17	17	20	18	17	18	19	17	18	18	18	20	20	19	20	18	21	21	0	1	1	2	4	4	9	7	6	3	3	3	21	9	10	12	12	10	25	10	9	10	11	17	14	23	8	14	21	22	23	23	17	35	18	32	13	27	27	27	30	32	34	18	44	47	31	29	19	41	43	44	35	37	34	52	35	0	18	43	56	52	57	53	53	11	34	83	60	53	56	63	65	52	43	58	67	61	73	71	59	61	58	51	10	79	57	55	80	75	53	82	68	85	91	67	81	90	77	64	67	1	2	3	1	1	1	1	2	1	3	3	1	1	1	1	2	1	1	2	2	2	2	2	1	1	1	1	3	2	1	1	1	4	1	2	2	2	2	1	2	1	2	1	2	2	1	2	1	2	2	1	2	3	2	2	1	2	1	4	3	1	2	2	2	2	5	4	1	1	3	2	1	1	2	2	1	1	2	1	2	1	3	1	4	10	4	4	3	1	1	2	1	2	1	3	2	2	1	1	7	5
2500	-596.354164095051829	-603.209652046011229	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570557916711797	0	1	2	2	3	3	5	7	5	5	6	6	7	6	6	8	7	7	9	9	8	8	8	8	8	9	9	10	9	9	9	9	11	10	10	13	10	11	9	11	11	11	11	9	11	12	11	12	12	13	12	12	12	12	13	13	14	13	14	14	14	14	14	14	13	15	15	15	14	15	15	14	15	15	17	16	16	15	16	16	17	17	17	17	17	19	18	17	18	19	15	17	18	18	18	18	19	20	18	20	23	0	1	2	2	2	3	3	9	6	3	7	7	10	7	7	12	12	7	13	11	8	15	15	17	14	23	21	21	21	22	23	7	17	44	16	42	27	27	21	27	30	23	34	18	35	23	31	39	37	41	43	43	34	39	43	52	65	0	51	55	56	53	52	65	53	31	55	58	55	55	56	52	63	53	71	68	78	61	73	71	67	91	68	67	10	79	64	61	80	81	62	71	83	85	77	67	81	90	82	64	57	1	1	1	1	1	1	3	2	2	1	1	1	2	1	1	2	1	1	1	2	1	2	2	1	2	1	1	2	1	1	1	2	3	1	2	2	1	2	1	2	1	2	1	2	1	3	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	5	2	2	1	1	2	2	1	1	2	1	1	1	1	1	2	2	2	2	10	3	3	3	1	2	1	2	1	1	2	1	2	1	1	6	8
3000	-639.353176059249336	-646.208664010208736	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647100251679462	0	1	2	2	3	3	6	8	5	6	6	6	8	6	7	8	7	7	8	9	6	7	8	8	7	9	9	10	9	9	9	9	12	9	10	12	10	11	10	11	10	11	11	10	11	11	10	12	12	12	12	12	12	12	13	12	14	12	14	14	14	14	14	14	13	14	15	14	15	15	15	15	15	16	17	16	16	16	16	18	17	17	16	16	17	20	18	18	16	17	15	18	18	18	18	20	18	19	19	21	21	0	1	2	2	4	3	6	9	6	6	6	9	21	9	10	7	12	9	7	11	9	10	10	17	14	23	21	9	10	10	23	23	34	13	16	32	8	29	7	27	30	31	44	34	35	7	32	39	40	41	43	44	44	40	43	43	52	0	53	51	52	35	53	65	44	36	43	58	62	55	59	61	53	67	51	68	71	61	73	57	67	91	68	73	5	79	73	78	57	62	61	82	83	85	77	75	81	81	78	64	52	1	1	1	1	1	1	3	2	2	3	2	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	2	2	2	3	1	1	2	1	2	2	2	2	2	2	1	2	1	1	1	4	1	1	1	2	1	2	2	1	1	1	2	1	2	2	2	3	2	1	2	1	4	1	1	2	1	1	3	1	2	1	1	2	1	2	2	2	2	1	7	2	2	2	2	3	1	1	1	1	1	3	1	2	1	5	8
3500	-643.301895806830203	-650.157383757789603	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552062893668431	-1	0	2	1	2	3	5	8	5	5	6	6	8	6	7	7	7	7	9	8	7	8	9	8	8	9	9	9	9	8	9	9	12	10	9	13	9	10	10	11	10	11	10	11	11	11	11	12	11	12	12	12	12	13	13	12	13	13	14	14	13	14	14	13	14	14	15	15	15	15	13	14	15	16	14	16	16	15	16	18	17	17	17	17	17	20	18	17	16	19	18	18	17	18	20	19	19	20	19	21	23	0	1	4	2	4	4	6	21	6	6	10	7	4	9	10	12	12	7	25	11	7	10	15	17	9	22	8	21	25	15	10	7	24	35	16	23	21	27	28	27	22	26	35	34	35	31	31	39	37	41	43	34	43	48	53	44	44	0	45	71	56	53	57	44	53	36	55	58	43	75	35	52	63	57	34	68	61	34	63	73	45	52	68	75	4	79	64	56	65	81	84	82	58	85	52	69	81	96	71	87	87	1	1	1	1	1	2	2	1	2	2	1	1	5	1	1	1	1	2	1	1	2	3	1	1	2	1	1	2	1	1	3	3	2	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	3	1	3	1	1	2	3	1	1	4	2	3	4	2	2	2	12	3	2	2	2	1	1	1	2	1	5	1	2	1	4	3	5
4000	-601.741632047499024	-608.597119998458425	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.498532489739103	-1	1	2	2	2	3	4	7	5	6	6	6	7	6	5	8	7	7	7	9	7	8	9	8	8	9	8	9	8	9	9	7	11	10	9	12	10	11	10	10	11	11	11	11	11	11	11	12	11	13	10	12	12	13	13	12	13	13	14	14	14	14	14	14	13	14	15	15	15	15	14	15	15	16	17	16	16	16	16	18	15	17	17	17	16	18	18	15	18	18	18	18	18	18	17	17	19	20	19	21	22	0	1	2	1	2	3	6	7	7	6	6	7	9	9	6	12	12	12	14	11	9	10	32	17	19	32	21	13	12	22	32	15	24	35	18	10	9	37	29	21	22	15	51	34	12	15	31	39	27	41	35	44	44	48	43	44	53	0	45	55	44	53	55	57	53	47	43	58	43	55	56	44	63	63	78	68	88	52	63	78	55	56	68	71	15	73	64	71	65	81	56	95	83	85	62	60	90	90	78	87	87	1	2	1	2	1	1	1	3	1	2	1	2	2	1	2	2	1	1	1	2	1	2	2	1	1	2	1	2	1	1	2	2	3	1	2	3	2	1	1	3	1	3	1	1	4	4	1	1	2	2	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	3	2	2	2	2	2	2	1	2	1	1	1	4	2	2	2	2	2	2	10	2	3	1	5	2	4	1	1	2	3	2	1	2	3	3	3
4500	-573.365731105190548	-580.221219056149948	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629404385670051	0	1	2	2	3	3	4	8	5	6	6	6	6	6	5	7	7	7	7	9	8	8	9	8	8	9	7	10	8	8	9	7	12	10	9	11	10	9	10	11	11	11	11	11	10	12	11	12	12	13	12	12	12	13	13	13	13	12	13	14	14	14	14	14	14	13	13	15	15	13	15	15	15	16	17	16	16	16	16	18	17	17	17	16	17	19	18	15	18	18	18	18	18	16	18	20	19	19	19	21	22	0	1	2	2	4	3	6	10	7	3	6	7	9	9	6	12	12	12	14	10	14	11	32	17	19	15	9	10	19	10	32	10	24	35	18	32	13	27	29	38	22	21	34	34	35	47	32	28	13	22	43	44	44	48	43	44	53	0	43	43	34	53	57	57	57	47	43	58	59	51	56	62	63	63	55	68	88	56	73	84	60	77	58	67	37	79	64	56	88	75	82	60	85	68	77	90	90	90	82	87	87	1	1	1	1	1	1	1	1	1	3	3	2	1	1	2	1	1	1	1	2	2	2	2	1	1	2	1	2	1	2	2	1	3	1	2	2	3	2	2	2	2	3	1	1	1	1	2	1	4	3	1	1	1	1	2	1	1	1	1	3	2	1	1	1	1	1	2	2	2	1	2	1	1	2	3	1	1	3	1	2	2	1	3	1	4	3	4	2	2	1	1	2	1	1	2	2	1	1	1	1	3
