step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104
1	-3996.582397132718597	-3995.120315048199700	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.295648765425078	0	1	1	2	2	3	2	3	4	3	3	4	6	5	4	5	5	5	5	5	5	6	6	6	6	6	7	7	8	7	7	8	7	7	8	8	8	9	8	8	10	8	8	11	9	10	9	9	9	10	9	10	10	10	10	10	10	10	10	10	12	10	12	11	11	11	12	14	12	13	15	17	14	14	14	15	15	16	15	15	16	20	20	18	18	19	18	19	20	19	19	20	20	21	21	22	25	23	22	23	25	26	27	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	3	3	3	3	5	4	3	4	4	4	4	4	4	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	7	6	6	8	6	6	8	7	8	7	7	7	8	7	8	8	8	8	8	8	8	8	8	9	8	9	8	8	8	9	11	9	10	11	13	11	11	11	11	11	12	11	11	12	15	15	13	13	14	13	14	15	14	14	15	15	16	16	16	18	17	16	17	18	19	20	21
500	-998.279509626933077	-996.284844968540256	-1.994664658392865	0.000009946228673	0.000023151889810	2.327705361723268	0.195474357889224	-1	1	1	2	2	2	2	2	4	3	2	3	5	5	4	5	4	3	3	5	4	5	6	6	6	6	7	6	7	7	7	7	4	7	6	7	8	9	5	8	7	7	5	11	9	8	9	9	8	10	6	8	10	9	10	9	10	10	10	7	11	10	12	11	10	9	11	14	12	12	15	17	14	14	14	15	15	15	14	15	16	20	20	18	18	19	18	19	20	19	18	20	20	21	21	21	24	23	22	23	25	26	27	29	0	1	1	1	2	2	3	3	4	4	2	2	7	19	8	10	2	5	8	10	10	18	18	17	12	20	10	17	18	19	35	22	18	10	21	24	28	11	33	42	16	18	12	22	41	18	42	39	33	43	43	43	40	21	18	35	18	42	42	51	43	52	51	31	32	60	41	41	41	60	51	21	60	60	60	60	59	51	51	42	59	60	43	12	51	43	60	81	43	60	60	51	59	60	60	66	78	60	60	66	79	60	75	60	1	2	2	3	1	1	1	1	2	1	1	2	2	2	2	2	2	1	1	2	1	2	2	2	3	1	2	2	2	4	1	2	1	4	2	1	2	5	1	1	2	4	2	6	2	2	2	2	4	4	1	1	2	5	5	3	5	2	2	1	4	2	4	3	3	2	3	7	5	4	7	12	6	6	7	8	5	8	7	7	4	11	13	14	10	10	10	2	11	11	9	12	9	12	10	11	6	14	13	12	10	16	10	18
1000	-833.544575002841498	-831.203092419280779	-2.341482583560688	0.000009978598758	0.000032737571105	3.280778383771231	0.272093556777284	0	1	1	2	2	3	2	3	4	3	3	3	5	5	4	5	3	4	5	5	5	6	5	6	6	6	4	6	8	6	7	7	6	7	8	7	8	8	8	8	8	7	5	11	9	9	9	9	9	10	6	8	10	10	10	10	7	10	10	7	11	10	12	11	11	9	11	14	12	12	15	17	14	11	14	15	15	16	14	15	14	20	20	18	18	19	18	19	20	19	19	20	20	21	21	22	25	23	22	23	25	26	27	29	0	1	1	1	2	2	3	3	4	4	2	5	3	8	3	10	2	12	3	10	10	12	12	17	12	20	10	17	12	19	21	23	18	20	21	24	28	28	18	57	31	18	18	32	41	57	22	18	39	66	43	43	40	31	29	41	23	42	66	51	66	52	51	54	55	60	41	31	54	60	51	56	74	66	60	60	59	29	70	60	59	74	60	51	59	70	74	81	59	60	66	79	59	60	74	29	85	73	66	75	76	66	86	76	1	1	1	2	1	2	1	2	2	1	1	1	3	2	3	2	1	1	4	2	2	2	2	2	2	1	1	2	5	1	1	2	1	1	3	1	2	2	4	1	1	3	1	4	1	1	2	3	1	1	1	2	2	3	2	1	2	3	1	1	2	2	3	1	1	2	3	5	2	4	7	7	3	2	6	7	4	5	2	5	2	6	11	11	7	6	6	4	8	9	6	4	9	13	8	11	4	8	12	6	7	13	7	14
1500	-695.594173304160677	-693.885393027468353	-1.708780276692277	0.000009934435712	0.000016058882599	1.616486639374564	0.364880915115177	0	1	1	2	2	3	2	3	4	3	3	3	6	5	4	5	5	5	4	5	5	6	4	6	6	6	6	7	8	7	6	7	5	7	8	8	8	9	6	8	8	7	5	11	9	9	8	9	9	10	7	8	10	9	9	10	7	10	9	8	11	10	9	10	11	11	12	14	12	11	15	17	12	14	11	15	15	16	15	15	16	20	20	18	18	18	18	19	20	19	16	20	20	21	21	21	24	23	22	23	25	26	27	28	0	1	1	1	2	2	3	3	4	4	2	5	15	19	3	10	11	12	3	10	10	33	12	17	18	16	16	17	23	14	21	22	12	16	21	24	17	17	12	39	31	23	23	32	41	57	39	57	33	43	43	43	40	41	22	41	22	39	51	51	51	52	51	54	55	60	64	67	64	60	66	67	70	66	60	60	59	77	75	75	77	86	75	60	71	73	74	85	59	75	80	73	59	70	75	70	71	95	70	95	99	84	95	75	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	2	3	2	1	1	2	1	3	2	3	3	3	2	2	2	1	3	1	2	1	2	3	5	1	2	2	1	3	1	1	3	2	1	2	1	2	1	2	2	2	2	2	2	2	3	1	3	3	7	4	1	2	4	1	2	8	9	2	3	3	1	9	7	1	4	10	7	10	9	7	2	9	1	3	8	4	13
2000	-638.856358855430244	-637.250185862375702	-1.606172993054521	0.000009865145106	0.000013492262894	1.367669988498942	0.467670238354702	0	1	1	2	2	3	2	3	4	3	2	3	6	4	3	4	5	5	5	5	5	6	6	6	6	6	7	7	8	7	7	8	6	7	8	7	7	9	8	8	8	7	8	11	9	10	9	9	8	9	7	9	10	9	9	10	10	10	10	8	12	10	12	10	11	10	12	14	12	13	14	16	12	14	12	15	15	16	13	15	16	20	20	18	18	19	18	18	20	19	19	17	20	18	21	22	24	23	22	23	25	26	27	29	0	1	1	1	2	11	3	3	4	4	2	5	7	8	3	10	11	12	14	10	16	18	12	17	18	20	20	17	23	19	21	22	12	20	21	24	17	17	12	42	21	12	12	32	41	29	23	29	33	33	23	29	40	41	32	45	23	29	51	51	51	52	39	54	55	60	64	67	64	75	66	67	66	66	66	70	59	71	73	73	59	90	80	76	78	70	75	71	59	79	87	75	59	76	76	73	77	82	75	95	100	87	99	92	1	1	1	2	1	1	1	2	2	1	1	1	3	1	2	1	3	2	1	2	1	1	3	1	1	1	2	2	2	1	2	2	3	2	2	1	2	3	3	1	3	3	3	1	1	2	2	1	2	3	1	1	2	1	1	1	3	2	1	1	4	1	3	1	2	2	2	2	2	1	3	2	2	1	2	2	4	2	1	2	3	1	5	2	1	5	5	3	8	4	1	3	9	3	4	6	6	3	5	2	2	7	3	11
2500	-590.542291404111552	-588.661255419113331	-1.881035984998228	0.000009765727997	0.000019913221202	2.039092345134423	0.514052608756079	0	1	1	2	2	3	2	3	3	3	3	3	6	4	4	5	5	5	5	5	5	6	6	6	6	6	7	7	8	6	7	8	6	7	7	8	8	8	7	8	8	8	7	11	9	10	9	9	9	8	8	9	10	9	9	10	8	9	10	9	11	10	10	10	11	11	12	14	12	12	15	17	14	12	14	14	15	16	15	13	16	20	20	16	17	19	18	19	20	18	19	19	19	21	21	22	25	23	21	23	25	26	26	29	0	1	1	1	2	2	3	3	4	4	2	5	7	8	3	10	11	12	14	10	10	12	12	17	18	16	20	17	39	14	21	22	12	16	20	24	17	17	33	33	31	12	23	32	41	57	29	23	39	43	43	50	40	41	32	45	33	29	51	51	51	52	43	54	55	60	64	67	64	66	63	67	70	66	74	70	59	77	73	70	59	92	80	75	81	73	80	81	59	75	87	70	59	79	92	86	89	82	90	95	95	99	95	100	1	1	1	2	1	2	1	2	1	1	2	1	3	1	3	1	1	2	1	2	2	2	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	1	3	1	2	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	2	2	2	2	1	3	3	2	1	2	2	4	1	1	1	3	1	4	2	1	4	4	2	8	3	1	4	7	4	2	3	3	2	2	2	3	4	4	4
3000	-598.953782154881537	-597.245707249734892	-1.708074905146604	0.000009855583790	0.000015914581120	1.614778125776761	0.513851380326480	0	1	1	2	2	2	2	3	4	3	3	3	4	5	4	5	3	5	5	5	5	6	5	6	6	6	6	7	8	7	7	7	5	7	8	8	8	8	5	8	8	8	8	11	9	9	9	8	7	10	8	7	10	9	8	10	10	10	10	9	12	10	12	10	10	11	12	14	12	13	14	17	14	14	13	15	15	16	15	15	16	20	20	17	16	17	18	17	20	19	19	20	20	18	20	22	25	22	22	23	24	24	26	28	0	1	1	1	2	2	3	3	4	4	2	5	7	15	3	10	2	12	8	10	10	18	12	17	18	16	20	17	39	14	21	22	12	20	21	24	28	24	12	49	31	23	33	32	41	29	23	18	23	51	18	39	40	41	32	45	46	49	51	51	66	52	51	54	55	60	64	69	64	60	51	69	75	66	66	73	59	77	75	74	66	86	80	76	59	76	80	71	59	73	87	79	77	76	94	90	89	82	95	95	95	95	92	102	1	1	1	2	1	1	1	2	2	1	2	1	1	1	2	2	2	2	1	2	2	1	2	3	1	1	1	3	2	2	2	1	2	1	3	2	1	2	2	1	1	2	2	3	1	1	2	2	2	2	3	2	1	1	1	1	1	3	2	1	1	1	2	1	2	2	2	2	2	3	4	4	1	3	1	1	3	1	1	1	3	3	4	2	3	2	2	3	7	2	1	3	3	3	2	3	3	1	2	3	3	3	3	3
3500	-602.439914320976300	-600.832358485026703	-1.607555835949574	0.000009896533948	0.000013568586732	1.371044327513930	0.578995605311396	-1	1	1	1	2	3	2	3	4	3	2	3	6	4	3	5	4	5	5	5	4	5	6	5	6	6	7	7	7	7	6	8	6	7	8	8	8	9	6	8	8	8	8	11	9	9	9	7	8	10	9	8	10	9	9	10	10	10	10	10	11	9	12	10	11	11	12	14	12	13	15	16	14	14	11	15	14	16	15	15	14	19	20	18	16	17	18	19	19	19	19	20	20	21	20	22	25	22	22	23	25	25	26	28	0	1	1	1	2	11	3	3	4	4	2	5	15	8	2	10	11	12	14	10	10	12	12	17	18	16	20	17	12	8	21	39	22	16	21	24	17	28	12	29	31	12	23	32	41	39	23	39	48	39	42	18	40	41	32	45	46	49	51	51	51	52	23	54	55	60	64	69	64	75	59	67	75	70	60	75	59	81	70	70	59	70	80	70	71	76	80	77	59	76	87	86	89	74	82	92	88	86	95	95	100	94	100	102	1	1	2	1	1	1	1	2	2	2	1	1	2	1	1	2	1	2	1	2	1	2	3	1	1	1	1	2	3	2	2	2	1	1	3	1	3	1	2	1	2	4	1	2	1	1	1	1	1	3	1	2	2	1	1	1	1	2	1	1	2	1	4	1	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	4	2	3	1	2	2	5	6	1	1	2	1	6	1	2	4	3	2	2	2	3	2	3
4000	-559.118786181991709	-557.401408114130959	-1.717378067860759	0.000010024833862	0.000016413842960	1.637318202526573	0.642695449032553	0	1	1	1	2	3	2	3	4	3	3	3	5	4	3	5	5	5	5	5	5	6	5	6	5	6	6	7	8	7	6	8	7	7	8	8	8	9	7	8	8	8	8	11	9	10	9	9	7	9	9	9	10	9	10	10	9	9	10	10	12	10	12	10	11	11	12	14	12	13	14	17	14	14	12	15	15	16	15	15	16	20	20	18	16	18	18	19	20	19	19	20	20	18	19	20	25	22	22	23	25	26	27	28	0	1	1	1	2	2	3	3	11	4	2	5	7	8	3	10	6	12	14	10	10	23	12	17	12	20	16	17	23	19	21	12	18	27	21	24	28	17	12	39	31	33	39	32	41	57	18	29	18	43	43	23	40	41	32	45	39	12	51	50	51	52	60	54	55	60	64	64	64	75	59	69	75	75	60	70	59	71	75	73	71	86	80	76	77	70	80	81	78	73	87	86	88	70	86	76	89	82	95	95	99	101	102	103	1	1	1	1	1	2	1	2	1	2	2	1	3	1	2	2	1	2	1	1	1	1	2	1	2	1	1	2	3	2	1	3	2	1	2	2	1	3	2	1	1	1	1	2	1	1	2	1	2	1	1	2	2	1	2	1	2	5	1	1	3	1	2	1	1	1	2	2	2	1	4	4	2	2	2	2	2	2	2	1	2	1	2	2	1	2	3	3	3	3	1	1	1	3	1	2	3	2	2	2	2	1	1	1
4500	-559.602240799363244	-558.175179550060989	-1.427061249302294	0.000010716676471	0.000009623772994	0.898018431375302	0.542396625911684	0	1	1	1	2	3	2	3	4	3	3	3	4	4	4	4	4	5	5	5	5	6	5	5	6	6	6	7	8	7	7	8	7	7	8	6	8	9	8	8	8	7	7	11	9	10	9	9	9	10	8	9	9	9	9	10	10	10	10	10	11	10	12	10	11	11	12	14	12	13	14	16	14	13	11	15	15	16	15	15	16	20	18	18	17	19	18	19	19	17	19	20	20	21	19	22	23	23	22	23	25	25	27	29	0	1	1	1	2	2	3	3	4	4	2	5	7	8	8	10	6	12	14	16	10	23	12	17	12	10	16	11	33	19	21	33	18	27	21	24	28	28	12	42	31	23	18	32	41	42	18	33	29	43	43	43	40	41	32	45	39	33	51	51	51	52	39	54	55	60	64	64	64	75	59	68	75	75	60	75	71	71	75	73	63	66	76	76	77	90	80	85	85	73	87	90	88	86	73	82	89	86	95	95	100	99	102	102	1	1	1	1	1	2	1	2	3	2	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	2	3	1	2	1	1	2	1	2	1	1	1	3	1	1	2	1	3	1	2	3	2	1	2	1	2	1	1	1	1	2	3	2	2	1	1	3	1	2	1	2	3	2	2	2	1	3	2	1	2	1	2	2	1	3	6	3	1	2	1	3	2	2	3	1	3	1	2	4	2	2	3	2	2	2	2	2	1
