step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98798	0.17034	1.00000	0.14606	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98400	0.29000	0.94600	0.13996	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99000	0.31200	0.88800	0.13435	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99000	0.33533	0.83600	0.12597	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99000	0.34750	0.73800	0.12180	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97600	0.34760	0.65000	0.11978	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97800	0.35367	0.50000	0.11840	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.96800	0.35571	0.50100	0.11740	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.93600	0.35600	0.38000	0.11710	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.94000	0.35978	0.40000	0.11745	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.90600	0.36320	0.39067	0.11693	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.87400	0.36636	0.38750	0.11626	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.88200	0.36200	0.38480	0.11668	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.93200	0.35738	0.38700	0.11739	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.86800	0.35371	0.39657	0.11913	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.82200	0.35107	0.39750	0.11965	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.73600	0.35263	0.40044	0.11952	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.63200	0.35153	0.40280	0.12054	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.55000	0.35078	0.40473	0.12104	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.42600	0.35189	0.40817	0.12114	0.221683782005310	0.666666666666667	0.170859375000000	0
10500		0.42400	0.35310	0.40662	0.12159	0.221683782005310	0.666666666666667	0.170859375000000	0
11000		0.43800	0.35362	0.40800	0.12142	0.221683782005310	0.666666666666667	0.170859375000000	0
11500		0.43850	0.35373	0.40827	0.12133	0.221683782005310	0.666666666666667	0.170859375000000	0
12000		0.43120	0.35452	0.40913	0.12156	0.221683782005310	0.666666666666667	0.170859375000000	0
12500		0.43733	0.35308	0.40812	0.12105	0.221683782005310	0.666666666666667	0.170859375000000	0
13000		0.43486	0.35176	0.40700	0.12080	0.221683782005310	0.666666666666667	0.170859375000000	0
13500		0.42650	0.35038	0.40453	0.12116	0.221683782005310	0.666666666666667	0.170859375000000	0
14000		0.42667	0.35222	0.40380	0.12157	0.221683782005310	0.666666666666667	0.170859375000000	0
14500		0.43080	0.35093	0.40476	0.12104	0.221683782005310	0.666666666666667	0.170859375000000	0
15000		0.42945	0.35207	0.40491	0.12142	0.221683782005310	0.666666666666667	0.170859375000000	0
15500		0.42567	0.35113	0.40391	0.12163	0.221683782005310	0.666666666666667	0.170859375000000	0
16000		0.42585	0.35077	0.40317	0.12161	0.221683782005310	0.666666666666667	0.170859375000000	0
16500		0.42871	0.35137	0.40400	0.12181	0.221683782005310	0.666666666666667	0.170859375000000	0
17000		0.43093	0.34976	0.40423	0.12164	0.221683782005310	0.666666666666667	0.170859375000000	0
17500		0.43250	0.34847	0.40489	0.12157	0.221683782005310	0.666666666666667	0.170859375000000	0
18000		0.43282	0.34931	0.40471	0.12138	0.221683782005310	0.666666666666667	0.170859375000000	0
18500		0.43244	0.34806	0.40593	0.12141	0.221683782005310	0.666666666666667	0.170859375000000	0
19000		0.43274	0.34789	0.40580	0.12155	0.221683782005310	0.666666666666667	0.170859375000000	0
19500		0.43480	0.34868	0.40548	0.12124	0.221683782005310	0.666666666666667	0.170859375000000	0
