step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112
1	-3373.504945912655785	-3380.360433863615071	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746846725505887	1	1	2	2	3	4	3	4	4	4	6	5	5	5	7	6	6	7	7	7	8	8	8	9	10	11	9	11	10	11	10	12	11	10	10	10	10	10	11	11	11	11	11	12	12	12	12	12	12	13	12	12	14	13	14	14	13	13	15	14	14	14	15	14	14	14	16	15	15	15	15	17	16	17	16	16	17	17	17	17	18	19	17	17	18	19	18	18	19	19	20	20	20	22	23	21	24	22	22	23	23	23	24	24	25	25	26	25	26	26	25	29	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	3	4	3	3	3	5	4	4	5	5	5	6	6	6	6	7	8	6	8	7	8	7	8	8	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	9	8	8	10	9	10	10	9	9	11	10	10	10	11	10	10	10	11	11	11	11	11	12	11	12	11	11	12	12	12	12	13	13	12	12	13	13	13	13	13	13	14	14	14	16	16	15	17	16	16	16	16	16	17	17	18	18	18	18	18	18	18	21
500	-968.490409712975065	-975.345897663934466	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.183237713509347	1	0	2	1	3	4	3	3	4	4	6	3	5	3	7	6	6	6	7	7	5	8	8	9	7	9	8	10	9	10	10	10	11	10	10	10	10	10	8	11	11	11	11	12	12	11	12	9	12	12	12	12	14	13	13	11	11	13	15	13	14	14	15	14	12	14	16	15	14	15	14	17	16	17	16	16	16	17	17	17	16	18	17	17	18	19	18	18	17	19	18	20	20	22	23	21	24	22	22	23	23	23	24	24	25	25	26	25	26	26	25	29	2	0	2	2	1	14	4	1	14	14	7	1	5	3	16	14	14	14	17	18	12	17	17	9	1	17	17	24	23	22	29	15	32	22	26	22	27	27	21	23	17	23	31	9	6	39	21	5	16	31	27	23	18	25	12	25	17	31	40	52	43	12	21	25	48	23	25	46	25	25	21	25	70	48	71	25	53	25	8	71	5	56	64	21	25	5	65	32	12	5	25	25	48	25	12	12	48	46	21	46	25	65	25	25	48	55	25	25	76	72	21	0	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	3	1	1	2	2	2	3	5	2	2	1	1	2	1	3	1	2	1	2	2	2	1	3	2	3	1	5	6	3	3	4	3	2	3	2	6	4	8	4	4	3	2	1	3	10	9	5	3	3	9	3	5	7	7	9	1	8	1	8	2	8	12	2	11	7	3	10	11	13	5	8	11	13	11	13	10	12	13	15	13	11	16	9	13	9	12	17	12	10	17	17	8	7	18	1
1000	-967.123412876744737	-973.978900827704138	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.213578752323243	1	-2	2	1	3	4	3	3	4	4	6	4	4	3	6	5	6	6	7	7	6	7	8	7	10	11	8	11	7	11	9	12	9	10	10	9	10	10	11	11	11	11	11	9	12	10	9	12	12	13	11	11	13	13	12	12	13	13	15	14	14	14	13	14	14	14	16	15	15	14	13	17	16	16	16	16	17	17	17	17	18	19	17	17	17	18	18	18	19	19	20	20	19	22	23	21	24	22	22	23	23	23	24	24	25	25	26	25	26	26	25	29	2	0	2	2	1	14	4	3	14	14	1	5	8	3	10	14	10	10	16	16	12	10	29	10	3	10	18	24	17	22	29	52	14	44	18	24	17	44	46	27	33	23	31	15	52	12	8	25	40	40	16	37	14	55	4	5	42	49	49	18	23	5	46	25	25	58	12	63	25	8	21	70	68	47	70	47	60	67	47	55	21	56	55	4	39	21	65	60	47	64	54	8	47	62	56	4	55	25	47	68	47	99	73	47	74	74	47	12	84	84	21	0	2	1	4	3	2	1	2	1	1	1	2	1	1	1	1	2	2	1	2	2	2	2	1	2	6	6	2	2	1	2	1	1	6	1	4	2	4	1	1	3	2	2	1	3	1	5	5	2	1	2	3	1	5	1	8	5	2	1	2	7	4	7	3	3	4	1	9	2	3	8	6	3	1	6	1	4	3	1	6	3	11	7	2	14	6	12	2	1	10	4	7	11	8	6	8	17	12	10	13	7	12	1	8	12	8	5	17	16	7	8	16	1
1500	-820.487732975846598	-827.343220926805998	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.295370576734474	1	0	2	1	3	4	2	4	4	4	6	5	5	3	7	6	6	7	6	7	7	8	8	8	9	11	9	11	10	11	10	11	10	10	10	10	10	8	8	10	10	11	11	11	11	9	11	12	12	13	12	11	13	13	13	14	13	12	15	14	14	11	14	14	14	14	16	15	15	15	15	17	16	17	16	16	17	17	17	16	18	19	16	17	18	19	17	18	19	19	19	20	20	22	23	21	24	22	21	23	23	21	24	24	25	23	26	25	26	26	25	29	2	0	2	2	2	5	4	1	14	14	7	5	1	3	19	10	10	10	14	14	1	20	16	9	12	33	38	23	23	41	24	16	27	22	17	16	24	18	12	16	22	37	9	19	23	1	25	46	40	42	43	9	37	62	21	21	49	42	61	52	52	11	54	55	55	44	8	63	47	39	62	47	54	64	56	25	40	71	65	56	21	87	70	21	21	39	71	77	25	80	56	76	90	56	91	8	56	73	46	63	21	93	54	84	102	69	21	46	85	102	46	0	1	1	2	1	3	1	1	2	1	1	4	2	3	1	1	1	2	2	2	3	5	1	2	2	2	1	1	1	2	1	2	2	1	2	3	4	2	1	2	1	1	1	6	4	1	7	2	2	2	1	1	7	1	2	3	5	1	1	1	1	3	4	1	1	1	3	8	1	4	5	3	5	2	2	1	6	6	1	2	2	8	2	1	7	9	8	1	1	8	3	3	4	1	6	4	14	9	5	11	6	12	1	9	7	4	7	15	12	5	4	14	1
2000	-742.552670326345947	-749.408158277305347	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.351502956625058	1	0	1	2	3	4	2	3	3	4	6	5	5	4	7	6	5	7	5	7	8	6	8	9	10	10	9	11	10	11	10	12	11	10	9	10	10	8	10	10	11	9	11	11	12	12	9	11	11	13	12	12	14	13	12	14	12	12	15	14	14	14	14	14	14	14	16	15	13	15	15	17	16	17	16	16	17	16	16	17	18	19	17	17	18	19	18	18	19	19	20	19	20	21	23	21	24	22	22	23	21	22	24	24	25	25	26	25	26	26	25	29	2	0	2	3	1	9	2	3	3	9	4	1	2	9	16	17	14	10	9	17	12	14	10	22	12	27	38	40	17	22	42	16	26	35	22	38	27	22	21	16	22	15	31	36	20	39	21	21	22	43	49	16	26	48	47	48	42	43	52	32	29	54	54	55	55	49	62	54	47	65	65	64	54	64	69	39	61	70	65	64	47	71	65	70	55	56	84	29	47	85	62	85	90	82	91	48	93	91	13	68	13	93	54	89	93	93	73	73	99	102	12	0	1	1	1	1	2	1	2	2	2	1	4	3	5	1	1	1	1	2	2	2	2	2	1	3	3	1	1	1	3	4	1	3	1	1	2	2	1	1	2	3	3	2	1	1	4	2	1	2	4	2	1	4	3	1	2	2	2	1	3	1	2	1	1	2	2	2	2	2	3	1	1	2	3	3	3	5	3	1	2	2	6	2	3	2	6	5	1	6	6	1	4	1	1	2	3	10	3	1	13	7	8	2	9	3	4	5	10	8	4	4	15	1
2500	-667.339640218575141	-674.195128169534541	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.416397426909018	0	-1	2	1	3	4	3	4	3	4	6	5	2	5	7	6	6	7	7	7	8	8	8	9	10	8	8	11	10	10	10	11	11	10	10	10	10	7	10	11	11	10	11	11	12	12	12	11	12	12	12	11	14	12	13	13	11	13	12	12	14	14	15	14	14	13	16	15	13	15	15	17	16	17	15	16	17	17	16	17	17	19	17	16	18	19	18	18	19	18	20	20	20	19	23	21	23	22	22	21	22	22	21	24	23	25	26	25	26	25	25	28	2	0	4	2	1	9	4	1	3	9	4	8	1	10	17	14	14	14	16	14	12	17	17	14	21	38	15	29	10	22	10	29	26	24	24	24	38	17	12	24	30	24	37	15	32	39	25	21	42	40	16	8	45	39	39	21	24	49	29	18	31	54	39	39	56	40	68	54	47	65	65	55	39	69	69	65	52	70	65	56	39	87	84	65	65	71	84	77	85	80	67	89	90	71	68	56	90	100	46	68	56	90	68	99	93	90	91	63	101	101	39	0	1	1	1	2	2	1	2	3	1	1	5	1	2	1	1	1	1	2	1	1	3	2	2	3	2	1	1	1	2	2	4	1	2	1	1	1	3	1	5	2	1	1	1	4	1	1	2	2	2	1	5	7	2	2	2	4	1	1	1	3	4	2	4	3	1	2	1	2	1	1	1	4	3	2	1	2	3	2	2	3	6	1	1	1	3	2	2	1	1	1	4	1	2	4	6	8	4	1	8	3	6	3	3	2	2	2	6	8	3	2	14	1
3000	-643.173081596284078	-650.028569547243478	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497065362051608	1	0	1	2	3	4	3	4	2	4	6	5	4	5	7	6	5	7	7	6	8	7	8	8	9	11	9	11	10	8	10	12	11	10	10	10	10	9	10	11	11	11	11	11	10	12	11	11	12	13	11	12	12	12	13	13	13	13	15	13	14	14	15	14	14	14	16	14	15	15	15	17	16	17	16	16	15	17	17	14	18	19	16	15	18	18	18	16	19	19	20	20	20	22	22	21	23	21	22	20	23	21	24	24	24	25	26	25	26	25	25	29	2	0	2	2	1	9	4	1	3	9	4	13	1	10	16	10	6	16	6	14	12	14	10	17	21	22	22	23	16	22	38	18	35	24	38	38	27	10	25	38	30	31	31	15	15	39	21	25	42	43	10	16	45	48	39	47	42	49	29	38	29	54	68	47	55	58	62	54	64	55	65	55	21	55	56	84	61	83	65	55	69	86	47	65	76	64	71	77	87	75	68	87	74	85	63	56	102	100	68	73	64	90	73	102	96	105	100	99	104	97	21	0	1	1	1	2	2	1	1	2	1	2	2	1	3	1	1	1	1	1	2	1	2	2	4	2	1	2	2	3	3	1	1	3	1	2	1	1	1	5	1	2	2	1	1	3	3	1	2	2	1	2	3	5	2	1	3	2	2	1	2	1	2	2	1	2	1	1	2	2	1	2	1	2	4	4	2	1	1	1	2	1	1	1	3	1	2	3	2	1	1	2	3	2	2	2	3	7	2	1	5	3	6	2	5	3	3	1	4	2	2	2	12	1
3500	-608.963432790853744	-615.818920741813145	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.470446423686215	1	0	2	1	3	4	3	4	3	4	5	5	4	5	6	6	6	7	7	7	8	7	8	9	9	8	8	10	10	11	10	11	11	10	10	10	10	10	11	9	11	9	11	12	12	12	11	12	11	13	12	11	14	10	13	14	12	11	14	14	14	14	15	14	14	14	16	15	15	15	15	16	15	16	16	16	17	17	17	17	18	19	17	15	18	17	18	18	18	19	20	20	19	19	23	21	23	22	21	23	23	22	24	24	25	25	26	25	26	26	25	29	2	0	2	2	1	9	3	1	3	9	7	5	1	10	10	10	10	14	10	14	13	10	15	15	5	17	17	40	23	18	40	18	34	26	26	27	27	16	54	18	37	23	31	32	10	54	21	47	42	40	52	23	40	21	12	48	49	42	40	51	45	55	62	47	55	42	73	54	64	65	65	47	46	55	55	84	61	71	71	64	75	85	84	65	84	70	76	61	76	69	73	89	69	78	63	93	74	91	63	91	96	90	68	101	96	93	100	95	104	97	90	0	1	1	2	1	2	1	1	2	1	1	1	2	3	1	2	2	2	2	2	1	3	2	1	3	5	1	2	1	2	2	1	1	1	2	1	2	2	2	1	2	1	1	1	1	4	2	2	1	2	4	1	2	2	2	6	2	1	2	4	1	2	1	1	3	1	3	1	4	1	1	1	3	2	2	2	1	2	2	2	2	2	1	2	1	2	2	2	4	1	2	4	2	3	2	4	2	4	2	3	3	2	2	7	1	4	5	3	1	2	2	6	1
4000	-640.625169004823533	-647.480656955782933	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545521194387347	1	0	1	2	3	3	3	3	2	4	6	5	4	3	7	6	6	7	7	7	8	7	8	9	10	11	7	11	7	9	10	12	8	10	10	10	9	9	10	11	11	9	11	12	12	12	12	11	12	13	11	10	14	11	14	13	12	13	15	14	14	14	15	14	14	13	15	15	15	15	15	16	16	17	15	16	17	17	17	16	16	19	17	15	18	19	17	18	18	18	20	19	20	22	21	21	24	21	22	22	23	23	23	24	25	25	26	24	26	25	24	29	2	0	2	2	1	9	2	1	3	14	4	8	1	9	14	6	14	10	16	10	12	10	29	27	12	33	14	52	10	33	29	37	22	38	33	38	17	27	21	18	30	15	23	52	19	48	39	21	40	23	17	24	49	39	47	21	42	40	40	50	15	54	62	56	56	49	62	21	64	65	65	47	62	69	64	84	61	65	71	75	56	87	84	65	56	71	84	61	84	74	48	83	90	79	73	90	74	91	73	98	96	90	73	96	101	93	103	95	104	97	93	0	1	1	1	1	2	1	3	2	1	1	3	2	2	1	2	3	2	1	1	2	3	2	1	1	3	2	2	1	2	1	3	2	1	1	1	1	1	2	2	3	2	1	3	2	3	1	2	2	1	4	4	1	1	1	1	2	3	2	2	1	4	3	1	1	1	1	1	3	1	1	1	2	1	2	1	1	3	2	2	1	2	2	2	1	3	2	2	3	3	1	6	1	2	4	3	2	3	1	5	1	2	4	5	3	2	4	3	1	2	1	3	1
4500	-614.351083179054172	-621.206571130013572	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524239344433699	1	-1	2	1	0	4	3	2	4	4	6	5	5	3	7	5	5	7	7	7	7	8	8	8	9	11	9	9	7	11	10	11	9	10	10	10	10	10	11	11	11	11	11	11	10	12	12	12	11	13	12	12	14	13	14	13	13	13	15	14	14	14	15	14	14	14	16	15	15	15	15	16	16	16	16	16	17	17	17	16	17	19	17	15	18	16	18	18	18	18	19	20	20	21	20	21	24	19	20	23	22	23	22	24	22	23	25	25	26	26	25	27	5	0	4	2	2	14	4	5	14	14	7	8	1	3	16	14	10	17	9	14	13	16	29	10	13	45	15	29	10	37	22	18	18	22	33	27	27	27	21	24	24	29	31	15	24	39	39	25	31	49	24	45	28	25	47	47	32	49	50	51	42	12	54	56	56	42	63	46	64	65	65	55	48	69	69	84	42	71	65	69	75	87	84	62	76	65	84	42	76	75	39	85	90	79	73	90	93	68	63	99	90	90	62	106	90	101	99	100	104	106	102	0	1	1	1	2	1	1	2	2	1	1	1	2	3	1	2	2	1	1	1	4	2	3	1	2	2	1	2	2	1	1	2	3	1	1	1	1	1	1	2	3	3	3	1	3	2	1	1	2	1	2	2	1	3	4	1	1	1	2	1	2	1	5	2	1	1	2	1	2	1	1	1	2	2	1	1	1	5	2	2	1	1	1	2	1	2	2	2	3	1	1	7	2	2	4	2	3	2	3	3	2	2	4	4	1	3	1	4	1	2	2	2	1
