step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.17435	1.00000	0.14201	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99200	0.29800	0.80400	0.13942	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.31500	0.87400	0.13255	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99600	0.34067	0.88200	0.12727	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99200	0.35600	0.78600	0.12430	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97000	0.35840	0.68200	0.12204	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.98200	0.36633	0.59800	0.11948	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.97000	0.37057	0.48600	0.11678	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.95600	0.37075	0.45800	0.11740	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.94600	0.37667	0.44933	0.11524	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.92400	0.37820	0.44400	0.11557	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.88400	0.38073	0.44400	0.11592	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.88000	0.37850	0.44667	0.11469	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.89800	0.37308	0.44571	0.11447	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.87600	0.36986	0.45100	0.11525	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.86200	0.36733	0.45400	0.11530	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.74600	0.36450	0.45760	0.11662	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.71000	0.36506	0.46091	0.11696	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.57800	0.36722	0.46300	0.11742	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.41800	0.36674	0.46338	0.11839	0.221683782005310	0.666666666666667	0.170859375000000	0
10500		0.42900	0.36610	0.46271	0.11910	0.221683782005310	0.666666666666667	0.170859375000000	0
11000		0.43667	0.36533	0.46107	0.11879	0.221683782005310	0.666666666666667	0.170859375000000	0
11500		0.43400	0.36482	0.45950	0.11895	0.221683782005310	0.666666666666667	0.170859375000000	0
12000		0.42640	0.36243	0.46000	0.12037	0.221683782005310	0.666666666666667	0.170859375000000	0
12500		0.42633	0.36167	0.46289	0.12105	0.221683782005310	0.666666666666667	0.170859375000000	0
13000		0.42943	0.35864	0.46558	0.12201	0.221683782005310	0.666666666666667	0.170859375000000	0
13500		0.43425	0.35923	0.46600	0.12222	0.221683782005310	0.666666666666667	0.170859375000000	0
14000		0.43622	0.36059	0.46543	0.12252	0.221683782005310	0.666666666666667	0.170859375000000	0
14500		0.43740	0.36093	0.46655	0.12248	0.221683782005310	0.666666666666667	0.170859375000000	0
15000		0.44073	0.36021	0.46730	0.12308	0.221683782005310	0.666666666666667	0.170859375000000	0
15500		0.43950	0.36187	0.46675	0.12298	0.221683782005310	0.666666666666667	0.170859375000000	0
16000		0.44077	0.36174	0.46672	0.12318	0.221683782005310	0.666666666666667	0.170859375000000	0
16500		0.44029	0.36188	0.46669	0.12348	0.221683782005310	0.666666666666667	0.170859375000000	0
17000		0.44107	0.36212	0.46541	0.12410	0.221683782005310	0.666666666666667	0.170859375000000	0
17500		0.44438	0.36159	0.46593	0.12437	0.221683782005310	0.666666666666667	0.170859375000000	0
18000		0.44412	0.36234	0.46655	0.12406	0.221683782005310	0.666666666666667	0.170859375000000	0
18500		0.44456	0.36189	0.46620	0.12416	0.221683782005310	0.666666666666667	0.170859375000000	0
19000		0.44632	0.36238	0.46587	0.12431	0.221683782005310	0.666666666666667	0.170859375000000	0
19500		0.44670	0.36211	0.46594	0.12434	0.221683782005310	0.666666666666667	0.170859375000000	0
20000		0.44638	0.36113	0.46606	0.12466	0.221683782005310	0.666666666666667	0.170859375000000	0
20500		0.44691	0.36155	0.46635	0.12510	0.221683782005310	0.666666666666667	0.170859375000000	0
21000		0.44591	0.35937	0.46697	0.12529	0.221683782005310	0.666666666666667	0.170859375000000	0
21500		0.44433	0.35733	0.46856	0.12583	0.221683782005310	0.666666666666667	0.170859375000000	0
22000		0.44368	0.35586	0.46865	0.12590	0.221683782005310	0.666666666666667	0.170859375000000	0
22500		0.44392	0.35609	0.46842	0.12593	0.221683782005310	0.666666666666667	0.170859375000000	0
23000		0.44252	0.35560	0.46882	0.12605	0.221683782005310	0.666666666666667	0.170859375000000	0
23500		0.43914	0.35361	0.47050	0.12659	0.221683782005310	0.666666666666667	0.170859375000000	0
24000		0.43731	0.35183	0.47117	0.12702	0.221683782005310	0.666666666666667	0.170859375000000	0
24500		0.43740	0.35225	0.47043	0.12700	0.221683782005310	0.666666666666667	0.170859375000000	0
25000		0.43813	0.35265	0.47088	0.12710	0.221683782005310	0.666666666666667	0.170859375000000	0
25500		0.43812	0.35320	0.46977	0.12705	0.221683782005310	0.666666666666667	0.170859375000000	0
26000		0.43921	0.35286	0.47009	0.12713	0.221683782005310	0.666666666666667	0.170859375000000	0
26500		0.43800	0.35212	0.47087	0.12746	0.221683782005310	0.666666666666667	0.170859375000000	0
27000		0.43863	0.35238	0.47077	0.12769	0.221683782005310	0.666666666666667	0.170859375000000	0
27500		0.43911	0.35115	0.47079	0.12794	0.221683782005310	0.666666666666667	0.170859375000000	0
28000		0.43973	0.35138	0.47090	0.12808	0.221683782005310	0.666666666666667	0.170859375000000	0
28500		0.44053	0.35150	0.47148	0.12826	0.221683782005310	0.666666666666667	0.170859375000000	0
29000		0.44026	0.35137	0.47220	0.12837	0.221683782005310	0.666666666666667	0.170859375000000	0
29500		0.43920	0.35090	0.47273	0.12854	0.221683782005310	0.666666666666667	0.170859375000000	0
30000		0.43898	0.35044	0.47328	0.12847	0.221683782005310	0.666666666666667	0.170859375000000	0
30500		0.43886	0.35060	0.47348	0.12853	0.221683782005310	0.666666666666667	0.170859375000000	0
31000		0.43884	0.35062	0.47276	0.12828	0.221683782005310	0.666666666666667	0.170859375000000	0
31500		0.43868	0.34974	0.47261	0.12817	0.221683782005310	0.666666666666667	0.170859375000000	0
32000		0.43924	0.35032	0.47182	0.12805	0.221683782005310	0.666666666666667	0.170859375000000	0
32500		0.43961	0.35044	0.47252	0.12798	0.221683782005310	0.666666666666667	0.170859375000000	0
33000		0.43962	0.34997	0.47319	0.12803	0.221683782005310	0.666666666666667	0.170859375000000	0
33500		0.43921	0.34936	0.47377	0.12797	0.221683782005310	0.666666666666667	0.170859375000000	0
34000		0.43931	0.34875	0.47413	0.12789	0.221683782005310	0.666666666666667	0.170859375000000	0
34500		0.43880	0.34835	0.47445	0.12797	0.221683782005310	0.666666666666667	0.170859375000000	0
35000		0.43808	0.34754	0.47432	0.12809	0.221683782005310	0.666666666666667	0.170859375000000	0
35500		0.43846	0.34749	0.47444	0.12833	0.221683782005310	0.666666666666667	0.170859375000000	0
36000		0.43740	0.34676	0.47566	0.12858	0.221683782005310	0.666666666666667	0.170859375000000	0
36500		0.43730	0.34631	0.47588	0.12865	0.221683782005310	0.666666666666667	0.170859375000000	0
37000		0.43749	0.34627	0.47567	0.12850	0.221683782005310	0.666666666666667	0.170859375000000	0
37500		0.43807	0.34619	0.47556	0.12837	0.221683782005310	0.666666666666667	0.170859375000000	0
38000		0.43709	0.34555	0.47658	0.12841	0.221683782005310	0.666666666666667	0.170859375000000	0
38500		0.43638	0.34550	0.47694	0.12862	0.221683782005310	0.666666666666667	0.170859375000000	0
