step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.78449	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.95600	0.78365	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.89800	0.77668	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.84600	0.77292	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.75600	0.77190	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.67800	0.77056	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.51000	0.76894	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.42000	0.76659	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.40400	0.76682	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.39933	0.76617	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.40350	0.76553	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.40520	0.76422	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.40500	0.76395	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.41114	0.76368	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.41300	0.76346	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.41778	0.76339	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.42180	0.76333	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.42000	0.76330	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.41850	0.76318	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.41892	0.76299	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.41814	0.76270	0.000150000000000	1.000000000000000	0.170859375000000	0
