step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104
1	-3009.189802754056927	-3007.727720669538030	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.393040540446591	11	7	15	20	22	18	23	21	22	24	27	27	24	27	26	34	26	27	24	31	31	28	28	31	30	30	31	36	37	39	33	37	39	36	35	33	36	38	35	39	38	37	42	39	41	47	38	41	40	44	49	44	41	43	47	46	46	45	42	43	45	48	47	52	44	45	46	50	45	47	50	49	51	51	47	49	60	62	56	56	60	59	57	63	60	59	58	57	62	56	57	60	67	62	62	67	64	64	68	70	70	72	77	79	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	3	2	3	3	3	3	4	4	3	4	3	5	3	4	3	4	4	4	4	4	4	4	4	5	5	6	5	5	6	5	5	5	5	5	5	6	5	5	6	6	6	7	5	6	6	6	7	6	6	6	7	7	7	7	6	6	7	7	7	8	6	7	7	7	7	7	7	7	8	8	7	7	9	9	8	8	9	9	9	10	9	9	9	9	9	8	9	9	10	9	9	10	10	10	10	11	11	11	12	12
500	-1102.349524776017233	-1100.334932460284335	-2.014592315733001	0.000009961533708	0.000023702174836	2.379370037935673	0.347456746556312	9	2	17	19	20	12	19	19	21	22	20	25	24	27	27	30	25	26	26	27	33	25	29	30	29	27	29	32	37	36	29	30	32	37	31	26	35	33	36	29	40	38	41	39	40	46	36	42	39	44	45	40	42	44	48	41	42	47	42	34	45	43	44	51	44	41	40	43	38	47	51	42	45	48	49	34	60	62	58	48	57	48	58	62	59	56	51	58	61	55	58	61	67	62	65	67	62	61	67	71	66	72	73	78	2	0	6	6	3	2	6	6	7	4	3	4	3	6	6	4	6	3	4	9	11	9	12	36	1	9	12	22	27	22	9	22	7	24	8	13	35	4	22	10	17	19	23	12	25	23	36	24	9	48	29	23	47	39	37	12	32	19	45	27	36	10	32	69	28	69	38	60	22	14	38	40	62	16	9	12	51	39	40	40	40	51	76	69	54	65	80	82	60	0	0	40	75	75	80	76	82	0	87	0	0	41	41	82	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	1	1	2	1	1	1	4	1	1	2	2	2	2	1	2	2	2	1	1	3	2	2	3	2	2	1	4	3	1	3	2	1	1	1	2	2	2	2	2	5	1	1	4	3	3	3	2	1	1	2	4	3	3	2	1	4	7	3	4	6	4	3	6	1	6	3	3	2	1	2	6	1	1	7	3	3	4	6	2	1	5	1	1	4	5	6
1000	-966.724147646436563	-964.939772314627817	-1.784375331808779	0.000009963467163	0.000017937462336	1.800323325544019	0.500556638540293	11	5	14	18	19	10	20	17	23	25	20	23	21	28	26	35	24	25	21	28	31	24	29	30	30	32	30	28	31	39	28	36	37	38	36	25	36	34	36	40	40	37	44	40	37	40	34	42	42	44	44	39	41	40	49	45	37	47	42	34	45	49	39	47	40	45	43	46	43	41	46	45	52	52	47	36	60	58	52	50	61	50	56	63	59	57	54	57	59	53	58	60	61	52	60	68	62	64	65	64	63	60	78	75	2	0	6	6	6	2	6	6	7	4	8	4	11	11	5	10	5	6	4	9	8	7	12	36	5	20	12	22	12	28	22	28	7	24	25	13	25	12	22	10	13	19	46	29	15	23	36	34	28	36	27	27	47	39	15	38	22	19	45	27	34	40	28	54	39	49	23	60	28	13	27	40	72	16	57	60	82	54	62	38	73	51	76	64	39	65	80	82	76	0	0	73	75	54	87	76	82	0	87	0	0	70	102	97	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	2	1	1	2	2	1	1	2	1	2	3	2	2	1	1	2	2	3	2	2	1	2	1	2	3	2	2	2	3	3	2	1	2	3	2	5	2	1	2	2	2	2	1	1	2	2	2	5	4	1	1	3	2	1	3	4	1	3	2	1	6	2	4	3	1	1	5	1	1	1	2	2	2	6	2	1	3	1	1	2	5	2
1500	-974.167405270476820	-972.566664735709878	-1.600740534766995	0.000009982664465	0.000013520543200	1.354402248762077	0.514084873257384	12	4	8	18	21	17	19	15	23	22	20	28	23	26	26	36	21	24	26	28	29	21	31	32	26	32	25	35	33	39	35	32	39	37	36	23	33	37	29	40	40	34	41	39	31	40	35	41	42	43	39	41	41	41	46	49	42	44	41	39	46	49	45	54	42	42	40	48	42	47	47	47	51	47	46	41	60	57	49	51	57	51	52	62	59	57	58	56	60	52	57	54	61	62	64	66	65	62	64	71	67	60	78	73	2	0	2	8	3	3	6	3	8	4	3	27	6	6	18	10	6	6	4	7	3	7	27	36	17	20	4	22	12	22	39	22	9	36	25	6	25	27	22	38	14	19	29	29	21	23	36	24	39	34	29	21	47	22	37	16	30	19	45	16	48	40	39	54	30	39	12	60	22	15	38	40	72	4	49	60	82	54	74	74	73	16	60	78	63	65	80	82	76	0	0	74	75	78	87	76	88	0	87	0	0	74	102	77	1	1	1	1	2	4	1	2	1	1	2	1	1	2	1	3	1	1	2	2	4	1	2	2	1	1	1	2	1	3	1	2	2	2	2	1	2	2	2	1	2	1	1	1	1	2	2	2	2	1	2	2	1	2	2	3	1	3	1	1	2	2	4	2	1	2	2	2	4	3	1	2	1	5	1	1	2	2	1	1	2	2	3	1	2	3	1	1	5	1	1	1	3	1	2	5	2	1	2	1	1	7	5	2
2000	-926.192020916438878	-924.443174105725802	-1.748846810713076	0.000010135610580	0.000017369428812	1.713703252105015	0.509493213898144	9	3	13	18	22	18	19	18	21	26	16	27	22	22	25	36	24	26	21	29	32	25	26	31	27	31	23	35	36	32	31	34	35	26	34	31	36	34	33	41	37	29	41	39	39	46	38	39	40	46	47	46	42	43	49	48	44	41	44	35	47	46	48	47	44	45	45	49	45	49	47	49	51	51	43	41	61	56	55	52	56	53	54	61	54	56	55	55	60	51	56	59	64	49	61	68	64	62	66	65	70	61	78	77	2	0	1	3	11	11	3	3	7	4	1	27	8	8	6	4	8	5	4	7	5	9	27	34	17	20	4	22	27	22	22	30	7	13	14	34	25	23	22	4	15	19	16	29	35	23	34	34	22	36	16	43	47	32	25	16	49	42	45	12	36	40	69	54	49	39	38	60	22	41	38	62	38	46	49	60	88	64	46	40	73	51	76	64	54	65	80	82	76	0	0	73	75	64	87	83	88	0	95	0	0	16	102	82	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	3	2	2	1	2	2	1	1	2	1	1	1	2	3	2	1	1	3	1	1	1	2	2	2	3	2	2	1	1	1	3	2	2	4	2	2	1	1	1	4	3	1	3	1	1	3	1	1	1	1	2	1	3	3	3	2	1	3	1	1	2	1	2	3	2	1	2	3	2	1	2	1	1	4	1	1	2	3	1	1	2	1	1	1	1	1	3	4	2
2500	-926.770413376155489	-925.137597425033960	-1.632815951121492	0.000010199325341	0.000014610620241	1.432508499523387	0.564289182328619	8	4	12	16	22	18	24	21	20	23	21	26	25	22	20	28	25	28	23	27	32	27	30	30	24	30	33	29	36	37	35	38	34	28	35	35	29	37	31	40	37	33	39	32	34	44	39	39	41	43	45	43	43	45	40	43	44	45	41	43	47	40	46	52	40	42	47	50	46	43	43	47	48	49	45	45	59	60	58	49	61	49	56	59	52	54	55	56	60	56	54	62	63	63	61	66	64	55	67	71	69	62	78	72	2	0	2	3	3	2	11	3	6	4	3	4	8	15	3	4	3	6	4	9	37	8	12	34	3	20	23	22	12	28	39	28	9	13	5	34	25	23	28	10	13	19	23	12	25	23	34	34	39	48	27	27	47	49	37	27	28	42	45	16	48	16	32	54	32	39	23	60	32	41	43	62	72	62	66	60	82	64	56	40	73	51	76	54	63	65	80	82	76	0	0	73	75	84	87	89	82	0	95	0	0	91	102	97	1	1	1	1	2	3	1	2	1	1	2	2	1	1	1	2	2	2	2	1	1	2	1	1	2	1	1	1	2	1	1	2	4	1	2	1	1	2	1	3	2	2	1	1	2	2	2	2	1	1	3	1	1	1	2	2	2	2	1	3	1	2	2	2	1	2	2	2	2	1	1	2	1	2	1	1	3	2	3	2	2	1	2	2	1	2	1	2	4	1	1	3	2	1	2	1	3	1	1	1	1	2	4	1
3000	-885.527643686051647	-884.035792343782077	-1.491851342269526	0.000010113311673	0.000010926857674	1.080443085969013	0.689697060061622	11	5	14	19	24	16	25	20	16	22	28	27	26	20	23	33	27	20	25	30	26	26	28	31	28	33	32	33	37	41	30	37	38	29	36	35	35	37	35	35	33	36	41	33	35	46	40	39	37	45	45	46	38	40	49	43	39	44	41	33	44	49	48	51	45	47	46	44	37	45	48	45	52	50	47	48	60	62	53	54	61	50	60	58	61	55	57	54	63	58	59	60	63	61	60	69	66	62	69	71	61	62	78	69	2	0	1	3	14	3	9	3	3	4	5	4	8	3	8	4	6	3	4	7	14	9	12	34	21	20	23	22	44	49	22	22	28	13	25	24	25	23	22	10	13	19	27	12	21	23	53	34	28	36	44	43	24	39	25	27	28	42	45	23	48	40	49	54	39	39	56	60	22	41	43	40	62	40	32	68	82	84	74	74	73	51	76	69	84	65	80	82	76	0	0	73	84	64	87	83	82	0	87	0	0	55	102	97	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	1	2	1	3	1	2	1	1	1	1	1	1	3	3	2	1	2	1	2	2	2	2	2	2	1	2	2	2	1	2	1	3	2	1	2	1	1	1	2	1	2	2	1	2	1	1	3	1	1	3	1	2	1	2	2	1	2	1	1	2	3	1
3500	-903.900894269387891	-902.083033920717980	-1.817860348669954	0.000010278111264	0.000019348120996	1.882458800016337	0.646925917603389	4	0	10	14	19	17	22	21	19	25	27	24	22	26	24	28	28	24	25	27	28	26	28	32	31	31	30	35	38	37	30	39	40	26	26	31	33	37	34	31	38	36	40	34	38	38	37	41	42	46	48	43	36	44	46	42	43	36	44	40	37	49	45	50	42	45	42	50	44	44	48	49	44	41	49	52	61	62	57	47	58	56	57	59	60	57	58	59	61	53	56	61	63	64	62	65	63	65	65	70	68	62	79	68	2	0	2	3	3	3	9	3	3	4	8	4	5	6	3	4	5	6	4	9	8	9	12	34	35	20	12	22	44	22	22	22	7	13	15	34	35	23	22	16	13	19	27	12	37	12	53	34	22	48	29	43	24	30	25	46	28	19	45	27	34	74	57	54	32	30	46	60	49	14	46	74	40	40	39	68	82	64	62	46	62	51	76	54	64	32	80	82	83	0	0	73	75	64	87	83	88	0	87	0	0	14	102	77	1	1	1	1	2	1	1	1	2	1	1	2	1	2	3	2	2	2	2	2	2	1	1	2	1	1	2	2	1	2	1	2	4	1	1	1	2	2	2	1	1	2	1	2	1	4	1	3	2	1	2	1	1	1	3	1	1	1	1	2	2	1	1	1	1	2	1	2	1	3	1	3	2	2	2	1	1	2	2	1	2	1	1	2	1	4	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	4	2	1
4000	-921.904264552553400	-920.261177649988213	-1.643086902565235	0.000010872361943	0.000015845684172	1.457427949358809	0.553412035284641	12	7	15	17	21	11	23	20	20	22	26	26	26	23	29	34	22	25	24	25	31	26	29	30	31	28	30	37	37	39	33	39	39	25	35	32	35	36	35	41	36	38	42	40	39	48	37	43	38	43	46	47	32	41	45	48	38	42	44	36	47	46	45	51	40	42	46	51	42	47	51	47	50	53	45	46	60	61	56	54	59	59	55	59	57	46	58	51	64	57	54	61	57	62	63	68	61	66	69	65	64	68	79	76	2	0	6	6	6	2	9	6	6	4	17	4	17	3	17	10	3	8	4	7	14	9	12	34	14	20	12	22	27	22	22	22	9	8	25	34	21	23	22	16	5	19	23	29	25	23	53	36	22	36	44	43	34	39	37	43	22	42	45	17	24	40	49	54	22	39	38	60	49	41	23	16	62	72	66	60	88	63	40	72	73	88	76	54	64	65	80	51	83	0	0	73	32	64	87	89	88	0	95	0	0	33	102	97	1	1	1	1	2	1	1	2	3	1	1	2	1	2	2	2	1	1	2	1	2	1	1	1	2	1	2	3	1	2	2	2	3	1	1	2	1	2	2	1	4	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	2	1	2	2	4	2	2	2	2	1	2	2	2	2	4	3	1	2	1	2	2	3	4	1	2	2	2	3	1	2	1	1	2	1	1	3	3	2	1	1	2	1	1	1	1	4	2	2
4500	-879.765327677575215	-878.122982228097271	-1.642345449477979	0.000012635732913	0.000018392952678	1.455630061555970	0.677636016396883	10	4	14	18	23	12	24	20	19	21	26	26	22	25	18	33	25	27	22	26	31	26	31	30	26	32	30	36	39	35	33	37	39	29	36	30	30	37	30	37	38	31	42	34	37	45	36	39	33	41	49	46	39	44	45	36	42	45	43	40	44	49	46	49	43	41	47	48	42	47	49	44	49	46	50	45	61	63	58	47	52	59	53	59	55	53	58	51	61	57	55	55	61	62	62	58	63	64	66	70	68	69	77	71	2	0	6	3	3	1	9	3	6	4	5	10	6	15	6	4	6	5	4	9	6	9	12	34	8	20	12	39	44	39	22	39	9	13	25	13	25	23	22	27	13	19	23	12	37	38	36	34	39	36	29	43	47	30	35	23	32	19	45	12	34	40	32	54	30	30	56	60	39	41	43	40	40	40	28	60	88	64	40	40	73	88	76	54	54	65	80	51	83	0	0	73	75	64	87	83	88	0	95	0	0	91	102	97	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	3	1	1	1	1	1	2	1	1	2	2	2	2	1	2	2	1	1	1	2	3	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	2	2	2	2	1	2	2	2	1	2	1	2	2	3	2	1	2	2	2	1	3	2	1	2	1	1	1	2	2	1	2	2	1	1	1	1	2	2	1
