step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.20040	1.00000	0.75362	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.34800	0.91600	0.74965	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99200	0.36300	0.89400	0.74829	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99200	0.35467	0.83000	0.74574	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99000	0.35750	0.74000	0.74525	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97400	0.35720	0.60400	0.74374	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97200	0.35833	0.50800	0.74235	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.96000	0.36229	0.40400	0.74233	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.94400	0.35800	0.40100	0.74223	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.91000	0.36022	0.39467	0.74259	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.87400	0.35800	0.38950	0.74261	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.85800	0.35582	0.39160	0.74222	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.91600	0.35367	0.38833	0.74208	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.93200	0.34800	0.38714	0.74242	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.86600	0.34357	0.38625	0.74267	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.78200	0.34253	0.39000	0.74287	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.70800	0.33750	0.39140	0.74322	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.61000	0.33412	0.39218	0.74377	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.45200	0.33289	0.39200	0.74418	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.46200	0.33032	0.39338	0.74484	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.46533	0.32690	0.39314	0.74501	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.46200	0.32686	0.39107	0.74520	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.47120	0.32482	0.39225	0.74535	0.147789188003540	0.666666666666667	0.170859375000000	0
