step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106
1	-5110.125520937825968	-5108.663438853307525	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.824504982866513	2	0	15	5	5	12	15	18	15	21	23	19	22	22	32	25	33	27	26	28	34	29	33	31	34	35	36	35	40	34	33	35	35	33	38	41	38	43	48	42	49	50	49	51	46	53	48	56	53	58	58	53	53	60	58	61	63	61	58	62	61	60	58	64	68	61	59	62	64	69	62	72	64	64	65	64	63	66	65	65	65	70	66	65	69	71	76	71	69	73	73	74	73	82	81	83	80	83	87	85	90	91	96	99	96	96	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	1	1	2	3	3	3	4	4	3	4	4	6	4	6	5	5	5	6	5	6	5	6	6	6	6	7	6	6	6	6	6	7	7	7	7	8	7	8	9	8	9	8	9	8	10	9	10	10	9	9	10	10	10	11	10	10	11	10	10	10	11	12	10	10	11	11	12	11	12	11	11	11	11	11	11	11	11	11	12	11	11	12	12	13	12	12	12	12	13	12	14	14	14	14	14	15	14	15	15	16	17	16	16
500	-1421.061380812118841	-1419.252806970758229	-1.808573841360675	0.000010025557491	0.000018643777891	1.859625054028682	0.253992083509006	2	0	15	3	7	6	11	19	16	16	22	18	21	21	24	22	34	27	29	28	27	24	23	33	20	36	36	36	39	34	24	33	32	21	36	39	36	43	36	26	45	35	33	50	44	51	44	58	40	48	55	39	52	58	53	60	63	61	57	61	61	59	60	63	68	59	57	64	63	69	60	73	66	62	63	64	64	65	63	65	64	66	67	51	70	73	75	73	70	73	75	73	65	81	77	84	79	83	90	69	92	89	97	100	95	89	2	0	1	2	1	4	6	6	6	6	4	7	6	10	10	7	22	10	15	15	12	8	14	18	10	12	23	12	20	11	25	25	16	10	14	21	32	28	31	31	10	31	40	37	16	27	37	41	40	34	42	37	21	49	42	29	42	49	42	34	51	52	53	36	52	11	49	42	28	41	40	75	40	49	34	51	49	40	52	50	42	26	49	34	11	16	40	50	26	73	49	69	43	43	50	34	21	40	84	0	100	93	84	100	93	0	1	1	2	1	1	1	2	3	2	2	3	1	2	1	1	3	2	2	2	2	2	1	1	2	1	3	3	3	3	3	2	2	2	1	2	2	1	2	2	1	5	3	2	2	3	3	2	4	2	7	2	1	2	2	6	2	4	5	5	9	1	4	2	3	9	4	3	8	5	4	9	2	10	3	8	2	2	7	6	4	9	5	7	8	8	9	12	4	6	2	9	4	7	10	6	13	13	15	11	1	14	8	11	14	8	1
1000	-1265.253561940655118	-1263.668848061878407	-1.584713878776722	0.000010022261760	0.000013180626178	1.315134896023125	0.268110522802362	2	-3	8	1	-1	7	15	16	14	15	11	11	22	24	30	24	31	23	23	18	31	27	30	28	22	25	32	29	39	33	27	37	31	25	40	37	39	43	46	30	48	35	35	52	40	50	46	55	43	56	47	41	47	59	59	62	63	52	55	58	61	52	55	62	70	61	60	58	66	69	60	69	63	59	62	63	57	66	67	65	66	73	63	56	69	70	76	73	68	73	74	74	63	82	77	83	82	85	85	69	93	91	95	102	94	93	2	0	2	2	2	4	6	6	6	6	6	6	6	10	20	12	22	10	20	10	12	11	8	18	20	12	14	16	20	17	25	25	26	10	20	16	32	28	31	31	29	31	40	37	21	34	32	41	43	34	42	32	45	43	51	48	51	49	51	34	51	52	53	16	52	29	49	42	21	48	58	60	43	49	34	61	49	74	62	46	42	89	43	46	16	45	58	50	26	73	49	85	49	43	60	34	36	74	60	0	100	93	84	100	93	0	1	1	2	1	1	2	2	2	2	1	1	1	2	2	3	2	1	1	1	1	2	2	3	1	1	2	3	1	4	1	2	2	1	2	3	2	1	2	2	1	2	2	1	2	2	5	2	1	2	6	2	1	1	2	4	2	3	2	1	8	3	2	1	6	8	3	3	7	6	2	2	3	7	3	11	1	4	1	4	2	8	1	7	2	11	4	5	3	6	2	7	1	4	9	3	12	10	8	7	1	14	7	6	13	7	1
1500	-1182.701684840824555	-1180.723509883662473	-1.978174957162032	0.000010020959240	0.000022899933306	2.285203717379115	0.429282227519599	1	-2	14	1	5	5	10	13	16	18	11	20	20	22	29	24	34	22	24	26	27	23	27	32	28	35	37	32	39	33	30	33	32	31	40	41	38	37	48	42	44	38	47	49	43	48	44	55	54	58	43	50	49	58	59	47	58	57	60	63	60	52	57	64	71	58	58	60	64	68	61	69	60	67	63	64	61	64	56	67	67	71	54	65	61	68	75	72	70	75	69	74	72	83	74	81	78	79	83	69	92	90	97	99	97	95	2	0	1	2	1	4	6	6	8	8	4	7	8	10	20	12	22	10	8	10	12	4	14	18	20	21	23	12	20	22	25	25	16	23	15	21	32	16	31	31	29	31	40	37	21	34	37	56	43	34	42	47	45	49	42	41	51	83	57	34	51	52	53	85	52	45	43	42	45	56	58	84	67	58	34	68	83	71	62	46	42	69	31	60	21	69	49	60	69	73	43	85	74	43	72	8	12	87	84	0	100	98	84	100	87	0	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	2	1	2	1	2	2	3	2	1	1	2	1	1	2	4	1	2	3	2	1	2	2	3	3	3	1	2	2	5	2	1	2	1	5	1	3	1	1	6	3	1	1	1	5	2	2	4	4	3	1	1	1	2	8	1	1	1	1	3	8	2	5	1	5	2	3	2	1	2	4	3	1	5	1	10	7	1	4	1	14	4	5	8	6	1
2000	-1082.953649954399907	-1081.147513497859336	-1.806136456540500	0.000010231374337	0.000018965276972	1.853639242157127	0.404659376726836	2	-2	18	7	5	10	15	16	13	22	24	20	20	16	30	25	31	25	24	24	29	24	28	33	36	37	31	32	38	36	33	35	33	28	38	40	39	44	49	35	46	37	47	49	46	50	42	57	53	49	43	52	48	58	59	62	61	57	53	62	58	59	57	52	66	47	59	57	66	65	62	72	66	63	66	62	57	65	63	62	66	72	66	68	58	67	76	70	62	74	72	72	68	80	80	84	76	80	87	72	87	90	98	100	98	95	2	0	1	1	1	4	6	6	6	14	4	7	8	6	20	12	11	14	10	10	16	4	10	18	15	16	23	16	20	17	15	14	12	14	14	16	32	36	31	31	15	31	40	32	16	27	37	41	43	34	42	47	36	40	59	48	61	43	51	50	51	52	53	21	52	22	43	51	85	48	43	88	54	43	34	68	43	71	62	46	51	85	40	60	45	85	93	60	85	73	67	89	54	77	72	60	89	93	96	0	66	98	84	100	98	0	1	1	3	1	1	1	1	1	1	2	3	1	1	2	1	2	1	2	1	1	1	4	1	1	1	2	1	2	2	2	1	2	2	2	5	4	1	1	3	1	2	1	2	2	3	4	1	2	1	2	1	2	1	4	1	1	1	2	2	3	3	2	2	4	2	5	3	3	2	2	3	1	1	3	9	1	2	1	1	2	6	2	4	1	2	2	1	2	1	2	3	1	3	2	2	6	3	2	1	1	12	3	6	6	4	1
2500	-1021.938901781556069	-1020.383820558545153	-1.555081223010922	0.000010341305163	0.000012842583178	1.241872566007832	0.531007330046671	1	-2	13	2	2	12	12	20	14	18	8	17	23	21	32	21	33	22	26	23	24	27	29	30	30	32	34	27	34	32	34	31	31	36	37	40	38	43	40	41	46	41	46	52	45	53	45	55	52	53	46	50	51	56	56	60	64	55	54	61	60	56	56	51	68	63	57	61	63	67	62	70	64	62	63	64	57	66	63	64	64	64	66	59	55	63	76	68	68	72	72	74	71	82	80	82	74	78	86	71	91	85	93	98	94	95	2	0	1	2	2	11	1	7	6	6	4	7	8	10	20	12	22	10	20	6	16	4	14	18	20	16	23	21	20	22	20	20	21	27	29	21	32	28	31	31	15	31	40	37	36	34	37	41	43	34	42	47	36	49	59	48	51	49	51	50	51	52	53	21	52	17	43	59	85	56	67	60	43	58	50	61	49	67	62	50	51	85	43	50	64	85	93	60	82	73	83	89	58	67	88	72	89	93	96	0	100	98	84	100	102	0	1	1	2	1	1	1	3	1	1	1	2	1	1	1	2	1	2	1	1	2	1	2	1	2	1	2	2	1	2	1	2	1	2	1	1	2	1	3	2	1	2	1	1	3	2	3	1	2	1	3	1	1	2	1	1	2	3	1	2	2	3	2	1	5	1	3	2	1	2	2	1	2	4	2	2	1	2	2	1	2	4	2	4	2	1	2	1	1	1	1	1	1	4	5	2	2	1	1	1	1	10	2	4	7	3	1
3000	-960.283685345718936	-958.814026568841882	-1.469658776877017	0.000010412374762	0.000010629803337	1.020881746975097	0.670843359468449	0	-4	11	1	1	5	9	11	10	20	14	21	14	22	31	26	34	28	21	16	31	27	26	32	28	34	36	36	38	35	34	35	34	34	37	40	38	44	39	40	43	48	46	52	43	48	42	52	49	57	50	52	48	59	58	57	51	55	55	58	61	60	52	57	65	60	55	63	66	70	61	72	64	61	64	67	61	63	67	59	66	64	55	65	58	70	67	72	71	71	71	71	70	81	75	81	78	79	88	69	91	85	94	101	96	97	2	0	1	2	2	4	6	6	6	8	4	7	8	10	20	12	22	10	20	8	16	11	14	18	20	21	23	16	15	22	25	25	12	23	15	26	32	28	31	31	35	39	40	37	26	34	37	41	43	46	42	47	26	67	51	48	42	43	51	50	51	52	53	45	52	11	43	59	82	56	58	60	83	58	60	61	83	71	52	46	68	85	43	60	45	85	71	60	82	73	67	82	87	74	60	84	92	93	96	0	100	98	96	100	102	0	1	1	1	1	1	1	1	2	1	1	3	2	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	2	2	2	1	1	1	2	1	2	1	1	1	2	1	3	1	3	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	2	5	2	2	1	2	2	3	2	2	1	1	1	1	1	2	1	2	2	1	2	2	2	2	1	1	3	1	1	3	3	2	2	1	2	1	9	1	2	7	2	1
3500	-969.831446183686808	-968.234559161768516	-1.596887021918301	0.000010490525362	0.000014109532813	1.344978666574391	0.627697281297439	1	-6	14	6	3	8	12	19	16	20	19	16	16	23	22	23	35	22	27	29	29	24	27	29	32	31	33	31	39	33	34	27	32	35	37	39	40	44	46	43	50	50	46	51	47	51	46	57	53	55	53	52	46	57	55	54	56	55	55	61	61	61	56	64	67	56	55	63	59	70	55	73	63	62	66	63	55	67	61	64	66	67	63	66	55	69	65	67	70	75	72	73	71	84	83	80	79	85	87	69	90	92	97	99	89	92	2	0	1	1	2	4	6	6	6	6	4	7	6	10	10	12	30	8	15	15	12	4	10	18	15	16	23	12	32	22	25	15	21	23	20	16	32	28	31	35	29	31	40	47	36	34	37	56	43	46	42	47	36	43	42	41	42	43	51	50	51	52	53	45	52	11	43	59	85	56	49	88	67	58	60	61	49	87	52	46	59	69	43	60	36	69	71	60	85	73	83	86	87	91	88	84	92	93	96	0	100	98	96	100	98	0	1	1	2	1	1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	2	3	2	2	1	2	1	3	3	2	1	1	1	2	2	3	3	2	2	1	2	3	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	2	2	2	2	6	2	2	1	3	1	1	1	1	2	1	1	1	2	2	2	2	3	1	2	2	2	2	2	2	1	1	1	1	3	2	1	3	2	1	9	2	3	6	1	1
4000	-938.847855346610345	-937.147908948434861	-1.699946398175489	0.000011426581520	0.000018226477030	1.595094473254680	0.602912107681088	3	-4	16	7	7	9	13	15	14	20	22	19	20	24	30	26	34	28	26	24	35	32	27	32	34	32	34	36	34	30	33	30	33	31	38	38	41	43	47	42	44	49	47	51	41	53	44	58	52	59	53	52	50	59	57	51	63	60	57	62	59	58	56	61	68	52	59	59	62	64	61	74	64	65	67	65	64	67	66	61	64	69	55	65	60	71	73	71	70	70	71	73	70	78	79	77	80	83	83	72	91	91	95	100	87	95	2	0	4	1	1	4	6	6	6	7	6	7	8	10	20	12	22	14	20	10	12	11	14	18	20	12	23	26	20	4	32	20	12	23	20	26	32	28	31	31	15	39	40	37	36	34	37	56	40	46	42	47	45	83	51	41	51	83	51	50	51	52	53	36	62	30	49	59	85	56	83	60	67	58	60	61	67	58	62	46	68	69	43	60	26	85	93	60	69	73	49	89	71	71	60	84	92	93	72	0	100	105	99	100	98	0	1	1	3	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	3	2	1	1	1	2	1	1	2	4	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	4	1	2	3	2	1	1	2	1	2	1	2	2	1	1	1	2	1	3	2	3	2	1	1	2	2	2	1	1	2	1	1	1	1	2	1	2	2	1	2	1	1	2	1	2	2	1	1	3	2	2	1	3	1	1	7	1	2	6	1	1
4500	-911.976565860089636	-910.560720499195099	-1.415845360894533	0.000014261581001	0.000012301207293	0.862541627906921	0.616085078078815	3	0	15	7	4	12	16	14	16	22	21	21	22	19	27	25	32	28	23	29	36	26	28	33	33	34	35	31	32	36	32	37	32	31	36	41	39	44	47	41	49	37	49	51	41	52	46	57	52	56	54	51	50	57	57	53	61	55	59	59	57	62	60	55	67	60	54	64	62	66	59	69	64	64	66	65	64	64	64	61	62	68	62	63	59	71	72	69	67	72	74	74	68	81	78	78	77	81	79	69	91	91	93	97	95	95	2	0	1	1	2	4	6	6	6	14	4	7	6	6	14	12	22	14	14	14	12	11	14	18	15	16	20	12	15	17	15	25	16	23	29	16	32	21	31	31	35	31	40	37	21	34	37	56	40	46	42	47	26	43	51	41	51	43	51	50	51	52	53	21	52	64	40	51	85	56	58	60	43	58	60	61	43	71	62	46	59	69	49	60	64	69	93	60	69	73	49	89	58	74	60	84	92	93	88	0	100	98	95	100	102	0	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	1	2	2	1	1	1	2	1	2	2	1	1	1	1	2	1	2	2	3	2	1	2	2	1	3	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	2	1	3	2	1	2	3	1	3	1	2	2	2	2	2	2	1	1	2	1	1	2	1	1	2	1	3	1	2	3	1	2	3	3	2	1	2	1	1	7	2	2	5	1	1
