step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
1	-228.645576799481205	-235.501064750440577	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.174211502957216	-2	10	14	13	25	25	23	27	25	29	33	38	56	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	5	5	4	5	5	5	6	7	10
500	-112.778288695959787	-119.633776646919159	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.219274905181708	-6	11	14	13	20	24	22	26	20	28	35	38	56	0	1	1	2	3	2	5	3	4	7	3	6	0	1	3	4	1	1	1	1	2	1	2	4	1	1
1000	-107.370289453035554	-114.225777403994925	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.316651670620160	-2	8	9	15	24	24	23	20	25	31	31	34	50	0	1	1	3	4	3	4	3	4	7	8	11	0	1	3	1	1	2	2	1	1	2	1	2	1	1
1500	-92.107820433313535	-98.963308384272906	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785148394124694	0	10	14	13	16	20	22	24	24	27	30	34	48	0	1	2	2	4	3	5	6	5	7	3	8	0	1	1	1	1	1	2	1	1	1	1	2	1	1
2000	-99.160438710393137	-106.015926661352509	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724098800379547	-6	6	16	10	16	21	22	20	26	29	31	36	45	0	1	2	2	4	2	5	3	5	7	6	11	0	1	1	2	1	2	2	1	1	1	1	2	1	1
2500	-96.470421509755340	-103.325909460714712	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.972682408644895	-1	8	16	13	24	26	22	20	27	29	29	40	54	0	1	2	2	4	8	4	3	7	7	8	11	0	1	2	1	1	1	1	1	1	2	1	1	1	1
3000	-85.188066709477127	-92.043554660436499	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.847087994341714	-5	9	15	12	18	22	23	23	24	29	33	36	50	0	1	2	2	4	3	5	3	5	7	6	11	0	1	2	1	1	1	1	1	2	1	1	1	1	1
3500	-96.134572879432937	-102.990060830392309	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.773634567362564	-4	5	14	10	15	20	18	29	26	30	33	38	52	0	1	2	2	4	3	5	6	5	7	6	11	0	1	2	2	1	1	1	1	1	1	1	3	1	1
4000	-97.128279509454700	-103.983767460414072	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657481225872631	-4	4	14	7	19	20	24	18	23	27	30	37	55	0	1	2	2	4	2	5	3	4	7	8	11	0	1	2	1	1	3	3	1	1	3	1	2	1	1
4500	-79.499530898505554	-86.355018849464926	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.895028360020639	-1	8	14	13	20	21	24	27	23	28	34	36	52	0	1	2	2	4	3	5	6	5	7	8	11	0	1	1	1	1	1	1	1	1	1	1	1	1	1
5000	-90.494021690248886	-97.349509641208257	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670249448952303	-1	5	14	13	21	27	24	29	21	29	34	37	54	0	1	2	2	4	3	4	6	4	7	8	6	0	1	1	1	2	1	2	1	1	1	1	1	1	1
5500	-84.199733370649312	-91.055221321608684	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.791873462175304	-1	8	12	13	21	22	24	26	25	28	33	36	51	0	1	2	2	4	3	5	3	5	7	8	11	0	1	2	1	1	1	2	1	2	1	1	1	1	1
6000	-95.891171571994363	-102.746659522953735	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.575010269493338	-3	5	15	13	25	22	21	25	27	23	32	38	54	0	1	2	2	7	3	4	3	7	7	8	8	0	1	2	1	2	1	2	2	2	1	1	2	2	1
6500	-82.129585580793730	-88.985073531753102	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762531929279736	-2	10	15	13	20	22	23	26	23	27	33	38	58	0	1	2	2	4	3	5	3	5	7	8	11	0	1	2	1	1	1	1	1	2	1	1	1	1	1
7000	-95.729210863276720	-102.584698814236091	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736359958077252	-3	10	14	14	22	24	26	24	26	28	30	35	52	0	1	2	2	4	3	5	2	5	7	3	6	0	1	1	1	1	1	2	1	2	1	1	2	3	1
7500	-90.932787448907661	-97.788275399867032	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.812595497756991	-1	11	16	14	22	22	25	25	25	26	29	33	54	0	1	2	2	4	3	5	6	5	7	8	8	0	1	1	2	1	1	1	1	1	1	1	1	1	1
8000	-99.631479032181531	-106.486966983140903	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.714835546030124	0	9	15	12	21	23	25	24	23	27	31	38	50	0	1	2	2	4	3	5	3	5	7	3	8	0	1	2	1	1	2	2	2	3	1	1	2	2	1
8500	-100.481062636662870	-107.336550587622241	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.617522929149479	0	6	15	10	25	24	24	20	19	30	26	37	57	0	1	2	2	4	8	9	2	4	7	8	3	0	1	1	2	1	2	1	2	2	1	1	1	3	1
9000	-90.484463111797012	-97.339951062756384	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.730498965885395	-2	6	9	11	18	23	23	29	25	26	33	38	53	0	1	2	2	4	2	5	3	5	7	8	11	0	1	1	1	1	1	2	1	3	1	1	1	1	1
9500	-95.417224491868268	-102.272712442827640	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710637272098277	-2	8	13	11	18	17	23	26	25	30	30	33	55	0	1	2	2	4	3	5	3	5	7	8	6	0	1	1	2	1	1	1	1	2	2	1	1	2	1
10000	-93.847397732740703	-100.702885683700075	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.826111751754137	0	6	16	11	21	16	25	22	21	29	27	34	54	0	1	2	2	4	2	5	3	4	7	8	8	0	1	1	2	1	2	2	1	1	1	1	1	1	1
10500	-94.520900171994626	-101.376388122953998	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.550644175620699	-1	8	15	13	18	22	25	24	26	31	35	39	57	0	1	2	2	4	3	5	6	4	7	8	3	0	1	1	1	1	1	1	1	1	3	1	2	3	1
11000	-97.060525663139344	-103.916013614098716	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.860465566507250	-4	10	13	15	18	25	21	26	20	25	28	38	56	0	1	1	2	4	3	5	2	5	7	8	6	0	1	2	2	1	1	2	1	2	1	1	1	1	1
11500	-99.964934299115768	-106.820422250075140	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.477282834095316	-6	6	14	13	18	24	23	25	24	29	26	37	55	0	1	2	2	4	2	5	3	5	7	1	8	0	1	2	1	1	1	2	1	2	1	2	6	2	1
12000	-94.963382993673960	-101.818870944633332	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542372920909124	-9	7	14	12	21	23	25	21	21	31	31	38	51	0	1	2	2	4	3	5	3	4	7	8	11	0	1	3	1	1	1	1	1	1	2	2	2	1	1
12500	-83.994243028939337	-90.849730979898709	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.974871759482098	-3	6	12	13	19	18	22	27	20	29	32	35	53	0	1	2	2	4	3	5	6	5	7	8	11	0	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-86.382309642168821	-93.237797593128192	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748510482523870	-3	9	14	11	18	20	22	27	26	30	34	37	55	0	1	2	2	4	3	5	6	5	7	8	11	0	1	2	1	1	1	1	1	2	1	2	1	1	1
13500	-90.108757899634469	-96.964245850593841	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.802394267933344	0	6	11	10	20	24	25	28	26	30	32	34	54	0	1	2	2	4	3	5	6	5	7	2	8	0	1	1	1	1	2	2	1	1	1	1	3	1	1
14000	-97.628453879375371	-104.483941830334743	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565872515719522	-7	9	15	12	20	27	25	25	26	28	34	39	57	0	1	2	2	2	3	5	3	4	7	8	6	0	1	3	1	1	1	3	1	2	2	1	2	2	1
14500	-85.804985796838025	-92.660473747797397	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.999562470571938	-3	7	14	12	18	19	25	24	23	28	30	31	59	0	1	2	2	4	3	5	3	5	7	8	8	0	1	1	1	1	1	1	1	1	1	1	1	1	1
15000	-93.402631557538683	-100.258119508498055	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646796073041530	-7	7	15	12	20	22	22	20	25	28	33	37	48	0	1	2	2	4	3	5	3	4	7	6	8	0	1	3	1	1	2	1	1	1	2	1	2	3	1
15500	-102.226362688635518	-109.081850639594890	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688147081045927	-2	10	14	12	22	25	21	29	23	28	34	38	57	0	1	2	2	4	3	2	6	4	7	8	6	0	1	3	1	1	3	1	1	1	3	2	2	1	1
16000	-99.631973169766155	-106.487461120725527	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706593455078978	-5	8	16	11	19	22	21	22	24	30	31	35	55	0	1	2	2	4	3	5	2	5	7	6	6	0	1	1	2	1	1	1	1	1	1	1	3	2	1
16500	-98.242778638516299	-105.098266589475671	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734728349732254	-5	4	8	14	18	22	22	23	25	27	36	31	57	0	1	2	3	4	3	5	3	4	7	12	6	0	1	1	1	1	1	2	1	2	2	1	1	2	1
17000	-80.443690821911190	-87.299178772870562	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.996361559538249	-5	9	14	14	22	23	24	28	21	27	33	37	53	0	1	2	2	4	3	5	6	4	7	8	11	0	1	1	1	1	1	1	1	1	1	1	1	1	1
17500	-96.044327127717224	-102.899815078676596	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.747322591743207	-1	5	10	11	19	25	23	17	26	28	29	38	56	0	1	2	2	4	2	5	3	5	7	8	6	0	1	1	1	1	1	3	1	2	2	1	2	2	1
18000	-85.626907691452246	-92.482395642411618	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.825399349946019	-2	8	13	12	19	21	22	27	21	29	34	34	50	0	1	2	2	4	3	5	6	5	7	8	8	0	1	1	1	1	1	1	1	1	1	1	2	1	1
18500	-102.942132511756967	-109.797620462716338	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727965137165566	-2	5	14	9	24	24	20	26	26	28	22	37	51	0	1	2	2	4	3	4	3	7	7	2	6	0	1	1	1	1	1	2	2	2	2	1	2	1	1
19000	-98.187501998393941	-105.042989949353313	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611415019022247	-4	12	14	15	19	23	21	24	23	25	33	35	52	0	1	2	2	4	3	5	3	5	5	6	11	0	1	1	1	1	1	1	1	1	1	1	2	1	1
19500	-103.329750962240354	-110.185238913199726	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585184356269777	-2	5	14	14	25	23	18	23	21	28	27	39	53	0	1	2	2	7	3	4	3	4	7	2	8	0	1	1	2	3	1	2	1	2	1	1	4	2	1
20000	-98.208652025945796	-105.064139976905167	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.796893363651081	-1	5	14	13	18	19	20	26	18	30	28	34	54	0	1	2	2	4	3	5	3	4	7	3	8	0	1	1	1	1	2	1	1	1	1	2	3	2	1
20500	-90.627220441715252	-97.482708392674624	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780529440877787	-2	6	15	12	19	19	23	27	22	29	31	36	58	0	1	2	2	4	3	5	3	5	7	6	8	0	1	1	2	1	1	1	1	2	1	1	2	2	1
21000	-92.553093198576875	-99.408581149536246	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.733770657021439	-3	8	11	12	18	20	21	25	24	31	31	37	56	0	1	2	2	4	3	5	3	5	7	6	6	0	1	1	1	1	1	2	1	2	1	1	2	3	1
