step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112
1	-12833.156426168188773	-12831.694344083669421	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.982041915934220	5	7	6	9	12	12	11	15	17	23	18	18	24	22	22	21	28	23	24	23	30	27	30	28	29	35	32	33	32	37	32	34	35	35	40	35	37	38	38	46	38	43	39	47	48	49	56	58	54	55	56	54	53	57	59	61	70	66	65	63	69	65	74	63	65	71	69	70	70	71	70	69	71	74	74	76	69	74	76	72	76	75	74	77	75	78	74	81	78	76	79	82	80	78	83	80	88	81	84	82	81	91	83	83	82	83	85	88	85	85	90	95	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	3	3	3	3	4	3	3	3	4	4	4	4	4	5	5	5	5	6	5	5	5	5	6	5	6	6	6	7	6	7	6	7	7	8	9	9	8	9	9	8	8	9	9	10	11	10	10	10	11	10	12	10	10	11	11	11	11	11	11	11	11	12	12	12	11	12	12	11	12	12	12	12	12	12	12	13	12	12	13	13	13	12	13	13	14	13	13	13	13	15	13	13	13	13	14	14	14	14	14	15
500	-1568.210513096996237	-1566.584386143521670	-1.626126953474653	0.000010002561004	0.000014166231201	1.416260415303006	0.193559361175566	-5	8	1	7	9	12	11	13	16	23	13	18	15	22	19	16	24	20	24	22	27	22	29	25	29	37	34	31	32	25	18	28	35	35	40	36	38	22	37	44	38	42	36	48	49	42	56	60	50	48	57	38	40	43	52	60	67	64	64	59	70	63	76	62	67	71	69	73	71	72	62	64	68	70	70	78	72	74	74	73	75	72	71	76	76	79	74	83	79	78	81	83	82	74	83	81	89	82	80	83	83	85	84	80	82	83	84	89	85	86	87	90	0	3	1	3	3	0	3	5	5	5	5	8	11	5	11	0	12	12	13	13	15	16	18	31	19	17	22	23	19	0	13	31	15	19	41	19	29	1	32	30	25	19	38	36	53	25	38	38	52	38	38	38	38	38	38	54	52	38	52	30	54	38	53	38	50	53	54	38	38	38	38	52	38	52	53	64	38	54	38	52	53	54	54	50	38	38	38	52	60	38	38	38	52	38	38	54	82	52	38	53	49	53	38	38	52	38	52	38	52	54	101	38	1	3	1	1	2	1	2	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	1	2	2	2	2	1	2	1	1	2	5	2	1	2	2	6	2	3	2	3	2	2	1	2	9	7	3	6	7	4	8	8	4	6	6	7	6	7	7	9	5	7	5	9	6	13	11	12	6	5	7	6	4	4	9	6	12	10	10	8	7	5	13	11	10	14	6	13	14	12	10	9	12	6	5	10	9	12	8	10	13	11	8	12	12	13	10	14	1	12
1000	-1468.421274444154051	-1466.661370659466684	-1.759903784687359	0.000010034432727	0.000017466038669	1.740610470346700	0.200114894474117	-2	6	1	10	5	10	10	9	20	21	13	17	18	22	20	19	27	21	22	24	31	29	25	29	27	36	34	34	31	30	21	34	30	35	34	32	36	22	40	45	38	40	42	44	48	45	55	48	53	54	57	39	41	42	61	60	68	60	62	65	68	65	67	58	67	72	64	73	65	72	72	69	69	73	72	70	71	73	74	70	76	76	75	76	75	70	72	82	80	75	81	79	81	79	85	75	87	82	85	82	81	89	83	79	85	85	86	87	77	83	90	94	0	3	1	2	3	0	3	5	5	5	8	8	11	5	8	0	12	12	13	13	15	16	18	13	19	17	22	23	25	0	13	31	15	19	25	25	29	1	32	30	35	34	38	36	54	44	38	38	53	48	38	38	38	38	48	52	53	38	45	48	53	48	53	38	48	53	52	38	38	38	48	63	38	52	63	58	38	67	38	52	53	54	52	58	38	38	48	52	48	38	38	38	54	38	38	54	100	53	48	54	54	53	38	38	59	51	53	38	54	54	110	73	1	1	1	1	1	1	2	1	2	3	1	2	2	3	3	1	3	1	1	2	3	1	1	2	2	2	1	2	1	1	1	2	2	2	1	1	1	5	2	4	1	1	3	2	2	1	6	6	2	2	8	4	5	6	2	4	5	8	4	2	6	5	5	6	3	9	4	13	12	12	4	1	8	7	1	3	8	2	12	6	6	9	4	4	12	9	8	12	6	13	14	12	7	10	12	6	1	7	8	10	6	11	13	10	5	5	13	12	7	10	2	6
1500	-1357.646167803482740	-1355.815020738349176	-1.831147065133537	0.000010028919464	0.000019207462189	1.915207541381560	0.230240608902375	-2	5	3	8	8	7	11	11	14	23	16	17	18	17	24	18	30	23	21	21	32	22	30	25	29	30	32	34	27	36	30	34	36	28	33	36	36	22	39	38	39	41	39	46	50	48	58	42	53	51	53	55	55	41	54	63	69	67	60	56	61	62	69	62	59	68	58	70	68	74	70	71	73	75	67	74	68	71	76	66	76	77	73	73	74	78	75	81	75	77	76	82	80	78	84	81	83	80	81	80	80	89	82	85	81	85	83	89	88	81	90	92	0	3	1	2	3	0	3	5	5	3	8	8	8	5	8	0	12	12	13	13	11	16	18	13	19	12	22	23	19	0	13	24	21	19	25	34	29	1	32	38	35	34	38	36	54	36	43	38	54	48	38	54	54	38	50	54	49	38	54	48	53	60	49	48	48	54	54	38	38	38	43	63	48	78	53	58	38	67	38	53	63	54	59	68	38	38	38	54	48	38	38	38	59	38	38	80	101	54	48	54	67	54	38	94	82	73	54	48	80	54	82	106	1	1	1	1	1	1	2	1	2	3	2	1	2	2	3	1	3	1	1	1	4	1	1	2	2	2	2	1	2	1	2	2	1	2	1	1	2	6	1	2	1	2	3	1	1	2	5	4	2	2	5	2	5	5	1	3	3	8	3	2	1	1	2	4	3	3	5	13	9	11	4	1	8	1	2	1	10	2	12	2	2	8	3	1	11	8	7	10	6	13	15	11	5	10	12	3	1	9	7	9	5	10	10	2	1	1	10	10	4	11	3	2
2000	-1299.546801649967165	-1297.876529623916213	-1.670272026051010	0.000010044742458	0.000015300887721	1.523273273102495	0.282254342576100	-1	5	3	10	7	11	12	11	18	18	14	16	19	24	18	21	22	25	21	24	29	27	28	27	28	35	32	34	30	38	27	31	36	32	32	34	38	23	40	47	36	42	37	42	49	50	54	44	55	56	53	54	52	42	60	63	70	65	63	60	64	66	76	63	67	73	63	71	65	69	70	66	70	75	65	74	67	72	76	72	77	75	72	78	76	73	75	83	78	76	79	83	77	77	80	80	83	83	82	84	79	88	79	78	81	76	86	87	83	85	89	94	0	3	1	2	3	0	2	5	5	8	5	8	11	10	8	0	12	12	13	13	15	16	18	13	19	12	22	23	19	0	13	31	21	19	25	25	29	1	32	30	35	34	38	25	54	36	38	38	54	48	48	54	54	38	50	49	52	38	49	51	53	51	53	48	60	61	54	38	38	38	60	53	48	59	53	68	38	59	38	67	72	83	59	62	38	38	38	54	58	38	38	48	80	51	38	80	82	54	48	59	82	61	48	77	82	73	54	38	96	49	101	106	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	4	1	1	3	2	4	1	1	2	1	2	1	1	2	1	1	2	5	2	1	1	2	2	3	2	2	5	3	4	3	2	2	1	3	1	2	3	7	2	2	3	2	3	3	2	1	4	11	5	11	3	3	7	3	2	1	10	1	10	2	1	1	1	2	11	10	6	11	4	11	15	7	1	7	12	1	1	8	6	5	1	6	10	2	1	1	10	9	1	8	2	3
2500	-1268.206662493103750	-1266.222461129978683	-1.984201363125059	0.000009983425027	0.000022968973194	2.300710741368349	0.342142648809140	-2	5	1	8	6	10	8	9	12	18	16	16	19	20	23	17	25	19	22	24	29	29	24	22	29	32	34	30	33	36	28	30	31	27	35	37	39	22	40	41	39	40	38	45	48	47	49	48	54	51	55	53	46	44	60	60	71	66	66	51	65	63	72	62	58	71	63	70	66	68	70	70	68	74	75	76	65	74	77	69	73	74	69	73	77	77	75	81	78	76	81	82	80	79	80	75	82	81	81	77	80	90	83	75	79	79	86	87	84	81	87	91	0	3	1	2	3	0	3	5	5	5	8	5	8	5	11	0	12	12	13	13	11	16	18	13	19	17	22	23	25	0	24	13	15	19	25	25	29	1	32	38	19	34	38	36	54	36	43	38	54	48	48	54	54	38	50	54	52	48	54	48	52	51	49	48	60	61	52	38	48	38	62	53	38	83	53	64	38	59	48	59	72	83	56	62	38	48	48	53	68	38	38	65	80	48	38	80	100	54	68	59	100	61	48	68	100	64	53	48	80	54	100	106	1	1	1	1	1	1	2	1	1	2	1	2	3	2	2	1	2	1	1	2	2	2	1	1	2	1	1	1	1	1	2	2	2	1	2	2	2	3	3	3	2	3	2	1	1	2	2	3	2	1	1	2	1	4	2	3	3	3	4	1	1	1	2	4	1	1	2	10	2	11	2	5	9	2	6	3	9	2	4	1	1	1	1	2	9	7	7	8	2	11	15	5	2	7	13	2	1	5	2	2	1	3	8	1	1	3	6	8	2	7	2	2
3000	-1226.982558403885378	-1224.893444506541982	-2.089113897343415	0.000010211304410	0.000026300753906	2.575650754245822	0.395308442268172	1	7	4	9	12	6	7	7	16	22	14	16	18	22	21	19	26	19	23	21	31	23	28	26	28	35	33	35	28	37	23	30	35	30	36	36	38	24	36	45	40	44	36	45	47	46	53	45	43	47	54	53	52	41	57	62	71	55	67	51	63	62	75	59	62	70	65	70	70	72	66	68	70	76	76	73	65	73	70	73	74	70	73	72	72	81	76	77	74	74	81	80	81	79	80	78	86	80	82	79	82	89	84	80	82	79	86	78	78	86	90	90	0	3	1	2	8	0	3	3	5	5	8	8	11	5	8	0	12	12	13	13	15	16	18	31	13	17	22	23	19	0	13	13	21	19	25	34	29	1	32	38	35	34	38	36	54	36	43	43	54	48	60	49	49	43	50	54	56	60	67	48	53	48	52	48	58	61	56	38	51	38	48	53	38	83	49	64	51	56	65	67	72	59	59	48	48	60	48	52	71	38	38	65	96	77	38	80	100	59	68	82	100	61	48	71	100	73	81	77	80	82	101	95	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	2	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	1	2	3	1	2	4	1	3	1	2	3	1	2	1	3	2	1	1	1	2	2	2	3	4	2	1	1	1	2	2	3	2	2	2	1	8	3	10	3	4	9	1	6	3	2	3	1	1	1	1	1	6	6	6	6	5	1	11	12	3	1	3	13	1	2	3	2	2	1	5	7	2	1	3	3	3	1	5	2	2
3500	-1138.585826627423103	-1136.925735557169219	-1.660091070253791	0.000010723632504	0.000016070724164	1.498626902565063	0.425748539394828	-5	7	1	11	7	12	12	13	15	21	18	17	15	17	21	16	23	25	22	23	30	26	29	28	30	36	32	34	30	35	18	30	33	35	32	33	35	26	37	46	38	41	34	49	43	41	58	48	55	54	54	52	53	50	58	62	73	69	62	57	62	61	71	62	66	70	65	67	62	71	71	69	70	76	69	73	60	67	75	69	74	67	69	77	77	74	76	82	77	78	79	82	73	71	83	81	87	82	85	76	81	90	84	84	81	80	86	87	85	87	88	92	0	3	1	3	3	0	3	5	5	5	8	8	5	8	11	0	12	12	13	13	15	16	18	31	19	17	22	23	19	0	13	31	15	25	19	25	29	1	32	30	35	34	38	34	43	36	38	30	52	48	48	54	54	45	50	54	52	77	54	48	54	77	53	48	77	61	59	38	51	38	77	53	38	83	61	64	60	59	65	59	63	59	59	94	70	58	48	75	71	38	38	79	80	77	38	80	100	83	91	82	100	66	65	91	100	73	81	91	96	82	101	106	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	2	1	3	1	1	1	1	1	1	1	2	2	2	2	1	2	6	2	3	1	1	2	2	1	2	4	2	1	1	2	1	1	1	1	2	3	2	2	2	1	1	3	2	2	2	1	8	1	10	2	2	9	2	1	2	1	1	2	2	1	1	1	2	2	1	6	3	1	10	11	1	1	2	13	2	2	2	1	2	2	3	5	1	1	2	3	1	1	4	2	2
4000	-1135.758081201521463	-1133.889962671080184	-1.868118530441323	0.000011300939274	0.000022679489237	2.006867631694537	0.429695373862557	-1	7	4	10	10	11	9	14	14	24	18	17	17	12	21	22	26	22	19	22	25	27	27	27	26	33	31	34	24	36	27	30	33	32	37	36	36	29	38	45	40	38	37	48	44	39	57	50	51	55	53	51	55	46	60	58	71	68	62	56	68	61	67	57	65	66	68	72	68	71	70	59	70	74	73	74	59	74	77	73	71	72	69	78	77	75	77	82	75	77	80	79	81	75	85	78	86	81	86	75	78	91	79	82	83	84	85	86	86	84	88	94	0	3	1	2	3	0	3	5	14	14	14	14	8	3	11	0	18	12	13	13	15	16	12	13	19	17	16	23	19	0	13	31	21	25	34	34	29	1	32	38	35	25	38	36	43	34	40	30	54	48	48	54	52	45	50	49	59	62	52	48	53	60	53	38	62	53	59	38	51	38	62	49	38	83	61	64	48	63	65	59	72	83	59	94	65	58	48	75	58	38	51	79	80	58	38	80	100	83	89	82	100	66	85	70	100	73	81	77	96	83	101	106	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	1	2	1	1	2	2	1	2	2	2	1	1	2	1	2	2	2	1	2	5	2	2	1	3	1	3	2	1	1	1	2	1	1	2	1	1	1	1	2	2	2	2	3	2	2	4	1	2	1	9	3	8	2	1	8	1	1	2	2	2	2	1	2	1	2	1	3	2	4	2	2	10	5	1	1	1	11	2	2	2	2	1	1	4	1	3	2	2	3	4	2	2	2	2
4500	-1084.305321046214203	-1082.617192294143933	-1.688128752070255	0.000012164846069	0.000019056097027	1.566488956729010	0.534079679090440	-3	7	3	9	6	11	7	11	12	21	13	16	16	19	21	13	24	20	24	23	29	27	29	29	28	34	29	32	29	37	25	33	35	31	34	35	38	34	39	44	37	42	39	47	40	50	56	50	55	54	55	55	53	46	60	62	65	64	63	63	64	55	73	56	65	71	64	70	71	72	63	66	70	75	66	74	68	75	77	67	69	74	67	77	74	77	74	79	72	74	80	84	80	69	82	74	88	80	84	78	82	91	80	80	83	82	85	88	86	83	90	94	0	3	1	2	3	0	3	5	5	5	8	8	11	8	5	0	12	12	13	13	15	16	18	31	19	17	22	23	19	0	13	31	21	25	25	25	29	1	32	30	35	34	38	25	38	36	43	30	54	48	48	54	54	45	50	49	49	62	49	51	52	48	53	38	71	53	49	38	77	38	62	53	38	83	53	64	60	59	65	67	72	83	67	94	65	58	77	53	77	38	71	79	96	58	60	80	110	74	90	83	100	66	85	68	100	73	81	90	96	100	100	106	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	2	2	2	1	1	2	1	1	1	1	2	1	2	1	2	1	2	8	2	2	1	3	1	2	2	3	3	1	2	1	2	2	2	1	1	1	1	1	1	2	2	1	3	3	1	3	2	6	1	9	2	3	6	2	2	3	2	2	2	1	1	1	1	2	2	2	1	4	1	7	2	2	1	1	5	2	1	2	2	2	1	4	1	2	1	3	3	2	3	1	2	1
