step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.17635	1.00000	0.75020	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.26800	0.94600	0.75329	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99000	0.27400	0.91200	0.75104	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98800	0.28467	0.87800	0.75116	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.98400	0.28850	0.80000	0.75205	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97200	0.28320	0.69200	0.75148	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.96200	0.28167	0.59800	0.75059	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.92800	0.28543	0.48400	0.75014	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.93800	0.28050	0.49000	0.75052	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.88800	0.28267	0.47400	0.75032	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.88600	0.28120	0.46800	0.75013	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.85400	0.27945	0.46760	0.75048	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.90200	0.28033	0.46433	0.75131	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.91400	0.27846	0.46771	0.75170	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.86800	0.27914	0.46325	0.75198	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.79000	0.27787	0.45867	0.75252	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.74400	0.27650	0.45660	0.75282	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.63000	0.27376	0.45745	0.75373	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.49800	0.27156	0.45650	0.75406	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.50800	0.27053	0.45662	0.75446	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.50800	0.26870	0.45771	0.75477	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.50250	0.26933	0.45707	0.75517	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.49640	0.26800	0.45563	0.75530	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.49333	0.26617	0.45424	0.75547	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.48857	0.26542	0.45678	0.75569	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.49550	0.26504	0.45558	0.75612	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.49311	0.26431	0.45470	0.75630	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.49420	0.26400	0.45362	0.75620	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.49164	0.26221	0.45445	0.75639	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.49300	0.26200	0.45383	0.75625	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.49446	0.26020	0.45308	0.75634	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.49386	0.25955	0.45376	0.75676	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.49200	0.26038	0.45300	0.75686	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.49238	0.25976	0.45311	0.75675	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.49271	0.26029	0.45279	0.75694	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.49256	0.26080	0.45434	0.75688	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.49453	0.26211	0.45393	0.75697	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.49440	0.26216	0.45387	0.75704	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.49400	0.26205	0.45381	0.75717	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.49373	0.26067	0.45309	0.75710	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.49278	0.26060	0.45265	0.75720	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.49208	0.26068	0.45166	0.75726	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.49224	0.26076	0.45194	0.75743	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.49085	0.26056	0.45119	0.75763	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.49022	0.26082	0.45168	0.75778	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.49000	0.26124	0.45159	0.75782	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.49028	0.26191	0.45175	0.75804	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.48913	0.26123	0.45171	0.75802	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.48942	0.26096	0.45200	0.75805	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.48938	0.26078	0.45116	0.75814	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.48994	0.26080	0.45095	0.75814	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.48988	0.26118	0.45164	0.75823	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.49114	0.26150	0.45204	0.75830	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.49306	0.26158	0.45162	0.75849	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.49200	0.26148	0.45179	0.75851	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.49184	0.26065	0.45204	0.75865	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.49133	0.26043	0.45264	0.75870	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.49030	0.26056	0.45298	0.75887	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.49093	0.26031	0.45358	0.75889	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.49119	0.26058	0.45321	0.75884	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.49167	0.26083	0.45289	0.75886	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.49209	0.26115	0.45284	0.75893	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.49222	0.26113	0.45279	0.75885	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.49222	0.26083	0.45281	0.75875	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.49191	0.26100	0.45334	0.75870	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.49217	0.26083	0.45369	0.75865	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.49261	0.26064	0.45420	0.75865	0.147789188003540	0.666666666666667	0.170859375000000	0
34000		0.49260	0.26075	0.45377	0.75870	0.147789188003540	0.666666666666667	0.170859375000000	0
34500		0.49286	0.26088	0.45339	0.75868	0.147789188003540	0.666666666666667	0.170859375000000	0
35000		0.49219	0.26058	0.45365	0.75872	0.147789188003540	0.666666666666667	0.170859375000000	0
35500		0.49230	0.26083	0.45431	0.75883	0.147789188003540	0.666666666666667	0.170859375000000	0
36000		0.49178	0.26034	0.45477	0.75894	0.147789188003540	0.666666666666667	0.170859375000000	0
36500		0.49120	0.26008	0.45406	0.75897	0.147789188003540	0.666666666666667	0.170859375000000	0
37000		0.49129	0.26025	0.45388	0.75903	0.147789188003540	0.666666666666667	0.170859375000000	0
37500		0.49070	0.26032	0.45453	0.75904	0.147789188003540	0.666666666666667	0.170859375000000	0
38000		0.49069	0.26029	0.45443	0.75905	0.147789188003540	0.666666666666667	0.170859375000000	0
38500		0.49071	0.25979	0.45423	0.75903	0.147789188003540	0.666666666666667	0.170859375000000	0
39000		0.49087	0.25951	0.45456	0.75904	0.147789188003540	0.666666666666667	0.170859375000000	0
39500		0.49131	0.25938	0.45431	0.75904	0.147789188003540	0.666666666666667	0.170859375000000	0
40000		0.49103	0.25914	0.45507	0.75917	0.147789188003540	0.666666666666667	0.170859375000000	0
40500		0.49095	0.25893	0.45500	0.75917	0.147789188003540	0.666666666666667	0.170859375000000	0
41000		0.49106	0.25877	0.45515	0.75923	0.147789188003540	0.666666666666667	0.170859375000000	0
41500		0.49197	0.25851	0.45474	0.75928	0.147789188003540	0.666666666666667	0.170859375000000	0
42000		0.49245	0.25855	0.45475	0.75924	0.147789188003540	0.666666666666667	0.170859375000000	0
42500		0.49230	0.25898	0.45464	0.75931	0.147789188003540	0.666666666666667	0.170859375000000	0
43000		0.49203	0.25878	0.45473	0.75938	0.147789188003540	0.666666666666667	0.170859375000000	0
43500		0.49217	0.25874	0.45485	0.75939	0.147789188003540	0.666666666666667	0.170859375000000	0
44000		0.49209	0.25837	0.45536	0.75944	0.147789188003540	0.666666666666667	0.170859375000000	0
44500		0.49169	0.25864	0.45568	0.75946	0.147789188003540	0.666666666666667	0.170859375000000	0
45000		0.49158	0.25840	0.45588	0.75941	0.147789188003540	0.666666666666667	0.170859375000000	0
45500		0.49142	0.25804	0.45600	0.75941	0.147789188003540	0.666666666666667	0.170859375000000	0
46000		0.49108	0.25809	0.45579	0.75944	0.147789188003540	0.666666666666667	0.170859375000000	0
46500		0.49077	0.25802	0.45593	0.75940	0.147789188003540	0.666666666666667	0.170859375000000	0
47000		0.49063	0.25800	0.45572	0.75940	0.147789188003540	0.666666666666667	0.170859375000000	0
47500		0.49018	0.25809	0.45627	0.75942	0.147789188003540	0.666666666666667	0.170859375000000	0
48000		0.49038	0.25764	0.45688	0.75950	0.147789188003540	0.666666666666667	0.170859375000000	0
48500		0.49058	0.25756	0.45671	0.75955	0.147789188003540	0.666666666666667	0.170859375000000	0
49000		0.49088	0.25757	0.45688	0.75959	0.147789188003540	0.666666666666667	0.170859375000000	0
49500		0.49064	0.25716	0.45689	0.75960	0.147789188003540	0.666666666666667	0.170859375000000	0
50000		0.49027	0.25709	0.45729	0.75962	0.147789188003540	0.666666666666667	0.170859375000000	0
50500		0.48988	0.25708	0.45753	0.75950	0.147789188003540	0.666666666666667	0.170859375000000	0
51000		0.48990	0.25695	0.45787	0.75958	0.147789188003540	0.666666666666667	0.170859375000000	0
51500		0.48958	0.25663	0.45808	0.75962	0.147789188003540	0.666666666666667	0.170859375000000	0
52000		0.48914	0.25643	0.45825	0.75960	0.147789188003540	0.666666666666667	0.170859375000000	0
52500		0.48890	0.25633	0.45855	0.75963	0.147789188003540	0.666666666666667	0.170859375000000	0
53000		0.48866	0.25619	0.45863	0.75966	0.147789188003540	0.666666666666667	0.170859375000000	0
53500		0.48888	0.25606	0.45858	0.75974	0.147789188003540	0.666666666666667	0.170859375000000	0
54000		0.48889	0.25596	0.45848	0.75981	0.147789188003540	0.666666666666667	0.170859375000000	0
54500		0.48927	0.25593	0.45871	0.75992	0.147789188003540	0.666666666666667	0.170859375000000	0
55000		0.48935	0.25629	0.45856	0.75991	0.147789188003540	0.666666666666667	0.170859375000000	0
55500		0.48890	0.25609	0.45877	0.75999	0.147789188003540	0.666666666666667	0.170859375000000	0
56000		0.48911	0.25631	0.45842	0.75998	0.147789188003540	0.666666666666667	0.170859375000000	0
56500		0.48947	0.25616	0.45881	0.75999	0.147789188003540	0.666666666666667	0.170859375000000	0
57000		0.48952	0.25641	0.45920	0.76008	0.147789188003540	0.666666666666667	0.170859375000000	0
57500		0.48930	0.25647	0.45931	0.76010	0.147789188003540	0.666666666666667	0.170859375000000	0
58000		0.48961	0.25628	0.45928	0.76020	0.147789188003540	0.666666666666667	0.170859375000000	0
58500		0.48956	0.25617	0.45925	0.76021	0.147789188003540	0.666666666666667	0.170859375000000	0
