step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	-nan	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.22645	0.85743	0.75017	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.37200	0.89800	0.74827	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.39200	0.89400	0.74576	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99000	0.38867	0.82200	0.74155	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99400	0.39700	0.72800	0.74049	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.98200	0.40000	0.59400	0.73854	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97400	0.40300	0.51000	0.73784	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.95800	0.40086	0.40000	0.73630	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.92200	0.39975	0.39200	0.73582	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.92400	0.39667	0.38800	0.73576	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.90200	0.39460	0.38350	0.73516	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.84200	0.39345	0.38000	0.73478	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.90000	0.39033	0.37700	0.73400	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.91600	0.38846	0.38086	0.73366	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.90400	0.38571	0.37950	0.73395	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.82600	0.38400	0.37800	0.73368	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.76600	0.37900	0.37440	0.73356	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.63600	0.37600	0.37255	0.73373	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.49200	0.37389	0.37183	0.73389	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.50800	0.37253	0.37108	0.73400	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.51600	0.37030	0.37029	0.73380	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.51700	0.36886	0.37173	0.73357	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.53200	0.36764	0.36950	0.73304	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.52733	0.36722	0.36847	0.73270	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.52714	0.36525	0.36578	0.73237	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.53275	0.36488	0.36432	0.73239	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.53244	0.36469	0.36480	0.73217	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.53120	0.36437	0.36495	0.73209	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.52945	0.36271	0.36600	0.73177	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.52833	0.36124	0.36513	0.73167	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.52631	0.36013	0.36300	0.73173	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.52657	0.35916	0.36384	0.73173	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.52587	0.35875	0.36546	0.73178	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.52638	0.35770	0.36681	0.73165	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.52647	0.35741	0.36764	0.73144	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.52856	0.35726	0.36807	0.73112	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.53011	0.35794	0.36780	0.73076	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.53060	0.35778	0.36716	0.73068	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.53257	0.35689	0.36575	0.73041	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.53245	0.35703	0.36661	0.73038	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.53209	0.35775	0.36571	0.73035	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.53425	0.35790	0.36469	0.73051	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.53288	0.35662	0.36483	0.73039	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.53369	0.35628	0.36405	0.73052	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.53548	0.35536	0.36332	0.73036	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.53421	0.35453	0.36297	0.73053	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.53414	0.35396	0.36465	0.73067	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.53420	0.35353	0.36356	0.73060	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.53484	0.35392	0.36371	0.73059	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.53500	0.35367	0.36326	0.73050	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.53533	0.35396	0.36268	0.73028	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.53506	0.35255	0.36204	0.73029	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.53526	0.35200	0.36217	0.73019	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.53472	0.35226	0.36234	0.73004	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.53362	0.35252	0.36217	0.73010	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.53237	0.35204	0.36233	0.73001	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.53246	0.35236	0.36288	0.72997	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.53235	0.35182	0.36263	0.73008	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.53229	0.35197	0.36265	0.73013	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.53314	0.35217	0.36181	0.73018	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.53367	0.35147	0.36085	0.73013	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.53391	0.35164	0.36156	0.73013	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.53458	0.35152	0.36189	0.73008	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.53430	0.35137	0.36225	0.73001	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.53379	0.35172	0.36190	0.72991	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.53433	0.35108	0.36153	0.72995	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.53482	0.35124	0.36127	0.73006	0.147789188003540	0.666666666666667	0.170859375000000	0
34000		0.53524	0.35107	0.36131	0.73008	0.147789188003540	0.666666666666667	0.170859375000000	0
34500		0.53537	0.35106	0.36126	0.73009	0.147789188003540	0.666666666666667	0.170859375000000	0
35000		0.53438	0.35133	0.36137	0.73000	0.147789188003540	0.666666666666667	0.170859375000000	0
35500		0.53362	0.35060	0.36178	0.73006	0.147789188003540	0.666666666666667	0.170859375000000	0
36000		0.53363	0.35056	0.36172	0.73005	0.147789188003540	0.666666666666667	0.170859375000000	0
36500		0.53335	0.35014	0.36209	0.73003	0.147789188003540	0.666666666666667	0.170859375000000	0
37000		0.53318	0.34962	0.36182	0.73008	0.147789188003540	0.666666666666667	0.170859375000000	0
37500		0.53284	0.34927	0.36162	0.73002	0.147789188003540	0.666666666666667	0.170859375000000	0
38000		0.53224	0.34939	0.36191	0.72992	0.147789188003540	0.666666666666667	0.170859375000000	0
38500		0.53142	0.34939	0.36177	0.72977	0.147789188003540	0.666666666666667	0.170859375000000	0
39000		0.53080	0.34917	0.36169	0.72983	0.147789188003540	0.666666666666667	0.170859375000000	0
39500		0.53066	0.34897	0.36178	0.72982	0.147789188003540	0.666666666666667	0.170859375000000	0
40000		0.53084	0.34904	0.36178	0.72972	0.147789188003540	0.666666666666667	0.170859375000000	0
40500		0.53146	0.34945	0.36159	0.72963	0.147789188003540	0.666666666666667	0.170859375000000	0
41000		0.53147	0.34921	0.36149	0.72965	0.147789188003540	0.666666666666667	0.170859375000000	0
41500		0.53145	0.34937	0.36150	0.72959	0.147789188003540	0.666666666666667	0.170859375000000	0
42000		0.53109	0.34952	0.36135	0.72953	0.147789188003540	0.666666666666667	0.170859375000000	0
42500		0.53096	0.34976	0.36113	0.72949	0.147789188003540	0.666666666666667	0.170859375000000	0
43000		0.53071	0.34944	0.36084	0.72947	0.147789188003540	0.666666666666667	0.170859375000000	0
43500		0.53130	0.34916	0.36083	0.72945	0.147789188003540	0.666666666666667	0.170859375000000	0
44000		0.53111	0.34945	0.36089	0.72948	0.147789188003540	0.666666666666667	0.170859375000000	0
44500		0.53113	0.34939	0.36073	0.72947	0.147789188003540	0.666666666666667	0.170859375000000	0
45000		0.53103	0.34903	0.36034	0.72942	0.147789188003540	0.666666666666667	0.170859375000000	0
45500		0.53156	0.34891	0.36064	0.72940	0.147789188003540	0.666666666666667	0.170859375000000	0
46000		0.53143	0.34879	0.36042	0.72940	0.147789188003540	0.666666666666667	0.170859375000000	0
46500		0.53144	0.34883	0.36026	0.72943	0.147789188003540	0.666666666666667	0.170859375000000	0
47000		0.53100	0.34890	0.36064	0.72953	0.147789188003540	0.666666666666667	0.170859375000000	0
47500		0.53106	0.34862	0.36034	0.72947	0.147789188003540	0.666666666666667	0.170859375000000	0
48000		0.53172	0.34888	0.36072	0.72948	0.147789188003540	0.666666666666667	0.170859375000000	0
48500		0.53159	0.34865	0.36109	0.72945	0.147789188003540	0.666666666666667	0.170859375000000	0
49000		0.53165	0.34829	0.36090	0.72942	0.147789188003540	0.666666666666667	0.170859375000000	0
49500		0.53185	0.34784	0.36080	0.72942	0.147789188003540	0.666666666666667	0.170859375000000	0
50000		0.53166	0.34721	0.36099	0.72937	0.147789188003540	0.666666666666667	0.170859375000000	0
50500		0.53188	0.34738	0.36106	0.72932	0.147789188003540	0.666666666666667	0.170859375000000	0
51000		0.53181	0.34729	0.36141	0.72938	0.147789188003540	0.666666666666667	0.170859375000000	0
51500		0.53202	0.34718	0.36158	0.72939	0.147789188003540	0.666666666666667	0.170859375000000	0
52000		0.53212	0.34759	0.36130	0.72933	0.147789188003540	0.666666666666667	0.170859375000000	0
52500		0.53191	0.34748	0.36106	0.72929	0.147789188003540	0.666666666666667	0.170859375000000	0
53000		0.53177	0.34762	0.36079	0.72931	0.147789188003540	0.666666666666667	0.170859375000000	0
53500		0.53182	0.34758	0.36042	0.72932	0.147789188003540	0.666666666666667	0.170859375000000	0
54000		0.53196	0.34746	0.36065	0.72933	0.147789188003540	0.666666666666667	0.170859375000000	0
54500		0.53178	0.34756	0.36053	0.72938	0.147789188003540	0.666666666666667	0.170859375000000	0
55000		0.53143	0.34752	0.36045	0.72937	0.147789188003540	0.666666666666667	0.170859375000000	0
55500		0.53131	0.34735	0.36052	0.72929	0.147789188003540	0.666666666666667	0.170859375000000	0
56000		0.53109	0.34724	0.36065	0.72927	0.147789188003540	0.666666666666667	0.170859375000000	0
56500		0.53114	0.34713	0.36075	0.72927	0.147789188003540	0.666666666666667	0.170859375000000	0
57000		0.53092	0.34704	0.36079	0.72925	0.147789188003540	0.666666666666667	0.170859375000000	0
57500		0.53060	0.34742	0.36067	0.72928	0.147789188003540	0.666666666666667	0.170859375000000	0
58000		0.53094	0.34751	0.36092	0.72924	0.147789188003540	0.666666666666667	0.170859375000000	0
58500		0.53095	0.34724	0.36067	0.72925	0.147789188003540	0.666666666666667	0.170859375000000	0
59000		0.53106	0.34766	0.36022	0.72923	0.147789188003540	0.666666666666667	0.170859375000000	0
59500		0.53105	0.34753	0.36009	0.72922	0.147789188003540	0.666666666666667	0.170859375000000	0
60000		0.53045	0.34743	0.36032	0.72932	0.147789188003540	0.666666666666667	0.170859375000000	0
60500		0.53068	0.34760	0.35993	0.72936	0.147789188003540	0.666666666666667	0.170859375000000	0
61000		0.53052	0.34731	0.35979	0.72936	0.147789188003540	0.666666666666667	0.170859375000000	0
