step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-14480.530799500997091	-14487.386287451956377	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.232185816728675	0	5	6	12	20	16	20	19	24	19	20	22	23	25	33	24	24	30	30	31	34	35	41	37	34	39	41	40	43	48	38	40	45	46	43	44	45	42	42	47	43	54	44	46	48	52	47	49	46	50	51	51	53	51	49	51	51	53	49	48	51	48	50	50	52	53	55	51	53	56	55	57	52	58	56	55	58	59	59	62	59	61	58	59	61	59	59	61	62	62	72	67	73	70	74	76	77	79	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	4	3	4	3	4	4	4	4	6	4	4	5	5	5	6	6	7	6	6	7	7	7	7	8	7	7	8	8	7	8	8	7	7	8	7	9	8	8	8	9	8	8	8	9	9	9	9	9	8	9	9	9	8	8	9	8	9	9	9	9	9	9	9	10	9	10	9	10	10	9	10	10	10	11	10	10	10	10	10	10	10	10	11	11	12	11	12	12	13	13	13	13
500	-1022.348484169196468	-1029.203972120155868	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.266705141532719	-2	7	7	11	21	17	20	15	26	18	18	15	21	25	35	11	20	28	20	32	36	33	38	30	35	35	25	30	31	49	39	35	40	49	43	39	47	42	30	41	42	49	45	38	45	53	40	46	33	49	50	50	53	51	44	49	52	54	49	43	46	49	42	47	54	46	57	51	51	54	55	53	47	61	56	55	55	55	61	64	58	61	56	61	63	61	58	60	63	62	68	64	72	71	74	75	72	80	0	1	0	3	11	12	1	3	13	8	8	4	16	6	11	0	8	17	16	17	11	5	20	9	6	18	0	11	14	27	32	17	26	49	18	6	8	6	27	44	14	9	39	22	0	41	15	25	24	32	27	41	31	19	27	43	27	0	22	49	13	35	19	21	30	29	39	41	13	49	68	22	24	6	63	24	62	19	61	49	68	9	26	81	63	19	41	63	83	19	74	34	79	42	9	35	46	35	1	2	1	1	1	1	3	1	2	1	1	1	2	2	3	1	1	2	2	2	1	3	2	1	4	2	1	1	1	7	1	1	1	3	5	3	6	4	1	1	4	4	2	1	1	2	2	1	1	2	8	1	2	6	3	2	6	1	2	1	3	1	4	2	1	4	7	2	4	7	1	2	3	9	2	5	1	8	4	11	1	9	4	1	5	6	4	3	2	8	2	2	3	4	10	12	3	5
1000	-884.040919939812056	-890.896407890771457	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.393024199668596	-4	5	5	12	13	15	15	19	22	18	20	21	20	26	28	11	25	19	30	26	32	37	39	36	34	36	26	41	36	49	38	39	44	44	39	45	44	42	35	41	46	52	44	44	43	51	49	49	44	46	51	47	48	41	46	50	51	53	46	49	51	49	46	47	51	50	57	51	52	51	55	56	52	53	59	49	56	56	58	62	50	63	56	55	59	59	60	57	62	61	68	65	74	68	66	79	65	80	0	1	0	3	3	3	1	5	16	5	6	3	16	18	11	0	8	5	13	5	15	5	26	9	21	15	0	29	15	27	5	20	26	24	20	22	25	25	27	29	14	54	39	8	0	62	21	64	19	14	27	33	40	24	27	39	27	0	8	54	63	35	54	25	30	44	39	62	60	19	62	36	54	21	76	63	41	24	61	9	62	19	22	81	34	24	77	24	83	24	68	90	82	92	9	35	62	68	1	1	1	2	2	1	3	2	3	1	1	2	2	1	2	1	1	1	3	3	1	3	1	3	1	1	1	1	1	4	2	2	1	2	3	2	2	2	2	2	2	2	2	6	1	1	3	1	2	3	5	1	1	2	3	2	6	1	4	2	1	1	1	2	1	2	4	1	1	3	1	2	3	3	2	1	2	4	2	11	1	6	3	1	4	4	1	3	1	2	3	1	2	1	7	9	2	5
1500	-810.943012272329383	-817.798500223288784	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.553875263473371	0	7	1	6	8	14	19	20	21	19	17	18	25	26	32	18	23	31	28	26	26	33	34	38	36	35	29	36	40	45	37	40	48	43	43	38	44	42	43	48	42	53	37	45	49	44	47	49	47	51	49	51	43	50	45	49	53	46	49	47	50	42	46	46	52	49	57	51	52	57	54	53	47	47	56	53	58	59	57	61	54	59	58	47	63	58	46	61	64	56	68	66	68	71	70	73	73	73	0	1	0	3	4	5	1	6	16	12	5	3	16	6	10	0	5	20	16	17	5	8	18	19	15	18	0	22	36	43	22	23	62	24	26	15	25	21	27	36	26	49	27	29	0	18	25	38	34	26	30	41	29	49	27	55	27	0	29	34	49	26	24	25	55	53	56	62	60	60	33	53	24	25	49	63	84	54	42	9	84	73	26	62	86	73	62	42	83	61	81	79	86	88	92	62	91	91	1	2	1	2	1	2	3	1	1	1	1	2	1	3	2	1	2	1	2	1	2	2	1	2	1	1	1	1	1	2	1	2	1	1	2	1	2	3	2	2	2	2	2	2	1	4	3	2	1	2	1	2	1	1	3	1	5	1	2	1	1	1	1	1	2	2	1	2	1	2	1	1	3	2	2	1	2	1	1	10	1	1	3	1	1	2	1	2	1	1	2	2	2	1	1	4	1	1
2000	-781.900314614173567	-788.755802565132967	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596351673763230	1	5	5	14	13	8	15	19	24	18	14	18	17	15	31	12	25	27	31	31	33	35	42	36	33	39	34	41	44	42	34	33	44	41	44	35	42	36	40	49	39	49	37	45	47	51	48	44	42	48	52	52	50	49	44	45	41	52	51	47	47	38	46	48	49	54	54	47	54	55	55	58	51	58	51	55	53	56	55	64	58	61	58	59	60	57	59	50	63	63	74	65	63	71	75	79	74	80	0	1	0	3	6	3	1	11	13	11	6	3	16	6	5	0	14	14	13	17	6	8	32	9	15	18	0	21	22	27	15	8	41	19	26	8	25	25	27	44	18	24	27	36	0	33	25	38	24	26	65	33	29	49	39	39	43	0	29	34	24	18	34	37	30	53	56	62	42	60	62	40	61	64	24	88	68	88	54	60	77	49	50	77	42	88	68	24	83	88	81	79	86	88	80	62	84	77	1	1	1	2	1	1	2	1	2	1	1	2	1	1	3	1	2	2	3	1	3	2	2	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	2	1	2	3	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	2	1	1	2	2	1	1	2	1	2	1	2	2	1	2	1	1	3	1	2	2	2	1	3	2	4	3	5
2500	-761.118070187303715	-767.973558138263115	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673720655936491	1	4	6	10	18	15	5	19	24	21	22	20	22	23	30	19	24	31	32	29	28	34	40	33	33	32	40	35	41	42	36	32	46	45	36	44	44	41	43	47	35	51	45	47	50	41	46	49	45	44	45	51	55	49	50	47	50	54	48	45	42	44	48	46	52	51	48	48	53	55	53	55	49	58	54	51	57	53	50	63	54	56	55	61	62	61	60	61	62	59	74	63	75	55	70	73	70	77	0	1	0	3	6	4	1	6	16	5	5	6	16	8	6	0	14	14	13	17	11	8	18	16	21	14	0	15	22	27	21	14	50	24	26	8	25	22	27	29	26	54	27	36	0	41	25	38	24	14	27	41	66	19	39	39	43	0	29	24	24	41	60	25	30	40	39	62	60	34	52	40	34	47	79	63	50	63	24	70	41	54	26	77	78	76	77	79	50	94	62	79	86	54	94	97	68	97	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	5	2	1	1	1	1	1	1	1	1	1	2	1	3	3	1	2	1	3	1	1	1	1	2	2	2	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	2	1	2	1	3	1	2	1	1	2	1	2	2	1	3	2	3	1	3	1	3	1
3000	-738.429465305801727	-745.284953256761128	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659023127856485	-1	4	7	12	19	15	19	18	24	19	22	17	23	21	31	20	24	31	29	27	30	28	43	35	29	37	36	38	43	45	36	38	44	42	41	44	42	39	43	46	42	52	39	48	50	52	48	48	46	47	49	51	53	52	40	47	47	52	50	44	50	45	47	52	53	47	57	50	55	52	56	56	49	52	56	57	57	52	56	63	55	59	55	52	60	55	58	63	55	57	63	62	70	65	72	79	74	80	0	1	0	3	6	4	1	6	16	6	6	4	16	8	11	0	14	14	13	17	6	8	32	13	11	18	0	22	22	27	21	18	41	19	26	21	25	25	55	29	26	34	27	36	0	33	25	37	34	26	30	33	66	61	27	39	43	0	40	19	49	41	34	25	51	29	56	62	60	49	50	40	49	47	61	69	62	63	54	60	84	78	26	50	78	63	81	79	26	70	83	79	86	79	92	91	68	97	1	1	1	1	1	1	3	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	3	1	2	2	2	1	1	2	2	1	1	1	1	3	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	4	1	1	2	1	2	1	1	2	1	1	1	1	2	1	1	3	1	1	3	1	1	2	1	2	2	1	1	1	3	2	2	2	2	1
3500	-787.944498157765679	-794.799986108725079	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586878178586839	-1	6	3	11	16	10	12	16	24	18	18	19	20	25	30	16	21	28	28	33	33	34	40	37	35	37	36	33	43	45	26	36	38	40	41	43	45	39	40	47	44	53	41	43	41	53	44	49	45	48	51	49	47	47	49	47	48	54	40	47	47	46	49	52	48	49	57	53	51	54	53	57	47	59	55	53	58	57	53	62	54	63	58	61	59	60	56	55	48	61	69	66	68	72	72	77	73	78	0	1	0	3	6	3	1	6	16	6	6	4	16	17	11	0	8	8	13	17	5	31	32	19	21	18	0	11	21	27	8	14	18	24	31	22	25	25	27	29	20	49	27	35	0	52	25	47	9	33	30	41	36	49	39	39	27	0	18	34	34	33	60	47	30	53	56	35	61	60	62	53	34	21	61	63	68	54	54	69	62	78	52	77	63	49	81	49	21	79	71	88	76	88	90	62	84	68	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	2	2	2	3	2	1	1	1	1	1	2	1	2	2	1	2	1	3	1	2	1	1	1	2	1	1	1	1	1	1	1	3	2	1	1	1	1	2	1	2	1	2	2	1	2	1	2	1	1	2	3	1	1	2	2	1	4	1	1	1	2	1	1	1	2	2	1	2	2	1	2	2	1	2	2	4	4	2	5	2	3
4000	-759.369770728164781	-766.225258679124181	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.604225372598152	0	3	4	12	20	9	22	17	22	16	14	19	24	19	33	18	26	31	27	30	28	32	42	36	36	34	37	37	37	44	35	36	42	40	42	41	45	38	41	45	35	49	42	48	46	52	46	48	44	51	48	49	52	52	48	48	52	52	42	46	50	47	45	47	51	55	55	51	50	58	52	57	50	56	54	55	53	54	52	63	57	63	56	57	56	58	59	60	58	63	65	67	70	68	72	76	79	78	0	1	0	3	6	3	2	6	16	6	6	8	9	11	21	0	14	12	16	17	5	8	32	9	5	14	0	22	22	27	8	22	26	24	26	29	38	25	27	31	14	34	27	59	0	52	25	25	34	35	30	41	40	34	39	39	43	0	21	24	49	41	24	25	51	53	56	62	60	69	68	36	34	64	60	63	62	63	34	54	62	78	50	62	78	76	77	54	83	54	81	88	76	79	92	91	91	91	1	1	1	2	2	1	3	2	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	3	2	2	1	1	1	1	3	1	2	1	1	1	2	1	1	2	3	1	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	1	3	2	1	1	1	2	1	2	2	2	1	1	1	4	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	3	1	2	3	2	1	2	3	3
4500	-740.448757933462389	-747.304245884421789	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655462083753981	0	3	6	13	21	18	13	20	25	16	14	18	25	27	31	20	25	28	29	32	28	34	34	37	33	37	37	39	44	50	32	39	44	45	43	42	46	38	39	45	42	46	43	46	50	53	43	49	41	48	48	49	52	49	44	49	49	53	44	46	45	45	48	41	51	47	54	49	50	56	54	50	53	59	55	53	55	61	55	59	59	56	60	60	61	59	49	63	60	62	68	61	74	70	74	74	75	81	0	1	0	3	6	11	1	11	16	11	4	4	16	17	11	0	8	17	9	14	12	8	14	19	15	20	0	17	31	43	8	23	20	49	26	22	38	25	27	36	26	24	39	29	0	41	38	47	24	26	43	33	40	60	39	39	43	0	22	61	49	26	61	38	51	29	56	35	34	60	68	40	61	48	34	63	33	63	54	60	68	63	50	33	82	76	62	54	35	75	84	79	86	88	79	91	91	91	1	1	1	1	1	1	3	1	1	1	1	1	1	1	3	1	1	1	1	2	3	2	1	1	1	1	1	2	2	1	2	1	4	1	2	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	2	2	3	1	1	1	3	2	2	1	1	3	1	3	2	1	2
