step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115
1	-11075.196009678102200	-11073.733927593582848	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.506402502341484	-2	10	13	14	21	15	19	18	26	22	23	25	23	24	30	29	24	27	27	28	33	29	36	28	32	29	36	34	37	30	31	39	36	35	32	34	39	32	46	34	35	35	33	43	35	39	39	46	38	40	41	45	37	40	41	41	48	42	42	45	42	47	43	47	50	46	42	46	45	48	54	57	61	51	58	59	52	54	59	52	61	60	60	71	58	59	61	64	62	70	65	68	76	67	75	74	68	74	68	71	76	75	75	72	76	80	78	80	80	81	85	93	91	90	98	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	3	4	4	5	4	4	5	4	5	6	5	5	5	5	5	6	5	7	5	6	5	7	6	7	6	6	7	7	6	6	6	7	6	8	6	6	6	6	8	6	7	7	8	7	7	7	8	7	7	7	7	9	8	8	8	8	8	8	8	9	8	8	8	8	9	10	10	11	9	10	10	9	10	10	9	11	11	11	12	10	10	11	11	11	12	11	12	13	12	13	13	12	13	12	12	13	13	13	13	13	14	14	14	14	14	15	16	16	16	17
500	-1945.860776037434562	-1943.895810446374753	-1.964965591059756	0.000010013319329	0.000022543147402	2.251316138242583	0.190417662860912	-3	-1	12	4	20	2	18	6	21	13	18	26	24	13	32	28	15	25	28	21	28	18	33	28	21	28	35	32	37	27	32	41	34	33	30	30	32	33	48	26	32	36	32	43	35	33	33	43	39	24	39	29	30	31	38	41	48	40	43	41	41	42	40	47	50	44	40	44	30	51	50	58	62	51	56	57	55	56	58	54	53	46	61	72	56	43	62	65	63	67	67	69	78	68	76	76	68	74	69	72	73	75	63	72	78	70	79	79	82	81	88	95	93	93	93	0	0	0	2	3	1	6	4	2	6	14	0	14	6	12	5	10	6	8	11	5	10	40	7	17	10	13	35	20	20	40	7	8	12	11	22	7	25	33	6	8	20	40	45	26	40	19	23	25	8	30	10	8	30	11	23	7	69	50	37	8	50	53	20	48	69	10	55	8	8	20	69	69	50	69	40	50	62	54	67	40	0	50	69	52	0	40	13	69	69	52	54	86	62	86	52	86	82	69	40	40	86	13	40	86	7	103	67	40	86	86	106	86	86	40	1	1	1	2	2	1	3	1	5	3	2	1	3	3	1	1	1	5	3	1	2	1	2	2	2	2	1	1	4	1	2	4	5	1	2	2	1	2	3	7	5	4	1	1	2	1	2	2	6	4	3	2	5	1	3	1	5	4	4	3	8	8	3	7	2	2	4	1	3	9	6	4	8	4	6	5	11	5	6	3	6	1	10	9	8	1	7	11	7	10	11	8	13	6	12	12	11	9	9	8	7	10	4	9	12	16	3	10	13	11	16	9	11	16	15
1000	-1644.649516333555539	-1642.871173715429450	-1.778342618126014	0.000010049139576	0.000017943547972	1.785580530269768	0.241872941151114	-1	7	8	11	11	12	15	14	24	15	19	22	15	14	28	24	21	27	27	21	30	26	33	26	24	28	34	29	37	29	33	35	26	34	23	33	40	34	45	29	30	34	31	43	35	37	38	44	38	24	38	35	35	38	41	40	37	41	44	42	44	48	44	49	48	47	42	47	40	49	50	57	57	52	52	61	52	50	56	52	59	44	58	71	58	43	59	66	64	69	60	70	78	67	77	76	68	73	66	70	68	77	61	71	78	66	75	77	83	83	86	92	89	90	99	0	0	0	2	3	3	3	4	2	3	6	0	3	3	12	6	10	11	8	11	6	10	35	3	17	10	3	35	20	20	40	21	8	15	11	22	24	25	33	11	33	20	40	45	26	27	33	40	25	8	30	22	41	30	11	40	7	50	50	24	8	50	53	20	23	69	52	23	33	8	20	75	50	59	50	56	50	50	54	67	23	0	50	78	52	0	40	82	77	78	52	54	86	78	86	52	86	82	50	87	57	86	29	40	86	1	103	80	103	86	86	106	86	86	27	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	2	2	3	1	3	2	3	3	1	3	4	1	5	2	1	2	3	2	1	2	3	2	2	2	1	2	1	2	2	1	2	2	3	3	2	2	1	2	3	2	3	4	4	3	8	7	2	6	3	2	2	3	4	7	7	1	9	1	4	4	9	5	3	2	4	1	9	4	8	1	4	11	2	5	7	7	13	3	10	9	10	7	7	3	7	8	4	8	9	16	3	5	8	11	13	8	10	15	16
1500	-1521.825197287199671	-1520.222083833863508	-1.603113453336164	0.000010103735375	0.000013743101008	1.360200014924898	0.312451499516231	-7	6	10	13	21	14	13	20	25	20	18	19	19	23	28	17	23	29	26	22	25	27	34	25	29	23	35	30	38	27	33	40	33	33	23	33	38	31	44	26	34	32	32	44	34	40	34	46	39	24	31	30	37	32	36	41	50	41	44	43	38	47	43	48	42	44	40	45	41	47	48	56	61	47	57	57	53	50	53	38	59	47	56	72	56	43	59	66	64	68	65	68	78	64	76	72	70	74	61	71	71	76	62	73	74	66	74	79	82	84	80	94	92	88	100	0	0	0	2	16	3	3	4	2	16	7	0	6	3	12	7	10	11	8	11	14	10	40	5	17	10	14	11	20	20	40	21	50	15	11	22	24	25	33	35	33	20	40	26	26	27	8	23	25	8	30	22	41	30	28	43	46	50	50	24	8	50	53	20	43	69	52	14	50	33	30	78	50	58	62	56	50	50	71	52	65	0	50	78	80	0	40	82	99	78	67	71	86	78	86	80	86	82	50	81	106	86	27	87	86	6	103	96	103	86	86	106	86	86	106	1	1	1	1	1	1	1	2	3	1	1	1	2	3	2	1	1	3	2	1	1	2	3	1	1	1	3	2	3	1	2	2	2	1	2	1	2	1	2	1	1	2	1	2	2	2	3	2	2	1	1	1	1	1	1	1	2	2	4	3	5	5	1	7	3	1	2	2	3	3	4	2	8	2	2	4	7	5	1	1	3	1	7	5	4	1	4	9	1	4	5	6	12	2	10	7	10	6	6	3	1	8	6	4	7	11	2	1	8	11	12	6	8	14	9
2000	-1409.500633032462247	-1407.490741399028138	-2.009891633434057	0.000010081958481	0.000023865535955	2.367152770935252	0.410296560571486	-4	8	10	13	18	13	20	18	24	16	20	15	22	23	28	31	22	28	26	28	31	25	30	29	29	31	31	32	39	31	32	38	32	36	31	35	36	32	45	23	33	35	35	37	34	36	40	45	33	27	43	36	38	41	38	40	46	43	41	42	36	47	41	48	43	46	42	44	35	47	52	53	63	53	60	49	50	55	57	38	55	45	47	69	57	43	59	63	57	68	68	67	77	66	74	76	69	71	68	71	72	76	61	64	78	67	72	78	80	80	86	91	89	91	97	0	0	0	2	6	3	5	4	2	6	3	0	6	5	12	14	10	11	8	11	5	10	40	13	17	10	5	11	20	20	40	21	8	15	11	22	24	25	33	11	33	20	23	26	26	27	33	40	25	8	30	22	41	30	11	43	46	69	50	24	8	50	53	29	40	50	80	55	50	33	54	62	83	58	62	56	50	62	54	52	65	0	59	78	80	0	81	82	83	78	85	79	86	78	86	80	86	82	83	104	97	86	21	87	86	21	103	96	103	86	86	106	86	86	103	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	2	2	2	2	1	2	3	2	2	2	1	1	1	3	2	2	2	2	1	2	1	1	2	1	2	1	1	1	2	1	1	2	2	1	2	3	1	3	2	4	2	2	5	1	1	2	4	1	1	2	2	1	1	5	2	3	2	5	1	3	1	2	1	2	3	3	1	1	6	2	2	4	3	11	2	10	6	10	6	5	2	1	6	5	1	6	4	3	1	8	10	12	5	8	14	6
2500	-1334.053275472903351	-1332.071447584177349	-1.981827888726094	0.000010088819572	0.000023149803748	2.294599837225524	0.434415890727323	-7	9	6	14	17	12	18	20	19	22	21	19	24	23	32	30	25	25	27	25	31	27	27	24	29	28	38	34	36	30	32	34	25	37	31	35	40	34	42	33	32	34	33	39	37	39	38	45	35	28	41	36	36	42	41	42	46	37	44	44	43	46	43	39	48	45	42	47	41	48	55	54	62	51	57	58	52	50	54	39	56	45	47	68	57	43	59	63	62	66	60	63	78	68	78	76	66	71	66	69	74	73	63	71	77	81	75	80	82	81	86	91	88	91	99	0	0	0	2	6	3	3	4	2	7	7	0	3	5	12	5	10	11	8	11	6	10	11	7	17	10	14	35	20	20	23	21	8	15	11	22	24	25	33	23	33	20	23	26	26	16	33	40	25	33	30	36	41	29	23	43	46	50	50	37	33	69	53	29	23	58	80	55	50	61	54	58	83	58	62	56	50	62	54	52	48	0	58	78	67	0	81	82	83	78	85	79	86	78	86	91	86	82	83	87	103	86	29	81	86	103	103	91	103	86	86	106	86	86	93	1	1	1	2	1	1	3	1	2	1	1	1	3	1	3	2	1	1	1	1	3	2	1	2	1	2	1	1	3	1	1	1	2	1	2	2	2	1	3	1	1	2	2	2	1	2	2	2	1	1	2	1	1	1	2	1	2	2	4	1	2	2	1	1	2	2	1	1	3	1	2	3	5	3	1	3	5	1	3	1	2	1	2	2	3	1	1	4	3	3	1	3	11	3	9	5	7	5	5	1	2	5	7	2	5	4	3	2	7	10	11	1	7	12	5
3000	-1311.804353515787625	-1310.005459328338247	-1.798894187449312	0.000010355709405	0.000019011742886	1.835870643103368	0.483143665460608	-1	9	13	11	16	16	15	19	19	21	21	19	24	21	28	27	25	29	24	28	32	25	27	22	28	29	35	34	35	33	33	32	32	37	29	32	34	34	46	32	31	36	34	39	32	38	40	46	34	29	40	38	36	40	37	37	49	32	40	44	41	48	39	48	48	42	40	46	42	45	52	54	62	50	53	54	51	53	58	53	55	49	50	60	57	43	61	64	61	71	64	69	71	68	74	71	68	74	67	68	78	73	61	74	77	80	78	71	81	77	83	91	90	88	98	0	0	0	2	3	3	3	4	2	5	3	0	5	7	12	7	10	11	8	6	3	10	11	6	17	16	5	35	20	20	23	16	8	15	11	22	24	25	33	23	8	20	40	26	26	27	33	23	25	8	30	36	41	20	35	11	46	50	50	37	33	69	53	42	48	58	52	55	58	61	54	62	83	50	62	56	66	62	54	67	65	0	69	78	67	0	81	82	83	78	85	79	86	84	86	91	86	82	83	87	103	86	21	100	86	93	103	91	103	86	86	106	93	86	93	1	1	1	1	1	1	1	3	2	1	2	1	2	1	2	2	1	2	1	2	2	1	2	1	1	1	3	1	2	1	1	1	2	1	2	2	2	2	4	2	3	2	1	2	1	1	2	4	1	2	2	1	2	2	2	2	2	1	1	1	2	2	1	2	1	1	1	1	2	1	2	1	3	3	1	2	2	1	3	2	1	1	2	2	3	1	2	4	2	4	2	2	9	2	9	2	6	4	5	2	3	5	5	2	5	4	2	1	6	7	10	2	5	11	5
3500	-1276.877443388350230	-1275.034722486533155	-1.842720901817062	0.000011060924006	0.000021500383033	1.943814370544278	0.475668024762434	-12	2	11	13	15	15	19	19	14	21	17	26	22	25	32	29	19	29	25	25	32	24	25	29	23	28	36	30	36	31	28	37	24	36	29	30	40	31	39	36	33	33	32	43	35	38	38	46	38	35	41	33	38	40	41	42	48	38	40	43	42	48	44	44	49	43	42	46	46	49	54	51	58	50	54	56	53	53	61	49	53	56	48	61	54	44	58	61	62	64	64	69	76	70	71	76	70	73	70	70	76	77	66	71	77	81	73	78	79	75	84	93	90	87	95	0	0	0	2	3	3	3	4	2	17	6	0	6	6	12	6	5	11	8	11	6	10	11	14	17	10	16	11	42	20	23	21	8	15	11	22	24	25	33	23	33	20	23	45	26	27	33	43	25	33	30	22	41	30	40	43	46	50	50	37	39	58	53	29	23	50	52	35	50	61	54	62	83	69	62	48	66	62	54	67	65	0	69	78	80	0	81	82	83	84	85	79	86	84	86	91	86	82	83	87	48	86	65	87	86	65	103	91	103	86	86	106	105	86	101	1	1	1	3	1	1	1	2	2	1	1	1	1	2	2	2	1	3	1	3	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	3	2	2	3	2	1	1	1	2	2	1	2	2	2	2	1	2	1	2	1	1	2	1	1	1	1	2	1	1	4	1	2	3	3	2	2	1	2	1	1	2	2	1	3	1	2	1	1	2	1	1	1	2	3	1	2	1	8	2	7	2	6	2	4	2	5	4	2	2	6	5	2	2	6	6	10	2	3	8	4
4000	-1266.449638801696437	-1264.478360599793177	-1.971278201903344	0.000011723454835	0.000026582854130	2.267493200900029	0.445230729071082	-8	7	12	12	18	15	18	16	23	17	17	24	23	25	27	27	22	26	29	27	31	23	33	25	28	22	32	30	38	31	30	38	28	35	31	36	33	34	35	36	34	35	31	42	33	39	40	44	37	34	34	42	39	40	38	41	44	41	43	41	41	42	44	46	52	46	44	46	43	48	53	50	62	43	54	56	49	55	60	50	61	60	48	66	53	43	61	65	56	69	65	68	75	69	77	73	71	76	68	67	70	65	72	68	74	81	80	82	79	78	85	93	92	88	96	0	0	0	2	6	3	6	4	2	3	3	0	7	5	12	10	10	11	8	11	5	10	43	7	17	10	16	11	30	20	14	7	8	15	6	26	24	25	33	23	33	20	16	45	26	16	39	23	25	33	30	36	41	51	35	43	46	50	50	37	39	58	53	29	40	50	52	55	50	39	54	62	83	50	72	56	66	72	71	67	65	0	50	78	67	0	65	82	83	84	85	79	86	78	102	91	86	82	83	81	65	86	32	87	86	101	103	96	103	86	86	106	105	102	106	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	2	2	1	3	1	1	2	1	1	1	2	1	1	1	3	2	2	2	2	2	1	2	1	2	2	1	2	2	2	1	2	2	2	1	1	1	1	2	2	1	2	2	2	1	1	1	2	3	2	1	2	1	3	2	1	2	2	1	2	1	1	3	2	1	1	2	3	1	1	2	2	3	1	2	2	6	3	3	2	6	2	3	2	4	3	6	1	5	3	2	2	2	5	11	2	2	3	3
4500	-1162.643435420032802	-1160.972322979987212	-1.671112440045596	0.000013769741763	0.000021003088691	1.525307377117265	0.528636241361206	-7	9	12	12	21	16	15	18	26	17	23	22	22	19	30	28	23	28	25	27	32	25	29	26	30	30	36	31	35	32	32	40	28	36	27	34	36	34	43	36	33	35	26	41	35	39	31	40	34	41	39	39	38	42	36	43	47	34	43	43	34	46	40	42	48	41	42	47	45	49	51	52	60	51	57	58	52	56	55	54	57	58	56	65	51	49	61	64	61	70	60	65	69	64	71	74	68	70	71	68	73	74	75	73	74	78	78	82	78	82	79	96	88	85	89	0	0	0	2	7	3	3	4	2	3	14	0	6	7	12	3	10	11	8	11	14	10	11	14	17	10	16	35	20	20	23	21	8	15	11	22	24	25	33	23	33	20	11	36	26	27	33	23	25	58	30	22	41	30	11	40	46	33	50	37	33	58	53	29	43	58	52	55	50	61	54	62	83	50	62	65	66	72	54	67	23	0	74	78	52	0	65	82	83	84	85	79	86	78	93	91	86	82	83	87	65	95	65	100	86	103	103	96	103	105	86	106	105	110	101	1	1	1	1	1	1	1	2	3	1	1	1	1	1	2	3	1	1	2	1	2	2	1	2	1	2	2	1	2	1	1	2	2	2	1	2	2	1	2	2	1	2	1	1	1	1	1	2	1	1	2	4	1	2	2	2	2	1	1	2	1	3	1	1	4	2	1	2	1	2	2	1	1	1	2	1	2	1	2	2	3	1	1	2	2	1	2	1	2	1	2	3	3	2	1	2	4	2	3	1	4	1	5	1	5	1	1	1	1	3	10	3	2	1	2
