step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.47368	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99800	0.32265	0.82703	0.74549	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.31431	0.93600	0.74141	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99600	0.32021	0.90800	0.74129	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		1.00000	0.32766	0.88000	0.74175	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.99200	0.33213	0.82400	0.74123	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.99400	0.33578	0.72200	0.74091	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.99400	0.34324	0.63800	0.74085	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.97200	0.33933	0.48200	0.73955	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.97800	0.33652	0.47500	0.73861	0.002562890625000	1.000000000000000	0.170859375000000	0
5000		0.96600	0.33767	0.49533	0.73991	0.003844335937500	1.000000000000000	0.170859375000000	0
5500		0.95400	0.34061	0.49950	0.73955	0.005766503906250	1.000000000000000	0.170859375000000	0
6000		0.94800	0.33856	0.49960	0.73955	0.008649755859375	1.000000000000000	0.170859375000000	0
6500		0.92200	0.33651	0.50067	0.73972	0.012974633789063	1.000000000000000	0.170859375000000	0
7000		0.96200	0.33819	0.40800	0.73947	0.019461950683594	1.000000000000000	0.256289062500000	0
7500		0.93800	0.33498	0.41300	0.74002	0.029192926025391	1.000000000000000	0.256289062500000	0
8000		0.86200	0.33317	0.41133	0.74022	0.043789389038086	1.000000000000000	0.256289062500000	0
8500		0.85800	0.33275	0.40200	0.74098	0.065684083557129	1.000000000000000	0.256289062500000	0
9000		0.76400	0.33115	0.40400	0.74193	0.098526125335693	1.000000000000000	0.256289062500000	0
9500		0.71600	0.33109	0.39533	0.74176	0.147789188003540	1.000000000000000	0.256289062500000	0
10000		0.55000	0.33053	0.40114	0.74188	0.221683782005310	1.000000000000000	0.256289062500000	0
10500		0.42800	0.33127	0.39725	0.74184	0.332525673007965	1.000000000000000	0.256289062500000	0
11000		0.43800	0.33112	0.39489	0.74231	0.332525673007965	1.000000000000000	0.256289062500000	0
11500		0.44333	0.33133	0.39360	0.74233	0.332525673007965	1.000000000000000	0.256289062500000	0
12000		0.44850	0.33278	0.39236	0.74255	0.332525673007965	1.000000000000000	0.256289062500000	0
12500		0.44720	0.33299	0.39217	0.74237	0.332525673007965	1.000000000000000	0.256289062500000	0
13000		0.44500	0.33226	0.39169	0.74249	0.332525673007965	1.000000000000000	0.256289062500000	0
13500		0.45029	0.33291	0.39186	0.74254	0.332525673007965	1.000000000000000	0.256289062500000	0
14000		0.45300	0.33238	0.39213	0.74269	0.332525673007965	1.000000000000000	0.256289062500000	0
14500		0.45178	0.33216	0.39300	0.74292	0.332525673007965	1.000000000000000	0.256289062500000	0
15000		0.45280	0.33202	0.39388	0.74307	0.332525673007965	1.000000000000000	0.256289062500000	0
