step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.17234	1.00000	0.75483	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.26400	0.86400	0.75947	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98400	0.25600	0.87400	0.75739	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.97600	0.26933	0.82200	0.75498	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97600	0.27950	0.75000	0.75158	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96200	0.28000	0.62400	0.74953	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.93800	0.27833	0.46600	0.74735	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.90800	0.27943	0.46200	0.74419	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.87400	0.27825	0.46867	0.74279	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.82800	0.27933	0.48000	0.74240	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.80000	0.28060	0.48520	0.74218	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.81400	0.28000	0.48733	0.74160	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.85400	0.27617	0.49029	0.74217	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.79200	0.27077	0.49425	0.74316	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.71400	0.26400	0.49911	0.74388	0.029192926025391	0.666666666666667	0.113906250000000	0
8000		0.62600	0.25800	0.50460	0.74453	0.043789389038086	0.666666666666667	0.113906250000000	0
8500		0.56800	0.25525	0.39000	0.74527	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.38400	0.24882	0.40600	0.74580	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.41600	0.28400	0.40133	0.74617	0.098526125335693	0.444444444444444	0.170859375000000	0
10000		0.42133	0.27400	0.39200	0.74663	0.098526125335693	0.444444444444444	0.170859375000000	0
10500		0.41750	0.27400	0.39880	0.74701	0.098526125335693	0.444444444444444	0.170859375000000	0
11000		0.40920	0.27050	0.39833	0.74709	0.098526125335693	0.444444444444444	0.170859375000000	0
11500		0.40700	0.26920	0.40343	0.74719	0.098526125335693	0.444444444444444	0.170859375000000	0
12000		0.40457	0.27567	0.40500	0.74763	0.098526125335693	0.444444444444444	0.170859375000000	0
12500		0.40700	0.27543	0.39822	0.74775	0.098526125335693	0.444444444444444	0.170859375000000	0
13000		0.40889	0.27325	0.40000	0.74756	0.098526125335693	0.444444444444444	0.170859375000000	0
13500		0.40800	0.27000	0.40527	0.74789	0.098526125335693	0.444444444444444	0.170859375000000	0
14000		0.41036	0.26940	0.40467	0.74799	0.098526125335693	0.444444444444444	0.170859375000000	0
14500		0.40833	0.27236	0.40338	0.74829	0.098526125335693	0.444444444444444	0.170859375000000	0
15000		0.40815	0.27217	0.40200	0.74819	0.098526125335693	0.444444444444444	0.170859375000000	0
15500		0.40657	0.27062	0.40133	0.74819	0.098526125335693	0.444444444444444	0.170859375000000	0
16000		0.40987	0.27029	0.40237	0.74848	0.098526125335693	0.444444444444444	0.170859375000000	0
16500		0.40887	0.26933	0.40082	0.74856	0.098526125335693	0.444444444444444	0.170859375000000	0
17000		0.40871	0.27063	0.40089	0.74890	0.098526125335693	0.444444444444444	0.170859375000000	0
17500		0.40833	0.27235	0.40116	0.74895	0.098526125335693	0.444444444444444	0.170859375000000	0
18000		0.41000	0.27122	0.40050	0.74898	0.098526125335693	0.444444444444444	0.170859375000000	0
18500		0.41020	0.26989	0.40010	0.74897	0.098526125335693	0.444444444444444	0.170859375000000	0
