step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.31789	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.90800	0.29817	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.93200	0.29520	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.87600	0.29365	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.87000	0.29122	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.74200	0.29406	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.62000	0.29187	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.49200	0.29185	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.50900	0.29073	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.50733	0.29128	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.51500	0.29246	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.49720	0.29240	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.49700	0.29341	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.51000	0.29331	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.52225	0.29496	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.51956	0.29463	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.51840	0.29483	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.52182	0.29407	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.52583	0.29443	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.52200	0.29475	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.52300	0.29477	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.52867	0.29469	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.52738	0.29472	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.52553	0.29544	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.52844	0.29575	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.53000	0.29576	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.52750	0.29541	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.52724	0.29589	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.52918	0.29607	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.52991	0.29608	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.52983	0.29622	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.52960	0.29653	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.53200	0.29657	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.53481	0.29667	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.53564	0.29685	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.53400	0.29675	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.53460	0.29664	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.53510	0.29667	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.53412	0.29684	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.53515	0.29685	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.53594	0.29721	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.53606	0.29726	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.53472	0.29751	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.53714	0.29735	0.000150000000000	1.000000000000000	0.170859375000000	0
