step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-11861.970467508846923	-11868.825955459806210	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.413209012659738	-1	1	2	2	4	3	3	3	4	4	6	8	6	7	7	8	8	9	7	10	9	9	10	10	11	9	12	11	10	12	11	13	14	12	13	13	15	14	16	16	17	19	18	18	19	19	19	19	20	21	21	20	23	23	23	24	24	24	24	24	25	26	25	27	25	26	27	27	27	27	27	29	28	27	28	29	29	32	30	32	34	38	43	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2	3	3	4	5	4	4	4	5	5	5	4	6	5	5	6	6	6	5	7	6	6	7	6	7	8	7	7	7	8	8	9	9	9	10	10	10	10	10	10	10	11	11	11	11	12	12	12	13	13	13	13	13	13	14	13	14	13	14	14	14	14	14	14	15	15	14	15	15	15	17	16	17	18	20	22
500	-746.282581930228162	-753.138069881187562	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.199589615587853	-1	1	2	2	2	3	2	3	4	4	7	7	6	8	5	5	7	10	7	11	10	8	10	10	11	9	12	11	10	11	11	14	14	13	13	13	16	12	16	16	17	20	19	18	16	19	20	17	21	22	21	20	23	23	23	24	23	24	24	24	24	27	25	27	25	25	27	27	27	27	27	30	28	28	28	30	29	32	30	33	34	38	43	0	1	1	1	1	4	0	3	4	7	2	16	7	2	7	7	8	7	16	26	1	16	19	19	26	11	14	24	13	17	15	25	31	38	0	15	34	31	35	33	38	39	24	36	24	29	38	24	46	49	37	48	34	44	43	44	45	18	43	52	45	45	0	18	57	38	45	45	41	45	45	44	45	0	7	45	37	51	24	23	53	53	0	1	1	1	2	2	1	1	1	1	1	3	1	2	3	2	2	2	5	1	1	5	2	2	2	1	1	2	1	3	2	3	2	2	1	1	4	2	1	3	1	3	3	5	3	3	6	4	4	1	1	2	1	6	2	2	3	4	6	3	2	4	7	1	8	1	8	6	5	4	6	8	8	10	1	11	7	8	6	13	14	10	9	1
1000	-636.510388247320975	-643.365876198280375	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.330272693875014	-1	2	2	0	3	4	3	3	3	4	7	8	6	7	7	8	8	10	8	10	9	8	11	9	12	8	12	10	11	12	10	14	15	12	13	13	13	14	17	15	18	19	19	17	19	19	20	19	20	22	19	21	23	24	23	25	21	24	23	24	25	25	25	28	25	26	27	27	27	27	27	29	29	28	27	29	30	33	30	32	35	38	42	0	1	1	1	2	4	0	1	4	7	5	10	7	5	7	7	11	22	7	26	1	13	24	10	26	14	17	24	19	26	16	25	37	31	0	29	15	31	35	29	38	35	44	40	38	40	41	40	19	43	31	48	45	59	46	55	38	37	52	44	57	51	0	16	57	37	45	51	62	51	51	55	51	0	16	58	67	69	16	19	62	58	0	1	1	1	1	1	2	1	2	1	1	2	2	2	2	2	3	1	1	2	1	4	1	1	2	2	1	3	1	2	2	2	1	1	1	1	1	3	2	3	3	2	3	2	1	2	2	2	3	5	1	6	1	1	1	2	2	3	7	1	3	3	3	1	10	2	9	5	5	1	4	5	3	7	1	12	1	2	2	13	16	5	7	1
1500	-537.402458106625431	-544.257946057584832	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.492299471295012	0	2	1	2	3	4	3	3	4	5	6	9	7	7	7	8	8	9	7	10	7	8	10	9	11	9	13	11	10	12	10	13	13	13	13	14	15	15	16	16	17	18	18	18	18	19	19	20	21	22	20	21	24	22	23	24	24	25	24	24	25	25	25	27	25	24	28	27	28	27	28	28	28	26	28	30	29	32	31	32	32	39	43	0	1	1	1	2	4	0	3	4	7	3	10	7	5	7	10	11	13	7	5	2	13	24	19	5	1	11	12	13	21	24	30	29	31	0	33	34	19	35	33	37	39	40	40	34	40	45	44	43	43	38	40	41	40	46	52	45	45	54	52	53	66	0	37	57	45	66	53	62	65	65	52	65	0	19	69	65	53	45	66	79	81	0	1	1	1	1	1	1	1	1	1	1	2	2	3	3	2	1	1	1	3	3	3	1	1	1	5	4	3	1	1	2	1	1	2	2	1	1	1	4	2	2	2	1	1	1	3	2	1	1	2	3	3	3	3	2	2	2	3	3	1	2	1	1	1	6	1	3	2	1	2	2	1	3	2	1	11	1	2	4	8	6	1	5	1
2000	-490.568279665502359	-497.423767616461760	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586696558558190	0	1	2	1	4	4	3	4	3	4	6	6	6	7	8	7	8	9	8	8	8	10	10	11	11	10	12	10	11	12	12	13	15	12	12	12	16	15	15	16	17	19	18	19	19	18	20	19	20	21	21	20	21	24	23	25	23	24	25	24	25	26	26	26	25	27	26	28	28	28	28	28	28	26	28	30	29	32	30	32	34	38	43	0	1	1	1	2	4	0	3	4	7	5	7	7	11	10	7	11	10	16	14	5	18	19	19	20	20	17	19	13	20	24	25	36	24	0	13	34	34	35	31	38	35	40	40	38	40	38	43	43	49	37	46	45	44	46	55	51	53	52	55	57	58	0	57	45	58	57	62	62	65	65	55	65	0	18	69	65	68	75	79	79	81	0	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	3	1	1	2	1	2	2	2	1	2	1	2	2	1	1	2	1	1	2	2	1	2	2	1	4	1	2	2	1	2	1	1	1	2	1	1	3	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	2	1	7	1	2	2	2	1	1	3	1
2500	-423.330213748674055	-430.185701699633455	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.767572397626088	-1	1	1	2	5	3	3	3	5	5	7	7	6	6	6	8	8	10	7	9	9	9	11	10	10	8	12	11	10	13	10	14	12	11	13	13	16	14	16	16	17	20	18	18	18	18	19	19	20	22	20	20	22	21	23	24	23	24	24	25	25	26	24	27	25	26	27	27	28	27	27	29	28	26	28	29	28	33	30	31	32	38	44	0	1	1	1	2	4	0	3	4	7	14	13	7	5	7	12	14	16	10	26	5	15	19	19	26	5	17	19	19	20	19	25	15	12	0	29	34	34	35	33	37	39	33	40	37	40	41	43	40	49	45	46	51	52	52	52	53	53	46	55	57	58	0	57	57	58	57	62	62	65	65	60	65	0	64	69	65	68	76	76	80	80	0	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	2	2	1	2	3	2	1	2	2	2	2	2	1	2	3	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	3	1
3000	-423.280251105671084	-430.135739056630484	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.776703187701842	-1	1	2	2	4	4	3	3	5	5	6	7	7	7	7	8	8	10	8	11	6	8	10	10	10	9	11	11	10	12	11	13	15	13	13	13	15	14	16	16	17	19	18	18	19	19	19	20	19	22	20	20	22	22	24	24	23	24	24	25	26	26	25	27	25	26	28	27	27	27	27	30	29	28	29	29	30	31	31	31	34	38	42	0	1	1	1	2	4	0	4	4	7	3	10	10	5	10	13	11	22	10	26	2	10	19	19	14	5	17	15	19	26	23	25	36	31	0	29	34	34	35	36	38	39	40	40	34	44	41	44	33	43	45	46	51	52	52	52	53	53	54	55	53	58	0	61	57	58	57	62	62	65	65	60	65	0	64	68	71	68	76	76	80	80	0	1	1	2	2	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1	2	2	2	1	1	1	2	2	1	1	2	1	2	1	1	1	2	1	1	2	2	2	2	1	1	3	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	3	1
3500	-450.872480372727296	-457.727968323686696	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656057291177715	-1	1	1	3	5	2	3	4	4	5	5	8	6	6	6	8	8	9	8	11	9	7	10	9	12	9	12	11	10	11	11	13	15	13	12	13	16	15	16	15	17	20	18	17	20	19	17	19	20	22	21	20	23	22	23	25	23	24	25	24	25	26	24	27	25	27	27	28	28	28	26	30	29	26	28	30	28	32	31	33	35	39	43	0	1	1	6	8	1	0	1	6	7	2	7	7	2	7	7	14	22	10	5	17	10	24	19	26	5	17	16	19	26	23	25	36	31	0	29	34	34	35	29	37	39	40	33	28	40	38	44	46	49	31	40	51	52	52	55	45	53	55	54	57	58	0	61	57	58	61	62	62	65	65	60	65	0	64	69	65	69	76	76	80	81	0	1	1	1	1	1	2	1	3	2	1	2	2	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	3	1	2	2	1	5	2	1	1	1	2	4	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	1	3	2	1	1	1	2	2	1	1	1	2	1
4000	-461.829043446996138	-468.684531397955539	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.624270494186935	-1	1	2	3	4	3	3	4	5	5	6	8	6	7	7	9	9	9	7	10	9	9	10	10	11	8	13	11	11	12	11	14	14	12	13	14	16	14	16	16	17	18	16	18	20	19	19	17	20	20	21	20	22	23	23	25	23	24	24	25	26	26	24	27	24	27	28	28	27	27	28	29	26	27	28	29	29	33	31	31	35	37	43	0	1	1	2	2	3	0	1	4	7	2	10	10	5	7	13	5	13	10	26	26	12	19	19	26	11	21	24	13	26	10	30	23	31	0	29	34	23	35	33	29	39	33	40	38	40	38	36	48	43	38	46	45	52	46	52	51	53	52	55	53	58	0	57	57	58	64	66	62	65	73	60	65	0	64	69	65	68	62	76	80	81	0	1	1	2	1	2	1	1	2	1	1	2	2	1	2	2	2	3	2	1	1	1	1	2	2	2	1	3	1	3	2	3	1	1	1	1	2	2	2	2	1	3	1	1	1	3	1	1	2	2	2	3	1	1	1	2	2	2	1	2	1	2	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	2	2	2	1	2	1	1
4500	-462.553649769398248	-469.409137720357649	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675498787178606	0	2	2	2	5	3	3	3	3	4	6	9	6	7	6	8	9	10	7	10	10	8	10	9	11	9	13	11	11	12	11	12	12	12	13	13	16	13	16	16	17	17	18	19	19	20	19	19	21	21	22	19	23	24	23	24	23	24	24	24	25	26	26	28	25	25	28	26	27	27	26	30	28	27	28	29	30	33	30	32	34	38	43	0	1	1	1	2	1	0	3	4	7	1	7	10	5	10	13	5	22	13	26	14	7	19	19	14	14	11	23	19	20	24	25	12	16	0	33	34	31	35	33	38	35	40	43	38	40	41	43	43	43	45	40	45	46	52	49	45	53	55	55	53	58	0	61	57	58	61	53	62	65	65	60	65	0	53	69	65	69	68	76	80	81	0	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	2	2	1	1	1	2	2	1	1	3	1	3	1	2	1	2	1	2	1	1	1	2	1	2	2	2	2	1	1	2	2	1	1	2	2	2	1	2	2	2	1	3	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	2	1	2	1	3	3	2	2	2	2	1
