step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	-nan	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.94578	0.31027	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93200	0.30095	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.90200	0.29679	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.89200	0.29803	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.82400	0.29619	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.74200	0.29590	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.67400	0.29545	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.49000	0.29579	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.50000	0.29503	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.50333	0.29533	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.51500	0.29543	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.51480	0.29542	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.52033	0.29424	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.52286	0.29387	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.52300	0.29401	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.52244	0.29370	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.52200	0.29338	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.52218	0.29294	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.52300	0.29292	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.52046	0.29285	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.52029	0.29318	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.52160	0.29310	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.52312	0.29313	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.52176	0.29320	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.52011	0.29284	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.52189	0.29296	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.52250	0.29272	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.52114	0.29244	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.52336	0.29266	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.52513	0.29286	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.52517	0.29216	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.52760	0.29232	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.52746	0.29298	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.52770	0.29284	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.52807	0.29263	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.52759	0.29248	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.52713	0.29232	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.52794	0.29241	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.52775	0.29243	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.52848	0.29260	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.52812	0.29261	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.52789	0.29262	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.52811	0.29270	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.52805	0.29259	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.52842	0.29287	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.52738	0.29291	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.52620	0.29287	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.52654	0.29275	0.000150000000000	1.000000000000000	0.170859375000000	0
