step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41
1	-1593.632459676916596	-1600.487947627875883	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.799674432230920	0	3	3	2	3	6	4	7	6	7	7	8	9	9	9	11	10	11	12	12	14	13	13	14	13	15	16	15	17	15	16	17	17	17	19	18	18	19	21	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	2	4	3	4	4	4	5	5	5	6	5	6	6	6	7	7	7	7	7	8	8	8	9	8	8	9	9	9	10	9	9	10	11	10	11
500	-217.237536670361351	-224.093024621320723	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.509095780244022	0	4	2	2	2	7	4	8	6	7	7	8	8	9	10	11	10	11	11	12	13	13	14	15	14	15	16	15	17	15	15	17	17	16	20	16	18	20	20	20	21	0	3	1	1	1	3	5	7	0	7	7	9	9	9	12	7	0	14	14	16	16	19	18	11	21	10	21	10	26	8	21	23	30	21	16	24	31	33	23	32	29	1	1	1	1	1	2	1	2	1	2	2	1	1	1	2	3	1	1	1	1	1	1	1	3	1	3	2	4	1	4	1	2	1	2	5	1	2	2	3	1	2
1000	-222.316068829711725	-229.171556780671096	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.508621165062336	1	2	4	3	3	7	4	6	6	8	7	8	9	9	9	11	10	12	11	12	14	13	13	14	13	14	16	15	16	15	16	17	16	17	20	18	19	19	21	19	20	0	1	1	1	1	3	5	7	0	8	8	9	9	9	12	7	0	14	14	11	8	19	19	20	8	20	30	16	21	25	16	23	25	30	33	26	25	33	32	32	24	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	4	1	2	1	2	4	1	1	1	3	1	1	2	2	2	3	2	2	1	2	2	2	2	1	1	3
1500	-186.853414194719846	-193.708902145679218	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.705281210884691	1	3	2	2	4	6	5	6	5	7	8	9	10	9	9	11	10	11	12	12	14	13	13	14	13	15	16	15	18	15	17	17	17	17	20	16	19	19	21	20	20	0	1	1	1	3	2	5	7	0	8	8	9	12	9	9	7	0	14	18	16	25	19	18	11	16	20	21	24	26	25	30	23	25	27	34	24	31	34	40	32	29	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	3	1	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2
2000	-202.674434462636270	-209.529922413595642	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650491778579708	0	3	2	3	4	6	5	8	5	6	8	7	9	9	9	11	10	11	12	13	13	13	12	14	12	15	16	15	17	15	16	17	17	17	19	18	18	20	22	20	21	0	3	1	1	4	2	5	10	0	7	10	9	9	12	12	8	0	14	18	16	16	18	13	11	16	20	21	24	20	25	30	23	24	21	34	24	31	27	40	23	29	1	1	1	1	1	2	1	1	1	1	1	2	3	1	1	2	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	2	2	2	1	1	1	2	1	4	2
2500	-210.590555736970458	-217.446043687929830	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.768541674969158	0	2	4	2	3	6	4	8	7	7	6	8	9	10	10	11	9	11	12	12	14	13	13	14	12	15	16	15	16	16	16	18	14	17	19	18	18	18	20	18	21	0	1	2	1	2	3	5	11	0	11	7	9	9	9	12	10	0	9	14	16	25	14	18	20	16	16	21	20	24	25	25	23	25	21	30	29	30	33	32	23	24	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	2	2	3	1	2	1	1	1	1	1	2	3
3000	-224.269903220038458	-231.125391170997830	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656387414829534	0	2	1	3	3	7	5	7	6	7	7	8	8	9	9	11	11	11	12	12	15	14	13	14	14	16	17	15	15	15	17	18	15	17	19	18	19	18	21	20	21	0	1	1	2	2	1	5	7	0	7	7	9	9	9	12	8	0	14	18	5	25	14	19	20	16	16	21	16	24	25	25	19	25	21	34	29	31	33	40	32	36	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	4	1	2	1	1	2	2	1	2	1	1	2	3	1	2	1	1	1	2	1	1	2
3500	-227.449939891928494	-234.305427842887866	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.668389567838265	1	2	3	3	3	7	5	7	5	8	8	8	10	8	9	10	8	11	12	12	14	13	14	14	13	15	16	16	15	16	16	18	17	18	18	18	18	20	22	20	19	0	1	1	2	1	2	5	7	0	8	8	9	15	9	9	11	0	14	13	10	25	19	19	16	8	20	21	20	24	21	25	23	31	27	30	29	31	33	32	32	29	1	1	2	1	1	2	1	1	1	1	1	2	1	3	3	1	1	2	2	2	1	1	1	2	2	2	1	2	1	1	2	3	1	1	1	3	1	1	1	1	2
4000	-174.067396568555040	-180.922884519514412	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.848504920821742	1	3	3	3	2	6	4	6	6	8	7	8	8	10	9	11	11	12	12	13	14	13	13	15	13	16	16	15	17	15	16	18	17	17	19	19	18	19	20	21	22	0	1	1	1	1	2	5	7	0	8	8	9	9	12	12	8	0	14	14	16	25	14	14	20	16	20	21	20	24	25	25	19	30	21	27	29	31	33	32	32	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1
4500	-204.550964910980611	-211.406452861939982	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643206736581073	1	4	3	3	3	6	4	8	6	8	6	8	8	10	9	11	11	11	12	13	13	13	14	14	13	14	17	16	16	15	17	18	18	17	20	18	19	19	21	21	21	0	3	1	1	1	3	5	11	0	11	7	9	9	9	12	10	0	14	18	16	16	14	18	16	16	16	21	26	24	25	30	23	25	21	34	29	31	31	23	32	26	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	3	2	3
