step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.27756	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.95200	0.27858	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91600	0.28119	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.90000	0.28669	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.82600	0.28483	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.71000	0.28463	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.63800	0.28428	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.59600	0.28372	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.39600	0.28389	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.42900	0.28556	0.000150000000000	1.000000000000000	0.256289062500000	0
5500		-nan	-nan	0.44600	0.28482	0.000150000000000	1.000000000000000	0.256289062500000	0
6000		-nan	-nan	0.45400	0.28393	0.000150000000000	1.000000000000000	0.256289062500000	0
6500		-nan	-nan	0.43480	0.28307	0.000150000000000	1.000000000000000	0.256289062500000	0
7000		-nan	-nan	0.43433	0.28217	0.000150000000000	1.000000000000000	0.256289062500000	0
7500		-nan	-nan	0.43857	0.28154	0.000150000000000	1.000000000000000	0.256289062500000	0
8000		-nan	-nan	0.43675	0.28105	0.000150000000000	1.000000000000000	0.256289062500000	0
8500		-nan	-nan	0.43444	0.28070	0.000150000000000	1.000000000000000	0.256289062500000	0
9000		-nan	-nan	0.43480	0.28033	0.000150000000000	1.000000000000000	0.256289062500000	0
9500		-nan	-nan	0.44018	0.28029	0.000150000000000	1.000000000000000	0.256289062500000	0
10000		-nan	-nan	0.43983	0.28001	0.000150000000000	1.000000000000000	0.256289062500000	0
10500		-nan	-nan	0.43769	0.27902	0.000150000000000	1.000000000000000	0.256289062500000	0
11000		-nan	-nan	0.43643	0.27932	0.000150000000000	1.000000000000000	0.256289062500000	0
11500		-nan	-nan	0.42947	0.27938	0.000150000000000	1.000000000000000	0.256289062500000	0
12000		-nan	-nan	0.42962	0.27903	0.000150000000000	1.000000000000000	0.256289062500000	0
12500		-nan	-nan	0.43035	0.27980	0.000150000000000	1.000000000000000	0.256289062500000	0
13000		-nan	-nan	0.42878	0.27878	0.000150000000000	1.000000000000000	0.256289062500000	0
13500		-nan	-nan	0.42853	0.27895	0.000150000000000	1.000000000000000	0.256289062500000	0
14000		-nan	-nan	0.43050	0.27824	0.000150000000000	1.000000000000000	0.256289062500000	0
14500		-nan	-nan	0.42686	0.27815	0.000150000000000	1.000000000000000	0.256289062500000	0
