step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.32457	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.90600	0.31582	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.83800	0.30914	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.68400	0.30591	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.61600	0.30345	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.49200	0.30249	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.51400	0.30209	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.51400	0.30156	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.50350	0.30154	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.50840	0.30115	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.50300	0.30078	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.50029	0.30085	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.50075	0.30039	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.50422	0.30040	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.50580	0.30074	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.50964	0.30079	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.50733	0.30047	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.50892	0.30046	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.50871	0.30055	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.50693	0.30063	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.50587	0.30044	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.50682	0.29993	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.50756	0.30014	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.50747	0.30039	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.50740	0.30045	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.50724	0.30049	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.50755	0.30036	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.50635	0.30020	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.50492	0.30006	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.50408	0.30015	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.50354	0.30035	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.50407	0.30026	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.50286	0.30032	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.50214	0.30056	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.50093	0.30037	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.50116	0.30041	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.50231	0.30036	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.50388	0.30024	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.50235	0.30035	0.000150000000000	1.000000000000000	0.075937500000000	0
20000		-nan	-nan	0.50074	0.30041	0.000150000000000	1.000000000000000	0.075937500000000	0
20500		-nan	-nan	0.50061	0.30045	0.000150000000000	1.000000000000000	0.075937500000000	0
21000		-nan	-nan	0.50146	0.30050	0.000150000000000	1.000000000000000	0.075937500000000	0
21500		-nan	-nan	0.50095	0.30063	0.000150000000000	1.000000000000000	0.075937500000000	0
22000		-nan	-nan	0.50056	0.30048	0.000150000000000	1.000000000000000	0.075937500000000	0
22500		-nan	-nan	0.49965	0.30055	0.000150000000000	1.000000000000000	0.075937500000000	0
23000		-nan	-nan	0.49995	0.30042	0.000150000000000	1.000000000000000	0.075937500000000	0
23500		-nan	-nan	0.49943	0.30039	0.000150000000000	1.000000000000000	0.075937500000000	0
24000		-nan	-nan	0.50028	0.30037	0.000150000000000	1.000000000000000	0.075937500000000	0
24500		-nan	-nan	0.50009	0.30046	0.000150000000000	1.000000000000000	0.075937500000000	0
25000		-nan	-nan	0.50022	0.30041	0.000150000000000	1.000000000000000	0.075937500000000	0
25500		-nan	-nan	0.49987	0.30047	0.000150000000000	1.000000000000000	0.075937500000000	0
26000		-nan	-nan	0.50026	0.30034	0.000150000000000	1.000000000000000	0.075937500000000	0
26500		-nan	-nan	0.50000	0.30037	0.000150000000000	1.000000000000000	0.075937500000000	0
27000		-nan	-nan	0.50012	0.30040	0.000150000000000	1.000000000000000	0.075937500000000	0
