step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.32416	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.84000	0.31389	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.82200	0.30830	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.74200	0.30571	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.65600	0.30393	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.49800	0.30056	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.50500	0.29909	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.50133	0.29834	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.49950	0.29743	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.49920	0.29738	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.49467	0.29700	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.49543	0.29650	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.49775	0.29604	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.49333	0.29607	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.49100	0.29575	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.49109	0.29582	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.49133	0.29602	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.49292	0.29616	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.49100	0.29616	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.49267	0.29596	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.49550	0.29590	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.49682	0.29577	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.49500	0.29554	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.49695	0.29536	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.49670	0.29554	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.49457	0.29526	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.49355	0.29521	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.49461	0.29532	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.49558	0.29534	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.49496	0.29515	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.49508	0.29505	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.49259	0.29493	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.49107	0.29471	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.49062	0.29468	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.49167	0.29469	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.49090	0.29456	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.49156	0.29432	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.49085	0.29421	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.49024	0.29421	0.000150000000000	1.000000000000000	0.075937500000000	0
20000		-nan	-nan	0.48954	0.29432	0.000150000000000	1.000000000000000	0.075937500000000	0
20500		-nan	-nan	0.48878	0.29424	0.000150000000000	1.000000000000000	0.075937500000000	0
21000		-nan	-nan	0.48984	0.29422	0.000150000000000	1.000000000000000	0.075937500000000	0
21500		-nan	-nan	0.49058	0.29426	0.000150000000000	1.000000000000000	0.075937500000000	0
22000		-nan	-nan	0.49010	0.29426	0.000150000000000	1.000000000000000	0.075937500000000	0
22500		-nan	-nan	0.48930	0.29434	0.000150000000000	1.000000000000000	0.075937500000000	0
23000		-nan	-nan	0.48912	0.29428	0.000150000000000	1.000000000000000	0.075937500000000	0
23500		-nan	-nan	0.49010	0.29430	0.000150000000000	1.000000000000000	0.075937500000000	0
24000		-nan	-nan	0.49019	0.29430	0.000150000000000	1.000000000000000	0.075937500000000	0
24500		-nan	-nan	0.49041	0.29414	0.000150000000000	1.000000000000000	0.075937500000000	0
25000		-nan	-nan	0.49031	0.29405	0.000150000000000	1.000000000000000	0.075937500000000	0
25500		-nan	-nan	0.49013	0.29393	0.000150000000000	1.000000000000000	0.075937500000000	0
26000		-nan	-nan	0.48936	0.29373	0.000150000000000	1.000000000000000	0.075937500000000	0
26500		-nan	-nan	0.48933	0.29356	0.000150000000000	1.000000000000000	0.075937500000000	0
27000		-nan	-nan	0.49041	0.29355	0.000150000000000	1.000000000000000	0.075937500000000	0
27500		-nan	-nan	0.49044	0.29355	0.000150000000000	1.000000000000000	0.075937500000000	0
28000		-nan	-nan	0.49075	0.29356	0.000150000000000	1.000000000000000	0.075937500000000	0
28500		-nan	-nan	0.49069	0.29368	0.000150000000000	1.000000000000000	0.075937500000000	0
29000		-nan	-nan	0.49060	0.29359	0.000150000000000	1.000000000000000	0.075937500000000	0
29500		-nan	-nan	0.49052	0.29355	0.000150000000000	1.000000000000000	0.075937500000000	0
30000		-nan	-nan	0.49044	0.29352	0.000150000000000	1.000000000000000	0.075937500000000	0
30500		-nan	-nan	0.49068	0.29347	0.000150000000000	1.000000000000000	0.075937500000000	0
31000		-nan	-nan	0.49084	0.29355	0.000150000000000	1.000000000000000	0.075937500000000	0
31500		-nan	-nan	0.49038	0.29354	0.000150000000000	1.000000000000000	0.075937500000000	0
32000		-nan	-nan	0.49071	0.29341	0.000150000000000	1.000000000000000	0.075937500000000	0
32500		-nan	-nan	0.49103	0.29335	0.000150000000000	1.000000000000000	0.075937500000000	0
