step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.31500	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.89600	0.29939	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.78800	0.29524	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.70000	0.29134	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.59200	0.28907	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.49400	0.28997	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.45100	0.28887	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.44667	0.28815	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.44900	0.28796	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.45760	0.28769	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.45367	0.28735	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.45486	0.28720	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.45250	0.28743	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.45222	0.28700	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.45040	0.28679	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.44618	0.28648	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.44733	0.28644	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.44785	0.28633	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.44814	0.28603	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.44747	0.28603	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.44662	0.28593	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.44671	0.28586	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.44833	0.28552	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.44874	0.28526	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.44860	0.28515	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.44943	0.28484	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.45055	0.28474	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.45113	0.28493	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.45167	0.28516	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.45256	0.28506	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.45408	0.28520	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.45474	0.28508	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.45564	0.28513	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.45579	0.28503	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.45720	0.28475	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.45735	0.28471	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.45750	0.28461	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.45655	0.28459	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.45747	0.28468	0.000150000000000	1.000000000000000	0.075937500000000	0
20000		-nan	-nan	0.45794	0.28474	0.000150000000000	1.000000000000000	0.075937500000000	0
20500		-nan	-nan	0.45756	0.28487	0.000150000000000	1.000000000000000	0.075937500000000	0
21000		-nan	-nan	0.45865	0.28476	0.000150000000000	1.000000000000000	0.075937500000000	0
21500		-nan	-nan	0.45868	0.28481	0.000150000000000	1.000000000000000	0.075937500000000	0
22000		-nan	-nan	0.45862	0.28485	0.000150000000000	1.000000000000000	0.075937500000000	0
22500		-nan	-nan	0.45835	0.28468	0.000150000000000	1.000000000000000	0.075937500000000	0
23000		-nan	-nan	0.45805	0.28477	0.000150000000000	1.000000000000000	0.075937500000000	0
23500		-nan	-nan	0.45790	0.28473	0.000150000000000	1.000000000000000	0.075937500000000	0
24000		-nan	-nan	0.45870	0.28486	0.000150000000000	1.000000000000000	0.075937500000000	0
24500		-nan	-nan	0.45777	0.28490	0.000150000000000	1.000000000000000	0.075937500000000	0
25000		-nan	-nan	0.45804	0.28478	0.000150000000000	1.000000000000000	0.075937500000000	0
25500		-nan	-nan	0.45743	0.28477	0.000150000000000	1.000000000000000	0.075937500000000	0
26000		-nan	-nan	0.45753	0.28494	0.000150000000000	1.000000000000000	0.075937500000000	0
26500		-nan	-nan	0.45746	0.28503	0.000150000000000	1.000000000000000	0.075937500000000	0
27000		-nan	-nan	0.45678	0.28494	0.000150000000000	1.000000000000000	0.075937500000000	0
27500		-nan	-nan	0.45752	0.28495	0.000150000000000	1.000000000000000	0.075937500000000	0
28000		-nan	-nan	0.45675	0.28494	0.000150000000000	1.000000000000000	0.075937500000000	0
28500		-nan	-nan	0.45646	0.28501	0.000150000000000	1.000000000000000	0.075937500000000	0
29000		-nan	-nan	0.45638	0.28498	0.000150000000000	1.000000000000000	0.075937500000000	0
29500		-nan	-nan	0.45600	0.28484	0.000150000000000	1.000000000000000	0.075937500000000	0
30000		-nan	-nan	0.45545	0.28478	0.000150000000000	1.000000000000000	0.075937500000000	0
30500		-nan	-nan	0.45536	0.28480	0.000150000000000	1.000000000000000	0.075937500000000	0
31000		-nan	-nan	0.45593	0.28482	0.000150000000000	1.000000000000000	0.075937500000000	0
31500		-nan	-nan	0.45583	0.28486	0.000150000000000	1.000000000000000	0.075937500000000	0
32000		-nan	-nan	0.45569	0.28477	0.000150000000000	1.000000000000000	0.075937500000000	0
32500		-nan	-nan	0.45587	0.28469	0.000150000000000	1.000000000000000	0.075937500000000	0
33000		-nan	-nan	0.45561	0.28462	0.000150000000000	1.000000000000000	0.075937500000000	0
33500		-nan	-nan	0.45565	0.28461	0.000150000000000	1.000000000000000	0.075937500000000	0
34000		-nan	-nan	0.45581	0.28461	0.000150000000000	1.000000000000000	0.075937500000000	0
34500		-nan	-nan	0.45572	0.28456	0.000150000000000	1.000000000000000	0.075937500000000	0
35000		-nan	-nan	0.45594	0.28452	0.000150000000000	1.000000000000000	0.075937500000000	0
