step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.30732	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.86800	0.29920	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.79600	0.29613	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.68600	0.29480	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.62800	0.29212	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.49200	0.29156	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.48800	0.29103	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.48200	0.29043	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.47700	0.28975	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.47640	0.28934	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.47533	0.28920	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.47057	0.28854	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.47125	0.28846	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.46978	0.28839	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.46440	0.28849	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.46109	0.28815	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.46333	0.28815	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.46400	0.28809	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.46343	0.28826	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.46427	0.28827	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.46200	0.28848	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.46235	0.28869	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.46189	0.28860	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.46305	0.28873	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.46290	0.28872	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.46210	0.28883	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.46255	0.28889	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.46426	0.28897	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.46258	0.28896	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.46248	0.28905	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.46400	0.28884	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.46363	0.28865	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.46293	0.28855	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.46276	0.28816	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.46253	0.28805	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.46277	0.28822	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.46300	0.28825	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.46273	0.28833	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.46265	0.28802	0.000150000000000	1.000000000000000	0.075937500000000	0
20000		-nan	-nan	0.46143	0.28781	0.000150000000000	1.000000000000000	0.075937500000000	0
20500		-nan	-nan	0.46144	0.28784	0.000150000000000	1.000000000000000	0.075937500000000	0
21000		-nan	-nan	0.46124	0.28769	0.000150000000000	1.000000000000000	0.075937500000000	0
21500		-nan	-nan	0.46016	0.28753	0.000150000000000	1.000000000000000	0.075937500000000	0
22000		-nan	-nan	0.46056	0.28740	0.000150000000000	1.000000000000000	0.075937500000000	0
22500		-nan	-nan	0.46040	0.28729	0.000150000000000	1.000000000000000	0.075937500000000	0
23000		-nan	-nan	0.46034	0.28728	0.000150000000000	1.000000000000000	0.075937500000000	0
23500		-nan	-nan	0.46000	0.28733	0.000150000000000	1.000000000000000	0.075937500000000	0
24000		-nan	-nan	0.45967	0.28738	0.000150000000000	1.000000000000000	0.075937500000000	0
24500		-nan	-nan	0.46009	0.28739	0.000150000000000	1.000000000000000	0.075937500000000	0
25000		-nan	-nan	0.45916	0.28740	0.000150000000000	1.000000000000000	0.075937500000000	0
25500		-nan	-nan	0.45943	0.28729	0.000150000000000	1.000000000000000	0.075937500000000	0
26000		-nan	-nan	0.46047	0.28719	0.000150000000000	1.000000000000000	0.075937500000000	0
26500		-nan	-nan	0.46008	0.28724	0.000150000000000	1.000000000000000	0.075937500000000	0
27000		-nan	-nan	0.46057	0.28730	0.000150000000000	1.000000000000000	0.075937500000000	0
27500		-nan	-nan	0.46160	0.28713	0.000150000000000	1.000000000000000	0.075937500000000	0
28000		-nan	-nan	0.46224	0.28716	0.000150000000000	1.000000000000000	0.075937500000000	0
28500		-nan	-nan	0.46246	0.28725	0.000150000000000	1.000000000000000	0.075937500000000	0
29000		-nan	-nan	0.46189	0.28711	0.000150000000000	1.000000000000000	0.075937500000000	0
29500		-nan	-nan	0.46278	0.28710	0.000150000000000	1.000000000000000	0.075937500000000	0
30000		-nan	-nan	0.46320	0.28718	0.000150000000000	1.000000000000000	0.075937500000000	0
30500		-nan	-nan	0.46350	0.28716	0.000150000000000	1.000000000000000	0.075937500000000	0
31000		-nan	-nan	0.46302	0.28717	0.000150000000000	1.000000000000000	0.075937500000000	0
31500		-nan	-nan	0.46186	0.28710	0.000150000000000	1.000000000000000	0.075937500000000	0
32000		-nan	-nan	0.46176	0.28715	0.000150000000000	1.000000000000000	0.075937500000000	0
32500		-nan	-nan	0.46230	0.28727	0.000150000000000	1.000000000000000	0.075937500000000	0
33000		-nan	-nan	0.46190	0.28728	0.000150000000000	1.000000000000000	0.075937500000000	0
33500		-nan	-nan	0.46226	0.28727	0.000150000000000	1.000000000000000	0.075937500000000	0
34000		-nan	-nan	0.46194	0.28720	0.000150000000000	1.000000000000000	0.075937500000000	0
34500		-nan	-nan	0.46197	0.28726	0.000150000000000	1.000000000000000	0.075937500000000	0
35000		-nan	-nan	0.46166	0.28729	0.000150000000000	1.000000000000000	0.075937500000000	0
35500		-nan	-nan	0.46158	0.28730	0.000150000000000	1.000000000000000	0.075937500000000	0
36000		-nan	-nan	0.46170	0.28727	0.000150000000000	1.000000000000000	0.075937500000000	0
36500		-nan	-nan	0.46156	0.28726	0.000150000000000	1.000000000000000	0.075937500000000	0
37000		-nan	-nan	0.46122	0.28731	0.000150000000000	1.000000000000000	0.075937500000000	0
