step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.31334	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.89000	0.30106	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.79200	0.29677	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.66600	0.29396	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.54600	0.29181	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.43600	0.29081	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.45600	0.29051	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.45133	0.28967	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.45200	0.28926	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.46400	0.28940	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.45833	0.28978	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.45000	0.29002	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.44475	0.28997	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.44400	0.28948	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.44400	0.28884	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.44255	0.28824	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.44150	0.28801	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.44277	0.28803	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.44300	0.28797	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.44027	0.28788	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.43825	0.28783	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.43929	0.28784	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.44067	0.28791	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.44168	0.28772	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.43910	0.28751	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.43810	0.28740	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.44036	0.28734	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.44130	0.28752	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.44000	0.28735	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.43936	0.28734	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.44208	0.28707	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.44133	0.28718	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.44279	0.28724	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.44283	0.28721	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.44280	0.28720	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.44187	0.28708	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.44225	0.28710	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.44400	0.28706	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.44312	0.28699	0.000150000000000	1.000000000000000	0.075937500000000	0
20000		-nan	-nan	0.44314	0.28707	0.000150000000000	1.000000000000000	0.075937500000000	0
20500		-nan	-nan	0.44322	0.28691	0.000150000000000	1.000000000000000	0.075937500000000	0
21000		-nan	-nan	0.44314	0.28692	0.000150000000000	1.000000000000000	0.075937500000000	0
21500		-nan	-nan	0.44342	0.28678	0.000150000000000	1.000000000000000	0.075937500000000	0
22000		-nan	-nan	0.44364	0.28683	0.000150000000000	1.000000000000000	0.075937500000000	0
22500		-nan	-nan	0.44285	0.28676	0.000150000000000	1.000000000000000	0.075937500000000	0
23000		-nan	-nan	0.44273	0.28672	0.000150000000000	1.000000000000000	0.075937500000000	0
23500		-nan	-nan	0.44210	0.28669	0.000150000000000	1.000000000000000	0.075937500000000	0
24000		-nan	-nan	0.44074	0.28664	0.000150000000000	1.000000000000000	0.075937500000000	0
24500		-nan	-nan	0.44032	0.28668	0.000150000000000	1.000000000000000	0.075937500000000	0
25000		-nan	-nan	0.43973	0.28669	0.000150000000000	1.000000000000000	0.075937500000000	0
25500		-nan	-nan	0.43874	0.28653	0.000150000000000	1.000000000000000	0.075937500000000	0
26000		-nan	-nan	0.43834	0.28651	0.000150000000000	1.000000000000000	0.075937500000000	0
26500		-nan	-nan	0.43821	0.28648	0.000150000000000	1.000000000000000	0.075937500000000	0
27000		-nan	-nan	0.43849	0.28639	0.000150000000000	1.000000000000000	0.075937500000000	0
27500		-nan	-nan	0.43876	0.28634	0.000150000000000	1.000000000000000	0.075937500000000	0
28000		-nan	-nan	0.44012	0.28637	0.000150000000000	1.000000000000000	0.075937500000000	0
28500		-nan	-nan	0.44023	0.28641	0.000150000000000	1.000000000000000	0.075937500000000	0
29000		-nan	-nan	0.44019	0.28635	0.000150000000000	1.000000000000000	0.075937500000000	0
29500		-nan	-nan	0.43963	0.28636	0.000150000000000	1.000000000000000	0.075937500000000	0
30000		-nan	-nan	0.43971	0.28643	0.000150000000000	1.000000000000000	0.075937500000000	0
30500		-nan	-nan	0.43996	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
31000		-nan	-nan	0.43937	0.28652	0.000150000000000	1.000000000000000	0.075937500000000	0
31500		-nan	-nan	0.43952	0.28645	0.000150000000000	1.000000000000000	0.075937500000000	0
32000		-nan	-nan	0.43990	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
32500		-nan	-nan	0.44033	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
33000		-nan	-nan	0.43980	0.28650	0.000150000000000	1.000000000000000	0.075937500000000	0
33500		-nan	-nan	0.43994	0.28650	0.000150000000000	1.000000000000000	0.075937500000000	0
34000		-nan	-nan	0.44019	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
34500		-nan	-nan	0.44031	0.28651	0.000150000000000	1.000000000000000	0.075937500000000	0
35000		-nan	-nan	0.43975	0.28643	0.000150000000000	1.000000000000000	0.075937500000000	0
35500		-nan	-nan	0.43976	0.28644	0.000150000000000	1.000000000000000	0.075937500000000	0
36000		-nan	-nan	0.43913	0.28645	0.000150000000000	1.000000000000000	0.075937500000000	0
36500		-nan	-nan	0.43894	0.28650	0.000150000000000	1.000000000000000	0.075937500000000	0
37000		-nan	-nan	0.43858	0.28652	0.000150000000000	1.000000000000000	0.075937500000000	0
37500		-nan	-nan	0.43854	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
38000		-nan	-nan	0.43834	0.28650	0.000150000000000	1.000000000000000	0.075937500000000	0
38500		-nan	-nan	0.43839	0.28653	0.000150000000000	1.000000000000000	0.075937500000000	0
39000		-nan	-nan	0.43827	0.28661	0.000150000000000	1.000000000000000	0.075937500000000	0
39500		-nan	-nan	0.43843	0.28658	0.000150000000000	1.000000000000000	0.075937500000000	0
40000		-nan	-nan	0.43805	0.28654	0.000150000000000	1.000000000000000	0.075937500000000	0
40500		-nan	-nan	0.43768	0.28655	0.000150000000000	1.000000000000000	0.075937500000000	0
41000		-nan	-nan	0.43753	0.28655	0.000150000000000	1.000000000000000	0.075937500000000	0
41500		-nan	-nan	0.43767	0.28651	0.000150000000000	1.000000000000000	0.075937500000000	0
42000		-nan	-nan	0.43790	0.28658	0.000150000000000	1.000000000000000	0.075937500000000	0
42500		-nan	-nan	0.43745	0.28655	0.000150000000000	1.000000000000000	0.075937500000000	0
43000		-nan	-nan	0.43694	0.28654	0.000150000000000	1.000000000000000	0.075937500000000	0
43500		-nan	-nan	0.43720	0.28660	0.000150000000000	1.000000000000000	0.075937500000000	0
44000		-nan	-nan	0.43771	0.28664	0.000150000000000	1.000000000000000	0.075937500000000	0
44500		-nan	-nan	0.43821	0.28672	0.000150000000000	1.000000000000000	0.075937500000000	0
45000		-nan	-nan	0.43826	0.28668	0.000150000000000	1.000000000000000	0.075937500000000	0
45500		-nan	-nan	0.43830	0.28663	0.000150000000000	1.000000000000000	0.075937500000000	0
46000		-nan	-nan	0.43874	0.28665	0.000150000000000	1.000000000000000	0.075937500000000	0
46500		-nan	-nan	0.43907	0.28666	0.000150000000000	1.000000000000000	0.075937500000000	0
47000		-nan	-nan	0.43935	0.28672	0.000150000000000	1.000000000000000	0.075937500000000	0
47500		-nan	-nan	0.43911	0.28669	0.000150000000000	1.000000000000000	0.075937500000000	0
48000		-nan	-nan	0.43919	0.28665	0.000150000000000	1.000000000000000	0.075937500000000	0
48500		-nan	-nan	0.43885	0.28664	0.000150000000000	1.000000000000000	0.075937500000000	0
49000		-nan	-nan	0.43895	0.28661	0.000150000000000	1.000000000000000	0.075937500000000	0
49500		-nan	-nan	0.43921	0.28648	0.000150000000000	1.000000000000000	0.075937500000000	0
50000		-nan	-nan	0.43916	0.28639	0.000150000000000	1.000000000000000	0.075937500000000	0
50500		-nan	-nan	0.43883	0.28636	0.000150000000000	1.000000000000000	0.075937500000000	0
51000		-nan	-nan	0.43905	0.28638	0.000150000000000	1.000000000000000	0.075937500000000	0
51500		-nan	-nan	0.43918	0.28640	0.000150000000000	1.000000000000000	0.075937500000000	0
52000		-nan	-nan	0.43891	0.28641	0.000150000000000	1.000000000000000	0.075937500000000	0
52500		-nan	-nan	0.43894	0.28648	0.000150000000000	1.000000000000000	0.075937500000000	0
53000		-nan	-nan	0.43909	0.28645	0.000150000000000	1.000000000000000	0.075937500000000	0
53500		-nan	-nan	0.43927	0.28648	0.000150000000000	1.000000000000000	0.075937500000000	0
54000		-nan	-nan	0.43938	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
54500		-nan	-nan	0.43923	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
55000		-nan	-nan	0.43935	0.28647	0.000150000000000	1.000000000000000	0.075937500000000	0
55500		-nan	-nan	0.43881	0.28644	0.000150000000000	1.000000000000000	0.075937500000000	0
56000		-nan	-nan	0.43869	0.28646	0.000150000000000	1.000000000000000	0.075937500000000	0
56500		-nan	-nan	0.43889	0.28648	0.000150000000000	1.000000000000000	0.075937500000000	0
57000		-nan	-nan	0.43875	0.28650	0.000150000000000	1.000000000000000	0.075937500000000	0
57500		-nan	-nan	0.43878	0.28650	0.000150000000000	1.000000000000000	0.075937500000000	0
58000		-nan	-nan	0.43825	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
58500		-nan	-nan	0.43821	0.28644	0.000150000000000	1.000000000000000	0.075937500000000	0
59000		-nan	-nan	0.43865	0.28643	0.000150000000000	1.000000000000000	0.075937500000000	0
59500		-nan	-nan	0.43842	0.28644	0.000150000000000	1.000000000000000	0.075937500000000	0
60000		-nan	-nan	0.43847	0.28639	0.000150000000000	1.000000000000000	0.075937500000000	0
60500		-nan	-nan	0.43859	0.28638	0.000150000000000	1.000000000000000	0.075937500000000	0
61000		-nan	-nan	0.43903	0.28639	0.000150000000000	1.000000000000000	0.075937500000000	0
61500		-nan	-nan	0.43910	0.28642	0.000150000000000	1.000000000000000	0.075937500000000	0
