step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-1660.317780673345169	-1667.173268624304455	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.134142756434264	-1	1	2	6	3	3	6	4	6	5	7	6	5	9	8	7	8	8	10	8	9	9	9	10	11	10	12	12	12	11	11	15	12	13	13	13	13	14	14	14	16	14	15	16	15	15	15	17	18	17	17	18	15	17	16	16	16	16	18	18	18	17	18	19	19	20	20	20	22	20	20	21	21	21	22	21	22	23	23	24	24	24	26	26	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	2	4	3	4	3	4	4	3	5	5	4	5	5	6	5	5	5	5	6	6	6	7	7	7	6	6	8	7	7	7	7	7	8	8	8	9	8	8	9	8	8	8	9	10	9	9	10	8	9	9	9	9	9	10	10	10	9	10	10	10	11	11	11	12	11	11	11	11	11	12	11	12	12	12	13	13	13	14	14	14
500	-796.358411066292661	-803.213899017252061	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.241146056720290	0	1	2	5	3	3	5	4	7	3	8	6	5	10	8	7	8	8	10	9	7	9	10	10	9	9	11	13	9	11	9	14	12	13	12	13	13	13	11	14	17	13	15	16	16	15	16	17	18	18	16	18	15	17	16	15	15	16	18	18	18	17	18	19	17	20	20	21	22	18	19	22	21	22	23	22	23	24	24	25	25	24	26	26	26	0	1	1	2	1	2	10	5	6	3	2	2	10	4	7	10	4	4	10	7	4	18	3	17	18	21	11	15	21	17	18	33	25	27	29	30	26	20	31	31	32	27	18	40	29	8	33	33	24	31	31	42	35	0	39	21	21	29	24	42	34	11	24	40	31	53	31	11	24	11	31	50	0	11	32	39	70	39	65	32	41	40	49	39	24	1	1	1	2	1	2	1	1	3	1	3	3	1	1	2	1	2	1	3	2	1	1	4	1	1	2	1	3	1	1	1	1	2	1	2	1	2	2	1	3	2	1	5	1	4	4	2	3	4	5	4	4	2	1	3	4	4	5	4	3	3	3	5	2	6	3	6	7	7	5	6	2	1	8	5	7	2	5	4	9	5	9	6	8	13
1000	-607.069584196250617	-613.925072147210017	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.362902922145776	-1	2	2	4	3	1	5	4	6	6	8	6	6	8	8	5	6	8	10	8	9	9	9	9	11	10	12	12	13	11	10	15	13	13	13	13	13	15	13	13	17	14	15	16	16	15	15	17	16	17	17	19	14	18	16	16	17	15	18	18	18	17	19	19	16	19	21	19	22	20	21	22	22	22	23	22	22	24	24	23	25	24	26	26	27	0	6	1	2	3	1	3	1	1	7	7	2	8	3	13	8	1	6	9	10	17	2	13	18	8	18	18	19	25	18	18	18	11	27	22	30	18	28	31	9	47	27	35	25	35	19	9	33	21	39	40	61	22	0	39	17	58	53	45	42	42	58	43	50	39	53	40	32	49	49	64	65	0	32	68	39	70	71	72	56	32	64	70	71	49	1	1	2	1	1	1	2	3	4	1	2	2	2	3	2	1	3	3	1	1	1	5	2	1	4	1	3	2	1	2	2	3	3	1	3	1	2	2	2	3	1	2	1	3	2	3	4	2	4	2	2	1	3	1	2	6	1	1	1	1	2	1	2	1	1	2	4	2	3	2	2	2	1	4	3	7	2	1	2	3	4	3	2	3	9
1500	-510.235287273317908	-517.090775224277309	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614176812946479	-1	2	2	6	3	3	7	4	7	5	7	6	6	7	7	6	8	8	7	8	9	8	10	11	11	10	11	12	11	11	12	13	12	13	13	13	13	13	15	15	16	15	15	16	15	14	14	17	17	17	18	16	15	17	17	16	17	16	19	18	19	17	18	19	18	21	19	20	22	20	20	21	22	22	23	21	22	21	24	24	24	25	26	26	27	0	1	1	6	3	2	10	3	4	8	6	2	10	3	4	10	4	6	3	13	18	4	20	21	26	14	18	15	14	22	21	25	25	27	29	18	26	28	31	31	32	34	24	31	29	38	18	33	29	39	40	42	29	0	40	14	58	53	49	52	42	53	58	50	50	63	55	32	59	49	50	65	0	68	68	65	49	71	76	74	56	71	77	82	77	1	1	1	2	1	1	1	1	1	1	2	2	1	3	1	1	1	2	3	1	1	2	1	1	1	2	2	3	2	1	2	1	1	1	1	2	2	1	2	2	2	1	1	2	2	1	3	3	2	1	2	1	2	1	1	4	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	2	2	3	1	2	2	4	2	2	1	5
2000	-472.329078577064024	-479.184566528023424	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.722730194322738	-1	2	2	6	4	4	6	3	6	4	6	5	4	9	8	7	9	8	9	8	10	10	10	11	10	10	12	12	12	11	12	15	12	13	14	14	13	14	15	13	17	15	15	16	16	16	14	16	17	17	16	17	13	17	16	17	15	16	18	16	19	16	18	20	19	20	19	19	22	18	20	21	21	21	21	22	21	23	24	24	24	24	26	26	26	0	1	1	2	8	1	10	3	6	3	6	2	2	4	7	7	4	4	15	10	18	14	20	21	18	6	22	23	21	18	22	26	25	31	29	18	26	28	31	31	32	34	53	31	35	28	33	25	35	39	40	42	29	0	40	32	53	53	49	42	52	53	58	50	50	62	40	56	70	48	39	65	0	56	68	65	49	71	72	74	74	71	77	82	77	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	2	1	1	2	1	2	1	1	2	3	1	1	2	1	1	1	1	3	1	1	1	4	2	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2	3	1	2	1	1	2	1	2	2	2	1	1	1	2	3	1	3
2500	-461.651219990721813	-468.506707941681213	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673514261614581	0	2	2	6	3	3	6	4	6	4	7	7	5	9	7	8	7	7	9	8	9	10	9	11	12	10	12	12	12	10	11	15	12	13	14	13	13	14	14	14	15	15	14	16	15	15	15	18	18	17	17	18	16	17	16	16	17	14	19	19	17	18	18	19	19	20	18	20	22	18	20	20	21	21	22	20	22	23	24	24	24	23	26	25	26	0	1	1	6	3	2	10	3	6	3	1	9	10	9	10	13	4	6	15	7	18	18	15	22	31	18	22	20	24	18	11	33	22	31	29	33	26	20	31	31	33	34	11	31	35	38	34	47	29	39	55	61	58	0	40	32	58	29	49	61	42	53	58	50	50	53	55	56	59	35	64	65	0	56	68	65	49	71	76	74	74	71	77	78	77	1	1	1	2	1	1	1	1	2	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	3	2	1	2	1	1	2	3	2	1	1	1	3	2	1	1	1	2	4	1	1	1	1	1	2	1	2	1	1	2	1	1	2	2	1	2	1	2	1	2	1	1	1	2	1	1	2	2	2	2	2	1	2	1	2
3000	-478.560802254357441	-485.416290205316841	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.597985343241658	-1	1	3	6	3	3	6	1	6	4	7	6	5	9	8	8	8	8	10	8	9	9	10	10	12	10	13	12	11	10	12	15	12	13	14	14	13	14	15	14	16	14	15	14	15	16	15	17	19	17	18	18	15	17	17	17	16	16	18	18	17	17	18	18	20	18	20	20	20	20	20	20	22	21	20	20	22	24	23	25	23	24	26	26	24	0	1	8	2	8	2	10	1	6	8	9	2	8	4	7	10	2	4	15	4	4	18	20	21	18	4	31	20	24	4	22	25	18	22	29	30	26	19	31	31	32	34	29	31	35	15	25	32	35	39	55	42	35	0	40	32	53	53	45	61	42	53	35	50	50	57	55	56	59	45	64	50	0	75	56	50	70	71	76	81	75	71	85	78	70	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	1	2	2	2	1	3	1	1	1	1	1	1	1	4	2	1	2	2	1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	2	2	2	1	3	1	2	1	1	2	1	1	2	2	1	2	2	1	1	2
3500	-469.994119945681291	-476.849607896640691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.713270215445214	-1	1	2	6	3	3	6	3	7	4	6	5	4	9	7	8	8	7	11	9	9	10	10	11	11	9	13	11	11	10	11	15	12	12	13	12	13	15	15	14	16	14	13	17	14	14	15	15	17	17	18	17	15	17	16	17	17	17	18	19	19	18	17	19	19	20	20	21	22	20	20	21	21	21	22	21	22	24	24	25	24	25	26	25	25	0	1	1	6	3	2	10	3	4	3	6	2	3	17	7	7	11	11	15	15	18	18	20	21	4	18	22	20	21	18	22	25	14	22	18	30	26	46	31	31	33	34	24	31	35	28	27	25	35	39	55	42	43	0	40	32	53	53	35	52	42	63	53	50	50	63	55	56	49	59	50	65	0	41	68	65	70	71	76	68	74	78	77	71	77	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	3	1	1	3	2	2	1	2	1	2	1	1	4	1	2	1	2	2	1	2	2	1	1	2	1	1	2	3	1	3	1	1	1	1	2	2	2	2	2	1	2	1	2	1	1	2	2	2	1	2	1	2	2	1
4000	-475.450746259431980	-482.306234210391381	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.662201344360079	-1	1	1	4	3	2	6	3	5	4	6	7	5	9	8	8	6	8	10	8	10	10	9	10	9	10	12	12	11	11	10	14	12	13	14	13	14	13	15	13	15	14	14	16	15	15	16	18	17	18	17	19	15	17	15	16	17	17	19	18	17	17	18	19	19	19	18	20	22	20	20	22	20	21	20	22	21	24	24	25	25	25	24	26	25	0	1	1	6	3	2	10	3	6	8	6	6	10	8	7	7	6	17	15	7	18	25	20	18	18	18	22	19	18	25	18	33	25	27	29	30	26	28	31	31	33	27	29	31	21	28	33	41	35	39	55	42	43	0	40	32	53	53	49	61	34	53	53	39	50	58	55	56	59	21	64	65	0	68	56	65	70	71	76	68	74	78	77	78	83	1	1	1	1	2	1	1	1	2	1	2	2	1	3	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	3	1	2	1	2	3	2	2	2	1	2	1	2	2	1	1	2	1	1	2	1	1	2	1	2	3	1	1	2	3	2	4	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1
4500	-458.014555561045256	-464.870043512004656	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688159126957782	0	2	2	7	4	3	5	3	4	4	8	5	5	10	7	8	8	8	11	9	9	9	9	11	10	10	11	11	12	10	12	15	12	13	13	14	13	14	14	15	17	15	16	16	14	16	14	17	18	17	17	18	15	17	16	16	16	17	19	18	16	17	18	19	20	21	17	20	22	20	21	21	21	21	23	22	22	22	23	24	24	24	24	27	26	0	1	1	9	3	2	8	3	2	3	6	6	10	11	8	15	4	1	10	16	18	18	15	21	22	18	22	20	24	18	27	25	11	27	24	33	26	20	31	31	25	34	53	31	29	19	21	25	29	39	40	61	29	0	40	32	53	53	49	61	42	53	58	50	50	57	55	56	70	35	50	65	0	56	74	50	49	71	72	74	74	71	77	71	70	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	3	1	1	2	1	2	3	3	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	3	2	1	1	2	1	2	2	1	1	2	2	1	1	3	3
5000	-497.774488431113241	-504.629976382072641	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.632522101109168	0	1	2	7	3	3	7	1	6	4	7	7	6	9	6	5	8	7	10	8	9	10	8	10	11	10	12	12	13	10	11	15	13	14	13	14	13	15	13	13	17	13	16	15	15	15	15	16	16	17	18	18	16	17	16	17	15	13	18	18	17	18	18	19	19	21	21	20	22	20	21	21	20	21	22	22	22	24	24	24	25	24	26	26	26	0	1	8	9	8	2	10	1	6	3	9	15	10	9	10	10	11	2	13	15	18	18	15	17	18	18	22	20	25	6	6	25	22	27	24	17	26	28	31	31	32	22	35	40	35	28	35	33	29	39	40	42	58	0	40	32	58	31	49	42	42	53	53	50	50	63	51	56	59	59	64	65	0	68	68	65	49	71	76	74	74	71	70	71	77	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	2	1	1	2	1	1	2	1	3	5	2	2	1	2	2	1	2	2	1	1	1	2	1	1	2	1	2	2	2	2	3	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	3	2	1	1	2	2	2	1	2
5500	-479.545799629383851	-486.401287580343251	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.592980108222075	-1	2	2	7	4	4	7	5	6	4	6	7	6	9	8	7	8	8	10	8	7	10	10	9	10	9	12	12	11	11	11	15	11	13	14	13	14	13	14	13	17	15	16	17	14	15	14	17	18	17	16	17	16	17	16	15	16	15	19	19	19	18	18	19	19	19	20	19	22	20	20	22	20	21	23	22	22	23	23	23	24	25	26	27	25	0	1	1	11	3	2	10	3	6	3	6	8	3	11	13	10	6	8	15	13	11	21	20	21	18	18	22	20	24	14	18	25	25	22	29	30	26	7	31	31	32	34	35	31	29	20	33	21	35	39	40	42	58	0	40	47	58	29	49	52	52	57	58	50	50	57	40	56	59	49	64	65	0	68	32	65	70	71	50	74	74	71	77	78	77	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	3	2	1	1	1	1	4	1	3	2	6	2	2	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	2	4	3	2	1	1	1	1	1	4	1	2	2	3	1	2	2	2	3	2
