step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94
1	-1395.151370533191994	-1402.006858484151280	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.370684794883748	0	3	4	6	4	6	7	7	6	6	7	6	8	8	7	8	7	10	10	8	8	12	9	8	10	10	10	10	11	10	11	11	10	11	12	10	11	13	15	12	12	14	12	13	12	12	11	15	13	14	13	13	12	13	12	15	14	13	15	13	14	15	15	15	17	14	16	15	16	16	17	15	16	18	17	17	18	16	17	17	19	18	18	19	19	19	19	18	19	21	22	20	23	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	4	4	3	3	4	3	4	4	4	4	4	5	5	4	4	6	5	4	5	5	5	5	6	5	6	6	5	6	6	5	6	7	8	6	6	7	6	7	6	6	6	8	7	7	7	7	6	7	6	8	7	7	8	7	7	8	8	8	9	7	8	8	8	8	9	8	8	9	9	9	9	8	9	9	10	9	9	10	10	10	10	9	10	11	11	10	12	11
500	-653.062679168727414	-659.918167119686814	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.350214277644650	1	3	5	6	5	6	7	8	7	5	6	6	8	8	8	8	8	11	9	9	9	11	9	8	9	9	10	9	10	11	12	11	11	12	11	10	10	12	15	11	13	12	12	14	13	12	9	14	11	15	13	14	12	14	12	15	14	13	16	13	13	16	16	16	17	14	15	15	15	16	18	16	16	18	15	16	18	17	18	17	20	18	18	19	19	18	19	18	20	21	23	20	22	20	0	1	2	1	1	1	5	3	5	2	2	3	2	3	7	10	4	11	6	3	12	12	12	4	10	2	28	3	16	17	35	21	19	32	12	21	25	12	52	21	53	11	21	21	55	22	2	28	12	36	35	40	30	32	33	35	41	21	46	49	25	32	28	43	32	26	53	31	23	26	61	48	57	60	60	61	61	57	69	61	55	49	60	60	88	76	76	19	88	86	61	49	80	49	1	1	1	2	2	2	1	2	1	2	1	1	2	2	1	2	1	2	2	3	2	3	2	1	2	3	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	3	1	3	1	1	4	5	5	2	1	2	1	2	1	2	1	2	2	1	2	3	3	2	5	3	1	2	3	3	3	2	2	3	1	3	3	2	2	2	3	3	3	4	1	1	2	6	1	1	4	6	2	3
1000	-553.935160624853097	-560.790648575812497	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590507939207264	1	3	5	6	5	5	7	8	6	6	8	7	8	7	7	7	8	11	10	8	8	9	10	7	10	10	11	11	11	10	12	11	11	11	12	10	9	13	16	12	11	15	12	13	12	11	10	15	11	12	13	14	11	13	13	14	15	14	15	14	14	15	14	14	18	14	15	13	16	16	18	16	17	18	17	18	18	17	16	16	19	16	18	20	19	20	20	18	20	21	21	19	22	22	0	1	2	2	1	2	6	14	5	2	4	3	5	3	6	10	12	11	21	14	12	21	22	2	4	13	14	6	16	17	19	23	36	36	32	12	2	22	56	25	24	30	3	32	33	21	4	28	23	36	23	40	10	34	45	43	26	44	46	49	40	33	28	50	51	4	30	43	43	56	61	48	42	60	49	66	61	67	43	61	33	49	60	88	75	77	76	49	82	76	87	83	91	92	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	2	3	2	1	1	3	3	3	1	1	2	2	2	1	1	2	1	3	1	1	1	2	1	2	1	1	1	3	1	2	4	2	1	2	1	2	1	1	2	3	3	2	1	2	1	3	2	2	1	1	1	1	4	2	2	1	1	1	2
1500	-527.899226724165715	-534.754714675125115	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.654651154674119	0	3	4	6	4	6	7	8	6	6	7	6	8	8	8	7	8	9	9	8	8	13	9	8	9	10	11	10	10	10	12	10	10	11	12	11	8	14	16	12	13	14	13	13	12	13	11	12	13	13	12	12	12	14	13	13	15	13	15	14	14	16	16	14	17	15	17	15	15	17	17	15	16	18	16	17	16	15	17	17	19	17	18	20	20	19	19	18	19	21	22	20	24	23	0	1	2	2	1	3	3	3	5	2	5	3	10	6	7	10	4	5	12	6	12	34	12	10	8	14	6	3	10	17	32	12	19	19	21	23	5	32	56	1	30	26	35	19	33	34	25	28	51	36	8	25	30	35	45	25	42	32	46	49	40	55	48	19	43	40	78	43	22	25	61	48	53	60	60	40	61	41	69	61	55	60	75	74	75	76	76	75	82	86	87	82	77	92	1	2	1	2	2	1	1	3	1	2	2	1	1	2	1	1	2	2	2	1	1	1	2	2	1	2	2	3	2	1	1	2	1	1	2	1	2	2	2	5	2	2	1	2	1	1	1	2	1	2	2	2	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	3	2	1	2	1	1	2	1	1	1	2	3	2	1	1	2	1	1	1	2	2	2	2	5	2
2000	-513.610932046143262	-520.466419997102662	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.709373813249781	1	3	4	5	3	6	7	7	7	6	8	6	8	8	8	8	8	10	10	8	8	10	9	8	10	9	10	11	11	10	11	11	9	12	12	10	12	13	13	12	12	13	12	14	13	13	10	14	14	14	12	13	11	13	10	16	15	13	16	14	15	15	15	15	17	14	17	16	16	15	16	16	17	18	16	17	17	15	18	17	18	18	18	18	19	18	19	17	20	22	22	21	24	22	0	1	1	2	1	2	4	4	6	2	5	3	4	6	6	10	4	11	12	3	12	12	12	10	13	24	14	20	16	24	19	12	12	32	21	21	47	31	25	13	30	53	21	58	55	32	13	28	22	36	23	40	10	34	33	70	53	43	50	34	39	55	48	14	51	52	78	58	35	39	61	63	29	75	49	61	71	41	69	61	45	60	75	60	83	76	76	75	82	86	71	82	87	89	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	2	2	2	2	1	3	1	1	1	2	1	1	2	1	3	1	3	2	1	1	2	2	2	1	1	3	1	1	1	1	2	1	1	3	2	1	2	1	1	1	1	1	2	2	2	2	1
2500	-503.165954201622128	-510.021442152581528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.683078572027912	0	3	5	5	4	7	7	6	6	6	7	7	8	7	7	8	7	9	11	8	8	12	9	7	10	10	10	10	11	10	11	10	11	11	10	10	11	13	15	13	11	14	11	14	13	13	9	15	11	14	14	12	11	12	12	16	15	13	15	14	14	15	14	15	17	15	15	15	17	17	17	15	17	18	16	17	18	16	17	17	19	17	19	19	19	20	19	18	20	21	23	18	23	21	0	1	2	2	1	3	3	3	5	2	5	8	24	3	3	10	4	11	36	7	12	12	12	4	13	24	3	6	16	17	23	21	21	21	23	23	47	32	37	52	17	30	12	22	55	35	13	28	21	22	27	25	30	21	33	39	30	19	46	38	52	55	28	36	51	40	53	58	51	56	61	63	42	60	60	61	61	67	22	61	33	75	75	75	74	76	76	75	82	86	76	75	61	92	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	1	2	1	2	1	1	2	2	2	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	3	1	1	1	1	2	2	3	1	1	2	1	1	1	2	1	2	3	1	1	2	1	2	2	4	1	2	1	1	2	1	1	2	1	3	1	4	2
3000	-520.964706023206190	-527.820193974165591	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703653286200085	1	4	4	7	5	6	7	8	6	6	8	7	8	8	8	8	8	10	10	8	8	12	10	7	10	10	11	10	11	10	11	9	10	10	11	11	11	13	15	12	12	13	12	13	13	13	12	14	13	14	14	13	12	14	12	14	12	12	15	14	14	15	15	15	17	15	16	15	16	16	17	16	15	18	16	17	18	15	17	17	17	17	19	19	19	20	19	18	19	21	21	21	23	20	0	1	1	5	1	3	6	6	5	5	5	3	6	6	7	10	2	11	21	3	3	14	21	2	5	2	26	20	10	17	19	12	13	12	12	21	25	23	56	29	30	30	31	43	55	58	37	22	32	36	23	40	30	35	33	25	30	21	46	49	40	55	58	51	64	13	78	44	38	56	61	28	29	60	60	61	61	42	43	61	55	75	75	75	75	76	76	75	82	86	87	89	91	82	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	3	3	1	1	3	3	1	1	3	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	4	1	1	2	2	2	2	1	2	1	1	2	1	2	2	3	1	1	2	2	2	1	1	1	1	1	1	1	2
3500	-493.403057627843623	-500.258545578803023	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.803608259958073	1	3	4	6	5	6	8	8	6	7	7	7	8	7	8	9	8	10	9	8	8	13	9	9	9	10	9	10	11	10	11	11	11	11	9	11	11	11	14	12	13	14	12	14	13	13	10	14	12	14	12	11	13	14	12	14	14	14	16	14	14	16	15	15	14	15	16	15	16	17	17	15	16	18	16	17	19	15	18	18	19	18	18	19	20	19	19	17	19	21	21	19	24	23	0	1	2	2	2	3	3	3	5	2	5	3	4	3	6	10	10	11	21	14	12	32	21	4	14	13	14	7	16	17	19	23	19	12	12	35	47	12	26	52	17	30	23	35	55	32	25	28	12	43	6	7	30	38	33	51	30	22	46	49	40	55	48	43	36	40	42	22	51	39	61	28	57	60	60	61	71	53	69	71	62	75	75	75	75	61	76	75	82	86	87	82	86	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2	1	2	1	1	1	3	2	1	3	2	2	2	1	1	2	1	2	1	1	2	1	2	2	2	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	3	2	1	1	1	2	1	2	2
4000	-494.897501843873329	-501.752989794832729	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.747023828359381	1	3	5	6	4	6	7	7	7	7	8	6	8	8	8	9	8	10	9	9	8	11	7	9	10	10	9	10	11	11	11	10	11	10	12	11	11	14	15	13	12	15	13	13	13	12	11	14	11	15	12	13	12	13	11	16	14	13	16	13	15	15	15	14	17	14	17	15	16	17	18	16	17	19	15	17	18	16	18	17	19	18	17	20	19	19	19	18	20	21	21	20	23	23	0	1	1	2	1	3	3	6	5	3	9	3	4	6	7	17	10	11	23	14	23	32	12	3	14	2	3	3	16	10	19	23	34	23	21	6	26	43	37	37	30	30	21	23	55	34	4	28	34	32	36	25	29	22	19	39	53	3	46	34	52	55	48	51	64	52	42	44	43	56	61	63	57	60	60	61	61	53	69	61	62	75	75	74	83	76	76	83	82	86	71	82	91	92	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	2	2	2	1	2	1	2	2	3	1	1	2	2	1	2	2	2	1	1	2	2	1	2	1	2	1	1	1	1	1	3	2	2	1	2	1	1	2	1	1	2	1	1	2	1	2	3	1	1	1	2	1	1	3	2	1	1	1	1	1	1	1	1	2	1	2	2
4500	-525.616515019233248	-532.472002970192648	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655839968269009	0	2	4	5	4	6	7	5	5	6	7	6	9	6	8	8	8	9	10	8	9	12	8	7	11	10	10	10	11	10	9	11	11	11	12	10	10	11	16	12	12	15	11	12	13	11	11	13	13	13	13	14	12	12	12	14	14	12	15	14	15	15	14	15	16	13	17	15	13	16	17	16	17	19	16	18	17	16	17	18	17	17	18	18	19	19	20	18	18	21	22	20	21	22	0	1	1	2	2	3	3	3	5	4	5	8	10	3	7	10	10	11	31	6	12	19	12	4	13	21	14	20	16	17	12	12	21	12	23	23	4	36	56	27	30	41	12	27	55	21	37	28	34	36	36	40	21	21	19	25	41	27	38	34	40	33	48	51	64	40	78	19	34	56	52	63	42	75	60	61	40	53	69	77	21	75	75	75	88	76	76	60	82	86	86	82	76	92	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	3	2	1	3	1	1	1	1	2	4	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	3	1	3	1	1	1	1	1	1	2	1	1	2	1	2	2
