step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.36204	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.90000	0.33721	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.89400	0.32490	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81000	0.31802	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.75200	0.31320	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.62400	0.31084	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.49800	0.30820	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.48600	0.30560	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.49067	0.30360	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.49400	0.30182	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.49400	0.30157	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.49000	0.30119	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.49457	0.29999	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.49025	0.29955	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.49089	0.29952	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.49100	0.29953	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.49091	0.29847	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.48950	0.29793	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.49231	0.29819	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.49400	0.29791	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.49480	0.29770	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.49675	0.29784	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.49835	0.29797	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.49811	0.29790	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.49747	0.29790	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.49550	0.29745	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.49648	0.29768	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.49745	0.29717	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.49704	0.29675	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.49808	0.29628	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.49832	0.29628	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.49785	0.29607	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.49785	0.29587	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.49907	0.29604	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.49938	0.29626	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.49993	0.29617	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.50039	0.29622	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.50062	0.29632	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.50206	0.29663	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.50235	0.29681	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.50189	0.29680	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.50106	0.29676	0.000150000000000	1.000000000000000	0.113906250000000	0
21500		-nan	-nan	0.50005	0.29694	0.000150000000000	1.000000000000000	0.113906250000000	0
22000		-nan	-nan	0.49958	0.29691	0.000150000000000	1.000000000000000	0.113906250000000	0
22500		-nan	-nan	0.49928	0.29666	0.000150000000000	1.000000000000000	0.113906250000000	0
23000		-nan	-nan	0.50000	0.29672	0.000150000000000	1.000000000000000	0.113906250000000	0
23500		-nan	-nan	0.49966	0.29657	0.000150000000000	1.000000000000000	0.113906250000000	0
24000		-nan	-nan	0.49857	0.29652	0.000150000000000	1.000000000000000	0.113906250000000	0
24500		-nan	-nan	0.49851	0.29634	0.000150000000000	1.000000000000000	0.113906250000000	0
25000		-nan	-nan	0.49818	0.29623	0.000150000000000	1.000000000000000	0.113906250000000	0
25500		-nan	-nan	0.49787	0.29579	0.000150000000000	1.000000000000000	0.113906250000000	0
26000		-nan	-nan	0.49778	0.29596	0.000150000000000	1.000000000000000	0.113906250000000	0
26500		-nan	-nan	0.49813	0.29594	0.000150000000000	1.000000000000000	0.113906250000000	0
27000		-nan	-nan	0.49921	0.29589	0.000150000000000	1.000000000000000	0.113906250000000	0
27500		-nan	-nan	0.49873	0.29576	0.000150000000000	1.000000000000000	0.113906250000000	0
28000		-nan	-nan	0.49936	0.29591	0.000150000000000	1.000000000000000	0.113906250000000	0
28500		-nan	-nan	0.49988	0.29572	0.000150000000000	1.000000000000000	0.113906250000000	0
29000		-nan	-nan	0.49931	0.29551	0.000150000000000	1.000000000000000	0.113906250000000	0
29500		-nan	-nan	0.49917	0.29533	0.000150000000000	1.000000000000000	0.113906250000000	0
30000		-nan	-nan	0.49896	0.29534	0.000150000000000	1.000000000000000	0.113906250000000	0
30500		-nan	-nan	0.49887	0.29525	0.000150000000000	1.000000000000000	0.113906250000000	0
31000		-nan	-nan	0.49825	0.29512	0.000150000000000	1.000000000000000	0.113906250000000	0
31500		-nan	-nan	0.49814	0.29517	0.000150000000000	1.000000000000000	0.113906250000000	0
32000		-nan	-nan	0.49803	0.29507	0.000150000000000	1.000000000000000	0.113906250000000	0
32500		-nan	-nan	0.49881	0.29503	0.000150000000000	1.000000000000000	0.113906250000000	0
33000		-nan	-nan	0.49843	0.29500	0.000150000000000	1.000000000000000	0.113906250000000	0
33500		-nan	-nan	0.49885	0.29500	0.000150000000000	1.000000000000000	0.113906250000000	0
34000		-nan	-nan	0.49939	0.29504	0.000150000000000	1.000000000000000	0.113906250000000	0
34500		-nan	-nan	0.49962	0.29512	0.000150000000000	1.000000000000000	0.113906250000000	0
35000		-nan	-nan	0.49994	0.29512	0.000150000000000	1.000000000000000	0.113906250000000	0
35500		-nan	-nan	0.50114	0.29510	0.000150000000000	1.000000000000000	0.113906250000000	0
36000		-nan	-nan	0.50127	0.29511	0.000150000000000	1.000000000000000	0.113906250000000	0
36500		-nan	-nan	0.50170	0.29518	0.000150000000000	1.000000000000000	0.113906250000000	0
