step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.29309	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.91800	0.30498	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.92600	0.31970	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.89000	0.33125	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.81600	0.33580	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.69000	0.33668	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.56400	0.33412	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.40200	0.33143	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.39100	0.32969	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.38933	0.32800	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.38550	0.32751	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.39200	0.32609	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.39600	0.32561	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.39571	0.32426	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.39600	0.32383	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.39844	0.32324	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.39960	0.32263	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.39673	0.32142	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.39733	0.32109	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.39523	0.32013	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.39471	0.31960	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.39333	0.31937	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.39400	0.31952	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.39424	0.31940	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.39367	0.31940	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.39547	0.31942	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.39510	0.31937	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.39486	0.31923	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.39291	0.31907	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.39226	0.31937	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.39133	0.31898	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.39128	0.31883	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.38938	0.31852	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.39052	0.31818	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.38979	0.31816	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.39028	0.31808	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.39020	0.31797	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.38987	0.31794	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.39062	0.31794	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.39115	0.31797	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.39165	0.31785	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.39046	0.31781	0.000150000000000	1.000000000000000	0.170859375000000	0
