step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.34208	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.96600	0.33315	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91400	0.33313	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.83800	0.33079	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.77600	0.32824	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.63600	0.32528	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.51200	0.32408	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.42200	0.32334	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.41900	0.32326	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.43733	0.32268	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.44250	0.32230	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.44160	0.32098	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.44500	0.32071	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.44400	0.32081	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.44500	0.32033	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.44533	0.31957	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.44820	0.31946	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.45000	0.31924	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.45250	0.31888	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.45277	0.31878	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.45229	0.31915	0.000150000000000	1.000000000000000	0.170859375000000	0
